Date,Open_CRM,High_CRM,Low_CRM,Close_CRM,Volume_CRM,AdjClose_CRM
2015-03-17,65.959999,67.559998,65.879997,67.550003,5594700,67.550003
2015-03-18,67.040001,68.940002,66.75,68.550003,5576600,68.550003
2015-03-19,68.300003,68.949997,68.099998,68.879997,3883100,68.879997
2015-03-20,69.190002,69.889999,67.290001,67.690002,8649500,67.690002
2015-03-23,67.699997,68.260002,67.379997,67.660004,3659000,67.660004
2015-03-24,67.68,67.830002,67.260002,67.370003,3216100,67.370003
2015-03-25,67.300003,67.339996,65.529999,65.779999,4030100,65.779999
2015-03-26,65.720001,66.459999,64.809998,65.989998,2971600,65.989998
2015-03-27,65.779999,66.68,65.559998,66.550003,2106400,66.550003
2015-03-30,67.400002,67.559998,66.239998,66.849998,2741200,66.849998
2015-03-31,66.510002,67.959999,66.459999,66.809998,4031700,66.809998
2015-04-01,66.510002,66.550003,65.419998,66.080002,3713000,66.080002
2015-04-02,66.25,66.900002,65.75,66.68,2021600,66.68
2015-04-06,66.239998,68.059998,66.0,67.940002,6375400,67.940002
2015-04-07,68.239998,69.75,67.989998,68.199997,3817100,68.199997
2015-04-08,68.260002,68.919998,67.809998,68.209999,2566700,68.209999
2015-04-09,68.32,68.349998,66.82,67.739998,2577500,67.739998
2015-04-10,67.599998,67.989998,66.940002,67.639999,1953000,67.639999
2015-04-13,67.760002,68.32,67.0,67.080002,2131000,67.080002
2015-04-14,67.120003,67.410004,66.300003,66.910004,1938000,66.910004
2015-04-15,67.269997,67.510002,66.980003,67.209999,2140200,67.209999
2015-04-16,66.669998,68.209999,66.650002,67.910004,2269300,67.910004
2015-04-17,67.160004,67.160004,65.440002,65.809998,3794200,65.809998
2015-04-20,66.190002,67.050003,66.190002,66.900002,1945200,66.900002
2015-04-21,67.389999,67.940002,67.110001,67.379997,2223700,67.379997
2015-04-22,67.379997,68.120003,67.019997,67.709999,2051400,67.709999
2015-04-23,67.360001,69.080002,67.260002,68.470001,3518400,68.470001
2015-04-24,68.599998,68.709999,67.379997,67.830002,1910900,67.830002
2015-04-27,68.459999,68.940002,67.699997,67.839996,2643200,67.839996
2015-04-28,67.970001,68.339996,66.57,66.889999,2832800,66.889999
2015-04-29,66.309998,78.459999,65.889999,74.650002,28245800,74.650002
2015-04-30,72.190002,74.0,71.0,72.82,17492100,72.82
2015-05-01,73.370003,74.5,72.0,73.360001,9210800,73.360001
2015-05-04,72.269997,72.370003,71.010002,71.599998,5058500,71.599998
2015-05-05,71.5,76.18,71.0,72.75,20008500,72.75
2015-05-06,73.650002,75.529999,72.800003,73.790001,11122100,73.790001
2015-05-07,74.080002,74.769997,73.400002,74.519997,4377700,74.519997
2015-05-08,72.0,73.5,71.760002,72.400002,6156400,72.400002
2015-05-11,71.480003,72.279999,71.199997,71.199997,4048500,71.199997
2015-05-12,70.699997,72.150002,70.040001,71.769997,3575500,71.769997
2015-05-13,72.389999,72.529999,71.019997,71.790001,4209700,71.790001
2015-05-14,72.5,73.080002,71.800003,72.879997,3199500,72.879997
2015-05-15,73.220001,73.309998,72.25,72.400002,3649300,72.400002
2015-05-18,72.550003,73.199997,71.669998,72.800003,2856700,72.800003
2015-05-19,72.989998,73.099998,70.839996,71.480003,5104100,71.480003
2015-05-20,71.230003,71.230003,69.290001,70.160004,9728300,70.160004
2015-05-21,73.510002,74.68,72.309998,72.910004,12316000,72.910004
2015-05-22,73.0,75.889999,72.5,75.010002,11304800,75.010002
2015-05-26,73.660004,73.980003,73.220001,73.57,6547800,73.57
2015-05-27,73.0,74.459999,72.93,73.949997,3927000,73.949997
2015-05-28,72.919998,73.489998,72.529999,72.68,5066300,72.68
2015-05-29,72.559998,72.93,71.660004,72.75,4838100,72.75
2015-06-01,72.790001,73.489998,72.25,73.099998,3191400,73.099998
2015-06-02,72.830002,73.349998,72.610001,72.900002,2623000,72.900002
2015-06-03,73.209999,73.599998,72.699997,73.470001,2649500,73.470001
2015-06-04,72.910004,73.480003,72.010002,72.209999,2767500,72.209999
2015-06-05,72.0,73.669998,71.849998,73.550003,3187600,73.550003
2015-06-08,73.279999,73.279999,71.239998,71.839996,3830600,71.839996
2015-06-09,72.459999,72.480003,71.0,71.760002,3236500,71.760002
2015-06-10,72.029999,73.300003,71.470001,73.029999,2476600,73.029999
2015-06-11,73.169998,73.489998,72.25,72.400002,2371700,72.400002
2015-06-12,72.199997,72.349998,71.470001,71.769997,2288100,71.769997
2015-06-15,71.309998,72.669998,70.730003,72.559998,2844600,72.559998
2015-06-16,72.0,73.550003,72.0,73.400002,3434200,73.400002
2015-06-17,73.5,75.809998,73.309998,74.419998,7291600,74.419998
2015-06-18,74.629997,76.209999,74.599998,75.709999,4230300,75.709999
2015-06-19,75.5,75.949997,74.959999,75.0,5372600,75.0
2015-06-22,75.5,75.709999,74.349998,74.779999,3112700,74.779999
2015-06-23,74.860001,74.980003,73.860001,74.199997,3142400,74.199997
2015-06-24,74.099998,74.550003,72.989998,73.5,2763300,73.5
2015-06-25,74.32,74.650002,73.370003,73.610001,1958200,73.610001
2015-06-26,73.75,73.910004,72.089996,72.339996,4089800,72.339996
2015-06-29,71.669998,71.870003,69.93,70.0,2698200,70.0
2015-06-30,70.68,70.779999,69.110001,69.629997,3559900,69.629997
2015-07-01,70.580002,71.040001,70.150002,70.540001,3060700,70.540001
2015-07-02,70.919998,71.050003,69.980003,70.419998,1562300,70.419998
2015-07-06,69.769997,69.830002,68.550003,69.160004,3586700,69.160004
2015-07-07,70.18,70.510002,68.330002,70.260002,4937200,70.260002
2015-07-08,70.029999,70.489998,69.07,69.389999,2988500,69.389999
2015-07-09,70.5,71.599998,69.940002,69.959999,3297500,69.959999
2015-07-10,70.970001,71.419998,70.470001,71.139999,2252200,71.139999
2015-07-13,71.589996,71.860001,71.0,71.050003,2446400,71.050003
2015-07-14,71.209999,72.010002,71.209999,71.790001,2024100,71.790001
2015-07-15,71.75,72.160004,71.07,71.360001,1722300,71.360001
2015-07-16,71.910004,72.43,71.629997,72.419998,2774900,72.419998
2015-07-17,72.540001,73.5,72.07,72.809998,3005700,72.809998
2015-07-20,72.889999,73.190002,72.410004,72.769997,2175900,72.769997
2015-07-21,72.620003,73.919998,72.5,73.830002,3620500,73.830002
2015-07-22,73.370003,74.419998,73.18,73.870003,3296400,73.870003
2015-07-23,74.25,74.519997,71.970001,72.209999,3231600,72.209999
2015-07-24,72.709999,74.190002,72.260002,73.919998,3480300,73.919998
2015-07-27,73.370003,73.889999,72.309998,72.459999,3478400,72.459999
2015-07-28,72.790001,73.860001,71.75,73.790001,3435200,73.790001
2015-07-29,73.029999,74.190002,72.330002,73.879997,2158700,73.879997
2015-07-30,73.690002,73.839996,72.339996,73.360001,2362800,73.360001
2015-07-31,73.410004,74.150002,73.010002,73.300003,2144600,73.300003
2015-08-03,73.57,73.639999,72.059998,72.440002,2581400,72.440002
2015-08-04,72.449997,72.760002,71.800003,71.889999,2089300,71.889999
2015-08-05,72.57,73.639999,72.43,72.529999,2108900,72.529999
2015-08-06,72.779999,72.879997,70.32,70.43,2195400,70.43
2015-08-07,70.449997,70.730003,69.480003,70.410004,2226200,70.410004
2015-08-10,71.129997,71.519997,70.699997,71.269997,1814000,71.269997
2015-08-11,70.68,71.879997,70.400002,71.629997,2406200,71.629997
2015-08-12,71.099998,71.379997,69.559998,71.040001,3135100,71.040001
2015-08-13,71.440002,71.93,70.75,71.400002,2302900,71.400002
2015-08-14,71.190002,73.269997,70.860001,72.989998,3246900,72.989998
2015-08-17,72.589996,74.139999,71.599998,74.040001,3073000,74.040001
