Date,Open_UHS,High_UHS,Low_UHS,Close_UHS,Volume_UHS,AdjClose_UHS
2014-02-20,82.169998,82.400002,81.050003,82.190002,762700,81.547535
2014-02-21,82.5,83.139999,81.839996,82.099998,609900,81.458235
2014-02-24,82.010002,83.57,81.82,83.110001,597300,82.460342
2014-02-25,82.620003,82.709999,80.690002,81.230003,1026700,80.595041
2014-02-26,81.290001,83.019997,80.889999,82.43,799100,81.785657
2014-02-27,82.139999,82.830002,81.809998,82.199997,742100,81.606951
2014-02-28,80.440002,82.419998,78.550003,80.279999,1413400,79.700805
2014-03-03,79.68,81.260002,79.199997,81.07,876600,80.485107
2014-03-04,82.019997,82.110001,81.400002,81.5,677400,80.912005
2014-03-05,81.57,81.739998,80.629997,80.870003,475800,80.286553
2014-03-06,81.239998,81.309998,79.889999,79.940002,563800,79.363262
2014-03-07,80.389999,80.709999,78.870003,79.239998,845100,78.668308
2014-03-10,79.199997,79.510002,78.230003,78.519997,611700,77.953501
2014-03-11,78.720001,78.959999,76.879997,77.110001,1007200,76.553678
2014-03-12,76.510002,77.050003,75.669998,76.769997,1282200,76.216127
2014-03-13,77.129997,77.230003,74.599998,75.099998,1279200,74.558177
2014-03-14,74.910004,75.470001,74.190002,74.589996,1105100,74.051854
2014-03-17,74.809998,75.599998,74.290001,74.349998,530000,73.813588
2014-03-18,75.739998,77.330002,75.68,76.949997,1467700,76.394828
2014-03-19,76.900002,77.870003,76.660004,76.870003,821800,76.315411
2014-03-20,76.889999,77.739998,76.730003,76.809998,641800,76.255839
2014-03-21,77.199997,77.25,75.519997,75.599998,1075900,75.05457
2014-03-24,75.599998,76.139999,74.709999,75.269997,822500,74.726949
2014-03-25,75.629997,76.82,75.190002,75.970001,762700,75.421903
2014-03-26,76.519997,79.050003,76.269997,78.169998,1371400,77.606028
2014-03-27,78.25,78.330002,77.5,78.220001,613300,77.65567
2014-03-28,78.599998,80.629997,78.599998,79.699997,779500,79.124988
2014-03-31,80.599998,82.139999,79.910004,82.07,1040000,81.477892
2014-04-01,82.160004,82.959999,81.839996,82.309998,981500,81.716158
2014-04-02,82.5,82.940002,82.139999,82.580002,603700,81.984215
2014-04-03,82.610001,83.43,82.449997,83.040001,1380600,82.440895
2014-04-04,83.690002,84.480003,81.230003,81.330002,1056800,80.743233
2014-04-07,81.080002,81.120003,77.120003,77.849998,1281000,77.288337
2014-04-08,77.68,78.370003,76.57,77.779999,924300,77.218842
2014-04-09,77.669998,78.029999,76.989998,77.650002,897300,77.089783
2014-04-10,77.769997,77.870003,75.449997,75.870003,808700,75.322626
2014-04-11,75.43,76.349998,73.650002,74.610001,450500,74.071714
2014-04-14,74.989998,75.32,74.32,75.089996,678400,74.548247
2014-04-15,75.260002,75.949997,73.790001,75.040001,605500,74.498612
2014-04-16,75.57,75.699997,74.099998,74.889999,439400,74.349693
2014-04-17,74.5,75.110001,73.059998,74.650002,667200,74.111427
2014-04-21,74.75,75.980003,74.650002,75.489998,462700,74.945363
2014-04-22,75.440002,76.519997,75.300003,75.720001,283500,75.173707
2014-04-23,75.739998,77.169998,75.580002,76.599998,636200,76.047355
2014-04-24,76.980003,78.650002,76.809998,78.120003,1137900,77.556393
2014-04-25,83.0,86.0,81.559998,82.919998,1707000,82.321758
2014-04-28,84.0,84.360001,82.419998,83.120003,1156300,82.52032
2014-04-29,82.959999,83.849998,82.120003,82.889999,937400,82.291976
2014-04-30,82.910004,83.309998,81.660004,81.790001,855400,81.199913
2014-05-01,82.169998,84.019997,81.400002,83.32,904100,82.718874
2014-05-02,83.510002,84.239998,83.019997,83.400002,1095800,82.798298
2014-05-05,82.989998,83.580002,82.43,83.379997,423900,82.778438
