Date,Open_APH,High_APH,Low_APH,Close_APH,Volume_APH,AdjClose_APH
2014-08-01,95.760002,96.900002,95.760002,96.220001,1251800,47.190715
2014-08-04,96.300003,97.349998,96.0,97.160004,800400,47.651735
2014-08-05,96.599998,97.900002,96.599998,97.370003,1166800,47.754728
2014-08-06,97.07,98.230003,96.989998,97.82,942400,47.975428
2014-08-07,98.099998,98.279999,97.260002,97.440002,1150200,47.78906
2014-08-08,97.610001,98.620003,97.540001,98.589996,1152400,48.353069
2014-08-11,98.75,99.739998,98.739998,99.230003,998200,48.666958
2014-08-12,99.489998,100.120003,99.43,99.849998,1557200,48.971032
2014-08-13,100.0,100.260002,99.519997,100.029999,1214600,49.059313
2014-08-14,100.349998,100.970001,100.080002,100.900002,1014600,49.486002
2014-08-15,101.370003,101.43,99.690002,100.389999,4455800,49.235874
2014-08-18,101.029999,101.989998,100.699997,101.790001,859000,49.922499
2014-08-19,102.0,102.349998,101.790001,102.190002,978600,50.118678
2014-08-20,101.849998,102.370003,101.669998,102.25,718800,50.148104
2014-08-21,102.419998,104.480003,102.080002,104.379997,1903800,51.192752
2014-08-22,103.919998,104.43,103.650002,103.849998,1038200,50.932816
2014-08-25,104.260002,104.93,103.830002,104.32,852000,51.163327
2014-08-26,104.540001,104.57,103.760002,103.779999,819400,50.898485
2014-08-27,104.139999,104.139999,103.230003,103.510002,988400,50.766067
2014-08-28,103.07,103.57,102.739998,103.389999,743800,50.707212
2014-08-29,103.410004,103.82,102.860001,103.010002,1379800,50.520844
2014-09-02,103.669998,104.739998,103.669998,104.300003,1879600,51.153519
2014-09-03,104.699997,104.970001,104.080002,104.150002,1249000,51.079952
2014-09-04,104.489998,104.93,103.809998,103.93,841600,50.972053
2014-09-05,103.919998,104.290001,103.529999,104.120003,901800,51.065239
2014-09-08,103.639999,104.199997,103.459999,104.080002,1308000,51.168478
2014-09-09,103.940002,104.150002,103.239998,103.440002,908000,50.853837
2014-09-10,103.260002,104.040001,103.160004,103.400002,1176400,50.834172
2014-09-11,103.0,104.480003,102.769997,104.440002,974400,51.345464
2014-09-12,104.25,104.529999,103.900002,104.220001,1198400,51.237305
2014-09-15,104.080002,104.080002,103.349998,103.620003,1184400,50.94233
2014-09-16,103.129997,104.260002,102.870003,103.989998,835200,51.12423
2014-09-17,104.139999,104.730003,103.690002,104.459999,1438200,51.355295
2014-09-18,104.660004,105.449997,104.57,105.32,1378800,51.778094
2014-09-19,105.830002,105.940002,103.849998,103.919998,1665200,51.089816
2014-09-22,103.43,104.059998,103.260002,103.57,761600,50.917747
2014-09-23,103.190002,103.309998,101.790001,101.809998,1240400,50.052484
2014-09-24,101.82,102.269997,101.300003,102.139999,1162200,50.214721
2014-09-25,101.940002,102.07,100.459999,100.709999,912200,49.511695
2014-09-26,101.089996,102.019997,100.879997,101.82,634000,50.057401
2014-09-29,100.849998,102.120003,100.809998,101.839996,1225800,50.067232
2014-09-30,101.739998,102.07,99.699997,99.860001,2040000,49.093814
2014-10-01,99.5,99.650002,97.370003,98.099998,2323800,48.22855
