Date,Open_AAP,High_AAP,Low_AAP,Close_AAP,Volume_AAP,AdjClose_AAP
2015-04-16,149.130005,151.309998,148.320007,150.0,716400,149.775758
2015-04-17,149.009995,149.800003,147.929993,149.800003,795600,149.57606
2015-04-20,149.830002,152.529999,149.830002,152.399994,890000,152.172164
2015-04-21,153.279999,154.660004,152.179993,152.399994,898800,152.172164
2015-04-22,152.229996,152.610001,150.5,151.509995,1189000,151.283496
2015-04-23,153.649994,153.979996,146.539993,146.690002,1864300,146.470709
2015-04-24,144.820007,148.740005,143.199997,148.610001,1441600,148.387837
2015-04-27,148.990005,148.990005,144.539993,144.990005,905700,144.773254
2015-04-28,145.0,145.229996,143.0,144.5,794300,144.283981
2015-04-29,144.5,145.179993,143.509995,144.660004,707900,144.443745
2015-04-30,144.429993,145.210007,142.899994,143.0,1269200,142.786223
2015-05-01,143.089996,145.460007,142.630005,145.339996,596300,145.122721
2015-05-04,145.25,146.149994,144.949997,145.449997,675100,145.232557
2015-05-05,145.449997,145.729996,143.419998,143.990005,680100,143.774748
2015-05-06,144.320007,144.839996,143.0,144.089996,591700,143.87459
2015-05-07,144.389999,145.839996,143.889999,144.529999,782500,144.313935
2015-05-08,145.460007,147.0,144.369995,144.759995,579700,144.543586
2015-05-11,144.979996,146.449997,144.100006,145.509995,348200,145.292465
2015-05-12,144.740005,147.169998,144.100006,147.130005,806600,146.910054
2015-05-13,147.0,149.490005,146.630005,149.380005,1286100,149.15669
2015-05-14,150.0,151.220001,148.75,149.860001,979900,149.635968
2015-05-15,149.570007,151.839996,149.520004,151.619995,840100,151.393332
2015-05-18,150.990005,153.130005,150.850006,151.880005,2099300,151.652953
2015-05-19,152.649994,154.839996,151.979996,152.940002,1096300,152.711366
2015-05-20,152.759995,153.970001,149.899994,149.899994,1580900,149.675902
2015-05-21,144.190002,160.899994,143.0,157.5,4243700,157.264546
2015-05-22,157.419998,161.550003,156.729996,160.199997,2201000,159.960507
2015-05-26,160.070007,160.820007,157.440002,158.0,1120900,157.763799
2015-05-27,158.289993,158.800003,156.509995,157.220001,870800,156.984966
2015-05-28,157.25,158.050003,155.630005,156.350006,643600,156.116272
2015-05-29,155.309998,155.690002,153.190002,153.220001,1032700,152.990946
2015-06-01,154.279999,154.889999,152.710007,153.320007,764100,153.090802
2015-06-02,153.259995,155.419998,152.199997,155.360001,976700,155.127746
2015-06-03,155.720001,156.830002,154.809998,156.529999,997600,156.295995
2015-06-04,155.729996,157.100006,155.539993,156.600006,579900,156.365898
2015-06-05,156.270004,157.860001,156.029999,157.389999,672600,157.15471
2015-06-08,157.25,157.850006,156.589996,157.309998,924500,157.074828
2015-06-09,156.399994,158.539993,156.25,157.419998,1012200,157.184664
2015-06-10,158.550003,160.649994,157.539993,160.270004,1169100,160.03041
2015-06-11,160.309998,161.080002,159.679993,160.529999,462400,160.290015
2015-06-12,160.289993,161.649994,159.979996,161.210007,438500,160.969007
2015-06-15,160.119995,160.679993,158.119995,158.320007,600800,158.083328
2015-06-16,158.410004,159.589996,157.869995,159.050003,524100,158.812232
2015-06-17,159.119995,160.669998,157.649994,158.990005,688600,158.812235
2015-06-18,159.669998,160.779999,159.130005,160.25,470700,160.070821
2015-06-19,159.639999,161.940002,159.490005,160.5,649200,160.320541
2015-06-22,161.020004,163.509995,160.330002,163.259995,879700,163.07745
2015-06-23,163.710007,165.0,163.039993,163.889999,560300,163.70675
2015-06-24,164.0,164.720001,162.699997,163.419998,491200,163.237274
2015-06-25,163.460007,164.589996,162.970001,164.199997,653000,164.016401
2015-06-26,164.979996,165.160004,163.479996,164.279999,858600,164.096313
2015-06-29,163.080002,163.080002,158.809998,158.929993,515500,158.752289
2015-06-30,160.410004,160.729996,158.029999,159.289993,789600,159.111887
2015-07-01,160.589996,162.850006,160.309998,162.649994,675400,162.468131
2015-07-02,163.580002,164.300003,161.179993,162.110001,414400,161.928742
2015-07-06,161.369995,164.419998,161.220001,163.419998,618200,163.237274
2015-07-07,164.740005,165.199997,161.679993,163.529999,1345100,163.347152
2015-07-08,162.630005,163.820007,159.119995,159.990005,14312400,159.811117
2015-07-09,161.289993,162.660004,160.690002,162.070007,1908300,161.888793
2015-07-10,163.949997,164.979996,162.960007,164.110001,506000,163.926505
2015-07-13,165.050003,169.330002,164.979996,169.309998,1609200,169.120688
2015-07-14,169.389999,169.899994,167.059998,167.210007,829200,167.023045
2015-07-15,167.210007,169.130005,166.460007,168.470001,644700,168.281631
2015-07-16,168.910004,169.820007,168.270004,169.360001,572400,169.170635
2015-07-17,169.070007,169.869995,168.059998,169.699997,522700,169.510251
