Date,Open_MLM,High_MLM,Low_MLM,Close_MLM,Volume_MLM,AdjClose_MLM
2015-04-17,140.589996,140.729996,138.770004,140.240005,579400,138.508113
2015-04-20,140.559998,140.990005,139.389999,139.970001,662300,138.241444
2015-04-21,140.270004,140.490005,138.289993,138.369995,408200,136.661197
2015-04-22,138.669998,139.710007,135.929993,137.240005,595500,135.545162
2015-04-23,137.369995,139.259995,136.759995,138.240005,767100,136.532812
2015-04-24,138.830002,138.830002,136.990005,138.529999,367200,136.819224
2015-04-27,138.5,138.660004,135.729996,135.919998,637100,134.241456
2015-04-28,135.479996,136.779999,134.970001,136.100006,644500,134.419241
2015-04-29,135.300003,138.009995,134.990005,136.300003,798700,134.616768
2015-04-30,137.600006,146.339996,137.600006,142.649994,1888400,140.88834
2015-05-01,143.720001,149.270004,142.289993,147.830002,1692400,146.004377
2015-05-04,148.100006,150.389999,148.020004,148.389999,890200,146.557459
2015-05-05,148.119995,149.100006,146.559998,146.880005,769700,145.066112
2015-05-06,147.229996,150.619995,145.380005,149.089996,1072500,147.248811
2015-05-07,148.639999,150.990005,147.639999,150.580002,1046400,148.720416
2015-05-08,153.0,155.800003,151.860001,154.889999,1181900,152.977187
2015-05-11,154.320007,155.149994,152.830002,153.779999,833300,151.880895
2015-05-12,152.860001,153.350006,150.360001,150.75,1405800,148.888315
2015-05-13,152.220001,155.619995,152.220001,153.970001,1173000,152.068551
2015-05-14,154.690002,155.119995,152.380005,154.669998,821700,152.759903
2015-05-15,154.509995,155.389999,152.970001,155.320007,1066100,153.401885
2015-05-18,154.990005,155.979996,153.020004,155.309998,606600,153.391999
2015-05-19,155.270004,155.899994,153.020004,154.259995,403400,152.354963
2015-05-20,154.699997,154.699997,152.160004,153.5,608200,151.604354
2015-05-21,153.190002,155.509995,153.039993,154.580002,688000,152.671018
2015-05-22,154.130005,154.529999,151.369995,152.300003,1018200,150.419176
2015-05-26,151.460007,152.279999,149.460007,151.149994,1384100,149.283369
2015-05-27,151.399994,153.199997,150.800003,152.889999,1078400,151.001886
2015-05-28,151.630005,152.899994,149.429993,151.070007,749600,149.59575
2015-05-29,151.070007,151.300003,148.639999,149.009995,1217700,147.55584
2015-06-01,148.899994,150.0,146.350006,147.059998,1501800,145.624873
2015-06-02,146.990005,150.610001,146.669998,149.380005,1827000,147.92224
2015-06-03,149.110001,150.149994,146.179993,147.860001,1351100,146.417069
2015-06-04,146.899994,148.5,145.589996,148.0,1261800,146.555702
2015-06-05,147.330002,150.0,146.25,148.100006,1097800,146.654732
2015-06-08,148.100006,149.25,147.009995,148.669998,641200,147.219162
2015-06-09,148.610001,149.899994,147.660004,148.610001,666500,147.15975
2015-06-10,149.729996,153.389999,149.729996,151.660004,903000,150.179988
2015-06-11,151.869995,153.149994,150.839996,151.949997,846600,150.467152
2015-06-12,151.509995,151.509995,147.139999,147.889999,829900,146.446775
2015-06-15,146.520004,147.570007,144.830002,146.110001,683400,144.684147
2015-06-16,145.960007,146.970001,145.050003,145.759995,453600,144.337556
2015-06-17,146.039993,146.929993,143.25,144.990005,674500,143.575081
2015-06-18,145.789993,147.979996,144.830002,147.360001,622600,145.921948
2015-06-19,147.330002,149.440002,147.330002,148.25,669100,146.803262
2015-06-22,149.149994,149.880005,147.190002,148.479996,551000,147.031014
2015-06-23,148.339996,149.029999,147.199997,148.130005,317200,146.684438
