Date,Open_TSCO,High_TSCO,Low_TSCO,Close_TSCO,Volume_TSCO,AdjClose_TSCO
2014-04-04,71.260002,71.260002,68.839996,69.150002,1128500,67.730497
2014-04-07,69.129997,69.150002,66.230003,66.980003,1403000,65.605045
2014-04-08,66.870003,68.860001,66.68,67.889999,1288800,66.49636
2014-04-09,68.0,69.160004,67.980003,69.150002,857400,67.730497
2014-04-10,69.0,69.18,67.300003,67.599998,1231200,66.212313
2014-04-11,66.959999,68.32,66.5,67.089996,1087100,65.71278
2014-04-14,67.589996,67.860001,66.279999,66.849998,640900,65.477708
2014-04-15,67.029999,67.769997,65.599998,66.720001,921900,65.35038
2014-04-16,67.440002,67.900002,66.540001,66.889999,988200,65.516888
2014-04-17,68.110001,68.110001,66.900002,67.25,654500,65.869499
2014-04-21,67.209999,67.599998,66.730003,67.209999,1147100,65.830319
2014-04-22,66.830002,68.080002,66.830002,67.489998,1021600,66.10457
2014-04-23,67.730003,67.989998,67.150002,67.339996,1057500,65.957648
2014-04-24,65.0,66.989998,64.760002,66.690002,2949100,65.320997
2014-04-25,67.459999,67.459999,65.57,65.68,979800,64.331728
2014-04-28,66.040001,67.120003,65.32,66.440002,1205900,65.076129
2014-04-29,66.93,67.489998,65.989998,66.75,888300,65.379763
2014-04-30,66.449997,67.309998,66.449997,67.239998,934600,65.859702
2014-05-01,67.339996,67.760002,66.5,66.699997,803400,65.330786
2014-05-02,67.0,67.900002,66.440002,67.07,676800,65.693193
2014-05-05,66.529999,67.279999,66.339996,66.82,483200,65.448325
2014-05-06,66.730003,66.800003,65.300003,65.309998,807500,63.969321
2014-05-07,65.290001,65.489998,63.810001,64.349998,1143200,63.029028
2014-05-08,64.389999,65.269997,64.220001,64.43,814700,63.107388
2014-05-09,64.639999,65.550003,64.160004,65.440002,700500,64.096657
2014-05-12,65.769997,66.589996,65.57,66.5,608000,65.134895
2014-05-13,65.720001,65.949997,64.470001,64.720001,1075800,63.391436
2014-05-14,64.519997,64.589996,63.950001,64.150002,1309700,62.833137
2014-05-15,64.089996,64.089996,62.650002,63.16,1506400,62.018143
2014-05-16,63.150002,63.849998,62.830002,63.82,1165000,62.66621
2014-05-19,63.16,64.040001,62.900002,63.669998,750200,62.518921
2014-05-20,63.23,63.77,62.549999,63.59,1307800,62.440369
2014-05-21,63.630001,64.410004,63.400002,63.970001,941000,62.8135
2014-05-22,64.019997,64.459999,63.52,63.59,739900,62.440369
2014-05-23,63.700001,63.810001,63.290001,63.740002,574200,62.587659
2014-05-27,64.0,64.870003,63.529999,64.800003,1161000,63.628496
2014-05-28,64.650002,64.660004,63.68,63.740002,707000,62.587659
2014-05-29,63.740002,63.939999,63.189999,63.619999,929300,62.469825
2014-05-30,63.869999,65.18,63.73,65.019997,1052600,63.844513
2014-06-02,65.0,65.599998,64.669998,65.050003,1184700,63.873977
2014-06-03,65.290001,65.400002,64.620003,65.330002,863300,64.148914
2014-06-04,65.050003,65.410004,64.769997,65.18,474700,64.001624
2014-06-05,65.18,65.709999,64.68,65.540001,595300,64.355116
2014-06-06,65.900002,66.470001,65.790001,65.989998,488200,64.796978
2014-06-09,65.849998,66.669998,65.839996,66.190002,568500,64.993366
2014-06-10,65.989998,66.400002,65.5,65.650002,483900,64.463128
2014-06-11,65.449997,65.959999,65.32,65.900002,679600,64.708608
2014-06-12,65.57,65.720001,64.849998,65.050003,477600,63.873977
2014-06-13,64.959999,65.18,64.410004,65.0,410400,63.824878
2014-06-16,64.739998,64.800003,63.860001,64.360001,913900,63.196449
2014-06-17,64.199997,64.709999,63.98,64.449997,804200,63.284818
2014-06-18,64.269997,64.739998,64.0,64.559998,457200,63.39283
2014-06-19,64.620003,64.889999,64.150002,64.190002,593500,63.029524
2014-06-20,64.330002,64.330002,62.919998,63.049999,3306900,61.910131
2014-06-23,62.959999,63.57,62.490002,63.0,1273300,61.861035
2014-06-24,62.669998,63.139999,62.52,62.560001,883700,61.428991
2014-06-25,62.549999,62.82,62.240002,62.259998,2925600,61.134412
2014-06-26,62.439999,62.630001,60.639999,60.84,2428300,59.740086
2014-06-27,60.549999,60.68,59.75,60.209999,2848700,59.121474
2014-06-30,59.889999,60.84,59.779999,60.400002,2221600,59.308042
2014-07-01,60.549999,61.200001,60.349998,61.080002,1285800,59.975748
2014-07-02,61.029999,61.330002,60.849998,60.889999,926800,59.789181
2014-07-03,61.099998,62.119999,60.560001,61.650002,699800,60.535443
2014-07-07,61.66,61.790001,61.43,61.540001,786200,60.427431
2014-07-08,61.41,61.540001,60.68,60.790001,1026600,59.69099
2014-07-09,60.91,61.509998,60.799999,61.380001,1080900,60.270324
2014-07-10,58.200001,60.330002,57.200001,59.919998,9293200,58.836716
2014-07-11,60.0,60.369999,59.099998,60.349998,2332500,59.258943
2014-07-14,60.779999,61.0,60.119999,60.650002,1913000,59.553522
2014-07-15,60.41,61.189999,60.200001,60.98,1835600,59.877554
2014-07-16,60.740002,61.07,60.470001,60.950001,3404900,59.848098
2014-07-17,60.689999,62.080002,60.509998,61.099998,2522800,59.995384
2014-07-18,61.400002,62.419998,61.09,62.220001,1413400,61.095138
2014-07-21,61.98,62.099998,61.139999,61.619999,1427200,60.505983
2014-07-22,61.939999,62.0,61.459999,61.59,1164300,60.476527
2014-07-23,61.549999,61.970001,60.720001,61.07,1763800,59.965927
2014-07-24,63.900002,65.800003,63.349998,65.110001,4267100,63.93289
2014-07-25,64.830002,65.0,63.189999,63.470001,1630400,62.32254
2014-07-28,63.5,63.889999,63.119999,63.43,1013100,62.283262
2014-07-29,63.369999,64.110001,63.369999,63.540001,1094300,62.391274
2014-07-30,63.84,63.990002,63.32,63.810001,984700,62.656393
2014-07-31,63.560001,63.93,62.130001,62.169998,1314000,61.046039
2014-08-01,62.080002,62.439999,61.080002,61.32,1602900,60.211407
2014-08-04,61.349998,62.07,61.220001,61.810001,770000,60.69255
