Date,Open_KSU,High_KSU,Low_KSU,Close_KSU,Volume_KSU,AdjClose_KSU
2014-03-21,100.459999,101.120003,98.559998,98.580002,1620100,95.727935
2014-03-24,99.0,99.330002,97.099998,98.440002,951300,95.591986
2014-03-25,99.199997,100.279999,99.129997,99.790001,1002700,96.902927
2014-03-26,100.0,100.459999,97.480003,97.519997,1345400,94.698597
2014-03-27,97.43,98.769997,97.199997,97.889999,1003400,95.057895
2014-03-28,98.370003,100.68,98.080002,99.610001,1687600,96.728134
2014-03-31,100.220001,102.540001,99.43,102.059998,1334300,99.107249
2014-04-01,102.760002,103.150002,101.699997,103.120003,1048300,100.136587
2014-04-02,103.25,105.730003,103.160004,104.300003,1687000,101.282448
2014-04-03,104.239998,104.57,103.699997,104.480003,931400,101.45724
2014-04-04,102.940002,103.0,99.349998,100.730003,2652400,97.815733
2014-04-07,100.650002,101.809998,99.120003,99.910004,1192200,97.019458
2014-04-08,100.129997,100.519997,99.019997,99.190002,1165800,96.320287
2014-04-09,99.660004,101.300003,98.790001,101.279999,963200,98.349817
2014-04-10,101.07,101.410004,97.459999,97.580002,1046000,94.756866
2014-04-11,96.120003,97.099998,95.410004,95.540001,1389300,92.775886
2014-04-14,96.720001,98.059998,96.120003,97.169998,1117200,94.358725
2014-04-15,97.339996,99.639999,97.330002,99.160004,1533200,96.291156
2014-04-16,99.160004,101.559998,98.510002,101.440002,1240000,98.505191
2014-04-17,101.440002,104.510002,100.339996,101.139999,2152200,98.213868
2014-04-21,101.529999,102.449997,101.120003,102.18,725600,99.22378
2014-04-22,102.529999,102.790001,101.82,101.860001,859100,98.913038
2014-04-23,101.879997,102.25,100.580002,100.959999,887300,98.039075
2014-04-24,101.519997,101.849998,100.18,100.860001,787100,97.94197
2014-04-25,100.709999,100.769997,98.919998,99.269997,668100,96.397967
2014-04-28,99.830002,100.690002,98.040001,99.699997,1427300,96.815527
2014-04-29,99.980003,101.110001,99.650002,100.110001,659200,97.213668
2014-04-30,100.150002,100.970001,99.970001,100.879997,1436600,97.961388
2014-05-01,100.800003,101.07,99.599998,99.720001,691200,96.834952
2014-05-02,99.720001,100.589996,99.129997,99.300003,572700,96.427105
2014-05-05,98.870003,99.589996,98.18,99.349998,586900,96.475654
2014-05-06,98.769997,100.370003,98.720001,99.209999,760700,96.339705
2014-05-07,99.699997,99.93,98.349998,99.550003,522500,96.669872
2014-05-08,99.32,100.300003,98.849998,99.610001,608800,96.728134
2014-05-09,99.440002,99.739998,98.580002,99.550003,362700,96.669872
2014-05-12,100.120003,102.739998,100.120003,102.690002,790600,99.719027
2014-05-13,103.0,103.660004,101.989998,102.25,509300,99.291754
2014-05-14,102.209999,102.25,100.730003,100.800003,511400,97.883708
2014-05-15,100.629997,100.68,98.370003,98.940002,964600,96.07752
2014-05-16,100.309998,103.629997,100.0,103.519997,1246700,100.525008
2014-05-19,103.099998,104.849998,102.75,104.739998,823900,101.709713
2014-05-20,104.419998,105.18,103.790001,105.010002,1200900,101.971905
2014-05-21,105.220001,106.760002,105.029999,106.730003,973800,103.642144
2014-05-22,106.720001,107.370003,105.860001,106.089996,1042800,103.020654
