Date,Open_EXR,High_EXR,Low_EXR,Close_EXR,Volume_EXR,AdjClose_EXR
2015-12-16,87.540001,88.980003,87.25,88.68,663700,88.065612
2015-12-17,89.010002,89.300003,88.360001,88.379997,785600,87.767688
2015-12-18,88.059998,88.529999,87.519997,87.660004,3652500,87.052682
2015-12-21,89.18,89.889999,88.599998,89.089996,1098000,88.472768
2015-12-22,89.57,89.980003,88.830002,89.029999,751800,88.413186
2015-12-23,89.040001,89.160004,87.879997,88.209999,1025900,87.598867
2015-12-24,88.339996,88.419998,87.720001,88.230003,353100,87.618733
2015-12-28,88.18,89.07,88.0,89.059998,774000,88.442977
2015-12-29,89.470001,90.400002,89.449997,90.220001,520800,89.594944
2015-12-30,90.019997,90.580002,89.419998,89.459999,419600,88.840207
2015-12-31,89.459999,89.769997,88.209999,88.209999,592400,87.598867
2016-01-04,87.730003,88.410004,87.120003,87.82,978600,87.21157
2016-01-05,87.82,90.790001,87.809998,90.400002,867300,89.773697
2016-01-06,89.690002,91.93,89.5,91.150002,1100800,90.518501
2016-01-07,89.870003,90.760002,89.519997,90.18,922700,89.55522
2016-01-08,90.459999,91.510002,89.800003,89.910004,700200,89.287094
2016-01-11,90.260002,91.970001,90.260002,90.809998,1191400,90.180853
2016-01-12,91.449997,91.800003,90.160004,90.510002,1093300,89.882936
2016-01-13,91.18,91.989998,89.529999,89.550003,1139300,88.929588
2016-01-14,90.440002,90.480003,84.660004,87.220001,3958400,86.615728
2016-01-15,85.980003,87.760002,85.860001,86.029999,22998400,85.43397
2016-01-19,87.110001,88.900002,86.769997,88.5,1851800,87.886859
2016-01-20,88.040001,88.360001,83.559998,84.849998,2160900,84.262145
2016-01-21,85.089996,86.050003,84.519997,84.720001,1423700,84.133049
2016-01-22,86.199997,87.989998,85.550003,87.349998,892800,86.744825
2016-01-25,87.739998,88.989998,87.279999,87.599998,1140300,86.993093
2016-01-26,88.089996,91.0,87.830002,90.459999,1471800,89.833279
2016-01-27,90.059998,90.139999,88.25,88.739998,970700,88.125194
2016-01-28,88.860001,90.610001,88.790001,89.339996,957900,88.721036
2016-01-29,90.120003,91.260002,89.349998,90.690002,1347100,90.061689
2016-02-01,90.400002,90.800003,89.269997,89.489998,1523100,88.869998
2016-02-02,89.620003,91.739998,89.150002,91.099998,1503500,90.468844
2016-02-03,91.529999,91.589996,87.5,88.360001,1412200,87.74783
2016-02-04,87.889999,88.279999,85.809998,86.099998,1699200,85.503485
2016-02-05,85.669998,85.730003,81.5,81.709999,2057800,81.1439
2016-02-08,81.199997,81.199997,76.089996,78.419998,2019100,77.876693
2016-02-09,77.639999,80.18,77.110001,79.279999,1601300,78.730735
2016-02-10,79.489998,80.739998,79.400002,79.860001,1103200,79.306719
2016-02-11,79.099998,81.529999,78.779999,80.879997,1751100,80.319649
2016-02-12,81.660004,82.099998,80.199997,81.389999,1352200,80.826118
2016-02-16,82.0,83.050003,81.470001,82.980003,1160300,82.405106
2016-02-17,83.150002,85.199997,83.0,84.93,1256800,84.341593
2016-02-18,84.660004,85.190002,84.0,84.550003,931800,83.964228
2016-02-19,84.510002,87.290001,84.129997,86.199997,1330800,85.602791
2016-02-22,86.519997,87.739998,85.790001,85.989998,676600,85.394247
2016-02-23,85.480003,87.190002,85.239998,85.900002,1129700,85.304874
2016-02-24,85.599998,86.849998,81.279999,82.169998,1653300,81.600712
2016-02-25,82.830002,84.720001,82.529999,84.540001,1143700,83.954295
2016-02-26,84.650002,84.760002,83.080002,83.110001,983600,82.534202
2016-02-29,83.169998,83.68,82.110001,82.150002,1438600,81.580854
2016-03-01,82.870003,84.25,82.379997,84.239998,1201800,83.656371
2016-03-02,84.010002,86.32,83.620003,86.290001,1428800,85.692171
2016-03-03,86.32,86.419998,83.760002,84.830002,1126200,84.242287
2016-03-04,84.830002,85.0,83.660004,83.980003,1149900,83.398178
2016-03-07,83.43,84.5,83.0,83.599998,1223300,83.020805
2016-03-08,83.379997,84.669998,83.010002,83.449997,1332100,82.871843
2016-03-09,83.550003,85.629997,83.400002,84.949997,1109100,84.361451
2016-03-10,85.519997,85.989998,84.129997,85.160004,1038800,84.570003
2016-03-11,86.050003,87.120003,85.230003,87.080002,1033200,87.080002
2016-03-14,86.870003,87.459999,86.449997,87.279999,798900,87.279999
2016-03-15,87.010002,89.050003,87.0,88.25,950800,88.25
2016-03-16,87.720001,90.230003,87.419998,89.970001,1010500,89.970001
2016-03-17,90.059998,91.599998,89.82,91.269997,1003900,91.269997
2016-03-18,91.379997,91.699997,89.290001,89.610001,2833800,89.610001
2016-03-21,89.349998,90.089996,88.25,88.510002,1154800,88.510002
2016-03-22,87.959999,89.43,87.959999,88.639999,1254800,88.639999
2016-03-23,88.849998,90.190002,88.540001,89.370003,987300,89.370003
2016-03-24,89.160004,90.260002,88.879997,90.080002,876600,90.080002
2016-03-28,90.169998,91.5,90.110001,91.129997,546300,91.129997
2016-03-29,91.470001,93.0,91.07,92.980003,849500,92.980003
2016-03-30,93.300003,93.410004,92.160004,92.510002,805000,92.510002
2016-03-31,92.57,93.480003,92.43,93.459999,732400,93.459999
2016-04-01,93.25,93.989998,92.730003,93.510002,770100,93.510002
2016-04-04,93.940002,94.160004,92.25,93.489998,944200,93.489998
2016-04-05,92.849998,93.440002,92.480003,92.629997,414800,92.629997
2016-04-06,92.519997,93.5,92.169998,93.480003,682800,93.480003
2016-04-07,93.139999,93.32,91.980003,92.699997,843400,92.699997
2016-04-08,92.959999,94.220001,92.440002,93.580002,576900,93.580002
2016-04-11,93.589996,93.769997,91.949997,91.949997,586200,91.949997
2016-04-12,91.949997,92.360001,91.349998,92.129997,990000,92.129997
2016-04-13,92.470001,92.620003,90.68,91.489998,821200,91.489998
2016-04-14,91.099998,91.370003,88.949997,89.260002,1124000,89.260002
2016-04-15,89.290001,90.470001,89.199997,90.190002,707500,90.190002
2016-04-18,90.129997,90.860001,89.290001,90.559998,945000,90.559998
2016-04-19,90.599998,91.080002,87.349998,88.050003,1626800,88.050003
2016-04-20,88.010002,88.370003,87.139999,87.529999,1304100,87.529999
2016-04-21,87.449997,87.75,85.059998,85.389999,1124400,85.389999
2016-04-22,85.379997,86.190002,84.910004,86.0,1117800,86.0
2016-04-25,85.730003,86.720001,85.610001,86.449997,579700,86.449997
2016-04-26,86.629997,87.940002,86.629997,87.209999,924100,87.209999
2016-04-27,87.269997,87.669998,85.029999,86.029999,634100,86.029999
2016-04-28,85.230003,86.860001,85.230003,86.139999,595500,86.139999
2016-04-29,85.559998,86.080002,84.099998,84.949997,873300,84.949997
2016-05-02,84.980003,87.18,84.959999,86.870003,702100,86.870003
2016-05-03,87.150002,89.059998,86.919998,88.879997,1233500,88.879997
2016-05-04,88.5,92.040001,88.029999,90.43,1418300,90.43
2016-05-05,90.199997,91.120003,89.730003,90.730003,701800,90.730003
2016-05-06,90.919998,92.629997,90.57,92.43,787500,92.43
2016-05-09,92.57,93.43,91.989998,93.349998,714400,93.349998
2016-05-10,93.5,94.040001,93.169998,94.040001,1079700,94.040001
2016-05-11,93.949997,93.949997,90.709999,91.779999,890500,91.779999
2016-05-12,91.959999,93.650002,90.889999,93.400002,994300,93.400002
2016-05-13,93.449997,93.879997,92.699997,92.970001,463200,92.970001
2016-05-16,92.900002,93.959999,92.419998,93.57,573800,93.57
2016-05-17,93.0,93.239998,91.330002,92.080002,1043300,92.080002
2016-05-18,91.860001,92.419998,90.18,91.190002,950400,91.190002
2016-05-19,90.389999,90.760002,89.510002,89.75,909200,89.75
2016-05-20,90.190002,91.050003,89.330002,91.029999,1197600,91.029999
2016-05-23,91.239998,91.57,90.57,91.150002,734500,91.150002
2016-05-24,91.339996,92.480003,90.949997,91.970001,921200,91.970001
2016-05-25,92.040001,92.389999,90.82,92.260002,835900,92.260002
2016-05-26,92.239998,93.099998,91.889999,92.639999,786900,92.639999
2016-05-27,92.900002,93.790001,92.349998,92.93,545500,92.93
2016-05-31,93.360001,93.360001,92.099998,92.970001,1324000,92.970001
2016-06-01,92.489998,93.419998,92.260002,93.0,773100,93.0
2016-06-02,92.690002,93.410004,92.290001,93.410004,447600,93.410004
2016-06-03,94.040001,94.809998,93.339996,93.559998,854000,93.559998
