Date,Open_EIX,High_EIX,Low_EIX,Close_EIX,Volume_EIX,AdjClose_EIX
2015-01-08,66.980003,67.379997,66.480003,67.07,2760800,64.719626
2015-01-09,67.089996,67.82,66.580002,67.379997,2727400,65.01876
2015-01-12,66.870003,67.470001,66.330002,66.879997,2069000,64.536282
2015-01-13,67.209999,67.989998,66.139999,66.5,2757100,64.169601
2015-01-14,66.400002,67.57,66.050003,67.519997,1880000,65.153853
2015-01-15,67.519997,68.230003,67.209999,67.849998,2444900,65.47229
2015-01-16,68.0,68.129997,67.400002,68.0,1616700,65.617035
2015-01-20,68.400002,68.43,67.690002,68.169998,1877800,65.781076
2015-01-21,67.900002,68.57,67.459999,68.459999,1964000,66.060914
2015-01-22,68.779999,68.790001,67.849998,68.18,1892300,65.790728
2015-01-23,68.400002,68.690002,68.099998,68.389999,1223700,65.993368
2015-01-26,68.400002,68.480003,67.849998,68.339996,1570300,65.945117
2015-01-27,68.25,68.839996,68.139999,68.370003,1582200,65.974072
2015-01-28,68.410004,69.32,67.510002,67.620003,1841500,65.250355
2015-01-29,67.639999,69.099998,67.480003,69.050003,2957700,66.630243
2015-01-30,68.779999,69.589996,68.059998,68.150002,3136100,65.76178
2015-02-02,68.029999,68.459999,67.089996,68.290001,1722700,65.896874
2015-02-03,67.970001,68.260002,67.480003,67.919998,2191000,65.539837
2015-02-04,67.720001,68.360001,67.379997,67.5,1385000,65.134557
2015-02-05,67.739998,67.970001,67.300003,67.730003,947500,65.3565
2015-02-06,67.400002,67.690002,64.080002,64.370003,2615500,62.114246
2015-02-09,64.589996,65.07,63.889999,64.110001,1714000,61.863356
2015-02-10,64.120003,66.07,64.0,66.0,2525000,63.687123
2015-02-11,65.550003,65.550003,64.489998,64.669998,1981700,62.403729
2015-02-12,64.580002,64.93,64.059998,64.800003,2156400,62.529178
2015-02-13,64.75,64.75,62.41,62.91,2615400,60.705407
2015-02-17,62.93,64.029999,62.310001,63.41,2745400,61.187885
2015-02-18,63.32,65.480003,63.169998,65.330002,2156800,63.040604
2015-02-19,65.440002,65.440002,64.050003,64.389999,1523600,62.133542
2015-02-20,64.470001,64.629997,63.32,64.089996,1743500,61.844052
2015-02-23,64.339996,65.480003,64.220001,65.470001,2353100,63.175697
2015-02-24,65.379997,65.93,65.0,65.639999,1530400,63.339738
2015-02-25,65.639999,65.839996,64.580002,64.889999,1955200,62.61602
2015-02-26,65.099998,65.139999,63.830002,64.099998,2554200,61.853704
2015-02-27,64.209999,64.449997,63.630001,64.25,1417500,61.998449
2015-03-02,64.099998,64.220001,62.700001,63.720001,3107000,61.487023
2015-03-03,63.490002,63.869999,63.139999,63.740002,2190700,61.506323
2015-03-04,63.709999,63.790001,63.18,63.450001,1418900,61.226484
2015-03-05,63.720001,64.339996,63.580002,63.82,1762000,61.583517
2015-03-06,63.060001,63.060001,61.02,61.32,2434100,59.171126
2015-03-09,61.43,62.25,61.200001,61.790001,1809800,59.624657
2015-03-10,61.650002,62.549999,61.439999,62.07,2301200,59.894844
2015-03-11,61.82,62.439999,61.330002,62.0,2691300,59.827297
2015-03-12,62.470001,63.48,62.349998,63.049999,2189500,60.8405
2015-03-13,62.75,62.959999,61.830002,62.830002,2145400,60.628213
2015-03-16,63.240002,64.389999,63.0,64.160004,1969200,61.911606
2015-03-17,63.900002,64.169998,63.470001,63.52,1595300,61.294031
2015-03-18,63.560001,65.989998,63.41,65.489998,2107900,63.194993
2015-03-19,65.300003,65.839996,64.639999,64.809998,2278600,62.538822
2015-03-20,65.400002,65.68,63.720001,64.169998,6584400,61.921251
2015-03-23,64.099998,64.559998,63.93,64.220001,2357300,61.969501
2015-03-24,64.080002,64.43,62.970001,63.130001,2528900,60.917699
2015-03-25,63.330002,63.790001,62.5,62.580002,2151200,60.386973
2015-03-26,62.490002,62.939999,61.650002,62.23,2116100,60.049237
2015-03-27,62.009998,62.790001,61.790001,62.18,1641200,60.405764
2015-03-30,62.540001,63.27,62.330002,63.040001,1454900,61.241225
2015-03-31,62.810001,63.419998,62.130001,62.470001,2559000,60.68749
2015-04-01,62.43,63.18,61.580002,62.93,2125400,61.134363
2015-04-02,62.959999,63.18,62.700001,63.040001,1250900,61.241225
2015-04-06,63.16,64.550003,63.16,64.239998,2033600,62.406982
2015-04-07,64.139999,64.32,63.549999,63.73,2629900,61.911536
2015-04-08,63.700001,63.990002,63.459999,63.709999,2211000,61.892106
2015-04-09,63.619999,63.66,63.09,63.369999,1536400,61.561807
2015-04-10,63.639999,63.990002,63.18,63.790001,1266900,61.969825
2015-04-13,63.57,63.580002,62.700001,62.810001,1430500,61.017789
