Date,Open_SRE,High_SRE,Low_SRE,Close_SRE,Volume_SRE,AdjClose_SRE
2016-02-05,94.980003,95.629997,94.080002,95.059998,1331900,94.362522
2016-02-08,94.870003,95.290001,93.029999,95.099998,1340200,94.40223
2016-02-09,94.75,96.589996,94.010002,95.900002,1309000,95.196363
2016-02-10,95.440002,97.730003,95.349998,97.110001,1711100,96.397484
2016-02-11,96.400002,96.910004,94.040001,94.449997,1466300,93.756997
2016-02-12,94.949997,95.110001,93.239998,93.470001,1819300,92.784192
2016-02-16,94.07,94.769997,93.290001,94.440002,1360100,93.747076
2016-02-17,94.839996,95.68,94.080002,95.5,1133500,94.799296
2016-02-18,95.32,97.389999,95.199997,96.879997,995600,96.169168
2016-02-19,96.660004,97.300003,95.739998,97.25,2143300,96.536456
2016-02-22,97.730003,99.480003,97.669998,98.75,1505900,98.02545
2016-02-23,98.080002,99.239998,97.779999,98.830002,1127300,98.104865
2016-02-24,98.32,99.120003,98.059998,98.900002,1612400,98.174351
2016-02-25,98.889999,99.440002,98.110001,98.910004,1776100,98.18428
2016-02-26,98.07,98.07,95.139999,95.559998,2793600,94.858854
2016-02-29,95.400002,97.620003,95.040001,96.510002,2283100,95.801888
2016-03-01,97.220001,97.349998,96.139999,96.57,1232400,95.861445
2016-03-02,96.059998,97.449997,94.389999,97.43,1761800,96.715136
2016-03-03,97.519997,98.870003,96.360001,98.559998,1093700,97.836842
2016-03-04,98.419998,98.860001,97.309998,97.860001,1105300,97.141981
2016-03-07,97.230003,97.849998,96.260002,97.400002,1829400,96.685357
2016-03-08,97.550003,98.589996,97.040001,98.339996,1311000,97.618455
2016-03-09,98.449997,99.739998,97.93,98.870003,999500,98.144573
2016-03-10,98.75,99.300003,97.150002,98.239998,1170500,97.51919
2016-03-11,98.940002,99.690002,98.769997,99.459999,1356600,98.73024
2016-03-14,99.43,100.32,98.720001,100.07,961100,99.335765
2016-03-15,99.370003,100.389999,99.370003,100.199997,1042600,99.464808
2016-03-16,99.980003,101.0,98.860001,100.620003,1215300,99.881732
2016-03-17,100.809998,103.25,100.489998,103.040001,1219700,102.283975
2016-03-18,103.099998,103.959999,102.290001,103.230003,2379500,102.472583
2016-03-21,103.230003,103.339996,102.230003,102.900002,1363600,102.145002
2016-03-22,101.940002,103.150002,101.639999,102.739998,1498400,102.739998
2016-03-23,102.300003,102.529999,101.389999,101.830002,1438200,101.830002
2016-03-24,101.459999,102.769997,101.029999,102.550003,865500,102.550003
2016-03-28,102.739998,103.440002,102.139999,102.739998,730100,102.739998
2016-03-29,102.879997,104.32,102.330002,104.150002,946400,104.150002
2016-03-30,104.699997,104.699997,103.099998,103.470001,1216900,103.470001
2016-03-31,103.379997,104.339996,103.379997,104.050003,1251500,104.050003
2016-04-01,103.919998,106.050003,103.379997,105.919998,1695000,105.919998
2016-04-04,105.589996,105.620003,104.940002,105.129997,1376800,105.129997
2016-04-05,104.550003,104.639999,102.959999,103.080002,1189200,103.080002
2016-04-06,102.849998,103.32,102.099998,103.199997,1072800,103.199997
2016-04-07,102.730003,103.82,102.379997,103.349998,1159400,103.349998
2016-04-08,103.639999,104.589996,103.639999,104.239998,960000,104.239998
2016-04-11,104.32,104.870003,103.120003,103.32,886000,103.32
2016-04-12,103.529999,104.220001,103.019997,104.089996,900200,104.089996
2016-04-13,104.349998,104.43,103.139999,103.970001,761700,103.970001
2016-04-14,103.959999,104.160004,103.459999,103.910004,898500,103.910004
2016-04-15,103.739998,104.959999,103.739998,104.599998,823200,104.599998
2016-04-18,104.599998,104.599998,103.550003,104.480003,1075000,104.480003
2016-04-19,104.550003,104.919998,103.830002,104.209999,1032800,104.209999
2016-04-20,104.459999,105.459999,102.379997,102.43,1334400,102.43
2016-04-21,102.190002,102.459999,100.470001,100.470001,1176300,100.470001
2016-04-22,100.800003,101.379997,100.400002,101.139999,984800,101.139999
2016-04-25,101.129997,101.389999,100.440002,101.300003,907000,101.300003
2016-04-26,101.650002,102.080002,100.959999,101.199997,896300,101.199997
2016-04-27,101.470001,103.379997,100.559998,102.870003,1019000,102.870003
2016-04-28,102.040001,103.620003,102.040001,103.089996,903600,103.089996
2016-04-29,102.519997,103.43,102.07,103.349998,1363400,103.349998
2016-05-02,103.470001,105.32,102.879997,104.889999,1798700,104.889999
2016-05-03,104.730003,105.309998,104.150002,104.889999,1878900,104.889999
2016-05-04,104.410004,106.910004,103.809998,105.07,1903500,105.07
2016-05-05,104.949997,106.07,104.209999,105.440002,1817600,105.440002
2016-05-06,105.080002,105.209999,103.589996,104.760002,1226600,104.760002
2016-05-09,104.900002,105.089996,104.190002,104.629997,985800,104.629997
2016-05-10,104.93,105.190002,104.279999,104.660004,1000700,104.660004
2016-05-11,104.82,105.57,103.910004,105.349998,1211400,105.349998
2016-05-12,105.379997,105.970001,104.839996,105.370003,985100,105.370003
2016-05-13,105.25,105.419998,104.059998,104.400002,776500,104.400002
2016-05-16,104.489998,105.190002,103.889999,104.610001,1068500,104.610001
2016-05-17,104.18,104.610001,103.129997,103.980003,1414400,103.980003
2016-05-18,103.379997,104.220001,101.730003,102.32,1300600,102.32
2016-05-19,101.790001,103.139999,101.169998,102.980003,1275700,102.980003
2016-05-20,103.349998,103.870003,102.610001,103.629997,2498200,103.629997
2016-05-23,103.879997,103.889999,102.790001,102.830002,900100,102.830002
2016-05-24,103.129997,104.389999,102.029999,104.330002,1271900,104.330002
2016-05-25,104.309998,105.190002,103.610001,104.580002,1076700,104.580002
2016-05-26,104.290001,105.129997,104.260002,104.769997,911200,104.769997
2016-05-27,104.82,105.410004,104.360001,105.349998,613200,105.349998
2016-05-31,105.370003,107.279999,105.339996,107.120003,1947300,107.120003
2016-06-01,106.889999,107.199997,106.169998,106.779999,1535500,106.779999
2016-06-02,106.410004,106.989998,106.160004,106.730003,1180300,106.730003
2016-06-03,107.370003,109.900002,107.370003,109.459999,2041100,109.459999
