Date,Open_DUK,High_DUK,Low_DUK,Close_DUK,Volume_DUK,AdjClose_DUK
2016-01-05,71.18,71.849998,70.18,71.699997,2706800,70.214381
2016-01-06,71.110001,72.18,70.870003,71.860001,2382800,70.37107
2016-01-07,71.050003,71.769997,70.889999,71.199997,2887800,69.724741
2016-01-08,71.190002,71.68,70.910004,71.040001,2198000,69.56806
2016-01-11,71.25,72.050003,71.199997,71.830002,2968900,70.341692
2016-01-12,72.139999,72.260002,70.599998,71.269997,2976200,69.79329
2016-01-13,71.360001,72.349998,71.290001,71.699997,2622700,70.214381
2016-01-14,71.730003,72.830002,71.160004,72.370003,3645200,70.870505
2016-01-15,71.480003,72.300003,71.019997,72.080002,4819000,70.586512
2016-01-19,72.470001,73.360001,72.089996,73.160004,3179800,71.644137
2016-01-20,72.57,72.989998,70.650002,71.419998,3593300,69.940184
2016-01-21,71.699997,72.139999,70.349998,71.089996,4501400,69.61702
2016-01-22,71.580002,72.239998,70.949997,72.18,3161400,70.684439
2016-01-25,72.190002,72.290001,71.519997,71.800003,2398600,70.312315
2016-01-26,72.0,73.199997,71.739998,72.220001,2601300,70.723611
2016-01-27,72.0,72.889999,71.660004,72.410004,2087000,70.909677
2016-01-28,72.169998,73.959999,71.830002,73.470001,2294000,71.947711
2016-01-29,73.989998,75.410004,73.93,75.300003,4822400,73.739796
2016-02-01,75.18,77.68,75.019997,77.0,6727100,75.404569
2016-02-02,76.089996,76.940002,76.029999,76.75,4667000,75.159749
2016-02-03,76.839996,78.720001,76.760002,78.559998,4913300,76.932243
2016-02-04,78.269997,79.029999,77.879997,78.580002,4545900,76.951833
2016-02-05,78.169998,79.220001,77.349998,79.040001,3521900,77.402301
2016-02-08,79.25,80.099998,78.599998,79.169998,5350600,77.529605
2016-02-09,78.75,79.809998,78.239998,78.93,3806500,77.29458
2016-02-10,77.610001,78.559998,76.389999,78.120003,4134400,77.309427
2016-02-11,77.769997,78.309998,76.769997,76.800003,4053600,76.003123
2016-02-12,76.959999,77.309998,75.510002,76.239998,4520400,75.448929
2016-02-16,76.199997,76.489998,75.449997,76.290001,3550200,75.498413
2016-02-17,76.519997,76.580002,75.269997,75.5,4989500,74.716609
2016-02-18,75.040001,76.660004,74.690002,76.209999,6529600,75.419241
2016-02-19,75.93,75.93,74.190002,74.550003,6272100,73.77647
2016-02-22,74.800003,75.209999,74.260002,74.839996,3893700,74.063454
2016-02-23,74.650002,75.169998,74.230003,74.809998,4231900,74.033766
2016-02-24,74.989998,75.440002,74.339996,74.949997,3869500,74.172313
2016-02-25,75.160004,76.449997,74.839996,76.440002,3494100,75.646858
2016-02-26,76.07,76.309998,73.949997,74.029999,4250900,73.261861
2016-02-29,73.959999,74.940002,73.790001,74.279999,3519500,73.509267
2016-03-01,74.660004,74.720001,72.699997,73.349998,6084700,72.588916
2016-03-02,73.349998,73.879997,72.480003,73.629997,12097000,72.86601
2016-03-03,73.760002,74.419998,72.940002,74.330002,4238000,73.558751
2016-03-04,73.980003,75.550003,73.669998,75.169998,3826800,74.390032
2016-03-07,75.0,76.260002,74.82,76.25,3469800,75.458827
2016-03-08,76.32,77.309998,75.900002,77.269997,4691500,76.46824
2016-03-09,77.0,77.830002,76.699997,77.510002,5048700,76.705756
2016-03-10,77.510002,77.879997,76.839996,77.260002,4552800,76.45835
2016-03-11,77.919998,78.150002,77.510002,77.760002,2908900,76.953162
2016-03-14,77.959999,78.040001,77.209999,77.720001,2902300,76.913576
2016-03-15,77.5,78.260002,77.440002,78.050003,3312300,77.240153
2016-03-16,78.199997,79.080002,77.080002,78.949997,3422100,78.130809
2016-03-17,79.050003,80.220001,78.68,79.989998,4042000,79.160019
2016-03-18,80.260002,80.400002,79.419998,79.669998,6526800,78.843339
2016-03-21,79.059998,79.949997,78.550003,79.519997,2940600,78.694894
2016-03-22,79.419998,79.800003,78.839996,78.879997,2862800,78.061536
2016-03-23,78.860001,80.010002,78.43,79.809998,2565700,78.981886
2016-03-24,79.540001,80.110001,79.330002,79.75,2609500,78.922511
2016-03-28,79.75,80.349998,79.309998,79.480003,1745700,78.655316
2016-03-29,79.699997,80.459999,79.059998,80.440002,2771700,79.605354
