Date,Open_TWC,High_TWC,Low_TWC,Close_TWC,Volume_TWC,AdjClose_TWC
2014-07-31,149.940002,150.199997,145.100006,145.100006,2147600,139.912771
2014-08-01,146.149994,147.100006,145.160004,145.880005,1399100,140.664886
2014-08-04,146.009995,147.960007,145.929993,147.279999,1457600,142.014831
2014-08-05,146.610001,146.889999,144.899994,145.389999,1492300,140.192398
2014-08-06,144.669998,145.5,144.080002,144.270004,1508800,139.112442
2014-08-07,144.690002,145.139999,142.899994,143.139999,1580500,138.022834
2014-08-08,143.529999,145.720001,143.139999,145.710007,1636200,140.500965
2014-08-11,145.960007,147.399994,145.490005,145.990005,1319300,140.770954
2014-08-12,146.009995,147.070007,145.440002,145.869995,1092000,140.655234
2014-08-13,146.259995,147.740005,146.259995,146.529999,1387600,141.291643
2014-08-14,146.940002,148.029999,146.630005,148.020004,1144300,142.728382
2014-08-15,148.639999,149.0,147.080002,148.309998,1677000,143.008008
2014-08-18,148.800003,149.139999,147.630005,148.429993,2012800,143.123713
2014-08-19,148.399994,148.759995,147.389999,147.919998,1054800,142.631951
2014-08-20,147.240005,148.490005,147.149994,148.0,1161700,142.709092
2014-08-21,147.990005,148.490005,147.320007,147.520004,1536300,142.246256
2014-08-22,147.559998,147.559998,146.199997,146.449997,1145900,141.214501
2014-08-25,147.649994,148.360001,147.0,147.970001,1722400,142.680166
2014-08-26,148.429993,148.429993,147.100006,147.339996,1968800,142.072683
2014-08-27,147.020004,147.940002,146.759995,147.110001,954800,142.576665
2014-08-28,146.809998,147.550003,146.309998,147.139999,857000,142.605739
2014-08-29,147.309998,147.929993,146.610001,147.929993,874000,143.371388
2014-09-02,148.190002,148.279999,146.300003,147.330002,1585900,142.789887
2014-09-03,147.889999,148.220001,147.020004,147.509995,873500,142.964333
2014-09-04,147.550003,148.729996,147.179993,147.380005,1316200,142.838349
2014-09-05,147.490005,150.240005,147.25,150.199997,1754400,145.57144
2014-09-08,149.660004,151.089996,149.059998,150.75,1695600,146.104494
2014-09-09,150.259995,153.0,150.119995,152.619995,3030600,147.916864
2014-09-10,152.649994,153.729996,152.179993,153.509995,1485500,148.779437
2014-09-11,152.589996,154.369995,152.520004,154.240005,1765400,149.486952
2014-09-12,154.0,154.669998,153.309998,154.309998,1324800,149.554787
2014-09-15,154.399994,155.320007,153.630005,154.0,2394400,149.254342
2014-09-16,154.059998,154.729996,153.240005,154.660004,1042400,149.894007
2014-09-17,154.669998,155.210007,153.690002,154.619995,941600,149.855232
2014-09-18,154.720001,155.039993,153.220001,153.509995,3260700,148.779437
2014-09-19,154.369995,154.75,152.539993,153.160004,2422700,148.440231
2014-09-22,152.419998,152.520004,149.380005,150.610001,2570900,145.968809
2014-09-23,150.479996,150.679993,147.800003,147.860001,2149700,143.303553
2014-09-24,147.860001,148.270004,145.550003,147.070007,3205300,142.537904
2014-09-25,146.639999,147.100006,143.979996,144.25,2427300,139.804798
2014-09-26,144.470001,145.270004,143.589996,145.089996,1483700,140.618909
2014-09-29,143.960007,145.720001,143.610001,144.970001,1625400,140.502612
2014-09-30,144.740005,145.649994,143.240005,143.490005,2700000,139.068223
2014-10-01,144.0,144.009995,140.800003,141.899994,1954300,137.52721
2014-10-02,141.759995,141.830002,138.320007,141.460007,1618700,137.100781
2014-10-03,141.910004,145.279999,141.910004,144.509995,2002100,140.05678
2014-10-06,144.660004,145.179993,143.0,143.619995,1405300,139.194207
2014-10-07,142.679993,143.830002,141.600006,142.759995,1365800,138.360708
2014-10-08,142.75,147.570007,142.5,147.279999,2852200,142.741424
2014-10-09,146.550003,146.860001,142.479996,142.479996,2973200,138.089338
2014-10-10,143.330002,143.899994,141.039993,141.210007,2768300,136.858485
2014-10-13,141.210007,142.029999,138.119995,138.210007,3927500,133.950933
2014-10-14,139.089996,140.330002,137.279999,137.539993,2071800,133.301566
2014-10-15,134.779999,137.089996,128.779999,136.139999,8466100,131.944715
2014-10-16,133.990005,133.990005,131.240005,131.880005,5432600,127.815996
2014-10-17,133.119995,137.25,132.669998,135.350006,4075900,131.179066
2014-10-20,135.179993,137.050003,133.660004,136.800003,1735700,132.58438
2014-10-21,138.059998,140.649994,137.440002,139.429993,2087800,135.133324
2014-10-22,139.179993,140.050003,135.889999,136.050003,3633900,131.857492
2014-10-23,138.740005,141.259995,137.300003,140.929993,2984900,136.5871
2014-10-24,141.160004,144.600006,140.839996,142.979996,2957000,138.57393
2014-10-27,143.059998,143.889999,140.429993,140.600006,3359200,136.267282
2014-10-28,141.050003,143.020004,141.050003,142.589996,2867900,138.195949
2014-10-29,142.399994,144.639999,142.389999,143.75,1438600,139.320206
2014-10-30,143.029999,143.860001,142.009995,142.880005,1666600,138.477021
2014-10-31,145.410004,147.210007,144.679993,147.210007,3016900,142.673589
2014-11-03,149.419998,149.729996,146.970001,149.020004,2263000,144.42781
2014-11-04,148.380005,148.479996,144.850006,144.869995,2156400,140.405687
2014-11-05,146.309998,146.639999,144.449997,146.160004,1085700,141.655943
2014-11-06,145.940002,147.130005,144.759995,146.380005,1835100,141.869165
2014-11-07,146.210007,146.210007,142.080002,143.600006,7469200,139.174834
2014-11-10,143.639999,144.0,133.259995,136.5,11431100,132.293622
2014-11-11,136.5,136.649994,131.0,134.779999,10584000,130.626624
2014-11-12,135.369995,138.789993,134.809998,136.479996,5863900,132.274234
2014-11-13,138.669998,141.660004,137.5,141.050003,6931400,136.703412
2014-11-14,140.600006,141.190002,139.539993,140.009995,2992900,135.695452
2014-11-17,139.300003,141.940002,139.240005,141.770004,3867200,137.401226
2014-11-18,141.419998,142.899994,140.600006,142.589996,2794300,138.195949
2014-11-19,142.380005,143.789993,141.570007,143.610001,3275800,139.184521
2014-11-20,142.360001,143.710007,141.910004,143.710007,1905000,139.281445
2014-11-21,145.809998,145.809998,142.520004,142.520004,2277500,138.128114
2014-11-24,142.839996,146.25,142.839996,146.240005,2719900,141.733479
2014-11-25,145.619995,149.899994,145.619995,149.589996,2971000,145.727607
2014-11-26,149.309998,149.75,148.800003,149.529999,854000,145.669158
2014-11-28,149.889999,150.0,148.720001,149.279999,1160600,145.425613
2014-12-01,149.020004,149.100006,147.800003,148.220001,1096900,144.392985
2014-12-02,148.580002,149.490005,147.860001,149.289993,4353600,145.43535
2014-12-03,148.990005,149.589996,148.020004,149.490005,1667000,145.630198
2014-12-04,149.5,149.5,147.190002,147.949997,1686800,144.129952
2014-12-05,147.679993,149.070007,147.149994,147.529999,1367400,143.720798
2014-12-08,147.210007,148.770004,146.75,147.289993,1281800,143.48699
2014-12-09,146.990005,147.350006,145.699997,146.75,1040400,142.960939
2014-12-10,146.429993,147.119995,145.199997,145.199997,1270300,141.450957
2014-12-11,145.589996,148.25,145.300003,147.149994,1171900,143.350605
2014-12-12,144.820007,147.509995,144.710007,145.119995,1689900,141.37302
2014-12-15,145.610001,146.270004,143.5,144.080002,678400,140.35988
2014-12-16,143.580002,146.289993,143.029999,143.100006,1325500,139.405187
2014-12-17,143.479996,144.800003,142.75,144.039993,1367600,140.320904
2014-12-18,143.979996,146.630005,143.080002,146.350006,2272100,142.571273
2014-12-19,145.850006,149.899994,145.850006,149.309998,2676400,145.454838
2014-12-22,148.679993,151.119995,148.669998,150.070007,4683500,146.195224
2014-12-23,150.580002,152.820007,150.210007,150.979996,1759400,147.081717
2014-12-24,151.309998,151.570007,150.789993,151.149994,763700,147.247326
2014-12-26,151.509995,153.320007,150.770004,152.830002,1107900,148.883956
2014-12-29,152.460007,154.949997,151.839996,154.529999,1009200,150.540059
2014-12-30,154.110001,155.910004,153.25,154.669998,1222300,150.676444
2014-12-31,155.449997,155.949997,151.949997,152.059998,1222100,148.133833
