Date,Open_VFC,High_VFC,Low_VFC,Close_VFC,Volume_VFC,AdjClose_VFC
2014-06-20,62.330002,62.43,61.990002,62.150002,2701300,59.778178
2014-06-23,62.279999,62.709999,62.009998,62.650002,1545900,60.259097
2014-06-24,62.509998,62.970001,62.189999,62.240002,1049800,59.864744
2014-06-25,62.049999,62.98,62.049999,62.84,1125000,60.441844
2014-06-26,62.830002,62.889999,62.139999,62.43,1229000,60.047491
2014-06-27,62.380001,62.91,62.18,62.720001,1203000,60.326425
2014-06-30,62.740002,63.099998,62.540001,63.0,1569200,60.595738
2014-07-01,63.029999,63.639999,62.970001,63.369999,1152500,60.951617
2014-07-02,63.220001,63.459999,62.900002,63.049999,1358900,60.643829
2014-07-03,63.07,63.549999,63.049999,63.369999,795700,60.951617
2014-07-07,62.950001,63.400002,62.880001,63.09,873200,60.682304
2014-07-08,62.98,63.040001,62.360001,62.59,1135100,60.201385
2014-07-09,62.700001,63.349998,62.599998,63.119999,2021500,60.711158
2014-07-10,62.639999,63.209999,62.25,62.830002,1705000,60.432228
2014-07-11,62.799999,62.93,62.09,62.200001,2419100,59.826269
2014-07-14,62.5,63.279999,62.349998,62.610001,1678300,60.220622
2014-07-15,62.380001,62.740002,62.150002,62.610001,1423300,60.220622
2014-07-16,62.779999,63.060001,62.150002,62.669998,2028400,60.27833
2014-07-17,62.369999,62.709999,61.599998,61.599998,2643300,59.249165
2014-07-18,61.689999,61.889999,60.119999,60.950001,3551900,58.623973
2014-07-21,60.900002,61.0,60.630001,60.740002,1699000,58.421988
2014-07-22,60.830002,60.950001,60.439999,60.66,1702500,58.345039
2014-07-23,60.740002,61.299999,60.630001,61.189999,1785200,58.854812
2014-07-24,61.400002,62.869999,61.400002,62.490002,2774300,60.105203
2014-07-25,62.259998,62.650002,61.669998,61.810001,1076000,59.451153
2014-07-28,61.82,62.080002,61.540001,61.950001,1084900,59.58581
2014-07-29,62.0,62.25,61.470001,61.490002,795700,59.143366
2014-07-30,61.68,62.470001,61.52,62.43,1877800,60.047491
2014-07-31,62.049999,62.259998,61.220001,61.27,1751300,58.93176
2014-08-01,60.77,61.5,60.540001,60.66,1391100,58.345039
2014-08-04,60.59,61.490002,59.82,61.279999,1948700,58.941377
2014-08-05,61.080002,61.540001,60.59,61.080002,1479000,58.749013
2014-08-06,60.799999,61.82,60.619999,61.73,1296000,59.374205
2014-08-07,62.0,62.189999,61.490002,61.740002,1404900,59.383825
2014-08-08,61.849998,62.529999,61.470001,62.490002,778200,60.105203
2014-08-11,62.669998,62.849998,62.490002,62.619999,945100,60.230239
2014-08-12,62.68,62.880001,62.049999,62.130001,963300,59.758941
2014-08-13,62.16,62.279999,61.549999,61.650002,1668300,59.297259
2014-08-14,61.93,62.009998,61.560001,61.939999,958500,59.576189
2014-08-15,62.189999,62.41,61.110001,61.509998,1308900,59.162599
2014-08-18,62.060001,62.529999,61.830002,62.380001,1045300,59.9994
2014-08-19,62.689999,62.900002,62.470001,62.75,1074400,60.355279
2014-08-20,62.700001,63.619999,62.509998,63.419998,1476100,60.999708
2014-08-21,63.540001,63.740002,63.259998,63.52,1495900,61.095894
2014-08-22,63.5,64.099998,63.34,63.869999,1520800,61.432535
2014-08-25,64.139999,64.43,63.939999,64.309998,1216200,61.855742
2014-08-26,64.510002,64.739998,64.230003,64.309998,910800,61.855742
2014-08-27,64.449997,64.660004,63.939999,64.309998,983100,61.855742
2014-08-28,63.900002,64.07,63.48,63.82,814900,61.384444
2014-08-29,63.830002,64.129997,63.549999,64.120003,1100400,61.672998
2014-09-02,64.139999,64.68,63.959999,64.610001,1097500,62.144296
2014-09-03,64.720001,64.870003,64.300003,64.510002,1151800,62.048114
2014-09-04,64.889999,65.599998,64.860001,65.360001,1214800,62.865674
2014-09-05,64.970001,65.360001,64.379997,65.32,1599200,63.081032
2014-09-08,65.32,65.809998,64.879997,65.330002,1021100,63.090692
2014-09-09,65.349998,65.449997,64.669998,64.730003,825700,62.511259
2014-09-10,64.790001,64.919998,64.190002,64.830002,1187800,62.60783
2014-09-11,64.769997,65.18,64.5,64.660004,1369400,62.443659
2014-09-12,64.900002,66.089996,64.790001,65.860001,2560900,63.602524
