Date,Open_SNI,High_SNI,Low_SNI,Close_SNI,Volume_SNI,AdjClose_SNI
2014-06-18,79.720001,80.75,79.32,80.699997,870600,78.447141
2014-06-19,80.68,82.169998,80.459999,82.059998,1374700,79.769175
2014-06-20,82.040001,82.370003,81.019997,82.040001,1695600,79.749737
2014-06-23,81.879997,82.220001,81.279999,81.660004,969500,79.380348
2014-06-24,81.339996,81.809998,80.360001,80.379997,1034400,78.136075
2014-06-25,80.220001,81.32,79.919998,80.730003,563400,78.47631
2014-06-26,80.779999,81.099998,79.849998,80.839996,443900,78.583232
2014-06-27,80.529999,80.809998,79.940002,80.370003,586300,78.126359
2014-06-30,80.410004,81.209999,80.239998,81.139999,527400,78.87486
2014-07-01,81.339996,81.839996,80.760002,81.510002,439900,79.234534
2014-07-02,81.349998,81.790001,81.099998,81.190002,521200,78.923467
2014-07-03,81.269997,81.709999,81.239998,81.559998,445200,79.283133
2014-07-07,81.110001,81.440002,80.709999,80.879997,357400,78.622116
2014-07-08,80.800003,80.809998,79.989998,80.269997,442700,78.029145
2014-07-09,80.660004,80.970001,80.190002,80.849998,641600,78.592955
2014-07-10,80.160004,81.160004,80.139999,80.760002,558900,78.505471
2014-07-11,80.860001,82.0,80.550003,81.550003,896000,79.273418
2014-07-14,81.82,81.82,80.919998,80.93,632500,78.670724
2014-07-15,80.82,81.07,80.330002,80.889999,601600,78.631839
2014-07-16,81.860001,85.099998,81.650002,84.779999,2191500,82.413244
2014-07-17,84.25,86.480003,84.209999,85.550003,1787100,83.161752
2014-07-18,85.779999,85.779999,84.459999,84.900002,1118900,82.529896
2014-07-21,84.559998,85.080002,83.589996,83.610001,699000,81.275908
2014-07-22,84.059998,84.209999,83.110001,83.230003,854200,80.906519
2014-07-23,83.309998,83.330002,82.43,83.099998,963400,80.780143
2014-07-24,82.82,83.519997,82.75,83.169998,514600,80.848189
2014-07-25,82.980003,83.68,82.699997,83.650002,749700,81.314792
2014-07-28,83.610001,84.25,83.360001,83.400002,539800,81.071771
