Date,Open_COF,High_COF,Low_COF,Close_COF,Volume_COF,AdjClose_COF
2014-01-10,77.980003,78.239998,77.400002,78.019997,2324500,74.461564
2014-01-13,77.620003,77.910004,76.139999,76.370003,2639600,72.886825
2014-01-14,77.279999,77.720001,76.82,77.360001,2530900,73.83167
2014-01-15,77.25,77.519997,76.809998,77.029999,3054300,73.516719
2014-01-16,77.099998,77.230003,76.309998,76.440002,3130300,72.953632
2014-01-17,73.879997,73.910004,72.290001,72.389999,10411300,69.088347
2014-01-21,72.800003,73.139999,72.410004,72.610001,6158300,69.298314
2014-01-22,72.690002,72.970001,72.459999,72.650002,4125300,69.33649
2014-01-23,72.360001,72.360001,71.059998,71.540001,4323900,68.277116
2014-01-24,71.239998,71.779999,70.57,70.57,3768800,67.351356
2014-01-27,70.550003,70.75,69.720001,69.949997,3277800,66.759631
2014-01-28,69.970001,71.110001,69.93,70.870003,2293300,67.637676
2014-01-29,70.080002,70.919998,69.779999,69.870003,2906200,66.683285
2014-01-30,70.610001,71.309998,70.290001,70.959999,2205800,67.723568
2014-01-31,69.940002,70.989998,69.720001,70.610001,3228800,67.389532
2014-02-03,70.519997,70.610001,68.589996,68.870003,3856900,65.728895
2014-02-04,69.120003,69.660004,68.360001,68.720001,3110800,65.585734
2014-02-05,68.610001,68.839996,67.860001,68.660004,2667900,65.528473
2014-02-06,68.660004,69.980003,68.559998,69.919998,2295900,67.023851
2014-02-07,70.120003,71.419998,70.120003,71.400002,3471600,68.442551
2014-02-10,71.400002,71.970001,70.910004,71.370003,2091900,68.413795
2014-02-11,71.32,71.879997,71.040001,71.260002,3026200,68.30835
2014-02-12,71.400002,72.099998,71.279999,71.660004,2378700,68.691783
2014-02-13,70.809998,72.419998,70.809998,72.370003,2839800,69.372374
2014-02-14,72.199997,72.540001,72.080002,72.400002,1587100,69.40113
2014-02-18,72.68,73.099998,72.230003,72.419998,1850100,69.420298
2014-02-19,72.139999,72.589996,70.900002,70.949997,2275300,68.011186
2014-02-20,70.889999,70.989998,70.209999,70.839996,2789400,67.905742
2014-02-21,70.839996,71.540001,70.580002,70.970001,2969900,68.030362
2014-02-24,70.970001,72.099998,70.970001,71.730003,2823400,68.758884
2014-02-25,71.809998,71.860001,70.720001,71.040001,3350700,68.097462
2014-02-26,71.18,71.620003,70.790001,71.330002,2298700,68.375451
2014-02-27,71.360001,72.730003,71.220001,72.620003,2609400,69.612019
2014-02-28,72.830002,74.07,72.82,73.43,2753900,70.388465
2014-03-03,72.690002,72.809998,71.970001,72.239998,2040100,69.247754
2014-03-04,73.080002,73.790001,72.639999,73.669998,2573000,70.618522
2014-03-05,73.650002,74.599998,73.309998,74.360001,2438900,71.279944
2014-03-06,74.510002,75.230003,74.260002,75.029999,2879600,71.92219
2014-03-07,75.330002,75.860001,74.730003,75.010002,2487000,71.903022
2014-03-10,74.760002,75.290001,74.480003,75.150002,1939100,72.037223
2014-03-11,75.519997,75.519997,74.160004,74.360001,2075200,71.279944
2014-03-12,73.870003,74.360001,73.739998,74.190002,1936400,71.116987
2014-03-13,74.639999,74.769997,72.540001,72.730003,2876700,69.717463
2014-03-14,72.529999,73.309998,72.059998,72.190002,2321200,69.199829
2014-03-17,73.910004,73.949997,72.839996,73.830002,1911100,70.771898
2014-03-18,73.970001,74.029999,73.339996,73.550003,1796900,70.503497
2014-03-19,73.639999,74.25,72.830002,73.110001,2864800,70.08172
2014-03-20,72.879997,74.349998,72.830002,74.279999,2724800,71.203256
2014-03-21,75.139999,76.93,74.690002,75.400002,6870100,72.276867
2014-03-24,75.510002,75.860001,74.879997,75.199997,2245600,72.085147
