Date,Open_MUR,High_MUR,Low_MUR,Close_MUR,Volume_MUR,AdjClose_MUR
2013-12-11,64.190002,64.260002,63.200001,63.450001,1502800,57.822621
2013-12-12,63.549999,63.810001,62.880001,63.150002,1128100,57.549229
2013-12-13,63.029999,63.529999,62.48,63.009998,1011500,57.421643
2013-12-16,63.16,63.720001,62.849998,63.299999,1057300,57.685923
2013-12-17,63.080002,63.349998,62.490002,63.110001,1444800,57.512776
2013-12-18,63.18,64.209999,62.830002,63.900002,1211500,58.232711
2013-12-19,63.830002,64.669998,63.470001,64.410004,1141500,58.697482
2013-12-20,64.519997,64.800003,63.549999,63.59,2282200,57.950204
2013-12-23,63.990002,64.300003,63.599998,63.669998,888900,58.023107
2013-12-24,63.740002,64.040001,63.689999,63.720001,291300,58.068675
2013-12-26,63.959999,64.309998,63.639999,64.120003,691900,58.433201
2013-12-27,64.410004,64.559998,63.900002,64.419998,408700,58.70659
2013-12-30,64.589996,64.650002,63.740002,64.139999,600400,58.451424
2013-12-31,64.120003,64.940002,64.010002,64.879997,868300,59.125791
2014-01-02,64.559998,64.760002,63.290001,63.700001,936800,58.050449
2014-01-03,63.630001,63.98,62.900002,63.299999,928500,57.685923
2014-01-06,63.169998,63.259998,62.490002,62.77,1617000,57.20293
2014-01-07,63.02,63.720001,62.73,63.400002,1175000,57.777056
2014-01-08,63.400002,63.709999,62.57,62.889999,1676000,57.312286
2014-01-09,62.91,63.490002,62.689999,63.389999,1420800,57.767941
2014-01-10,63.57,63.619999,62.330002,62.950001,1162800,57.366966
2014-01-13,62.77,63.220001,62.259998,62.34,1865700,56.811067
2014-01-14,62.43,62.810001,61.900002,62.700001,1763200,57.139139
2014-01-15,62.639999,63.200001,62.41,62.939999,1312600,57.357851
2014-01-16,62.790001,63.150002,62.389999,62.529999,899300,56.984214
2014-01-17,62.880001,63.400002,62.599998,62.77,1451500,57.20293
2014-01-21,63.110001,63.279999,62.32,62.93,1201100,57.34874
2014-01-22,63.220001,63.77,63.080002,63.349998,1108600,57.731488
2014-01-23,63.0,63.240002,62.02,62.509998,1509100,56.965988
2014-01-24,61.959999,62.02,60.5,60.5,1383500,55.134256
2014-01-27,60.57,60.869999,59.57,60.290001,1186700,54.942882
2014-01-28,60.189999,61.330002,60.189999,61.169998,1177900,55.744832
2014-01-29,60.950001,61.220001,60.040001,60.470001,2300400,55.106918
2014-01-30,58.939999,60.049999,55.889999,57.439999,3459400,52.345646
2014-01-31,56.459999,57.650002,56.049999,56.610001,2595800,51.589261
2014-02-03,56.25,56.369999,55.299999,55.369999,2774800,50.459235
2014-02-04,55.580002,56.259998,55.380001,55.68,1833200,50.741742
2014-02-05,55.639999,55.73,54.669998,54.740002,2083400,49.885112
2014-02-06,55.200001,55.970001,55.119999,55.869999,3910900,50.91489
2014-02-07,56.299999,58.279999,55.869999,57.93,5908000,52.79219
2014-02-10,58.0,58.0,56.91,56.93,2638400,51.88088
2014-02-11,57.099998,57.990002,56.880001,57.169998,1926900,52.099592
2014-02-12,57.310001,57.68,56.23,56.279999,2181700,51.288527
2014-02-13,55.560001,57.470001,55.310001,57.220001,2986300,52.436785
2014-02-14,57.189999,60.419998,57.169998,60.060001,5243900,55.03938
2014-02-18,60.110001,60.330002,58.529999,58.59,2279400,53.692261
2014-02-19,58.279999,59.049999,57.540001,57.59,2374300,52.775855
2014-02-20,57.52,58.299999,57.5,58.110001,1481000,53.252386
2014-02-21,58.040001,58.279999,57.470001,57.669998,1592600,52.849165
2014-02-24,58.099998,59.43,57.970001,59.130001,2232600,54.187122
2014-02-25,59.110001,59.790001,58.619999,59.080002,1254700,54.141302
2014-02-26,59.009998,59.529999,58.91,59.25,1554000,54.297089
2014-02-27,59.209999,59.43,58.830002,59.310001,1140500,54.352075
2014-02-28,59.259998,60.139999,58.830002,59.369999,1495100,54.407057
2014-03-03,59.23,60.18,59.07,59.209999,1246300,54.260432
2014-03-04,59.540001,59.779999,59.0,59.439999,1084200,54.471205
2014-03-05,59.459999,60.110001,59.330002,59.490002,1681400,54.517028
2014-03-06,59.509998,60.139999,59.48,59.889999,983200,54.883589
2014-03-07,60.169998,60.290001,59.599998,59.869999,1045600,54.86526
2014-03-10,59.869999,60.189999,59.27,59.689999,1405200,54.700307
2014-03-11,59.779999,60.310001,59.060001,59.330002,1575300,54.370404
2014-03-12,59.0,59.91,58.990002,59.5,1328800,54.526191
2014-03-13,59.650002,59.860001,58.860001,59.02,1493900,54.086316
2014-03-14,59.0,60.310001,59.0,60.259998,1934100,55.222658
2014-03-17,61.299999,61.310001,59.619999,60.060001,1281200,55.03938
2014-03-18,60.080002,60.610001,59.939999,60.360001,936600,55.314301
2014-03-19,60.259998,60.5,59.57,59.91,1010900,54.901918
2014-03-20,59.610001,60.84,59.509998,60.709999,1469700,55.635042
2014-03-21,61.27,61.639999,60.91,61.439999,2492400,56.304019
2014-03-24,62.150002,62.57,61.77,61.810001,2182600,56.643091
