Date,Open_MA,High_MA,Low_MA,Close_MA,Volume_MA,AdjClose_MA
2014-02-24,75.57,76.970001,75.559998,75.959999,7942200,74.783076
2014-02-25,76.0,76.970001,75.519997,76.739998,7435800,75.550989
2014-02-26,76.830002,77.410004,76.610001,77.360001,7437200,76.161386
2014-02-27,77.339996,78.010002,77.0,77.760002,4931400,76.55519
2014-02-28,78.199997,78.669998,76.949997,77.720001,5916500,76.515808
2014-03-03,76.529999,77.089996,75.650002,76.730003,6154600,75.54115
2014-03-04,77.809998,78.800003,77.410004,78.5,5302700,77.283722
2014-03-05,78.669998,78.879997,77.830002,78.199997,4230200,76.988367
2014-03-06,78.400002,78.709999,77.57,77.629997,4593400,76.427199
2014-03-07,78.07,78.25,77.519997,77.940002,4133600,76.732401
2014-03-10,77.800003,77.940002,77.269997,77.389999,3314700,76.19092
2014-03-11,77.489998,78.449997,76.889999,77.900002,4834400,76.69302
2014-03-12,77.220001,78.339996,76.800003,78.339996,4739700,77.126197
2014-03-13,78.379997,78.769997,76.540001,76.620003,6521400,75.432853
2014-03-14,76.510002,77.220001,76.230003,76.339996,4856900,75.157185
2014-03-17,76.75,77.839996,76.739998,77.830002,3910900,76.624105
2014-03-18,78.099998,78.980003,77.540001,78.919998,4523500,77.697213
2014-03-19,78.940002,79.599998,77.919998,78.309998,5929300,77.096663
2014-03-20,78.209999,78.650002,77.610001,78.410004,5197800,77.19512
2014-03-21,79.339996,79.830002,75.900002,75.989998,15077700,74.81261
2014-03-24,76.480003,77.709999,75.870003,77.389999,8816800,76.19092
2014-03-25,77.580002,77.769997,75.230003,75.279999,7128300,74.113611
2014-03-26,75.809998,76.169998,73.68,73.709999,7611000,72.567937
2014-03-27,73.540001,73.620003,72.349998,73.339996,7690100,72.203667
2014-03-28,73.389999,73.790001,72.440002,73.220001,5245000,72.085531
2014-03-31,73.860001,74.870003,73.5,74.699997,5843600,73.542596
2014-04-01,75.25,75.339996,74.379997,74.809998,4105600,73.650892
2014-04-02,74.889999,75.349998,74.529999,74.699997,4271600,73.542596
2014-04-03,75.040001,75.550003,74.239998,74.529999,4133300,73.375232
2014-04-04,75.400002,75.489998,71.709999,72.18,8287100,71.061644
2014-04-07,71.660004,71.959999,70.43,71.330002,9699100,70.331998
2014-04-08,71.220001,71.940002,71.0,71.519997,6280200,70.519335
2014-04-09,71.93,73.669998,71.610001,73.559998,6984700,72.530793
2014-04-10,73.669998,74.32,70.949997,71.169998,8982800,70.174233
2014-04-11,70.050003,70.379997,68.68,68.68,11610500,67.719074
2014-04-14,69.790001,71.970001,69.599998,71.18,10893900,70.184096
2014-04-15,72.300003,72.739998,70.480003,72.150002,7009600,71.140525
2014-04-16,72.879997,73.949997,72.5,73.93,7002300,72.895619
2014-04-17,74.07,74.82,73.610001,74.129997,5552300,73.092818
2014-04-21,74.25,74.629997,73.830002,74.309998,5991600,73.2703
2014-04-22,74.470001,74.769997,73.849998,74.529999,5049800,73.487223
2014-04-23,74.330002,74.5,73.059998,73.360001,5056400,72.333595
2014-04-24,73.709999,74.720001,73.330002,74.349998,5191700,73.309741
2014-04-25,72.209999,73.0,70.599998,70.660004,9657700,69.671374
2014-04-28,70.800003,72.160004,70.220001,71.239998,8649400,70.243254
2014-04-29,71.489998,72.610001,71.330002,72.029999,6030500,71.022201
2014-04-30,72.339996,73.629997,71.540001,73.550003,6552600,72.520939
2014-05-01,75.57,76.709999,74.050003,74.220001,9752000,73.181563
2014-05-02,74.199997,74.5,72.519997,73.779999,5977100,72.747717
2014-05-05,73.209999,74.860001,72.949997,74.82,4776900,73.773166
2014-05-06,74.339996,74.470001,73.75,73.809998,4290100,72.777296
2014-05-07,73.93,74.370003,73.050003,73.870003,4411900,72.836461
2014-05-08,73.870003,75.470001,73.5,74.239998,4628200,73.20128
2014-05-09,74.010002,74.440002,73.519997,74.379997,2975600,73.33932
2014-05-12,74.690002,75.220001,74.5,75.019997,2975200,73.970365
2014-05-13,75.190002,75.43,74.449997,74.830002,3268500,73.783029
2014-05-14,74.660004,75.019997,73.959999,74.099998,2595900,73.063239
2014-05-15,74.0,74.239998,72.879997,73.080002,4301600,72.057514
2014-05-16,73.029999,73.860001,72.559998,73.75,3703800,72.718138
2014-05-19,73.470001,74.379997,73.410004,73.860001,3428800,72.826599
2014-05-20,73.82,74.489998,73.510002,73.650002,3764700,72.619538
2014-05-21,74.199997,75.639999,74.169998,75.629997,4365800,74.571831
2014-05-22,75.809998,76.220001,75.099998,75.75,4625400,74.690155
2014-05-23,76.0,76.669998,75.82,76.449997,3376100,75.380358
2014-05-27,76.879997,77.889999,76.720001,77.029999,5598000,75.952245
2014-05-28,77.110001,77.25,76.720001,76.93,2733300,75.853645
2014-05-29,77.050003,77.230003,76.510002,76.790001,3375600,75.715605
2014-05-30,76.800003,77.029999,76.349998,76.449997,5003500,75.380358
2014-06-02,76.769997,77.209999,76.230003,77.050003,3046400,75.971969
2014-06-03,76.760002,77.0,76.239998,76.349998,2619100,75.281758
