Date,Open_GPC,High_GPC,Low_GPC,Close_GPC,Volume_GPC,AdjClose_GPC
2014-04-28,86.059998,86.730003,85.0,86.540001,817300,81.456634
2014-04-29,86.75,86.910004,86.089996,86.139999,475000,81.080129
2014-04-30,86.139999,87.18,85.769997,87.120003,924100,82.002567
2014-05-01,87.080002,87.5,85.629997,85.839996,761900,80.797748
2014-05-02,85.660004,86.620003,85.260002,85.57,1039800,80.543611
2014-05-05,85.290001,85.360001,84.489998,84.730003,892900,79.752956
2014-05-06,84.550003,84.879997,83.959999,84.269997,726400,79.31997
2014-05-07,84.529999,84.830002,83.839996,84.760002,717700,79.781193
2014-05-08,84.779999,85.68,84.620003,85.0,551700,80.007093
2014-05-09,84.959999,85.139999,84.32,85.139999,528200,80.138869
2014-05-12,85.360001,86.190002,85.169998,86.150002,419800,81.089544
2014-05-13,86.190002,86.43,85.620003,85.839996,429900,80.797748
2014-05-14,85.879997,85.879997,85.199997,85.300003,345900,80.289474
2014-05-15,85.0,85.160004,83.959999,84.540001,545900,79.574115
2014-05-16,84.580002,85.349998,84.279999,85.309998,452700,80.298882
2014-05-19,84.910004,85.150002,84.629997,84.900002,676600,79.912969
2014-05-20,84.699997,84.699997,83.43,83.730003,568400,78.811696
2014-05-21,84.160004,84.860001,84.129997,84.779999,450900,79.800015
2014-05-22,84.870003,85.5,84.690002,85.040001,284600,80.044745
2014-05-23,85.050003,85.519997,84.919998,85.389999,281300,80.374184
2014-05-27,85.709999,86.18,85.43,85.809998,407300,80.769511
2014-05-28,85.860001,86.370003,85.410004,86.160004,291900,81.098958
2014-05-29,86.269997,86.269997,85.5,85.760002,448200,80.722453
2014-05-30,85.709999,86.370003,85.519997,86.330002,449700,81.258971
2014-06-02,86.370003,86.980003,85.93,86.779999,504900,81.682535
2014-06-03,86.190002,86.440002,85.080002,85.610001,1209400,80.581262
2014-06-04,84.949997,85.519997,84.809998,85.5,666800,81.02191
2014-06-05,85.699997,86.190002,85.050003,85.970001,524700,81.467295
2014-06-06,86.059998,86.839996,85.839996,86.75,406000,82.206441
2014-06-09,86.650002,87.269997,86.5,86.809998,319400,82.263296
2014-06-10,86.589996,86.760002,86.019997,86.169998,392100,81.656817
2014-06-11,85.75,85.970001,85.050003,85.559998,555400,81.078766
2014-06-12,85.489998,85.489998,84.980003,85.089996,431300,80.633381
2014-06-13,85.169998,85.599998,84.919998,85.099998,329600,80.642859
2014-06-16,84.980003,85.559998,84.949997,85.459999,505700,80.984005
2014-06-17,85.139999,86.209999,85.010002,86.010002,379500,81.505201
2014-06-18,86.139999,86.900002,85.830002,86.860001,369900,82.310681
2014-06-19,87.029999,87.339996,86.370003,86.660004,451700,82.121159
2014-06-20,87.029999,87.5,86.540001,87.470001,775100,82.888732
2014-06-23,87.32,87.629997,86.830002,86.940002,347800,82.386492
2014-06-24,86.790001,87.169998,86.32,86.379997,409300,81.855818
2014-06-25,86.110001,86.839996,86.050003,86.529999,370100,81.997963
2014-06-26,86.620003,86.720001,85.739998,86.459999,291900,81.931629
2014-06-27,86.290001,87.459999,86.290001,87.379997,620600,82.803442
2014-06-30,87.269997,87.940002,87.07,87.800003,696100,83.20145
2014-07-01,87.0,88.209999,86.599998,87.910004,795000,83.305689
2014-07-02,87.620003,88.010002,87.040001,87.599998,629800,83.011921
2014-07-03,88.010002,89.150002,87.879997,89.050003,417700,84.385981
2014-07-07,88.879997,88.910004,88.25,88.550003,509400,83.912169
2014-07-08,88.279999,88.400002,87.779999,87.879997,343700,83.277255
2014-07-09,87.970001,88.709999,87.849998,88.589996,494300,83.950067
2014-07-10,87.599998,87.860001,86.849998,86.879997,562000,82.32963
2014-07-11,86.760002,87.129997,86.309998,87.120003,511300,82.557065
2014-07-14,87.82,87.82,87.139999,87.269997,287300,82.699203
2014-07-15,87.160004,87.470001,86.300003,86.580002,448600,82.045347
2014-07-16,87.050003,87.220001,86.260002,86.760002,778200,82.21592
2014-07-17,86.339996,87.050003,85.989998,86.029999,414500,81.52415
2014-07-18,86.489998,87.199997,85.919998,87.190002,872500,82.623398
2014-07-21,87.779999,89.900002,86.68,87.379997,1336900,82.803442
2014-07-22,87.849998,87.910004,85.739998,85.900002,984700,81.400962
2014-07-23,85.870003,86.059998,85.269997,85.309998,642800,80.841859
2014-07-24,85.730003,85.910004,85.239998,85.459999,520000,80.984005
2014-07-25,85.110001,85.519997,84.949997,85.309998,326100,80.841859
2014-07-28,85.290001,85.349998,84.639999,84.830002,436400,80.387004
2014-07-29,84.760002,85.07,84.239998,84.239998,416800,79.827901
2014-07-30,84.5,85.050003,84.199997,84.919998,761200,80.472286
2014-07-31,84.269997,84.559998,82.82,82.82,1142600,78.482276
2014-08-01,82.739998,83.019997,82.209999,82.610001,625700,78.283276
2014-08-04,82.610001,83.330002,82.150002,83.099998,1176300,78.74761
