Date,Open_BLL,High_BLL,Low_BLL,Close_BLL,Volume_BLL,AdjClose_BLL
2014-11-10,64.809998,65.910004,64.809998,65.900002,926300,65.035095
2014-11-11,65.889999,66.279999,65.559998,65.889999,671900,65.025224
2014-11-12,65.839996,65.93,65.019997,65.550003,715000,64.68969
2014-11-13,65.449997,66.010002,64.919998,65.160004,1638400,64.30481
2014-11-14,65.099998,65.230003,64.129997,64.239998,1117900,63.396878
2014-11-17,64.0,64.629997,64.0,64.410004,771100,63.564653
2014-11-18,64.410004,65.379997,64.410004,64.93,1018500,64.077825
2014-11-19,65.0,65.0,64.360001,64.5,990600,63.653468
2014-11-20,64.440002,64.989998,64.089996,64.839996,1124600,63.989002
2014-11-21,65.709999,65.889999,64.540001,64.709999,1203200,63.860711
2014-11-24,64.860001,65.32,64.809998,64.970001,852300,64.117301
2014-11-25,65.0,65.940002,64.809998,65.610001,876600,64.7489
2014-11-26,65.769997,66.349998,65.519997,66.290001,706600,65.54986
2014-11-28,66.599998,67.599998,66.599998,67.07,643900,66.32115
2014-12-01,67.050003,67.860001,66.57,67.389999,1492800,66.637576
2014-12-02,67.480003,67.970001,67.169998,67.800003,1280300,67.043002
2014-12-03,67.849998,69.779999,67.529999,69.489998,1917900,68.714128
2014-12-04,69.489998,70.5,69.059998,69.809998,1975400,69.030555
2014-12-05,69.68,69.949997,69.139999,69.440002,885200,68.664691
2014-12-08,69.360001,69.43,67.959999,68.040001,967100,67.280321
2014-12-09,67.690002,68.330002,67.32,68.32,975100,67.557193
2014-12-10,68.080002,68.940002,67.599998,67.669998,820300,66.914449
2014-12-11,67.720001,68.220001,67.120003,67.290001,875200,66.538694
2014-12-12,66.93,67.290001,66.379997,66.459999,866800,65.71796
2014-12-15,66.82,66.860001,65.290001,65.470001,1148100,64.739015
2014-12-16,65.449997,65.949997,64.959999,64.959999,776100,64.234708
2014-12-17,65.120003,65.720001,64.540001,65.510002,1169700,64.77857
2014-12-18,66.300003,67.830002,66.169998,67.830002,975600,67.072666
2014-12-19,68.279999,68.779999,68.080002,68.610001,1112500,67.843956
2014-12-22,68.629997,69.230003,68.629997,69.199997,449200,68.427365
2014-12-23,69.330002,70.230003,69.330002,69.839996,605700,69.060219
2014-12-24,69.779999,69.940002,69.440002,69.699997,182500,68.921782
2014-12-26,69.75,70.120003,69.489998,69.5,289100,68.724018
2014-12-29,69.400002,70.379997,69.150002,70.150002,468900,69.366763
2014-12-30,70.199997,70.349998,69.459999,69.489998,442900,68.714128
2014-12-31,69.559998,69.599998,68.139999,68.169998,477500,67.408866
2015-01-02,68.599998,69.019997,67.5,68.309998,467000,67.547303
2015-01-05,67.730003,68.0,66.510002,66.82,896600,66.073941
2015-01-06,65.720001,66.709999,64.82,65.690002,991400,64.95656
2015-01-07,65.849998,66.400002,65.5,66.269997,670600,65.530079
2015-01-08,66.769997,67.949997,66.769997,67.410004,994600,66.657357
2015-01-09,67.690002,67.839996,66.019997,66.080002,945300,65.342205
2015-01-12,66.18,66.440002,65.150002,65.790001,952900,65.055442
2015-01-13,66.129997,67.290001,64.900002,65.470001,902100,64.739015
2015-01-14,64.839996,65.540001,64.57,65.5,453700,64.768679
2015-01-15,65.5,65.779999,64.919998,64.959999,408200,64.234708
2015-01-16,65.029999,65.43,64.650002,64.870003,920400,64.145716
2015-01-20,64.449997,65.0,63.830002,64.779999,1204900,64.056717
2015-01-21,64.510002,65.480003,64.510002,65.360001,638300,64.630243
2015-01-22,65.849998,66.330002,65.370003,66.080002,618700,65.342205
2015-01-23,65.860001,65.860001,63.810001,63.880001,810300,63.166768
2015-01-26,64.330002,64.330002,63.529999,64.160004,735400,63.443644
2015-01-27,63.310001,64.25,63.080002,63.849998,594700,63.1371
2015-01-28,64.169998,64.559998,63.380001,63.389999,676500,62.682237
2015-01-29,63.549999,64.080002,63.130001,63.869999,729800,63.156878
2015-01-30,63.369999,64.160004,62.709999,63.330002,1005900,62.62291
2015-02-02,63.860001,64.370003,62.84,64.370003,714200,63.651299
2015-02-03,64.510002,65.580002,64.510002,65.349998,977700,64.620353
2015-02-04,65.18,66.540001,65.18,66.150002,1355600,65.411423
2015-02-05,70.989998,73.5,68.739998,72.029999,5485800,71.225769
2015-02-06,71.07,71.599998,69.879997,70.610001,1978800,69.821626
2015-02-09,69.870003,70.720001,69.760002,70.610001,1556400,69.821626
2015-02-10,70.959999,72.07,70.839996,71.900002,1769400,71.097224
2015-02-11,72.059998,72.650002,71.660004,72.400002,1677300,71.591641
2015-02-12,72.589996,74.129997,72.459999,74.040001,1767700,73.213329
2015-02-13,73.949997,75.0,73.669998,74.93,1761600,74.093392
2015-02-17,74.169998,74.68,72.68,74.389999,1399100,73.55942
2015-02-18,74.400002,77.199997,73.75,77.160004,2712300,76.298497
2015-02-19,76.080002,76.519997,73.730003,73.849998,4786800,73.025448
2015-02-20,73.279999,73.400002,72.0,73.190002,3283700,72.372821
2015-02-23,72.639999,73.82,72.080002,73.75,1660700,72.926566
2015-02-24,73.580002,73.580002,72.150002,72.559998,2040300,71.749851
2015-02-25,72.5,72.75,71.889999,72.160004,1215200,71.354323
2015-02-26,72.57,72.779999,71.879997,72.419998,937000,71.740657
2015-02-27,72.190002,72.550003,71.699997,71.709999,1162200,71.037318
2015-03-02,71.889999,72.68,71.720001,72.660004,1336200,71.978411
2015-03-03,72.260002,72.57,71.910004,72.300003,899800,71.621787
2015-03-04,71.900002,72.18,71.099998,71.300003,1039200,70.631168
2015-03-05,71.57,71.720001,70.5,70.989998,957800,70.324071
2015-03-06,70.599998,70.879997,70.330002,70.82,1053900,70.155667
2015-03-09,70.709999,70.769997,70.059998,70.339996,1307500,69.680166
2015-03-10,69.889999,70.339996,69.510002,70.019997,902000,69.363169
2015-03-11,70.199997,70.330002,68.959999,68.970001,1835100,68.323023
2015-03-12,68.580002,70.129997,68.580002,69.940002,862400,69.283925
2015-03-13,69.800003,70.120003,68.830002,69.169998,870500,68.521144
2015-03-16,69.360001,70.440002,69.239998,70.410004,1051900,69.749517
2015-03-17,70.0,70.400002,69.349998,69.730003,508600,69.075896
2015-03-18,69.529999,71.139999,69.309998,70.949997,1155700,70.284445
2015-03-19,70.389999,70.669998,69.919998,70.57,932300,69.908012
2015-03-20,70.989998,71.32,70.169998,71.199997,838300,70.5321
2015-03-23,71.190002,72.190002,70.68,71.75,1096700,71.076943
2015-03-24,71.550003,71.959999,70.860001,71.510002,1348400,70.839197
2015-03-25,71.459999,71.489998,70.059998,70.139999,1014800,69.482046
2015-03-26,70.0,70.0,68.949997,69.75,1014300,69.095705
2015-03-27,69.889999,69.919998,69.160004,69.330002,945800,68.679646
2015-03-30,70.0,70.989998,69.669998,70.900002,538800,70.234918
2015-03-31,70.529999,71.080002,70.339996,70.639999,805400,69.977355
2015-04-01,70.800003,70.82,69.809998,70.300003,841400,69.640548
2015-04-02,70.309998,70.870003,70.059998,70.379997,552800,69.719792
2015-04-06,69.860001,72.339996,69.839996,72.139999,1228500,71.463284
2015-04-07,72.059998,72.160004,70.989998,71.309998,1076300,70.641068
2015-04-08,71.389999,72.580002,71.040001,72.57,717800,71.889251
2015-04-09,72.57,72.879997,71.620003,72.099998,782400,71.423659
2015-04-10,71.589996,72.440002,71.110001,72.419998,1109300,71.740657
2015-04-13,72.269997,72.690002,71.900002,72.559998,949600,71.879343
2015-04-14,72.5,72.919998,72.0,72.910004,890600,72.226066
2015-04-15,73.169998,73.279999,72.480003,72.519997,1267800,71.839717
2015-04-16,72.129997,72.330002,71.639999,71.75,929300,71.076943
2015-04-17,71.349998,72.330002,70.779999,71.800003,1311300,71.126477
2015-04-20,71.82,72.449997,71.82,72.110001,640200,71.433567
2015-04-21,72.110001,72.300003,71.75,72.059998,861400,71.384033
2015-04-22,72.080002,72.110001,71.620003,71.980003,985900,71.304789
2015-04-23,71.879997,72.610001,71.800003,72.470001,529900,71.790191
2015-04-24,72.830002,74.690002,72.660004,74.559998,1155100,73.860582
2015-04-27,74.900002,74.919998,74.349998,74.610001,1462800,73.910116
2015-04-28,74.410004,74.860001,73.970001,74.440002,1555600,73.741712
2015-04-29,73.949997,74.389999,73.660004,73.839996,1068400,73.147334
2015-04-30,72.709999,73.760002,71.190002,73.410004,2059100,72.721375
2015-05-01,73.589996,74.580002,72.720001,74.440002,2830000,73.741712
2015-05-04,74.720001,75.239998,74.5,74.910004,1482900,74.207304
2015-05-05,74.860001,74.860001,73.0,73.0,1217700,72.315218
2015-05-06,73.099998,73.300003,71.739998,72.209999,1127200,71.532627
2015-05-07,71.949997,72.25,71.290001,71.650002,1461100,70.977883
2015-05-08,72.220001,72.330002,71.739998,72.300003,2128400,71.621787
2015-05-11,72.269997,72.330002,71.690002,71.940002,872400,71.265164
2015-05-12,71.459999,71.790001,70.809998,71.160004,1152400,70.492482
2015-05-13,71.480003,72.050003,71.220001,71.510002,1154500,70.839197
2015-05-14,71.959999,72.269997,71.220001,71.970001,861700,71.294881
2015-05-15,72.18,73.230003,72.18,73.010002,1582100,72.325126
2015-05-18,72.879997,73.790001,72.610001,73.68,1417200,72.988839
2015-05-19,73.82,73.970001,73.080002,73.209999,584200,72.523247
2015-05-20,73.440002,73.669998,72.790001,72.940002,784700,72.255783
2015-05-21,73.010002,73.099998,72.239998,72.510002,821300,71.829816
2015-05-22,72.400002,73.040001,72.139999,72.870003,921600,72.18644
2015-05-26,72.379997,72.599998,71.489998,71.669998,1033100,70.997692
2015-05-27,71.769997,72.419998,71.629997,72.309998,803100,71.631688
2015-05-28,72.139999,72.220001,71.470001,71.860001,928300,71.314121
2015-05-29,71.68,71.879997,70.959999,70.989998,1357200,70.450727
2015-06-01,71.160004,71.709999,70.800003,71.43,951200,70.887387
2015-06-02,71.360001,71.360001,70.760002,70.989998,833100,70.450727
2015-06-03,71.169998,71.660004,70.75,71.440002,1014300,70.897313
2015-06-04,70.699997,71.18,70.220001,70.449997,1287800,69.914828
2015-06-05,70.139999,71.050003,69.769997,70.879997,777200,70.341562
