Date,Open_MTB,High_MTB,Low_MTB,Close_MTB,Volume_MTB,AdjClose_MTB
2016-04-20,118.330002,121.110001,117.720001,120.260002,1090400,119.549426
2016-04-21,119.370003,120.160004,118.199997,118.300003,856500,117.601008
2016-04-22,117.870003,119.779999,116.370003,119.040001,698200,118.336633
2016-04-25,118.330002,119.050003,117.309998,118.889999,744900,118.187518
2016-04-26,119.32,119.940002,118.599998,119.629997,530100,118.923143
2016-04-27,119.589996,120.879997,118.610001,120.43,827700,119.718419
2016-04-28,119.139999,120.610001,118.669998,119.139999,961100,118.436041
2016-04-29,118.650002,119.080002,117.510002,118.32,1027000,117.620886
2016-05-02,118.919998,119.410004,117.800003,118.949997,1176400,118.247161
2016-05-03,117.550003,117.550003,115.440002,116.690002,802300,116.00052
2016-05-04,115.309998,115.93,113.18,114.120003,1084300,113.445706
2016-05-05,114.330002,115.139999,113.559998,114.220001,656900,113.545113
2016-05-06,113.669998,114.910004,113.519997,114.690002,597500,114.012337
2016-05-09,114.550003,114.849998,113.269997,113.889999,674100,113.217061
2016-05-10,114.779999,115.949997,114.279999,115.790001,665500,115.105836
2016-05-11,115.239998,116.5,114.900002,115.470001,646100,114.787727
2016-05-12,116.139999,116.879997,114.370003,115.110001,431300,114.429854
2016-05-13,114.82,115.760002,112.639999,113.230003,580800,112.560965
2016-05-16,113.010002,114.610001,112.57,114.050003,560400,113.376119
2016-05-17,113.580002,114.800003,112.410004,113.169998,478900,112.501314
2016-05-18,113.190002,116.760002,112.940002,116.739998,1161000,116.05022
2016-05-19,115.879997,117.089996,114.239998,115.82,684200,115.135658
2016-05-20,116.57,117.440002,115.849998,116.389999,394400,115.70229
2016-05-23,116.419998,116.550003,114.730003,115.830002,377600,115.145601
2016-05-24,116.510002,118.449997,116.300003,117.800003,563100,117.103962
2016-05-25,118.720001,120.0,118.599998,119.0,1609800,118.296869
2016-05-26,118.879997,119.360001,117.839996,118.470001,463000,117.770001
2016-05-27,118.18,119.370003,117.889999,119.370003,764300,119.370003
2016-05-31,119.870003,120.099998,118.660004,119.5,981900,119.5
2016-06-01,119.5,119.510002,117.260002,119.269997,577000,119.269997
2016-06-02,118.739998,120.120003,118.379997,120.080002,800900,120.080002
2016-06-03,118.480003,118.480003,115.779999,118.290001,755800,118.290001
