Date,Open_PNW,High_PNW,Low_PNW,Close_PNW,Volume_PNW,AdjClose_PNW
2014-05-08,55.98,56.209999,55.529999,55.810001,1471500,51.72635
2014-05-09,55.75,56.029999,55.23,55.27,1100500,51.225861
2014-05-12,55.330002,55.48,54.77,54.869999,1190800,50.855128
2014-05-13,54.98,55.25,54.82,54.970001,1086900,50.947813
2014-05-14,55.0,55.599998,54.889999,55.16,543400,51.123909
2014-05-15,55.16,55.209999,54.779999,54.93,783000,50.910739
2014-05-16,54.860001,55.189999,54.700001,55.18,539400,51.142446
2014-05-19,55.150002,55.169998,54.610001,54.720001,1000800,50.716106
2014-05-20,54.689999,55.07,54.450001,54.52,1099900,50.530739
2014-05-21,54.560001,54.709999,54.369999,54.5,1016800,50.512202
2014-05-22,54.5,55.060001,54.5,54.939999,326800,50.920006
2014-05-23,55.029999,55.130001,54.779999,54.82,328700,50.808787
2014-05-27,55.259998,55.580002,54.990002,55.009998,763200,50.984884
2014-05-28,55.07,55.220001,54.880001,55.060001,534900,51.031228
2014-05-29,54.84,55.200001,54.549999,54.860001,545700,50.845861
2014-05-30,54.91,55.48,54.740002,55.419998,667300,51.364884
2014-06-02,55.450001,55.529999,55.040001,55.09,446800,51.059032
2014-06-03,54.990002,55.279999,54.84,54.990002,562700,50.96635
2014-06-04,54.98,55.040001,54.639999,54.73,486000,50.725373
2014-06-05,54.77,55.279999,54.630001,55.189999,419700,51.151713
2014-06-06,55.25,55.48,54.82,54.959999,585300,50.938543
2014-06-09,54.990002,55.139999,54.43,54.529999,422100,50.540006
2014-06-10,54.610001,54.740002,54.290001,54.389999,413800,50.41025
2014-06-11,54.279999,54.48,53.830002,53.84,360400,49.900495
2014-06-12,53.790001,54.07,53.040001,54.049999,520800,50.095128
2014-06-13,54.060001,54.43,53.610001,54.220001,346700,50.252691
2014-06-16,54.220001,54.959999,54.169998,54.720001,720000,50.716106
2014-06-17,54.57,54.689999,54.07,54.459999,640900,50.475128
2014-06-18,54.41,55.849998,54.41,55.799999,798100,51.71708
2014-06-19,55.939999,56.610001,55.77,56.560001,740000,52.421472
2014-06-20,56.630001,56.700001,55.970001,56.150002,1124400,52.041472
2014-06-23,56.419998,56.900002,56.16,56.48,659300,52.347324
2014-06-24,56.34,57.009998,56.34,56.689999,670800,52.541957
2014-06-25,56.52,56.919998,56.259998,56.450001,828900,52.31952
2014-06-26,56.540001,56.75,56.23,56.310001,711100,52.189765
2014-06-27,56.240002,56.759998,56.049999,56.48,1440900,52.347324
2014-06-30,56.669998,58.060001,56.630001,57.84,1204800,53.607813
2014-07-01,57.720001,57.950001,57.310001,57.759998,1001000,53.533664
2014-07-02,57.509998,57.529999,56.5,56.939999,1323100,52.773665
2014-07-03,56.52,56.630001,56.02,56.439999,744900,52.31025
2014-07-07,56.459999,57.080002,56.139999,56.389999,1410800,52.263909
2014-07-08,56.41,57.220001,56.41,56.98,850800,52.810739
2014-07-09,57.220001,57.220001,56.200001,56.509998,747200,52.375128
2014-07-10,56.52,57.110001,56.459999,56.939999,445800,52.773665
2014-07-11,56.84,57.299999,56.759998,56.779999,685500,52.625372
2014-07-14,56.91,57.029999,55.970001,56.0,1123000,51.902446
2014-07-15,55.869999,56.25,55.700001,56.0,1718200,51.902446
2014-07-16,56.0,56.0,55.41,55.740002,1113800,51.661472
2014-07-17,55.75,56.029999,55.59,55.59,444900,51.522446
2014-07-18,55.810001,56.830002,55.450001,56.82,1120000,52.662446
2014-07-21,56.700001,57.139999,56.540001,56.98,1343900,52.810739
2014-07-22,57.080002,57.200001,56.77,57.009998,1094300,52.838542
2014-07-23,56.91,57.099998,56.689999,56.849998,663700,52.69025
2014-07-24,56.799999,56.98,56.610001,56.82,475700,52.662446
2014-07-25,56.779999,56.919998,56.220001,56.290001,401100,52.171228
2014-07-28,56.439999,57.200001,56.32,57.099998,843400,52.921957
2014-07-29,57.279999,57.400002,56.43,56.43,572900,52.300983
2014-07-30,55.869999,56.009998,54.66,54.849998,832600,51.353493
2014-07-31,54.91,55.48,53.290001,53.490002,1673600,50.080191
2014-08-01,53.509998,54.470001,53.459999,53.970001,1443000,50.529592
2014-08-04,54.0,54.0,52.470001,53.369999,1476100,49.967838
2014-08-05,53.169998,53.529999,52.619999,52.860001,655000,49.49035
2014-08-06,52.639999,52.75,52.130001,52.169998,1216700,48.844333
2014-08-07,52.279999,52.91,52.209999,52.57,755300,49.218836
2014-08-08,52.599998,53.66,52.599998,53.650002,828500,50.229991
2014-08-11,53.669998,53.889999,53.310001,53.369999,511100,49.967838
2014-08-12,53.32,53.529999,53.099998,53.290001,730100,49.89294
2014-08-13,53.419998,53.630001,53.119999,53.41,1683700,50.005289
2014-08-14,53.549999,54.41,53.549999,54.349998,769000,50.885366
2014-08-15,54.540001,54.93,54.209999,54.52,815900,51.044531
2014-08-18,54.650002,54.82,54.240002,54.32,624300,50.857279
2014-08-19,54.419998,55.02,54.310001,54.959999,489400,51.456481
2014-08-20,54.950001,55.130001,54.639999,55.07,374100,51.559469
2014-08-21,55.09,55.52,55.080002,55.419998,749000,51.887157
2014-08-22,55.5,55.810001,55.02,55.759998,1136900,52.205483
2014-08-25,55.84,56.43,55.77,56.400002,1239700,52.804688
2014-08-26,56.419998,56.509998,55.48,55.560001,1194600,52.018235
2014-08-27,55.689999,56.630001,55.689999,56.619999,1743600,53.010661
2014-08-28,56.349998,56.84,56.299999,56.580002,817000,52.973214
