Date,Open_TIF,High_TIF,Low_TIF,Close_TIF,Volume_TIF,AdjClose_TIF
2015-10-29,80.849998,82.169998,80.540001,81.309998,1223000,80.418948
2015-10-30,81.099998,82.830002,80.93,82.440002,1471800,81.53657
2015-11-02,82.580002,83.32,81.830002,82.699997,1091400,81.793715
2015-11-03,82.440002,84.010002,82.279999,83.400002,884900,82.486048
2015-11-04,83.410004,83.559998,82.360001,82.669998,914300,81.764045
2015-11-05,82.889999,84.190002,82.199997,83.989998,1143000,83.069579
2015-11-06,82.57,83.07,80.089996,81.910004,1984100,81.012379
2015-11-09,81.82,81.910004,79.5,80.220001,1258500,79.340897
2015-11-10,79.860001,80.330002,78.809998,80.089996,1329700,79.212316
2015-11-11,79.940002,79.949997,77.019997,77.389999,1742500,76.541908
2015-11-12,78.260002,78.260002,76.57,76.82,1529300,75.978155
2015-11-13,75.5,75.540001,73.089996,74.470001,3117300,73.653909
2015-11-16,74.139999,75.269997,73.980003,75.230003,1629400,74.405582
2015-11-17,75.610001,76.419998,73.5,74.129997,2075900,73.317631
2015-11-18,74.440002,74.599998,73.720001,74.419998,4063100,73.604454
2015-11-19,74.459999,74.889999,74.0,74.239998,2187300,73.426426
2015-11-20,74.769997,75.330002,74.769997,75.139999,2797500,74.316565
2015-11-23,75.309998,77.419998,75.309998,76.550003,3503700,75.711117
2015-11-24,75.400002,80.150002,75.0,79.32,7883900,78.450758
2015-11-25,78.889999,81.760002,78.610001,80.769997,3050800,79.884865
2015-11-27,80.800003,81.550003,79.5,79.730003,1061900,78.856268
2015-11-30,79.5,80.019997,78.699997,79.68,1874400,78.806813
2015-12-01,79.760002,80.080002,78.589996,79.43,1539100,78.559553
2015-12-02,79.400002,79.809998,77.739998,77.849998,1469900,76.996866
2015-12-03,78.18,78.5,75.849998,76.129997,2096400,75.295714
2015-12-04,76.470001,77.470001,76.120003,76.879997,1596000,76.037495
2015-12-07,76.349998,76.550003,75.489998,76.120003,1341300,75.285829
2015-12-08,75.480003,76.910004,75.43,76.110001,1681600,75.275936
2015-12-09,75.800003,77.43,75.68,76.449997,1814900,75.612207
2015-12-10,76.550003,77.199997,76.040001,76.489998,988300,75.651769
2015-12-11,75.620003,75.82,74.5,75.220001,1542800,74.39569
2015-12-14,75.309998,76.019997,73.099998,73.980003,2238800,73.169281
2015-12-15,74.660004,75.059998,73.809998,74.330002,1369800,73.515444
2015-12-16,74.730003,75.650002,74.339996,75.510002,1035900,74.682513
2015-12-17,75.160004,75.459999,73.199997,73.230003,1396300,72.813213
2015-12-18,72.730003,72.93,71.800003,71.839996,2193800,71.431117
2015-12-21,73.160004,74.879997,72.839996,74.480003,2237100,74.056098
2015-12-22,74.57,76.400002,74.519997,75.980003,1944600,75.547561
2015-12-23,76.739998,78.57,75.989998,77.760002,1800800,77.317429
2015-12-24,77.599998,78.0,76.669998,76.949997,638100,76.512034
2015-12-28,76.870003,77.190002,75.779999,76.599998,744300,76.164027
2015-12-29,77.120003,78.610001,76.900002,77.620003,1311900,77.178226
2015-12-30,77.470001,77.800003,76.989998,77.050003,496800,76.611471
2015-12-31,76.959999,77.559998,76.290001,76.290001,787400,75.855794
2016-01-04,76.290001,76.290001,73.610001,74.519997,2483000,74.095864
2016-01-05,74.93,75.440002,73.610001,74.300003,1526200,73.877122
2016-01-06,73.25,74.029999,72.68,72.919998,1723600,72.504972
2016-01-07,72.099998,73.18,70.709999,70.919998,2452200,70.516355
2016-01-08,71.18,71.669998,68.150002,68.260002,3029000,67.871498
2016-01-11,68.269997,69.080002,67.010002,67.839996,1803900,67.453883
2016-01-12,68.580002,69.330002,67.260002,68.410004,1501900,68.020646
2016-01-13,68.489998,68.720001,66.360001,66.699997,1711700,66.320372
2016-01-14,66.379997,67.360001,65.5,66.860001,2101800,66.479465
2016-01-15,65.370003,69.0,65.089996,67.650002,3553100,67.26497
2016-01-19,64.75,67.870003,62.900002,64.220001,10680600,63.854491
2016-01-20,62.810001,63.209999,59.73,61.799999,5417700,61.448263
2016-01-21,61.619999,62.91,60.849998,61.049999,3727400,60.702531
2016-01-22,62.110001,62.439999,61.299999,61.650002,4367500,61.299119
2016-01-25,61.610001,61.759998,60.619999,60.93,3220500,60.583215
2016-01-26,61.310001,62.650002,60.57,62.48,1913500,62.124393
2016-01-27,62.389999,63.18,61.09,61.610001,1651000,61.259346
2016-01-28,62.209999,62.610001,60.419998,61.380001,1967600,61.030655
2016-01-29,61.91,63.970001,61.700001,63.84,2429900,63.476653
2016-02-01,63.040001,65.209999,62.509998,64.730003,2869000,64.361591
2016-02-02,64.720001,65.360001,63.209999,63.759998,7388100,63.397106
2016-02-03,64.059998,64.580002,62.66,63.759998,6146800,63.397106
2016-02-04,63.279999,64.989998,63.139999,64.68,3578100,64.311872
2016-02-05,64.629997,64.93,63.290001,63.860001,3000400,63.49654
2016-02-08,63.09,63.810001,61.619999,62.919998,1975700,62.561887
2016-02-09,62.139999,63.189999,61.02,62.169998,2389400,61.816156
2016-02-10,62.490002,62.790001,61.48,61.689999,1314600,61.338888
2016-02-11,60.560001,61.540001,59.75,60.75,3319300,60.40424
2016-02-12,61.259998,61.91,60.43,61.73,1899300,61.378662
2016-02-16,62.740002,63.349998,61.560001,63.240002,1760000,62.880069
2016-02-17,63.900002,66.25,63.810001,65.620003,2376400,65.246525
2016-02-18,65.199997,65.57,64.589996,65.260002,1405100,64.888573
2016-02-19,64.870003,64.870003,63.290001,64.510002,1374400,64.142842
2016-02-22,65.010002,65.599998,64.879997,65.260002,1065900,64.888573
2016-02-23,65.269997,65.959999,64.379997,64.419998,1352300,64.05335
2016-02-24,64.0,65.190002,62.98,64.940002,1478800,64.570395
2016-02-25,64.940002,65.150002,63.709999,65.120003,984100,64.74937
2016-02-26,65.919998,65.919998,64.610001,65.459999,1628700,65.087432
2016-02-29,65.690002,65.949997,64.879997,64.980003,1214900,64.610168
2016-03-01,65.690002,67.860001,65.059998,67.599998,1913500,67.215251
2016-03-02,67.089996,67.940002,66.959999,67.709999,1458200,67.324626
2016-03-03,67.510002,69.559998,66.949997,69.099998,2414300,68.706714
2016-03-04,69.129997,71.110001,68.809998,69.769997,1433400,69.372899
2016-03-07,69.300003,71.290001,69.129997,70.709999,1856000,70.307551
2016-03-08,70.510002,70.989998,68.949997,69.379997,1457400,68.985119
2016-03-09,69.629997,70.629997,69.169998,70.199997,1037000,69.800452
2016-03-10,70.489998,70.790001,69.419998,70.480003,1089000,70.078864
2016-03-11,70.970001,71.889999,70.559998,71.839996,1247500,71.431117
2016-03-14,71.669998,72.389999,71.440002,71.860001,1455700,71.451007
2016-03-15,70.5,71.139999,69.470001,70.0,2406500,69.601593
2016-03-16,69.550003,70.489998,68.879997,70.279999,2481100,69.879998
2016-03-17,69.870003,71.32,69.599998,70.120003,2856600,70.120003
2016-03-18,70.599998,72.900002,70.309998,72.190002,3830400,72.190002
2016-03-21,71.989998,71.989998,70.82,71.540001,1817600,71.540001
2016-03-22,71.529999,73.199997,71.290001,72.580002,2454500,72.580002
2016-03-23,72.360001,72.620003,71.800003,71.980003,2103300,71.980003
2016-03-24,71.900002,71.980003,70.580002,70.93,1740700,70.93
2016-03-28,70.980003,71.709999,70.730003,71.120003,1124000,71.120003
2016-03-29,71.360001,71.949997,71.059998,71.839996,1069100,71.839996
2016-03-30,72.150002,73.290001,71.75,72.589996,1151300,72.589996
2016-03-31,72.720001,73.889999,72.43,73.379997,1592600,73.379997
2016-04-01,73.059998,73.980003,72.480003,73.769997,1471200,73.769997
2016-04-04,73.620003,74.059998,72.050003,72.290001,2381500,72.290001
2016-04-05,71.699997,72.160004,71.339996,71.75,1944500,71.75
2016-04-06,71.709999,72.470001,71.129997,72.25,966400,72.25
2016-04-07,71.75,72.419998,70.330002,70.860001,1502800,70.860001
2016-04-08,71.260002,71.709999,70.339996,70.629997,1385800,70.629997
2016-04-11,70.830002,71.25,70.309998,70.830002,1718100,70.830002
2016-04-12,71.050003,71.5,69.669998,70.239998,1874100,70.239998
2016-04-13,70.879997,72.199997,70.540001,71.800003,1611500,71.800003
2016-04-14,71.599998,72.0,70.660004,71.010002,1619900,71.010002
2016-04-15,71.010002,71.580002,70.870003,71.18,1256300,71.18
2016-04-18,71.190002,71.269997,70.629997,71.18,1486900,71.18
2016-04-19,71.360001,72.190002,71.32,71.760002,1303200,71.760002
2016-04-20,71.830002,72.480003,71.199997,72.220001,1015400,72.220001
2016-04-21,72.620003,73.360001,72.129997,72.18,1264000,72.18
2016-04-22,72.209999,73.300003,71.760002,73.029999,1410900,73.029999
2016-04-25,72.629997,73.040001,71.720001,72.089996,1020200,72.089996
2016-04-26,72.190002,72.970001,71.699997,72.599998,1045300,72.599998
2016-04-27,72.660004,73.580002,72.349998,73.360001,832400,73.360001
2016-04-28,72.690002,73.0,71.919998,72.050003,936900,72.050003
2016-04-29,72.089996,72.089996,70.949997,71.349998,1438700,71.349998
2016-05-02,71.489998,72.18,70.709999,72.040001,1308700,72.040001
2016-05-03,71.32,71.589996,70.739998,71.059998,1665000,71.059998
2016-05-04,70.540001,70.760002,69.730003,70.470001,1536500,70.470001
2016-05-05,70.129997,70.580002,69.419998,70.019997,1097500,70.019997
2016-05-06,69.739998,69.900002,68.419998,69.290001,2000200,69.290001
2016-05-09,69.169998,69.830002,69.139999,69.349998,1058800,69.349998
2016-05-10,69.470001,70.910004,69.059998,70.720001,1293700,70.720001
2016-05-11,68.190002,68.970001,66.199997,66.480003,3121500,66.480003
2016-05-12,66.800003,67.110001,65.669998,66.370003,1894200,66.370003
2016-05-13,65.730003,66.379997,64.199997,64.43,4091800,64.43
2016-05-16,64.339996,65.459999,64.269997,65.169998,1708700,65.169998
2016-05-17,65.199997,66.089996,64.209999,64.889999,1907600,64.889999
2016-05-18,64.470001,64.870003,63.68,63.959999,2040400,63.959999
2016-05-19,63.939999,64.760002,63.150002,63.279999,4425700,63.279999
2016-05-20,63.48,64.879997,63.130001,64.669998,3161700,64.669998
2016-05-23,64.809998,65.029999,63.799999,63.959999,3489400,63.959999
2016-05-24,64.120003,64.760002,63.810001,63.849998,3129900,63.849998
2016-05-25,62.380001,64.25,61.889999,63.889999,7165500,63.889999
2016-05-26,64.07,64.349998,62.400002,62.549999,2483200,62.549999
2016-05-27,62.630001,63.209999,62.060001,62.540001,2765100,62.540001
2016-05-31,62.790001,62.959999,61.68,61.959999,3662800,61.959999
2016-06-01,61.849998,62.720001,61.77,62.330002,2066400,62.330002
2016-06-02,62.41,63.369999,62.330002,63.23,2860900,63.23
2016-06-03,62.959999,63.220001,62.369999,63.18,2177500,63.18
