Date,Open_ZBH,High_ZBH,Low_ZBH,Close_ZBH,Volume_ZBH,AdjClose_ZBH
2014-11-11,110.489998,111.510002,109.769997,111.07,568500,109.686101
2014-11-12,110.779999,111.029999,110.269997,110.870003,783000,109.488596
2014-11-13,111.230003,111.230003,110.150002,110.610001,811800,109.231834
2014-11-14,110.660004,110.830002,109.75,110.120003,702700,108.747941
2014-11-17,110.120003,110.900002,109.940002,110.68,964600,109.300961
2014-11-18,110.25,111.970001,110.139999,111.5,688700,110.110744
2014-11-19,111.190002,111.269997,110.419998,110.550003,518700,109.172584
2014-11-20,109.699997,110.440002,109.010002,110.120003,984100,108.747941
2014-11-21,111.230003,111.629997,109.699997,110.480003,821200,109.103456
2014-11-24,110.120003,110.440002,108.760002,110.080002,1355400,108.708439
2014-11-25,110.5,111.199997,110.269997,111.080002,923600,109.695979
2014-11-26,111.360001,111.769997,110.980003,111.629997,595000,110.239121
2014-11-28,111.629997,113.0,111.629997,112.290001,426900,110.890902
2014-12-01,112.190002,112.620003,111.309998,111.470001,613000,110.081119
2014-12-02,111.739998,114.980003,111.650002,114.43,1504900,113.004237
2014-12-03,114.309998,114.410004,113.260002,113.650002,975700,112.233957
2014-12-04,113.209999,114.559998,113.120003,113.959999,731900,112.540092
2014-12-05,114.290001,115.879997,113.610001,114.959999,1018700,113.527633
2014-12-08,114.959999,115.550003,114.690002,114.849998,643600,113.419002
2014-12-09,113.419998,114.059998,113.169998,113.730003,986400,112.312962
2014-12-10,113.809998,113.830002,111.260002,111.510002,920500,110.120621
2014-12-11,112.029999,113.779999,112.029999,113.239998,961700,111.829062
2014-12-12,112.160004,112.989998,111.339996,111.339996,875300,109.952734
2014-12-15,112.07,112.349998,109.839996,110.260002,750600,108.886196
2014-12-16,110.150002,111.610001,108.769997,108.790001,1039700,107.434511
2014-12-17,109.610001,112.129997,109.129997,111.919998,924200,110.525509
2014-12-18,113.339996,114.940002,112.639999,114.940002,957800,113.507885
2014-12-19,115.629997,116.040001,114.050003,114.910004,1271700,113.47826
2014-12-22,115.07,115.739998,114.360001,115.050003,627800,113.616515
2014-12-23,115.529999,116.139999,113.160004,113.470001,1287400,112.0562
2014-12-24,113.510002,114.68,113.230003,114.110001,304600,112.907137
2014-12-26,114.160004,115.18,113.949997,114.169998,400000,112.966503
2014-12-29,113.75,114.309998,113.25,113.5,450300,112.303567
2014-12-30,113.489998,115.550003,113.459999,114.57,625300,113.362288
2014-12-31,115.059998,115.75,113.389999,113.419998,689900,112.224408
2015-01-02,114.209999,114.610001,111.779999,112.589996,909300,111.403156
2015-01-05,114.010002,117.190002,114.010002,116.790001,2159100,115.558887
2015-01-06,117.160004,117.230003,115.129997,115.800003,1782100,114.579325
2015-01-07,116.199997,119.580002,116.010002,118.68,1462000,117.428964
2015-01-08,119.040001,120.599998,118.769997,119.940002,1406800,118.675684
2015-01-09,118.059998,119.5,117.5,118.209999,2124100,116.963917
2015-01-12,118.209999,118.769997,117.68,118.489998,1001500,117.240964
2015-01-13,119.0,120.699997,117.720001,118.75,1613800,117.498225
2015-01-14,116.949997,117.690002,115.769997,117.18,1042800,115.944775
2015-01-15,117.199997,117.610001,114.959999,114.980003,1531200,113.767969
2015-01-16,114.849998,117.110001,114.849998,117.0,1232900,115.766673
2015-01-20,117.730003,118.389999,114.82,115.889999,926600,114.668373
2015-01-21,115.699997,116.559998,114.919998,115.879997,642800,114.658476
2015-01-22,116.269997,118.419998,115.779999,118.349998,711300,117.10244
2015-01-23,118.349998,118.550003,116.949997,116.980003,583200,115.746887
2015-01-26,116.889999,117.089996,116.029999,117.07,1188100,115.835934
2015-01-27,116.160004,117.349998,115.290001,116.230003,796800,115.004793
2015-01-28,116.370003,117.540001,114.349998,114.5,1590100,113.293026
2015-01-29,112.650002,114.389999,111.199997,112.519997,3235000,111.333894
2015-01-30,111.989998,114.639999,111.959999,112.099998,1939700,110.918323
2015-02-02,112.480003,114.120003,111.059998,113.980003,1099400,112.77851
2015-02-03,115.43,116.870003,114.489998,116.660004,1693600,115.43026
2015-02-04,115.349998,116.269997,115.150002,115.519997,1110300,114.30227
2015-02-05,116.379997,117.370003,116.010002,117.099998,944500,115.865617
2015-02-06,116.900002,117.449997,115.779999,116.150002,1057200,114.925634
2015-02-09,115.160004,115.959999,114.410004,114.769997,1324600,113.560176
2015-02-10,116.190002,117.410004,115.120003,117.07,1011000,115.835934
2015-02-11,117.07,117.879997,116.599998,116.900002,1161500,115.667728
2015-02-12,118.32,118.360001,116.699997,118.150002,977200,116.904552
2015-02-13,117.900002,119.360001,117.82,119.330002,1084900,118.072113
2015-02-17,119.330002,120.660004,118.790001,120.389999,1229000,119.120937
2015-02-18,120.550003,120.620003,119.730003,120.300003,1109600,119.031889
2015-02-19,120.120003,120.660004,119.839996,120.199997,720300,118.932937
2015-02-20,119.870003,121.690002,119.620003,121.589996,1058200,120.308285
2015-02-23,121.589996,121.589996,120.730003,121.309998,770100,120.031237
