Date,Open_HES,High_HES,Low_HES,Close_HES,Volume_HES,AdjClose_HES
2015-02-06,73.870003,74.339996,72.5,72.970001,2670600,71.394618
2015-02-09,74.470001,74.650002,73.220001,73.779999,2905600,72.187129
2015-02-10,73.470001,73.660004,71.459999,72.790001,2917300,71.218504
2015-02-11,71.650002,73.559998,71.360001,72.800003,2983800,71.22829
2015-02-12,73.760002,74.870003,73.419998,74.709999,3718600,73.097051
2015-02-13,75.68,77.059998,75.370003,76.830002,3505200,75.171284
2015-02-17,75.989998,77.629997,75.529999,77.339996,3622500,75.670268
2015-02-18,76.199997,77.550003,76.0,77.099998,2869000,75.435451
2015-02-19,74.540001,76.970001,74.110001,76.480003,4110600,74.828842
2015-02-20,76.419998,76.699997,75.5,76.300003,2563200,74.652727
2015-02-23,75.160004,76.559998,75.010002,75.870003,3779900,74.232011
2015-02-24,76.440002,76.720001,75.639999,76.489998,2011800,74.83862
2015-02-25,76.360001,77.370003,76.160004,76.650002,2044700,74.99517
2015-02-26,75.93,76.339996,74.690002,75.43,2704800,73.801507
2015-02-27,75.839996,76.029999,74.959999,75.080002,3349000,73.459065
2015-03-02,75.080002,75.080002,73.160004,74.110001,3050900,72.510006
2015-03-03,74.220001,75.139999,73.980003,74.489998,2188300,72.881799
2015-03-04,74.720001,74.949997,73.769997,74.839996,2241400,73.224241
2015-03-05,74.379997,74.559998,73.5,73.5,2630700,71.913175
2015-03-06,73.040001,73.300003,71.089996,71.389999,3166200,69.848728
2015-03-09,71.489998,71.790001,70.400002,70.419998,2392300,68.899669
2015-03-10,69.529999,70.25,69.110001,69.239998,2954500,67.745144
2015-03-11,69.510002,70.400002,69.150002,69.599998,2310500,68.097372
2015-03-12,70.059998,70.199997,68.709999,68.769997,2240400,67.28529
2015-03-13,68.239998,69.209999,67.419998,69.0,2431800,67.510327
2015-03-16,68.529999,69.370003,68.010002,69.330002,2186600,67.833205
2015-03-17,68.489998,69.169998,67.550003,68.529999,2469200,67.293125
2015-03-18,68.150002,70.32,67.959999,69.769997,3681600,68.510743
2015-03-19,68.349998,68.690002,67.269997,67.400002,3200700,66.183523
2015-03-20,67.910004,69.519997,67.849998,68.339996,5292000,67.106552
2015-03-23,68.709999,69.190002,67.809998,67.82,2796400,66.595941
2015-03-24,68.620003,68.650002,67.699997,68.080002,3032800,66.85125
2015-03-25,68.519997,69.610001,68.199997,69.099998,3225000,67.852837
2015-03-26,69.959999,70.389999,68.739998,68.900002,2730700,67.65645
2015-03-27,68.360001,68.400002,67.150002,67.370003,2724700,66.154066
2015-03-30,68.279999,68.720001,67.739998,68.559998,2688900,67.322583
2015-03-31,67.800003,68.589996,67.519997,67.870003,3555900,66.645041
2015-04-01,68.480003,70.110001,68.480003,69.18,3471200,67.931395
2015-04-02,68.889999,69.879997,68.269997,69.199997,2362000,67.951031
2015-04-06,69.800003,72.809998,69.459999,72.529999,3466400,71.220931
2015-04-07,72.339996,73.410004,71.980003,72.349998,2472600,71.044179
2015-04-08,72.300003,72.970001,71.699997,71.849998,1853300,70.553203
2015-04-09,71.860001,72.889999,71.860001,72.379997,2620900,71.073636
2015-04-10,72.519997,73.18,71.889999,73.120003,3754300,71.800286
2015-04-13,73.5,73.989998,72.610001,72.720001,1770000,71.407504
2015-04-14,73.309998,74.879997,73.309998,74.629997,3034300,73.283027
2015-04-15,75.25,78.25,75.160004,78.089996,4322200,76.680578
2015-04-16,77.660004,78.529999,77.029999,78.019997,2693200,76.611841
2015-04-17,77.360001,77.760002,76.830002,77.459999,2780300,76.061951
2015-04-20,77.68,79.0,77.440002,77.68,2443500,76.277982
2015-04-21,77.559998,77.720001,74.699997,74.940002,2902400,73.587437
2015-04-22,75.120003,75.879997,74.559998,75.279999,1807100,73.921297
2015-04-23,75.75,76.57,75.699997,75.800003,1674100,74.431916
2015-04-24,75.290001,75.709999,74.779999,75.209999,1662300,73.852561
2015-04-27,75.480003,75.900002,75.019997,75.220001,1755000,73.862382
2015-04-28,75.029999,76.860001,75.029999,76.75,2567300,75.364767
2015-04-29,78.0,78.809998,75.400002,77.970001,3896700,76.562748
2015-04-30,78.389999,78.870003,76.599998,76.900002,2924300,75.512061
2015-05-01,77.040001,77.279999,74.989998,75.779999,2135300,74.412273
2015-05-04,75.980003,76.419998,74.169998,74.690002,3037300,73.341949
2015-05-05,75.389999,76.080002,73.559998,73.900002,4479300,72.566207
2015-05-06,75.029999,75.620003,74.029999,74.470001,2765200,73.125919
2015-05-07,74.199997,74.400002,72.739998,73.459999,2920200,72.134146
2015-05-08,74.160004,74.360001,72.800003,74.339996,3174800,72.99826
2015-05-11,74.360001,74.5,71.650002,71.690002,2575300,70.396095
2015-05-12,71.699997,72.029999,71.019997,71.5,2539800,70.209522
2015-05-13,71.989998,72.139999,69.879997,70.25,2395300,68.982083
2015-05-14,70.349998,70.889999,69.239998,69.410004,1930600,68.157247
2015-05-15,69.239998,70.110001,68.650002,69.660004,1846000,68.402735
2015-05-18,68.980003,69.07,68.290001,68.889999,1695200,67.646628
2015-05-19,68.139999,68.550003,67.269997,67.699997,2423900,66.478104
2015-05-20,67.949997,69.639999,67.360001,69.550003,4599200,68.29472
2015-05-21,70.120003,70.400002,69.379997,69.940002,2781600,68.67768
2015-05-22,69.040001,69.540001,68.43,69.019997,2256700,67.774279
2015-05-26,68.129997,68.43,67.139999,67.309998,2627100,66.095143
2015-05-27,67.110001,68.139999,66.959999,67.220001,2046000,66.006771
2015-05-28,67.019997,67.5,66.419998,67.290001,2055300,66.075508
2015-05-29,67.279999,67.790001,66.849998,67.519997,2867000,66.301352
2015-06-01,67.18,67.339996,66.690002,66.760002,2782800,65.555075
2015-06-02,67.139999,67.699997,66.540001,67.290001,1703700,66.075508
2015-06-03,67.190002,67.82,66.730003,66.760002,1192700,65.555075
2015-06-04,66.300003,66.639999,66.010002,66.169998,2082900,64.975719
2015-06-05,65.989998,67.660004,65.699997,66.080002,2654000,64.887347
2015-06-08,65.800003,66.370003,64.839996,64.989998,4880900,63.817017
2015-06-09,65.949997,66.879997,65.5,65.57,2336500,64.38655
2015-06-10,66.559998,66.940002,65.5,65.639999,2110600,64.455286
2015-06-11,69.510002,69.900002,68.650002,68.830002,6065700,67.587714
2015-06-12,68.889999,69.18,67.260002,67.660004,3751100,66.681029
2015-06-15,66.879997,67.830002,66.830002,67.330002,2071700,66.355802
2015-06-16,67.220001,69.510002,67.139999,69.400002,2969900,68.395851
2015-06-17,70.080002,70.669998,68.739998,69.510002,2881300,68.50426
2015-06-18,69.779999,70.230003,69.089996,69.309998,1850700,68.307149
2015-06-19,68.989998,69.580002,68.489998,68.639999,3340200,67.646845
2015-06-22,68.769997,69.260002,68.019997,68.940002,1672100,67.942508
2015-06-23,69.370003,70.459999,68.779999,70.230003,2057700,69.213844
2015-06-24,69.910004,70.370003,68.959999,69.169998,2969700,68.169176
2015-06-25,69.209999,69.440002,67.980003,68.029999,1988200,67.045671
2015-06-26,68.029999,68.730003,67.470001,68.43,5422200,67.439885
2015-06-29,67.349998,67.970001,66.900002,66.970001,3140800,66.00101
2015-06-30,67.690002,67.690002,66.459999,66.879997,2246400,65.912309
2015-07-01,66.910004,67.18,65.07,65.419998,2638000,64.473434
2015-07-02,65.559998,66.199997,65.440002,65.709999,2040900,64.759239
2015-07-06,64.599998,65.059998,64.099998,64.410004,2484100,63.478054
2015-07-07,64.139999,65.370003,63.310001,65.050003,3123300,64.108793
2015-07-08,64.550003,65.330002,63.900002,64.370003,3019500,63.438631
2015-07-09,65.620003,65.650002,64.529999,64.650002,2103600,63.714579
2015-07-10,64.940002,65.489998,64.029999,64.339996,1984700,63.409059
2015-07-13,64.459999,64.629997,63.66,63.98,3974300,63.054271
2015-07-14,63.98,65.360001,63.73,64.57,5220000,63.635735
2015-07-15,64.160004,64.690002,62.41,63.049999,3191300,62.137727
2015-07-16,63.279999,63.799999,62.610001,62.68,2782300,61.773082
2015-07-17,62.380001,62.709999,61.209999,61.419998,2231400,60.531311
2015-07-20,60.970001,61.110001,59.509998,59.599998,2486000,58.737644
2015-07-21,59.799999,60.560001,59.0,59.18,2470500,58.323723
2015-07-22,59.34,59.75,58.610001,59.0,2144800,58.146327
2015-07-23,58.959999,59.490002,58.349998,59.279999,2333100,58.422275
2015-07-24,59.389999,59.389999,57.700001,58.490002,4584500,57.643708
2015-07-27,57.650002,58.549999,57.18,57.68,3321700,56.845427
2015-07-28,57.98,59.880001,57.580002,59.650002,3838200,58.786924
2015-07-29,59.950001,61.880001,59.200001,60.040001,6091700,59.17128
2015-07-30,60.040001,60.779999,59.68,60.330002,2984100,59.457085
2015-07-31,59.720001,60.299999,58.810001,59.009998,3033100,58.156181
2015-08-03,58.209999,58.889999,57.32,57.700001,3295800,56.865138
2015-08-04,58.07,58.990002,57.310001,57.549999,2991200,56.717307
2015-08-05,58.459999,58.950001,55.919998,55.919998,3877900,55.11089
2015-08-06,55.580002,56.900002,54.650002,56.810001,3819200,55.988016
2015-08-07,56.599998,57.740002,55.689999,55.919998,3174800,55.11089
2015-08-10,56.119999,58.5,56.09,58.439999,2678300,57.594429
2015-08-11,57.220001,57.990002,56.599998,57.889999,2393600,57.052387
2015-08-12,57.419998,59.490002,57.07,59.419998,4753900,58.560249
2015-08-13,59.110001,59.549999,58.450001,58.790001,3258400,57.939367
2015-08-14,58.73,60.0,58.700001,59.080002,2663200,58.225172
2015-08-17,58.619999,59.619999,58.380001,58.779999,1776300,57.929509
2015-08-18,59.509998,59.799999,58.439999,59.209999,1773600,58.353288
2015-08-19,58.75,59.18,56.310001,56.73,2471700,55.909172
2015-08-20,56.529999,57.240002,55.700001,55.740002,2640300,54.933498
2015-08-21,55.310001,56.16,54.810001,54.990002,3426800,54.19435
2015-08-24,51.779999,54.0,50.380001,50.98,5732100,50.242369
2015-08-25,53.009998,53.84,49.900002,49.939999,3798500,49.217415
2015-08-26,51.23,51.580002,49.860001,51.220001,4019300,50.478898
2015-08-27,52.57,56.060001,52.360001,55.759998,5105000,54.953205
2015-08-28,55.509998,58.599998,54.5,57.459999,3963100,56.628609
2015-08-31,56.110001,59.799999,55.330002,59.450001,4186300,58.589817
2015-09-01,57.27,58.610001,56.529999,57.07,3903200,56.244252
2015-09-02,57.82,57.860001,55.349998,57.509998,3555000,56.677885
2015-09-03,58.0,59.279999,56.630001,57.400002,3289500,56.569479
2015-09-04,56.41,57.0,55.849998,56.349998,2173300,55.534669
2015-09-08,56.91,57.099998,55.189999,56.529999,2957200,55.712065
2015-09-09,56.990002,58.240002,54.799999,54.919998,2710400,54.125359
2015-09-10,55.139999,55.599998,53.639999,54.099998,3943400,53.317224
2015-09-11,53.080002,53.169998,51.41,52.5,3932700,51.740376
2015-09-14,52.360001,52.400002,51.09,51.98,3609000,51.227899
2015-09-15,52.299999,53.580002,52.169998,52.790001,2975400,52.026181
2015-09-16,53.490002,54.84,53.32,54.689999,2531700,53.898688
2015-09-17,54.490002,56.040001,53.810001,54.599998,2818600,54.057097
