Date,Open_RTN,High_RTN,Low_RTN,Close_RTN,Volume_RTN,AdjClose_RTN
2014-03-12,98.809998,100.07,98.059998,99.739998,1795100,94.427926
2014-03-13,100.050003,101.150002,98.639999,98.830002,1777900,93.566396
2014-03-14,98.589996,100.940002,98.580002,100.089996,2795700,94.759284
2014-03-17,100.480003,101.019997,100.120003,100.959999,1272800,95.582951
2014-03-18,101.339996,101.709999,100.669998,101.309998,1384700,95.914309
2014-03-19,101.720001,101.800003,98.730003,99.389999,1818400,94.096568
2014-03-20,99.589996,100.410004,98.209999,98.57,2651400,93.320241
2014-03-21,98.839996,99.099998,97.389999,97.5,3773900,92.307229
2014-03-24,97.879997,97.989998,96.040001,97.330002,2355000,92.146284
2014-03-25,98.139999,98.760002,97.370003,98.059998,2115600,92.837401
2014-03-26,98.529999,98.720001,97.089996,97.089996,1395900,91.919061
2014-03-27,97.0,97.830002,96.07,97.540001,2096600,92.345099
2014-03-28,97.889999,98.790001,97.599998,98.650002,1695100,93.395982
2014-03-31,98.279999,99.25,98.279999,98.790001,1910300,94.105653
2014-04-01,99.449997,99.900002,98.440002,99.129997,1321100,94.429528
2014-04-02,99.239998,100.099998,98.849998,99.809998,1483500,95.077285
2014-04-03,100.300003,100.57,99.349998,100.040001,1126800,95.296382
2014-04-04,100.43,100.809998,97.5,97.610001,1733600,92.981605
2014-04-07,97.599998,98.18,96.529999,96.910004,1486000,92.3148
2014-04-08,96.860001,96.879997,95.449997,96.339996,1581100,91.771821
2014-04-09,97.589996,99.650002,97.169998,99.419998,2481900,94.705778
2014-04-10,99.120003,99.209999,96.839996,97.07,1527600,92.46721
2014-04-11,96.709999,97.339996,96.279999,96.400002,1761700,91.828981
2014-04-14,96.830002,97.839996,96.459999,97.510002,1513700,92.886349
2014-04-15,97.389999,97.980003,95.870003,97.919998,1566900,93.276904
2014-04-16,98.529999,99.059998,97.699997,99.029999,1278100,94.334271
2014-04-17,98.900002,100.360001,98.900002,100.129997,1217800,95.382111
2014-04-21,101.5,101.620003,100.5,101.470001,1932100,96.658575
2014-04-22,101.139999,102.330002,99.459999,99.5,2381100,94.781986
2014-04-23,99.919998,100.860001,99.099998,100.230003,2144700,95.477375
2014-04-24,98.510002,98.510002,94.550003,95.919998,3346000,91.371738
2014-04-25,96.029999,96.129997,94.639999,94.900002,2847400,90.400107
2014-04-28,96.279999,96.389999,94.5,95.440002,2773500,90.914503
2014-04-29,95.900002,96.349998,95.330002,95.900002,2501100,91.35269
2014-04-30,95.879997,96.279999,95.120003,95.480003,2564800,90.952607
2014-05-01,95.360001,96.209999,94.620003,95.410004,1925500,90.885926
2014-05-02,95.370003,96.330002,95.269997,95.830002,2054300,91.286009
2014-05-05,95.550003,96.860001,95.43,96.730003,1894800,92.143335
