Date,Open_SHW,High_SHW,Low_SHW,Close_SHW,Volume_SHW,AdjClose_SHW
2014-07-18,210.809998,212.380005,209.740005,212.179993,1241100,207.83464
2014-07-21,212.110001,212.660004,211.199997,212.580002,615300,208.226457
2014-07-22,212.669998,214.929993,212.580002,213.960007,593500,209.5782
2014-07-23,215.0,215.619995,213.809998,214.610001,474000,210.214882
2014-07-24,215.050003,215.050003,213.179993,213.470001,544100,209.09823
2014-07-25,213.470001,214.5,212.529999,212.770004,347900,208.412568
2014-07-28,213.0,213.789993,211.600006,212.649994,529600,208.295016
2014-07-29,212.949997,213.440002,210.729996,210.740005,574900,206.424143
2014-07-30,210.940002,211.830002,209.720001,210.160004,561700,205.856019
2014-07-31,209.779999,209.869995,206.050003,206.229996,595600,202.006496
2014-08-01,205.440002,206.160004,203.649994,204.759995,882100,200.5666
2014-08-04,205.830002,208.839996,203.919998,208.380005,520000,204.112474
2014-08-05,207.279999,208.449997,204.630005,205.020004,777200,200.821285
2014-08-06,204.970001,207.529999,204.970001,207.399994,828700,203.152533
2014-08-07,208.130005,208.330002,205.270004,205.850006,748900,201.634289
2014-08-08,206.699997,209.059998,206.110001,208.910004,605700,204.631619
2014-08-11,209.210007,210.770004,208.550003,208.839996,339800,204.563045
2014-08-12,208.679993,210.960007,208.630005,210.619995,530000,206.30659
2014-08-13,211.130005,212.059998,209.910004,211.75,396800,207.956497
2014-08-14,212.539993,212.830002,210.979996,211.809998,420700,208.015419
2014-08-15,212.720001,213.839996,210.839996,212.800003,466100,208.987689
2014-08-18,213.619995,214.490005,212.940002,214.130005,390900,210.293864
2014-08-19,214.960007,214.979996,214.059998,214.350006,325900,210.509924
2014-08-20,214.119995,215.449997,213.490005,215.039993,404600,211.18755
2014-08-21,215.449997,217.850006,215.289993,217.25,482100,213.357964
2014-08-22,217.25,217.990005,216.300003,216.960007,291500,213.073166
2014-08-25,217.550003,218.0,216.589996,217.589996,350400,213.691869
2014-08-26,217.649994,218.5,216.830002,217.800003,255700,213.898114
2014-08-27,218.0,218.320007,216.389999,217.630005,419600,213.731161
2014-08-28,216.550003,219.210007,216.0,218.130005,277600,214.222204
2014-08-29,217.869995,218.320007,216.899994,218.110001,300700,214.202558
2014-09-02,218.589996,219.020004,217.029999,217.570007,370600,213.672238
2014-09-03,218.779999,219.199997,216.690002,217.229996,317700,213.338318
2014-09-04,217.130005,218.770004,216.899994,217.449997,283700,213.554378
2014-09-05,216.889999,218.5,216.339996,218.289993,398400,214.379326
2014-09-08,218.25,218.509995,216.940002,217.919998,280600,214.015959
2014-09-09,217.210007,217.559998,216.350006,216.520004,409800,212.641046
2014-09-10,217.110001,217.160004,215.949997,216.800003,404700,212.916029
2014-09-11,216.449997,218.210007,216.119995,218.039993,388800,214.133805
2014-09-12,217.449997,217.729996,214.679993,215.550003,421100,211.688422
2014-09-15,215.160004,215.910004,213.610001,215.179993,442800,211.325041
2014-09-16,215.229996,217.710007,214.699997,216.520004,471700,212.641046
2014-09-17,216.940002,218.289993,216.110001,217.089996,292500,213.200827
2014-09-18,217.979996,220.470001,217.649994,219.860001,441800,215.921206
2014-09-19,221.059998,221.270004,219.899994,220.539993,712900,216.589017
2014-09-22,220.039993,220.820007,219.050003,219.050003,478600,215.12572
2014-09-23,218.880005,219.949997,218.399994,218.479996,461200,214.565924
2014-09-24,218.669998,221.440002,218.199997,221.009995,506500,217.050598
2014-09-25,220.110001,220.979996,218.360001,218.369995,402800,214.457894
2014-09-26,218.25,221.179993,218.220001,220.789993,366600,216.834538
2014-09-29,219.610001,222.529999,218.809998,221.440002,473300,217.472902
2014-09-30,220.470001,221.75,218.800003,218.990005,548600,215.066797
2014-10-01,218.630005,218.910004,213.070007,213.740005,509100,209.910851
2014-10-02,213.720001,214.990005,211.360001,214.509995,449900,210.667046
2014-10-03,215.210007,217.529999,215.210007,215.990005,386600,212.120542
2014-10-06,216.320007,217.100006,213.869995,214.639999,543900,210.794722
2014-10-07,214.039993,214.460007,211.440002,211.440002,495800,207.652053
2014-10-08,212.539993,217.059998,211.729996,216.759995,650800,212.876737
2014-10-09,216.789993,217.309998,213.990005,214.009995,667300,210.176003
2014-10-10,214.0,216.729996,213.110001,213.139999,565900,209.321594
2014-10-13,213.919998,214.460007,203.539993,204.080002,1147100,200.423906
2014-10-14,204.369995,207.350006,203.270004,205.770004,752100,202.083632
2014-10-15,202.570007,211.279999,202.009995,210.520004,1124200,206.748536
2014-10-16,206.259995,212.490005,206.259995,211.589996,549300,207.799359
2014-10-17,213.759995,218.800003,213.470001,217.009995,891500,213.122258
2014-10-20,217.0,220.300003,216.720001,219.800003,580500,215.862284
2014-10-21,221.800003,227.330002,220.509995,226.970001,669300,222.903831
2014-10-22,227.029999,229.619995,225.830002,225.919998,681500,221.872639
2014-10-23,228.300003,228.639999,225.309998,225.809998,822700,221.764609
2014-10-24,226.800003,229.259995,225.589996,228.910004,566900,224.809079
2014-10-27,227.440002,228.240005,223.570007,225.679993,871000,221.636933
2014-10-28,225.710007,229.5,223.179993,224.0,861200,219.987038
2014-10-29,224.089996,224.630005,220.130005,221.850006,1589200,217.875561
2014-10-30,221.470001,226.479996,221.470001,225.160004,901800,221.12626
2014-10-31,227.410004,229.729996,227.289993,229.559998,970500,225.447428
2014-11-03,229.880005,230.550003,227.869995,229.279999,700400,225.172445
2014-11-04,229.279999,230.889999,227.199997,228.270004,765600,224.180545
2014-11-05,230.630005,231.199997,228.820007,230.389999,772500,226.26256
2014-11-06,230.190002,233.770004,229.0,233.220001,643200,229.041862
2014-11-07,234.029999,236.300003,233.139999,236.039993,731000,231.811334
2014-11-10,236.440002,236.880005,235.100006,236.720001,475300,232.47916
2014-11-11,237.0,238.350006,236.070007,237.619995,495400,233.36303
2014-11-12,236.630005,238.419998,235.419998,238.100006,451800,234.376926
2014-11-13,239.130005,240.360001,237.509995,239.630005,607000,235.883001
2014-11-14,239.020004,240.479996,238.380005,239.649994,446600,235.902677
2014-11-17,239.300003,240.919998,238.679993,239.309998,390900,235.567997
2014-11-18,239.199997,241.580002,239.130005,241.320007,350600,237.546577
2014-11-19,241.339996,241.589996,239.710007,240.850006,413700,237.083925
2014-11-20,239.309998,242.369995,238.880005,242.240005,412500,238.45219
2014-11-21,244.419998,244.860001,240.669998,242.050003,538200,238.265158
2014-11-24,242.910004,242.910004,240.490005,242.029999,431200,238.245467
2014-11-25,241.929993,244.009995,239.820007,239.820007,688500,236.070032
2014-11-26,238.919998,240.729996,238.919998,240.600006,402300,236.837835
2014-11-28,242.059998,249.660004,241.25,244.860001,529300,241.031217
2014-12-01,244.490005,245.470001,242.369995,243.070007,716900,239.269213
2014-12-02,242.809998,244.779999,242.289993,244.550003,640800,240.726067
2014-12-03,243.139999,246.75,243.139999,246.449997,665300,242.596351
2014-12-04,246.339996,249.0,246.149994,247.710007,666100,243.836659
2014-12-05,247.5,249.5,246.399994,246.869995,633400,243.009782
2014-12-08,247.320007,250.0,246.039993,249.5,582300,245.598663
2014-12-09,247.580002,249.800003,246.029999,249.580002,384200,245.677413
2014-12-10,249.009995,249.649994,246.460007,246.800003,492000,242.940884
2014-12-11,250.889999,256.160004,248.059998,254.210007,1077500,250.235021
2014-12-12,250.089996,252.830002,244.300003,247.240005,1094300,243.374007
2014-12-15,248.690002,249.350006,243.110001,246.619995,696900,242.763691
2014-12-16,246.600006,250.960007,245.330002,245.660004,701400,241.818711
2014-12-17,247.440002,253.550003,245.990005,252.330002,722000,248.384413
2014-12-18,253.570007,257.109985,253.100006,257.109985,633300,253.089653
2014-12-19,259.149994,260.519989,256.73999,260.070007,885000,256.003391
2014-12-22,260.089996,261.959991,259.600006,261.649994,454200,257.558672
2014-12-23,263.109985,264.25,262.190002,263.089996,372700,258.976157
2014-12-24,264.059998,265.339996,262.920013,264.549988,200800,260.413319
2014-12-26,264.640015,266.230011,264.149994,264.850006,299500,260.708646
2014-12-29,264.5,265.440002,263.350006,264.799988,372300,260.65941
2014-12-30,264.76001,265.859985,264.170013,264.929993,325600,260.787382
2014-12-31,264.970001,266.25,263.040009,263.040009,359400,258.926951
2015-01-02,262.179993,264.940002,260.339996,262.440002,566800,258.336327
2015-01-05,260.149994,262.48999,259.779999,261.660004,720600,257.568525
2015-01-06,261.059998,264.440002,259.109985,260.869995,711000,256.790869
2015-01-07,262.820007,265.380005,261.0,265.320007,829100,261.171298
2015-01-08,266.019989,273.589996,265.589996,272.579987,1078700,268.317756
2015-01-09,272.950012,275.540009,271.01001,274.420013,970300,270.129011
2015-01-12,273.23999,274.170013,270.890015,271.100006,903600,266.860918
2015-01-13,274.26001,274.26001,266.959991,269.140015,785600,264.931574
2015-01-14,265.48999,269.820007,265.48999,269.220001,694600,265.01031
2015-01-15,269.220001,273.23999,268.329987,270.589996,721200,266.358883
2015-01-16,271.480011,274.549988,269.670013,273.820007,835400,269.538387
2015-01-20,273.679993,276.230011,270.390015,272.51001,639300,268.248874
2015-01-21,273.140015,275.390015,271.959991,273.220001,550400,268.947763
2015-01-22,275.48999,277.290009,272.769989,277.109985,594000,272.776921
2015-01-23,277.070007,277.119995,273.299988,274.01001,484000,269.725419
2015-01-26,274.290009,275.450012,272.579987,275.290009,471600,270.985402
2015-01-27,275.0,275.380005,272.0,274.179993,627500,269.892744
2015-01-28,275.73999,276.820007,270.450012,270.929993,685100,266.693563
2015-01-29,269.119995,275.720001,265.140015,274.869995,711400,270.571957
2015-01-30,273.730011,276.0,271.179993,271.269989,990700,267.028242
2015-02-02,272.76001,274.380005,268.429993,272.859985,731200,268.593377
2015-02-03,273.920013,274.0,270.309998,273.570007,898100,269.292296
2015-02-04,271.209991,277.0,271.209991,274.100006,761700,269.814008
2015-02-05,275.420013,278.119995,274.790009,277.899994,536200,273.554576
2015-02-06,277.700012,280.790009,276.589996,280.309998,568500,275.926896
2015-02-09,279.980011,280.589996,274.040009,274.390015,664200,270.099481
2015-02-10,275.700012,280.380005,273.640015,280.059998,644300,275.680805
2015-02-11,280.01001,280.890015,277.01001,277.950012,516500,273.603813
2015-02-12,278.549988,283.179993,278.549988,283.019989,476200,278.594512
2015-02-13,283.0,285.51001,282.48999,285.0,523000,280.543562
2015-02-17,284.209991,287.799988,283.980011,286.100006,508200,281.626368
2015-02-18,285.429993,288.200012,285.049988,288.049988,441400,283.545859
2015-02-19,288.040009,289.279999,286.100006,286.76001,374100,282.276052
2015-02-20,286.51001,290.290009,285.01001,289.75,451100,285.219289
2015-02-23,289.75,290.5,288.170013,289.559998,474700,285.032257
2015-02-24,289.649994,291.269989,288.339996,290.619995,433500,286.07568
2015-02-25,290.459991,290.910004,287.559998,287.75,440800,283.250562
2015-02-26,287.019989,289.730011,286.359985,287.700012,558700,283.862318
2015-02-27,287.809998,288.309998,285.059998,285.200012,527000,281.395666
2015-03-02,285.200012,290.98999,285.200012,290.890015,698300,287.009768
2015-03-03,288.75,289.920013,283.220001,285.929993,617900,282.115909
2015-03-04,284.869995,288.450012,282.720001,285.910004,696500,282.096187
2015-03-05,286.429993,289.769989,286.119995,289.170013,689800,285.312711
2015-03-06,287.790009,289.209991,285.429993,286.440002,575800,282.619116
2015-03-09,286.920013,288.399994,284.820007,285.73999,577000,281.928441
2015-03-10,283.350006,284.420013,281.420013,281.459991,576600,277.705534
2015-03-11,282.130005,282.880005,280.920013,280.950012,554300,277.202358
2015-03-12,282.109985,286.23999,281.040009,285.230011,515300,281.425265
2015-03-13,284.75,286.140015,283.779999,285.23999,570900,281.435111
2015-03-16,285.829987,288.630005,285.350006,288.140015,600400,284.296451
2015-03-17,286.660004,287.540009,285.380005,286.049988,568800,282.234304
2015-03-18,285.290009,286.040009,275.839996,282.799988,1240200,279.027656
2015-03-19,283.140015,285.769989,282.359985,284.48999,858200,280.695115
2015-03-20,286.5,290.0,284.790009,290.0,2149800,286.131626
2015-03-23,287.899994,289.600006,286.850006,287.859985,782600,284.020157
2015-03-24,287.109985,288.25,285.579987,285.859985,930600,282.046836
2015-03-25,286.829987,287.850006,281.200012,281.350006,761500,277.597016
2015-03-26,280.73999,280.950012,278.279999,279.320007,708300,275.594096
2015-03-27,280.390015,282.109985,278.76001,281.679993,484900,277.922601
2015-03-30,284.290009,285.040009,282.730011,284.23999,436700,280.44845
2015-03-31,281.970001,285.950012,281.950012,284.5,619900,280.704991
2015-04-01,285.130005,285.869995,282.470001,285.820007,691300,282.007391
2015-04-02,286.200012,287.230011,283.170013,284.350006,706600,280.556998
2015-04-06,283.309998,287.149994,282.570007,286.880005,489800,283.053249
2015-04-07,286.880005,289.0,285.549988,287.600006,484900,283.763646
2015-04-08,288.5,290.649994,287.940002,290.649994,545500,286.772949
2015-04-09,290.459991,292.420013,289.690002,291.049988,631000,287.167608
2015-04-10,291.799988,292.459991,289.899994,290.649994,529600,286.772949
2015-04-13,291.529999,292.51001,289.269989,289.799988,744100,285.934282
2015-04-14,290.450012,291.390015,288.619995,290.190002,511800,286.319094
2015-04-15,291.359985,292.309998,287.399994,288.730011,643900,284.878577
2015-04-16,285.98999,287.850006,280.0,283.809998,1331300,280.024193
2015-04-17,281.940002,284.690002,280.890015,282.140015,940400,278.376487
2015-04-20,283.519989,285.01001,280.899994,281.910004,591700,278.149544
2015-04-21,283.309998,284.019989,280.970001,282.420013,564000,278.65275
2015-04-22,282.899994,282.899994,279.75,281.640015,529000,277.883156
2015-04-23,281.25,283.640015,280.079987,282.359985,704100,278.593523
2015-04-24,282.720001,284.339996,281.179993,282.619995,718300,278.850064
2015-04-27,282.940002,284.76001,282.040009,282.910004,682100,279.136204
2015-04-28,282.309998,283.079987,280.170013,281.880005,753100,278.119945
2015-04-29,281.140015,281.820007,277.170013,279.200012,975900,275.475701
2015-04-30,278.049988,281.170013,277.309998,278.0,1058900,274.291696
2015-05-01,279.579987,283.25,278.200012,282.160004,527400,278.396209
2015-05-04,282.23999,284.089996,279.690002,280.040009,546600,276.304493
2015-05-05,280.579987,281.089996,274.130005,274.929993,719400,271.262641
2015-05-06,276.179993,278.190002,274.019989,277.890015,627400,274.183178
2015-05-07,278.649994,281.940002,277.480011,281.399994,615000,277.646337
2015-05-08,284.630005,288.470001,283.790009,287.200012,784100,283.368988
2015-05-11,287.0,288.769989,285.950012,286.950012,539800,283.122322
2015-05-12,286.140015,289.839996,284.540009,288.709991,735200,284.858825
2015-05-13,287.910004,289.549988,285.040009,287.929993,758600,284.750035
2015-05-14,288.959991,291.73999,288.170013,291.299988,478500,288.082811
