Date,Open_PXD,High_PXD,Low_PXD,Close_PXD,Volume_PXD,AdjClose_PXD
2014-01-07,174.910004,177.289993,174.330002,175.169998,1211100,174.944213
2014-01-08,175.0,177.389999,174.0,175.369995,1264500,175.143952
2014-01-09,175.410004,176.729996,167.850006,171.520004,2402600,171.298923
2014-01-10,171.75,172.699997,169.050003,169.75,1430200,169.531201
2014-01-13,169.309998,170.5,164.460007,164.779999,1745600,164.567606
2014-01-14,163.899994,172.389999,163.899994,172.169998,2001200,171.94808
2014-01-15,172.259995,175.240005,171.270004,172.960007,1356600,172.73707
2014-01-16,171.350006,175.660004,171.179993,175.520004,1371400,175.293768
2014-01-17,178.460007,179.600006,174.080002,174.699997,2315900,174.474817
2014-01-21,173.369995,179.919998,173.369995,179.729996,2310200,179.498333
2014-01-22,180.039993,184.169998,177.830002,183.990005,1841600,183.752851
2014-01-23,182.589996,184.240005,179.0,179.740005,1452500,179.50833
2014-01-24,177.820007,178.360001,172.729996,172.729996,1587100,172.507355
2014-01-27,172.5,174.570007,168.110001,171.270004,1739200,171.049246
2014-01-28,171.779999,175.020004,171.059998,174.490005,1666000,174.265097
2014-01-29,171.350006,171.479996,165.899994,167.690002,2918000,167.473858
2014-01-30,169.229996,174.509995,169.229996,172.389999,1800800,172.167797
2014-01-31,169.210007,172.25,168.75,169.320007,1029300,169.101762
2014-02-03,169.360001,172.240005,164.100006,165.210007,2001900,164.997059
2014-02-04,166.970001,173.940002,166.25,171.910004,2341000,171.68842
2014-02-05,171.830002,175.240005,169.369995,174.949997,2357000,174.724495
2014-02-06,174.75,181.5,174.75,180.179993,2215200,179.94775
2014-02-07,181.539993,185.869995,180.759995,185.059998,2881800,184.821464
2014-02-10,184.75,188.880005,182.440002,186.929993,2981600,186.689049
2014-02-11,181.399994,185.289993,177.190002,180.660004,5213500,180.427142
2014-02-12,181.479996,182.539993,179.309998,180.169998,2242600,179.937768
2014-02-13,179.0,181.380005,177.889999,179.5,1525000,179.268633
2014-02-14,179.630005,186.149994,178.779999,185.300003,1798500,185.061161
2014-02-18,186.720001,190.990005,182.710007,189.880005,1918900,189.635259
2014-02-19,189.210007,191.75,187.679993,188.039993,1586000,187.797619
2014-02-20,187.720001,191.25,187.610001,189.600006,2009400,189.355621
2014-02-21,190.240005,190.5,186.429993,187.080002,1442000,186.838865
2014-02-24,188.649994,197.529999,188.169998,194.740005,2348000,194.488995
2014-02-25,194.139999,194.5,190.789993,193.399994,1664700,193.150711
2014-02-26,193.600006,194.5,190.929993,191.830002,1049500,191.582742
2014-02-27,191.600006,196.210007,190.789993,195.0,1216400,194.748655
2014-02-28,195.050003,204.169998,195.0,201.179993,2449300,200.920682
2014-03-03,199.470001,205.889999,199.440002,202.490005,1571000,202.229006
2014-03-04,204.410004,205.0,201.610001,204.509995,1107100,204.246391
2014-03-05,203.509995,204.240005,198.559998,198.869995,1948500,198.613662
2014-03-06,198.960007,198.960007,196.300003,198.320007,1198100,198.064383
2014-03-07,198.990005,199.369995,195.889999,196.0,1240800,195.747366
2014-03-10,195.169998,195.5,192.279999,194.919998,1274700,194.668756
2014-03-11,195.740005,195.809998,187.179993,188.580002,1404700,188.336932
2014-03-12,186.440002,187.690002,181.600006,186.679993,2070200,186.439371
2014-03-13,187.110001,187.389999,181.800003,182.889999,1153400,182.654263
2014-03-14,183.389999,186.949997,181.179993,186.270004,1094700,186.029911
2014-03-17,186.279999,188.020004,183.029999,185.570007,1388600,185.330817
2014-03-18,186.449997,190.25,185.020004,188.100006,1257100,187.857555
2014-03-19,187.850006,187.850006,183.289993,185.470001,1276000,185.23094
2014-03-20,184.240005,185.850006,182.5,184.539993,1085800,184.30213
2014-03-21,186.199997,187.429993,182.809998,186.089996,1850700,185.850136
2014-03-24,186.509995,187.100006,177.320007,181.850006,2338300,181.61561
2014-03-25,183.619995,184.220001,179.889999,180.940002,1194400,180.70678
2014-03-26,182.240005,183.679993,179.710007,179.910004,1020200,179.678109
2014-03-27,180.770004,186.369995,179.179993,185.440002,1457500,185.242163
2014-03-28,187.289993,190.25,187.270004,188.850006,1450400,188.648529
2014-03-31,190.0,190.0,186.570007,187.139999,1287400,186.940347
2014-04-01,187.539993,188.869995,183.710007,185.710007,1352700,185.511879
