Date,Open_NSC,High_NSC,Low_NSC,Close_NSC,Volume_NSC,AdjClose_NSC
2014-10-22,106.510002,109.690002,106.309998,106.5,4253000,101.071439
2014-10-23,107.760002,108.739998,107.0,107.870003,2711200,102.37161
2014-10-24,108.120003,109.440002,107.660004,109.389999,1496800,103.814128
2014-10-27,109.07,109.839996,108.449997,109.360001,1243300,103.785659
2014-10-28,109.790001,111.379997,109.790001,111.300003,1596100,105.626775
2014-10-29,111.419998,111.970001,109.410004,110.68,1515800,105.038375
2014-10-30,109.910004,110.389999,109.080002,109.540001,2304700,103.956484
2014-10-31,111.279999,111.419998,109.760002,110.639999,3024700,105.000413
2014-11-03,110.5,110.949997,108.550003,109.410004,2623600,103.833113
2014-11-04,109.43,110.099998,108.470001,108.790001,2677800,103.244713
2014-11-05,108.220001,110.309998,108.129997,109.790001,1765400,104.742533
2014-11-06,110.309998,111.150002,109.5,110.720001,1699700,105.629778
2014-11-07,113.93,114.400002,111.93,112.860001,2252100,107.671393
2014-11-10,114.75,116.599998,114.660004,116.599998,2620300,111.239449
2014-11-11,116.559998,116.980003,115.720001,116.629997,1744700,111.268069
2014-11-12,115.839996,117.260002,115.790001,116.660004,2025300,111.296696
2014-11-13,116.870003,116.919998,115.160004,115.449997,1834000,110.142318
2014-11-14,115.480003,116.510002,115.290001,116.029999,1028300,110.695654
2014-11-17,115.279999,116.220001,114.849998,115.830002,1236100,110.504852
2014-11-18,115.779999,116.410004,114.839996,115.379997,1055400,110.075536
2014-11-19,115.059998,115.589996,114.43,115.169998,1151800,109.875191
2014-11-20,114.550003,115.440002,114.529999,115.379997,875800,110.075536
2014-11-21,116.169998,116.169998,114.68,115.360001,1700700,110.056459
2014-11-24,115.699997,116.919998,115.599998,116.349998,960300,111.000943
2014-11-25,116.620003,117.639999,116.529999,117.129997,1168600,111.745082
2014-11-26,117.029999,117.309998,116.589996,117.199997,716500,111.811863
2014-11-28,116.790001,116.839996,111.360001,111.639999,2390500,106.50748
2014-12-01,111.080002,111.080002,104.480003,106.360001,5433400,101.470223
2014-12-02,106.470001,109.370003,105.830002,109.300003,3584100,104.275062
2014-12-03,109.650002,111.93,109.620003,111.889999,2570600,106.745987
2014-12-04,110.5,111.040001,106.980003,107.300003,3494200,102.36701
2014-12-05,108.169998,108.870003,106.730003,107.07,2944000,102.147581
2014-12-08,106.489998,106.489998,102.830002,103.400002,2849300,98.646307
2014-12-09,102.150002,104.110001,101.43,104.080002,2312900,99.295045
2014-12-10,103.519997,103.690002,101.019997,101.279999,2427400,96.623769
2014-12-11,102.389999,103.790001,101.150002,102.629997,2511800,97.911702
2014-12-12,102.099998,104.07,101.540001,101.550003,2979800,96.88136
2014-12-15,102.160004,103.07,101.360001,101.669998,2535100,96.995838
2014-12-16,101.25,104.449997,101.059998,102.330002,2335100,97.625499
2014-12-17,102.489998,105.589996,101.449997,105.25,3251000,100.411254
2014-12-18,106.779999,109.0,106.669998,108.980003,3755700,103.969774
2014-12-19,109.18,109.599998,108.089996,109.050003,3011100,104.036556
2014-12-22,109.419998,110.32,108.199997,110.019997,1793200,104.961955
2014-12-23,110.529999,111.559998,110.18,111.199997,1286600,106.087706
2014-12-24,111.5,111.800003,110.610001,111.410004,754700,106.288058
2014-12-26,111.559998,112.059998,111.019997,111.540001,918300,106.412079
2014-12-29,110.830002,112.059998,110.470001,111.790001,954400,106.650586
2014-12-30,111.370003,112.220001,110.400002,110.82,993200,105.725179
2014-12-31,111.230003,111.230003,109.410004,109.610001,1045200,104.570808
2015-01-02,110.699997,111.059998,107.910004,109.150002,1424900,104.131957
2015-01-05,108.709999,108.889999,106.25,106.389999,2801100,101.498843
2015-01-06,105.57,105.870003,102.540001,103.0,4233200,98.264695
2015-01-07,103.699997,104.230003,102.010002,103.0,3746700,98.264695
2015-01-08,103.709999,104.919998,102.919998,103.989998,3064400,99.209179
2015-01-09,103.879997,104.699997,102.620003,103.169998,2909900,98.426877
2015-01-12,102.209999,102.690002,101.019997,101.970001,3320000,97.282049
2015-01-13,103.239998,103.790001,100.129997,101.489998,2914200,96.824113
2015-01-14,99.82,101.519997,99.800003,101.07,3238500,96.423424
2015-01-15,101.07,103.07,101.07,101.839996,2607000,97.158021
2015-01-16,101.790001,103.669998,101.790001,103.580002,2512000,98.818032
2015-01-20,104.0,104.339996,102.779999,103.449997,1997300,98.694004
2015-01-21,103.190002,104.980003,102.599998,104.349998,1272400,99.552629
2015-01-22,105.449997,106.550003,105.110001,106.089996,1474100,101.212632
2015-01-23,106.129997,106.129997,104.75,104.779999,1920600,99.96286
2015-01-26,102.239998,107.279999,101.459999,106.110001,2763200,101.231717
2015-01-27,104.879997,105.059998,103.389999,104.190002,2110400,99.399988
2015-01-28,105.040001,105.230003,102.910004,103.0,2040500,98.264695
2015-01-29,102.879997,104.019997,101.959999,103.790001,1897900,99.018376
2015-01-30,102.660004,103.370003,101.919998,101.970001,2527100,97.282049
2015-02-02,102.199997,104.059998,102.089996,104.029999,2113600,99.247341
2015-02-03,105.25,107.379997,104.639999,107.269997,2753900,102.338383
2015-02-04,105.989998,106.959999,105.690002,106.349998,2844900,102.021818
2015-02-05,106.639999,108.169998,106.540001,107.849998,2651300,103.460772
2015-02-06,108.169998,108.489998,107.339996,107.790001,2807700,103.403216
2015-02-09,107.639999,108.470001,107.309998,107.989998,2333600,103.595073
2015-02-10,108.349998,108.879997,107.669998,108.599998,1644100,104.180248
2015-02-11,108.25,109.5,108.089996,109.110001,1376900,104.669495
2015-02-12,109.370003,110.160004,109.290001,110.080002,1242500,105.600019
2015-02-13,110.169998,110.889999,109.5,109.910004,1575700,105.43694
2015-02-17,109.400002,110.75,109.239998,110.669998,1652100,106.166004
2015-02-18,110.209999,111.230003,110.120003,111.209999,1654800,106.684028
2015-02-19,110.769997,112.050003,110.540001,111.589996,1835300,107.048561
2015-02-20,111.279999,111.919998,110.68,111.730003,1500800,107.18287
2015-02-23,111.029999,111.150002,110.419998,110.93,1599000,106.415425
2015-02-24,110.910004,111.309998,110.690002,110.870003,1253700,106.357869
2015-02-25,111.360001,111.639999,110.580002,110.839996,1133700,106.329084
2015-02-26,110.800003,111.120003,109.709999,109.949997,2955700,105.475305
2015-02-27,110.230003,110.290001,108.940002,109.160004,2512000,104.717463
2015-03-02,109.610001,110.25,109.360001,110.25,2227100,105.763099
2015-03-03,108.959999,109.279999,107.900002,108.370003,3251500,103.959613
2015-03-04,107.75,109.139999,107.489998,108.940002,2330400,104.506415
2015-03-05,109.300003,109.349998,108.519997,109.160004,1917300,104.717463
2015-03-06,108.129997,109.0,107.839996,108.209999,1698000,103.806121
2015-03-09,107.879997,109.059998,107.830002,109.029999,1881700,104.592749
2015-03-10,108.0,108.379997,107.389999,107.580002,2342600,103.201763
