Date,Open_AXP,High_AXP,Low_AXP,Close_AXP,Volume_AXP,AdjClose_AXP
2014-03-26,91.360001,91.690002,89.629997,89.660004,3011200,86.902565
2014-03-27,89.699997,90.43,89.269997,89.989998,3602800,87.222411
2014-03-28,90.269997,91.559998,90.0,90.459999,3138900,87.677957
2014-03-31,91.080002,91.940002,89.879997,90.029999,5172400,87.261181
2014-04-01,90.400002,91.230003,90.209999,91.169998,2821600,88.366121
2014-04-02,90.849998,91.089996,90.129997,90.400002,2886700,87.841408
2014-04-03,90.669998,91.199997,90.400002,90.980003,2483600,88.404994
2014-04-04,91.169998,91.400002,89.07,89.169998,2933600,86.646217
2014-04-07,89.029999,89.43,86.550003,86.599998,5557600,84.148956
2014-04-08,86.629997,86.800003,85.580002,86.489998,3880300,84.042069
2014-04-09,86.900002,88.720001,86.639999,88.720001,3592900,86.208957
2014-04-10,88.470001,88.75,85.300003,85.360001,5213800,82.944054
2014-04-11,84.900002,85.449997,83.989998,84.540001,4014300,82.147263
2014-04-14,85.089996,86.339996,84.040001,85.5,4011900,83.080091
2014-04-15,85.870003,86.730003,84.32,86.040001,3741700,83.604808
2014-04-16,86.839996,87.480003,86.480003,87.400002,4055100,84.926317
2014-04-17,87.160004,87.919998,85.099998,86.220001,9244400,83.779714
2014-04-21,86.379997,86.860001,86.160004,86.669998,3762300,84.216975
2014-04-22,86.709999,87.440002,86.43,87.07,3420400,84.605655
2014-04-23,87.010002,87.639999,86.669998,87.129997,3788200,84.663955
2014-04-24,87.260002,87.980003,86.910004,87.410004,3187000,84.936036
2014-04-25,87.019997,87.300003,86.620003,87.029999,4226100,84.566786
2014-04-28,87.440002,87.580002,85.849998,87.059998,4760400,84.595936
2014-04-29,87.339996,87.949997,87.190002,87.790001,2852900,85.305278
2014-04-30,87.610001,87.660004,86.959999,87.43,4351600,84.955467
2014-05-01,87.529999,87.580002,86.330002,86.82,4679900,84.362731
2014-05-02,86.769997,87.309998,86.410004,86.93,3707400,84.469618
2014-05-05,86.0,87.419998,85.75,87.360001,3340000,84.887448
2014-05-06,87.25,87.25,86.080002,86.199997,3269400,83.760276
2014-05-07,86.790001,88.050003,86.110001,87.980003,4601500,85.489903
2014-05-08,87.879997,89.279999,87.660004,88.620003,4220200,86.111788
2014-05-09,88.459999,89.029999,88.129997,88.839996,2344700,86.325556
2014-05-12,89.419998,89.970001,89.32,89.660004,2343800,87.122354
2014-05-13,89.650002,90.0,89.040001,89.089996,2298500,86.56848
2014-05-14,89.169998,89.43,88.309998,88.459999,2238500,85.956313
2014-05-15,88.199997,88.580002,87.110001,87.599998,3324400,85.120653
