Date,Open_ECL,High_ECL,Low_ECL,Close_ECL,Volume_ECL,AdjClose_ECL
2015-09-09,110.32,112.0,110.0,110.519997,2552200,109.491885
2015-09-10,110.139999,111.419998,109.690002,110.440002,1620800,109.412635
2015-09-11,109.379997,110.209999,108.779999,109.989998,1095800,109.293393
2015-09-14,110.010002,110.300003,108.470001,108.919998,1231300,108.23017
2015-09-15,109.510002,110.82,109.019997,110.209999,1489600,109.512
2015-09-16,110.129997,113.75,110.129997,113.599998,1600900,112.88053
2015-09-17,113.449997,115.349998,113.040001,113.540001,1597600,112.820912
2015-09-18,112.300003,113.089996,111.68,112.550003,1898400,111.837184
2015-09-21,113.089996,113.870003,112.489998,112.730003,881600,112.016045
2015-09-22,111.5,111.690002,110.019997,110.860001,984800,110.157885
2015-09-23,111.010002,111.040001,109.650002,110.040001,1073900,109.343079
2015-09-24,109.050003,111.0,108.690002,110.540001,1417800,109.839912
2015-09-25,111.489998,111.68,109.809998,110.459999,1417600,109.760417
2015-09-28,109.540001,110.18,107.279999,107.32,1454600,106.640304
2015-09-29,107.75,108.730003,107.029999,108.360001,1674300,107.673719
2015-09-30,109.32,110.040001,108.580002,109.720001,1696100,109.025106
2015-10-01,110.209999,112.400002,109.639999,112.330002,1800900,111.618576
2015-10-02,110.879997,114.230003,110.699997,114.199997,1507500,113.476728
2015-10-05,114.949997,115.779999,114.510002,115.739998,1526500,115.006976
2015-10-06,115.739998,117.550003,115.550003,117.190002,1964800,116.447797
2015-10-07,117.5,118.360001,116.129997,118.269997,1764400,117.520951
2015-10-08,118.110001,120.730003,117.720001,120.529999,1650500,119.76664
2015-10-09,119.0,120.739998,118.959999,120.540001,2142600,119.776579
2015-10-12,120.150002,120.800003,119.410004,120.57,991900,119.806388
2015-10-13,119.629997,121.059998,119.120003,120.160004,1645200,119.398988
2015-10-14,120.129997,121.889999,119.900002,121.339996,1109300,120.571508
2015-10-15,121.599998,121.870003,120.230003,121.580002,902700,120.809993
2015-10-16,122.190002,122.300003,120.839996,122.099998,1077800,121.326696
2015-10-19,120.669998,120.940002,118.43,119.379997,2008100,118.623922
2015-10-20,119.129997,120.059998,118.779999,119.43,1113000,118.673608
2015-10-21,119.900002,120.0,117.529999,117.900002,1260600,117.153299
2015-10-22,118.82,120.769997,118.339996,120.550003,2349600,119.786518
2015-10-23,121.25,121.620003,119.669998,119.989998,1407400,119.230059
2015-10-26,120.230003,120.849998,119.410004,119.580002,1182500,118.82266
2015-10-27,119.07,119.400002,117.809998,118.529999,998500,117.779307
2015-10-28,118.650002,119.690002,118.209999,119.589996,1060200,118.832591
2015-10-29,119.029999,120.18,119.010002,119.93,945600,119.170442
2015-10-30,119.889999,120.940002,119.720001,120.349998,1920200,119.58778
2015-11-02,116.099998,120.339996,114.379997,117.989998,3627900,117.242726
2015-11-03,118.0,122.480003,117.410004,120.040001,1984900,119.279745
2015-11-04,120.519997,120.75,117.410004,117.489998,2174600,116.745892
2015-11-05,117.199997,118.529999,116.970001,117.639999,1293000,116.894944
2015-11-06,116.940002,117.910004,116.540001,117.400002,1537900,116.656466
2015-11-09,117.209999,117.629997,115.360001,115.959999,864300,115.225584
2015-11-10,115.650002,116.75,114.519997,116.349998,1131300,115.613113
2015-11-11,116.610001,117.730003,115.879997,117.470001,729900,116.726022
2015-11-12,116.459999,116.809998,115.129997,115.150002,817300,114.420716
2015-11-13,114.830002,116.760002,114.32,116.43,968900,115.692608
2015-11-16,116.230003,116.959999,115.470001,116.699997,1047400,115.960895
2015-11-17,116.690002,117.959999,116.080002,116.75,1053500,116.010581
2015-11-18,116.709999,118.440002,116.32,118.32,1000000,117.570638
2015-11-19,118.019997,118.470001,117.43,117.910004,741300,117.163238
2015-11-20,118.370003,118.760002,117.870003,118.129997,984400,117.381839
2015-11-23,118.07,120.769997,118.07,119.519997,1661700,118.763035
2015-11-24,119.470001,120.400002,118.790001,119.720001,979000,118.961772
2015-11-25,119.5,120.160004,118.959999,119.019997,1087100,118.266201
2015-11-27,118.779999,119.349998,118.050003,118.910004,389900,118.156905
2015-11-30,119.150002,119.330002,118.080002,119.160004,2955100,118.405322
2015-12-01,119.5,119.790001,118.82,119.669998,931000,118.912086
2015-12-02,119.330002,119.779999,118.459999,118.639999,858100,117.888611
2015-12-03,118.970001,119.489998,117.379997,117.889999,1223300,117.143361
2015-12-04,118.209999,119.400002,117.900002,119.230003,1417200,118.474878
2015-12-07,118.610001,119.489998,117.550003,118.360001,910000,117.610385
2015-12-08,117.059998,117.870003,116.300003,116.370003,1042300,115.632991
2015-12-09,116.839996,119.279999,116.449997,116.949997,1177900,116.209312
2015-12-10,116.690002,117.290001,115.629997,115.959999,938800,115.225584
2015-12-11,114.120003,114.279999,112.190002,112.389999,1378700,112.016291
2015-12-14,112.169998,113.940002,111.769997,113.639999,1361500,113.262134
2015-12-15,114.550003,115.220001,113.849998,115.07,1221200,114.68738
2015-12-16,115.669998,118.059998,115.160004,117.889999,1289700,117.498003
