Date,Open_AWK,High_AWK,Low_AWK,Close_AWK,Volume_AWK,AdjClose_AWK
2015-09-28,54.860001,54.990002,53.990002,54.09,962400,53.225842
2015-09-29,53.869999,54.27,53.669998,54.189999,874900,53.324242
2015-09-30,54.549999,55.099998,54.380001,55.080002,1109500,54.200027
2015-10-01,55.02,55.310001,54.619999,55.27,925200,54.38699
2015-10-02,55.330002,55.669998,54.68,55.630001,1192000,54.741239
2015-10-05,55.689999,56.220001,55.549999,56.07,1180100,55.174208
2015-10-06,56.080002,56.139999,55.560001,55.619999,625000,54.731397
2015-10-07,55.740002,55.860001,55.189999,55.349998,778500,54.46571
2015-10-08,55.369999,56.84,55.139999,56.84,1143500,55.931907
2015-10-09,56.82,57.119999,56.509998,56.869999,964100,55.961426
2015-10-12,56.939999,57.77,56.830002,57.450001,639900,56.532162
2015-10-13,57.330002,57.77,57.18,57.689999,1022500,56.768325
2015-10-14,57.669998,58.150002,56.970001,57.139999,1206800,56.227113
2015-10-15,56.279999,58.209999,56.029999,58.209999,1159700,57.280018
2015-10-16,58.25,58.630001,57.93,58.380001,951600,57.447304
2015-10-19,58.360001,58.970001,58.299999,58.950001,1093300,58.008197
2015-10-20,58.779999,59.200001,58.580002,58.599998,820000,57.663787
2015-10-21,58.84,59.07,57.880001,57.939999,1188400,57.014331
2015-10-22,58.080002,58.709999,58.080002,58.459999,1042200,57.526024
2015-10-23,58.459999,58.509998,57.450001,57.630001,829500,56.709286
2015-10-26,57.75,58.27,57.52,58.200001,492300,57.27018
2015-10-27,58.09,58.290001,57.779999,57.93,692500,57.004493
2015-10-28,57.959999,58.400002,57.040001,57.73,719100,56.807687
2015-10-29,57.369999,57.73,56.34,57.080002,1025400,56.168074
2015-10-30,57.189999,57.889999,57.009998,57.360001,737200,56.443599
2015-11-02,57.580002,57.91,56.959999,57.310001,697500,56.394399
2015-11-03,57.23,57.98,56.919998,57.73,1000100,56.807687
2015-11-04,57.709999,57.98,57.349998,57.98,1076500,57.053693
