Date,Open_MCK,High_MCK,Low_MCK,Close_MCK,Volume_MCK,AdjClose_MCK
2014-01-10,175.630005,175.860001,174.320007,175.440002,1180800,173.121144
2014-01-13,175.029999,175.369995,160.210007,167.139999,6215100,164.930845
2014-01-14,167.5,169.0,164.360001,167.470001,4454600,165.256485
2014-01-15,167.610001,168.130005,165.809998,167.320007,3290400,165.108474
2014-01-16,167.449997,169.080002,167.25,168.559998,1392200,166.332074
2014-01-17,168.869995,169.080002,167.25,168.119995,1683900,165.897888
2014-01-21,168.710007,170.0,167.600006,168.550003,1488900,166.322212
2014-01-22,168.600006,170.389999,167.289993,169.679993,1263000,167.437266
2014-01-23,174.139999,174.300003,170.899994,172.369995,3465300,170.091714
2014-01-24,176.169998,177.5,172.529999,173.720001,4559200,171.423876
2014-01-27,173.380005,175.240005,171.770004,172.979996,2539500,170.693652
2014-01-28,172.529999,175.649994,172.5,175.259995,1689400,172.943515
2014-01-29,173.619995,175.0,172.690002,173.279999,1672400,170.98969
2014-01-30,175.630005,177.479996,175.059998,177.229996,2401300,174.887478
2014-01-31,176.0,177.0,173.649994,174.410004,2700000,172.104759
2014-02-03,174.690002,174.880005,169.910004,171.0,2129000,168.739826
2014-02-04,171.0,171.25,168.809998,169.440002,1633100,167.200448
2014-02-05,168.589996,169.199997,167.020004,168.619995,1320200,166.391279
2014-02-06,169.050003,173.080002,168.020004,172.399994,2078200,170.121316
2014-02-07,172.25,175.0,171.860001,174.990005,1435800,172.677094
2014-02-10,174.520004,174.990005,171.880005,172.770004,1775900,170.486436
2014-02-11,172.490005,175.259995,171.559998,175.050003,1617900,172.736299
2014-02-12,174.610001,176.369995,173.740005,174.949997,1073200,172.637615
2014-02-13,174.5,175.850006,174.070007,175.669998,1094300,173.348099
2014-02-14,175.660004,176.330002,175.009995,175.600006,1013900,173.279032
2014-02-18,176.710007,179.0,175.729996,177.479996,1649700,175.134173
2014-02-19,178.0,179.399994,176.350006,177.660004,1671600,175.311802
2014-02-20,177.440002,178.610001,176.0,177.580002,1225900,175.232858
2014-02-21,177.630005,178.330002,176.169998,176.350006,2244200,174.019119
2014-02-24,176.449997,178.110001,176.289993,176.320007,2109300,173.989517
2014-02-25,176.460007,177.970001,176.309998,176.729996,1234400,174.394087
2014-02-26,176.679993,177.279999,174.300003,174.779999,1013800,172.469863
2014-02-27,174.779999,175.110001,173.470001,174.429993,1587500,172.361157
2014-02-28,174.75,178.360001,174.169998,177.050003,1683400,174.950093
2014-03-03,175.339996,176.979996,174.919998,176.050003,1097300,173.961953
2014-03-04,178.020004,181.369995,177.729996,180.800003,1688100,178.655616
2014-03-05,181.720001,182.539993,179.600006,181.960007,1342300,179.801861
2014-03-06,182.289993,184.050003,181.610001,182.580002,1479500,180.414503
2014-03-07,182.979996,183.509995,181.429993,182.399994,1191600,180.23663
2014-03-10,182.350006,182.570007,179.149994,180.5,1492300,178.359171
2014-03-11,180.990005,183.5,180.600006,182.369995,1092800,180.206987
2014-03-12,182.270004,183.720001,180.490005,183.649994,987600,181.471804
2014-03-13,184.089996,185.929993,183.279999,183.649994,1170800,181.471804
2014-03-14,183.059998,183.880005,180.440002,180.809998,1359900,178.665492
2014-03-17,181.220001,183.119995,180.800003,181.919998,771000,179.762327
2014-03-18,181.889999,183.440002,181.190002,183.169998,828300,180.997501
2014-03-19,182.869995,183.630005,180.949997,181.910004,954300,179.752451
2014-03-20,181.899994,185.679993,181.839996,185.350006,1327400,183.151653
2014-03-21,186.929993,188.020004,180.75,180.850006,1784500,178.705026
2014-03-24,181.139999,181.509995,176.559998,177.539993,1448100,175.434271
2014-03-25,177.720001,178.929993,174.509995,176.470001,1631800,174.37697
2014-03-26,177.509995,178.25,173.839996,173.839996,1448900,171.778158
2014-03-27,173.289993,174.690002,171.589996,173.100006,1391500,171.046945
2014-03-28,173.490005,175.720001,173.259995,175.419998,1124900,173.339421
2014-03-31,176.589996,177.960007,175.970001,176.570007,1010300,174.47579
2014-04-01,177.259995,178.210007,174.259995,176.039993,1163700,173.952062
2014-04-02,176.179993,176.830002,174.619995,175.75,1243900,173.665508
2014-04-03,175.679993,176.309998,173.320007,173.75,1356900,171.68923
2014-04-04,174.110001,175.5,170.770004,170.869995,1520800,168.843383
2014-04-07,171.639999,172.330002,165.330002,167.589996,2246400,165.602287
2014-04-08,168.160004,169.990005,167.339996,168.710007,1762800,166.709013
2014-04-09,168.600006,173.029999,167.800003,172.970001,1359900,170.918482
2014-04-10,173.050003,173.210007,166.720001,167.470001,1773300,165.483715
2014-04-11,165.990005,167.649994,162.899994,164.679993,1753900,162.726797
2014-04-14,165.800003,168.649994,165.25,167.470001,1417200,165.483715
2014-04-15,167.520004,168.479996,164.339996,168.309998,1248100,166.313749
2014-04-16,169.729996,170.960007,168.339996,170.0,1368300,167.983707
2014-04-17,169.490005,172.259995,169.050003,170.979996,1603800,168.952079
2014-04-21,170.490005,172.419998,169.940002,171.949997,741300,169.910576
2014-04-22,172.199997,173.369995,170.940002,171.0,1054700,168.971846
2014-04-23,171.240005,171.690002,170.160004,170.630005,1207200,168.606239
2014-04-24,171.419998,172.300003,170.330002,170.460007,853100,168.438257
2014-04-25,170.470001,170.809998,167.619995,167.850006,1030800,165.859213
2014-04-28,167.639999,170.419998,166.300003,167.449997,1840600,165.463948
2014-04-29,167.529999,169.529999,166.949997,168.470001,1088400,166.471854
2014-04-30,168.369995,169.25,167.559998,169.190002,1294300,167.183316
2014-05-01,166.970001,170.0,164.580002,168.199997,2813200,166.205053
2014-05-02,168.5,169.270004,166.660004,167.009995,1647900,165.029164
2014-05-05,165.830002,169.100006,165.399994,168.710007,1168200,166.709013
2014-05-06,167.970001,168.440002,166.809998,166.839996,975600,164.861182
2014-05-07,166.550003,167.850006,165.679993,166.419998,1216300,164.446166
2014-05-08,166.789993,167.509995,165.529999,166.720001,1343600,164.74261
2014-05-09,165.960007,171.029999,165.770004,171.0,2004100,168.971846
2014-05-12,172.029999,174.300003,171.710007,174.229996,1608000,172.163532
2014-05-13,180.0,181.0,177.570007,180.0,3302900,177.865101
2014-05-14,178.25,179.75,177.339996,178.199997,1579400,176.086447
2014-05-15,177.399994,178.070007,176.270004,177.570007,1593200,175.463929
2014-05-16,176.509995,178.350006,175.830002,178.210007,1040400,176.096338
2014-05-19,177.800003,181.240005,177.729996,180.679993,1573500,178.537029
2014-05-20,180.539993,181.259995,178.880005,179.839996,912800,177.706995
2014-05-21,180.259995,183.679993,180.229996,183.270004,1303900,181.096321
2014-05-22,183.570007,185.410004,182.949997,183.589996,1321100,181.412518
2014-05-23,184.119995,184.410004,182.75,183.75,1826500,181.570624
2014-05-27,183.259995,184.139999,182.619995,183.369995,1247100,181.195126
2014-05-28,182.5,184.380005,181.089996,182.720001,1100700,180.552842
2014-05-29,183.110001,188.770004,182.619995,188.570007,1844100,186.333463
2014-05-30,188.440002,189.740005,187.399994,189.639999,1273000,187.390765
2014-06-02,189.839996,190.259995,188.809998,189.830002,1085000,187.578514
2014-06-03,190.0,192.029999,189.149994,191.630005,1795500,189.357168
2014-06-04,191.130005,191.5,188.539993,189.75,1290500,187.499461
2014-06-05,190.279999,190.589996,188.520004,188.660004,1230900,186.658481
2014-06-06,189.5,189.649994,188.100006,188.729996,1262300,186.727731
2014-06-09,188.570007,189.449997,186.630005,186.690002,865700,184.70938
2014-06-10,185.960007,187.080002,184.529999,185.589996,1085400,183.621044
2014-06-11,184.990005,187.479996,184.020004,187.160004,1131100,185.174395
2014-06-12,186.279999,186.830002,182.330002,183.270004,1249800,181.325665
2014-06-13,183.339996,184.050003,182.009995,182.610001,863700,180.672664
2014-06-16,182.720001,183.470001,181.740005,182.550003,948100,180.613303
2014-06-17,181.789993,185.039993,181.279999,184.660004,1030600,182.700918
2014-06-18,184.550003,185.699997,182.479996,185.25,1002000,183.284655
2014-06-19,185.960007,186.880005,183.979996,185.289993,900000,183.324224
