Date,Open_RL,High_RL,Low_RL,Close_RL,Volume_RL,AdjClose_RL
2015-11-05,127.0,135.220001,126.760002,130.5,4720500,129.236981
2015-11-06,130.639999,137.380005,130.479996,137.240005,2392700,135.911755
2015-11-09,136.899994,136.910004,133.350006,134.339996,1541300,133.039813
2015-11-10,133.649994,134.699997,130.139999,133.199997,1046000,131.910847
2015-11-11,132.029999,132.490005,124.639999,124.959999,2034900,123.750598
2015-11-12,123.879997,125.360001,121.959999,122.129997,1354200,120.947986
2015-11-13,119.0,120.919998,116.629997,119.720001,2092500,118.561315
2015-11-16,119.010002,121.099998,117.550003,120.639999,1013900,119.472409
2015-11-17,120.800003,121.400002,116.629997,119.32,1431700,118.165184
2015-11-18,119.410004,119.639999,117.010002,119.389999,1127400,118.234507
2015-11-19,119.209999,123.480003,119.209999,122.709999,1405100,121.522374
2015-11-20,123.019997,125.57,122.169998,123.709999,1077800,122.512696
2015-11-23,123.199997,126.910004,122.989998,126.199997,902500,124.978595
2015-11-24,124.410004,125.580002,121.93,124.989998,1149500,123.780307
2015-11-25,125.769997,126.709999,124.529999,125.610001,606000,124.394309
2015-11-27,125.68,126.290001,122.860001,123.989998,405500,122.789985
2015-11-30,123.160004,125.010002,122.169998,124.209999,1127400,123.007857
2015-12-01,124.470001,125.610001,123.980003,124.830002,733500,123.621859
2015-12-02,125.18,127.010002,124.510002,125.720001,994900,124.503245
2015-12-03,124.709999,124.82,120.940002,122.169998,1587700,120.9876
2015-12-04,121.949997,123.870003,119.68,120.839996,1611400,119.67047
2015-12-07,119.150002,119.900002,116.080002,119.589996,1277500,118.432568
2015-12-08,117.529999,119.0,114.379997,118.669998,1833600,117.521474
2015-12-09,117.510002,119.599998,116.839996,118.190002,868000,117.046124
2015-12-10,117.940002,119.220001,115.57,115.849998,689000,114.728767
2015-12-11,114.410004,114.790001,112.639999,112.980003,1063700,111.886549
2015-12-14,112.900002,113.949997,111.519997,113.040001,880800,111.945965
2015-12-15,114.040001,114.93,112.75,114.540001,773800,113.431448
2015-12-16,114.93,117.220001,114.269997,115.860001,811400,114.738672
2015-12-17,116.0,116.580002,111.970001,112.75,1206600,111.658771
2015-12-18,112.129997,113.529999,109.730003,111.660004,2013000,110.579324
2015-12-21,112.050003,112.290001,109.470001,110.610001,777900,109.539483
2015-12-22,111.07,113.43,109.239998,111.809998,1086100,111.230668
2015-12-23,112.93,114.839996,111.809998,114.510002,779800,113.916683
2015-12-24,114.040001,114.790001,112.010002,113.379997,360100,112.792533
2015-12-28,113.010002,113.849998,110.639999,112.389999,437700,111.807665
2015-12-29,113.339996,114.639999,112.669998,113.980003,447100,113.389431
2015-12-30,113.959999,114.93,112.110001,112.660004,663500,112.07627
2015-12-31,112.419998,113.669998,111.43,111.480003,508600,110.902384
2016-01-04,109.989998,111.720001,108.010002,111.559998,1358500,110.981964
2016-01-05,112.110001,112.110001,108.330002,110.879997,1051300,110.305487
2016-01-06,109.93,110.150002,106.169998,108.099998,1417000,107.539892
