Date,Open_SPG,High_SPG,Low_SPG,Close_SPG,Volume_SPG,AdjClose_SPG
2014-01-30,151.430002,153.159989,151.209993,152.949987,1932100,132.951635
2014-01-31,153.009985,155.989989,152.299983,154.840001,2624800,134.594528
2014-02-03,154.099992,154.099992,150.749991,151.179986,2096700,131.413063
2014-02-04,151.439994,153.729995,150.410002,153.409989,1903300,133.351491
2014-02-05,152.999994,154.259987,152.359998,153.929989,1531600,133.803501
2014-02-06,153.90999,155.769996,153.680005,155.320002,1512000,135.011768
2014-02-07,156.019997,157.109987,153.659989,156.969991,1690800,136.44602
2014-02-10,157.440001,159.000001,156.699991,158.340005,1523300,137.636903
2014-02-11,158.089988,159.679995,157.669985,159.199994,1577500,138.384448
2014-02-12,157.659994,158.389995,156.999998,157.939985,1133900,138.375679
2014-02-13,157.309997,159.58999,157.130002,158.730001,1170000,139.067834
2014-02-14,158.469993,160.529993,158.369996,160.189988,1069100,140.34697
2014-02-18,160.269985,160.480003,158.529991,160.269985,1499900,140.417058
2014-02-19,159.599998,161.699997,159.549991,160.179996,1347900,140.338216
2014-02-20,160.039984,161.000003,158.980001,159.919988,1126100,140.110415
2014-02-21,159.639997,160.699996,158.730001,159.559999,1293200,139.795019
2014-02-24,159.750001,161.739996,159.389996,159.909996,1535900,140.101661
2014-02-25,159.989994,160.480003,159.06999,159.359989,1285900,139.619785
2014-02-26,160.520002,161.479988,159.939987,161.060001,1533400,141.109213
2014-02-27,161.249987,161.719996,159.230001,160.37999,1229600,140.513436
2014-02-28,160.31,162.179998,160.199995,161.290002,2377900,141.310723
2014-03-03,160.569992,162.080001,160.229986,161.93999,1381700,141.880196
2014-03-04,163.699999,164.659986,163.079986,164.359995,1649200,144.000431
2014-03-05,164.379994,164.500007,162.319994,164.109995,1379300,143.781398
2014-03-06,164.929985,164.929985,162.830002,163.569995,1171100,143.30829
2014-03-07,163.319995,163.579987,160.099999,161.709989,1573000,141.678685
2014-03-10,161.549994,162.159999,160.069991,160.89999,1308900,140.969022
2014-03-11,161.369999,162.580002,161.259995,162.080001,871600,142.002864
2014-03-12,161.39999,163.049995,161.39999,162.269987,1090800,142.169316
2014-03-13,162.770004,162.839994,161.109991,161.739996,928600,141.704975
2014-03-14,161.459988,162.830002,160.609991,161.069992,1094000,141.117967
2014-03-17,161.759995,163.290004,161.66999,162.719998,1328200,142.563583
2014-03-18,162.669991,163.560004,161.830001,163.469998,1005900,143.22068
2014-03-19,163.179999,163.679984,159.159996,159.639997,1682700,139.865107
2014-03-20,159.909996,160.329999,157.079996,160.329999,1748500,140.469638
2014-03-21,161.479988,162.139983,160.429996,161.279994,3037200,141.301955
2014-03-24,161.199997,161.649991,158.789999,160.329999,1134900,140.469638
2014-03-25,161.479988,162.540003,160.189988,161.909999,1286500,141.85392
2014-03-26,162.359993,162.739997,159.509993,159.509993,1352000,139.751207
2014-03-27,159.369997,161.420006,158.599997,161.379991,1278300,141.389565
2014-03-28,162.179998,163.859994,161.889999,163.859994,1568100,143.562366
2014-03-31,164.080004,164.830005,162.339993,163.99999,1627100,143.68502
2014-04-01,163.859994,165.129995,163.189991,164.919994,1236400,144.491061
2014-04-02,164.500007,164.929985,163.41,164.469983,1093800,144.096795
2014-04-03,165.189993,165.189993,163.269988,164.389986,928900,144.026707
2014-04-04,164.799997,166.149996,164.009998,165.390003,1466100,144.90285
