Date,Open_HRS,High_HRS,Low_HRS,Close_HRS,Volume_HRS,AdjClose_HRS
2015-12-22,85.019997,86.879997,84.559998,86.650002,1201800,85.564099
2015-12-23,86.970001,88.160004,86.839996,87.82,1006100,86.719435
2015-12-24,87.82,89.779999,87.82,89.480003,728900,88.358635
2015-12-28,88.949997,89.0,86.510002,87.089996,1190600,85.99858
2015-12-29,87.769997,88.68,87.519997,88.300003,577500,87.193423
2015-12-30,88.059998,88.199997,87.230003,87.43,482900,86.334323
2015-12-31,87.209999,87.660004,86.690002,86.900002,593600,85.810966
2016-01-04,86.400002,87.690002,85.959999,87.650002,1327100,86.551567
2016-01-05,87.879997,89.25,87.209999,88.169998,1175500,87.065047
2016-01-06,87.25,88.580002,86.980003,87.370003,1971200,86.275077
2016-01-07,85.849998,87.620003,85.519997,86.239998,2098300,85.159233
2016-01-08,86.5,87.720001,85.800003,85.839996,2067100,84.764245
2016-01-11,86.599998,87.459999,85.389999,86.940002,1273900,85.850466
2016-01-12,87.32,89.169998,86.459999,88.910004,1948300,87.795779
2016-01-13,88.879997,89.349998,85.25,85.400002,1444400,84.329764
2016-01-14,85.529999,85.540001,84.25,84.489998,1532800,83.431165
2016-01-15,82.720001,84.339996,82.25,84.25,1660300,83.194174
2016-01-19,84.989998,85.459999,83.199997,84.339996,1170000,83.283043
2016-01-20,83.269997,84.139999,81.57,83.580002,1272000,82.532573
2016-01-21,83.690002,84.559998,82.43,82.849998,1081300,81.811718
2016-01-22,84.010002,84.120003,82.699997,84.059998,2094600,83.006553
2016-01-25,83.900002,84.760002,83.410004,84.129997,1610400,83.075675
2016-01-26,84.290001,85.720001,84.169998,85.620003,985700,84.547008
2016-01-27,85.230003,87.019997,84.559998,84.839996,1186700,83.776777
2016-01-28,85.040001,85.489998,83.949997,84.790001,890300,83.727408
2016-01-29,85.279999,87.110001,84.970001,86.970001,1338800,85.880088
2016-02-01,86.080002,87.139999,85.779999,86.720001,1395100,85.633221
2016-02-02,84.010002,84.089996,77.029999,78.239998,6299600,77.25949
2016-02-03,77.529999,78.860001,77.25,77.889999,3180100,76.913878
2016-02-04,77.720001,79.82,77.580002,78.839996,1455500,77.851969
2016-02-05,78.839996,78.839996,74.919998,75.68,1792900,74.731574
2016-02-08,74.800003,75.269997,71.760002,73.019997,2037700,72.104906
2016-02-09,72.199997,73.720001,72.080002,72.730003,1301400,71.818547
2016-02-10,73.260002,73.669998,72.400002,72.720001,1298300,71.80867
2016-02-11,71.720001,72.400002,70.970001,71.709999,1066300,70.811325
2016-02-12,72.5,72.519997,71.220001,72.059998,948300,71.156938
2016-02-16,73.050003,73.550003,72.529999,73.459999,1077700,72.539394
2016-02-17,73.800003,74.629997,73.660004,74.260002,808800,73.329372
2016-02-18,74.349998,76.099998,74.220001,74.349998,724800,73.41824
2016-02-19,74.510002,75.389999,73.739998,75.18,1123300,74.23784
2016-02-22,75.809998,76.830002,75.809998,76.440002,1130200,75.482052
2016-02-23,76.0,76.360001,75.32,75.400002,797100,74.455085
2016-02-24,74.940002,75.660004,74.480003,75.459999,790800,74.51433
2016-02-25,75.93,76.360001,75.209999,76.139999,751600,75.185809
2016-02-26,76.529999,76.970001,76.18,76.540001,850200,75.580797
2016-02-29,77.459999,79.75,77.43,78.019997,1677900,77.042246
2016-03-01,78.769997,80.230003,77.730003,79.400002,1531700,78.404956
2016-03-02,79.139999,81.220001,79.0,80.150002,911200,79.145557
2016-03-03,79.75,80.68,79.57,80.470001,848900,79.461547
2016-03-04,80.559998,81.889999,80.540001,81.150002,943800,80.133025
2016-03-07,80.550003,80.650002,78.889999,79.330002,1187400,78.335834
2016-03-08,78.75,79.43,77.18,78.169998,1480500,77.679966
2016-03-09,78.769997,80.190002,78.309998,79.760002,1090500,79.260003
2016-03-10,79.900002,81.129997,78.790001,79.639999,852200,79.140752
2016-03-11,80.129997,80.629997,78.949997,80.419998,956600,79.915861
2016-03-14,80.0,80.540001,79.529999,79.589996,867600,79.091063
2016-03-15,78.629997,79.529999,76.730003,77.660004,1468000,77.173169
2016-03-16,77.599998,78.529999,77.269997,78.360001,922100,77.868777
2016-03-17,78.300003,79.190002,77.93,78.519997,1003400,78.027771
2016-03-18,78.889999,79.57,78.519997,78.900002,1222500,78.405393
2016-03-21,78.529999,78.93,77.93,78.559998,951200,78.067521
2016-03-22,78.239998,80.32,78.18,79.620003,1162400,79.120881
2016-03-23,79.480003,79.5,78.5,79.040001,935900,78.544515
2016-03-24,78.599998,79.349998,77.800003,78.160004,780800,77.670034
2016-03-28,78.410004,78.540001,77.599998,77.839996,715100,77.352033
2016-03-29,77.860001,78.660004,77.110001,78.480003,650900,77.988028
2016-03-30,78.839996,79.099998,77.800003,78.709999,921700,78.216582
2016-03-31,78.629997,79.099998,77.339996,77.860001,1351600,77.371912
2016-04-01,77.389999,78.0,75.57,77.800003,1886000,77.31229
2016-04-04,77.82,77.93,76.940002,76.989998,939400,76.507363
2016-04-05,76.339996,76.389999,75.010002,75.059998,1464000,74.589461
2016-04-06,75.150002,76.57,74.650002,76.489998,1459100,76.010497
2016-04-07,76.209999,76.809998,75.720001,76.330002,1481700,75.851504
2016-04-08,76.709999,77.709999,76.550003,76.709999,1033600,76.229119
2016-04-11,77.040001,77.540001,76.43,76.449997,854200,75.970747
2016-04-12,76.419998,76.93,75.800003,76.720001,1039000,76.239059
2016-04-13,77.160004,78.419998,77.160004,78.339996,730500,77.848899
2016-04-14,78.18,78.459999,77.519997,77.650002,940100,77.163229
2016-04-15,77.370003,77.669998,76.730003,77.389999,833300,76.904857
2016-04-18,77.330002,77.800003,77.050003,77.690002,961900,77.202979
2016-04-19,77.699997,78.809998,77.510002,78.790001,997600,78.296082
2016-04-20,78.660004,79.510002,78.050003,79.300003,942000,78.802887
2016-04-21,79.449997,79.879997,78.690002,78.949997,733200,78.455075
2016-04-22,78.839996,80.349998,78.839996,79.830002,782800,79.329564
2016-04-25,79.5,79.529999,78.300003,78.769997,547800,78.276203
2016-04-26,79.010002,79.650002,78.839996,79.470001,641600,78.97182
2016-04-27,79.239998,80.870003,79.239998,80.760002,650100,80.253734
2016-04-28,80.230003,80.720001,79.809998,80.050003,690800,79.548186
2016-04-29,79.830002,80.25,79.099998,80.010002,1009500,79.508435
2016-05-02,80.129997,80.949997,79.510002,80.860001,1643400,80.353105
2016-05-03,77.190002,78.360001,76.150002,76.43,2250800,75.950876
2016-05-04,75.699997,76.099998,73.32,74.400002,2138800,73.933603
2016-05-05,74.489998,74.860001,73.889999,74.779999,1038000,74.311218
2016-05-06,74.589996,74.82,73.720001,74.589996,932200,74.122407
2016-05-09,74.660004,76.190002,74.660004,75.669998,1351600,75.195638
2016-05-10,75.830002,76.599998,75.330002,76.599998,790100,76.119808
2016-05-11,76.5,76.550003,75.669998,76.050003,1026200,75.573261
2016-05-12,76.279999,76.559998,75.610001,76.110001,633900,75.632882
2016-05-13,75.900002,76.419998,75.419998,75.919998,729900,75.444071
2016-05-16,75.900002,77.410004,75.709999,77.07,711200,76.586863
2016-05-17,76.93,77.860001,76.75,77.489998,1078000,77.004229
2016-05-18,77.32,78.129997,76.910004,77.480003,1042100,76.994297
2016-05-19,76.860001,77.57,76.550003,77.510002,848600,77.024107
2016-05-20,78.059998,78.839996,77.620003,78.739998,692100,78.246393
2016-05-23,78.739998,78.800003,78.150002,78.330002,490200,77.838967
2016-05-24,78.540001,79.150002,78.269997,78.980003,541300,78.484894
2016-05-25,79.040001,79.790001,78.690002,79.360001,592900,78.862509
2016-05-26,79.5,80.220001,79.5,79.760002,736400,79.260003
2016-05-27,79.169998,79.690002,79.099998,79.43,738100,79.43
2016-05-31,79.309998,79.309998,77.559998,78.769997,1208100,78.769997
2016-06-01,78.349998,79.720001,78.260002,79.559998,494500,79.559998
2016-06-02,79.559998,79.849998,79.169998,79.769997,473900,79.769997
2016-06-03,79.699997,80.199997,79.07,79.989998,555200,79.989998
