Date,Open_AGN,High_AGN,Low_AGN,Close_AGN,Volume_AGN,AdjClose_AGN
2016-01-28,291.100006,291.73999,278.350006,281.76001,3789700,281.76001
2016-01-29,286.359985,286.950012,278.910004,284.429993,3635800,284.429993
2016-02-01,283.399994,284.51001,277.869995,282.700012,2209800,282.700012
2016-02-02,278.089996,284.959991,278.049988,279.679993,1977800,279.679993
2016-02-03,282.0,282.899994,274.529999,278.390015,2309400,278.390015
2016-02-04,275.809998,276.929993,267.450012,272.450012,3754200,272.450012
2016-02-05,270.829987,277.679993,270.519989,273.799988,2377500,273.799988
2016-02-08,270.600006,272.660004,261.600006,266.299988,3264800,266.299988
2016-02-09,263.079987,274.959991,262.480011,272.339996,2831600,272.339996
2016-02-10,274.049988,282.320007,274.049988,279.769989,2990700,279.769989
2016-02-11,272.559998,277.450012,271.829987,274.549988,2287900,274.549988
2016-02-12,277.299988,280.480011,272.230011,280.480011,2717400,280.480011
2016-02-16,283.420013,285.0,279.25,284.450012,2051400,284.450012
2016-02-17,287.0,288.579987,282.790009,283.200012,2694500,283.200012
2016-02-18,280.579987,285.290009,276.709991,277.980011,2495100,277.980011
2016-02-19,278.700012,279.75,273.220001,275.75,3443700,275.75
2016-02-22,275.75,286.690002,275.75,285.820007,2828800,285.820007
2016-02-23,285.98999,288.839996,283.709991,286.779999,2331300,286.779999
2016-02-24,285.480011,286.570007,281.890015,284.700012,2382100,284.700012
2016-02-25,285.420013,297.179993,285.029999,296.339996,3859800,296.339996
2016-02-26,298.98999,301.320007,296.140015,298.070007,3400500,298.070007
2016-02-29,296.25,297.799988,290.049988,290.109985,2392500,290.109985
2016-03-01,293.170013,295.910004,290.309998,295.910004,2225200,295.910004
2016-03-02,295.339996,296.519989,290.279999,292.480011,2232700,292.480011
2016-03-03,291.0,293.209991,286.109985,289.619995,2317100,289.619995
2016-03-04,289.140015,289.329987,285.529999,288.670013,2552000,288.670013
2016-03-07,285.890015,288.890015,283.01001,288.390015,2604700,288.390015
2016-03-08,287.980011,288.529999,284.399994,284.429993,1612400,284.429993
2016-03-09,287.859985,290.0,286.25,289.980011,2394200,289.980011
2016-03-10,292.48999,293.75,287.540009,289.25,2130100,289.25
2016-03-11,290.529999,299.109985,290.209991,298.980011,2354300,298.980011
2016-03-14,296.540009,297.570007,291.600006,293.019989,2431900,293.019989
2016-03-15,289.529999,290.480011,281.269989,283.0,4310000,283.0
2016-03-16,282.269989,282.48999,269.769989,272.76001,7809200,272.76001
2016-03-17,273.350006,276.079987,265.600006,272.700012,5375500,272.700012
2016-03-18,274.019989,274.730011,267.279999,269.429993,6245900,269.429993
2016-03-21,268.799988,275.709991,268.579987,274.329987,2549500,274.329987
2016-03-22,273.609985,282.440002,271.790009,277.220001,3306100,277.220001
2016-03-23,276.059998,282.589996,276.01001,281.309998,3090000,281.309998
2016-03-24,278.130005,281.279999,278.049988,279.320007,2238900,279.320007
2016-03-28,279.440002,279.980011,275.549988,276.01001,2721700,276.01001
2016-03-29,275.51001,276.25,272.369995,273.519989,3241800,273.519989
2016-03-30,274.529999,276.829987,272.559998,274.940002,3199000,274.940002
2016-03-31,276.450012,276.450012,267.480011,268.029999,3746400,268.029999
2016-04-01,266.529999,270.76001,262.179993,268.089996,7547800,268.089996
2016-04-04,268.859985,277.959991,268.5,277.549988,4074200,277.549988
2016-04-05,277.549988,277.549988,226.429993,236.550003,36466100,236.550003
2016-04-06,236.389999,247.229996,236.0,244.740005,20890200,244.740005
2016-04-07,246.169998,246.740005,237.220001,241.0,9916100,241.0
2016-04-08,244.880005,245.0,235.070007,236.0,7150200,236.0
2016-04-11,237.0,237.5,225.600006,228.369995,9358200,228.369995
2016-04-12,226.889999,228.970001,220.75,222.570007,9736000,222.570007
2016-04-13,222.520004,223.050003,212.669998,220.399994,12581100,220.399994
2016-04-14,220.919998,221.770004,215.149994,216.389999,6984700,216.389999
2016-04-15,217.559998,220.649994,215.869995,217.160004,5149000,217.160004
2016-04-18,215.300003,220.910004,213.899994,219.910004,4253900,219.910004
2016-04-19,221.300003,225.949997,220.100006,225.669998,4256100,225.669998
2016-04-20,226.729996,229.490005,225.350006,227.940002,4111600,227.940002
2016-04-21,228.289993,229.75,225.610001,227.490005,3647600,227.490005
2016-04-22,228.110001,229.720001,226.720001,229.139999,2459200,229.139999
2016-04-25,228.119995,228.449997,223.850006,224.850006,3377700,224.850006
2016-04-26,225.080002,226.0,218.279999,219.940002,3947300,219.940002
2016-04-27,219.929993,221.679993,217.0,220.070007,2702400,220.070007
2016-04-28,220.899994,222.229996,218.419998,218.850006,2325800,218.850006
2016-04-29,219.009995,219.399994,214.059998,216.559998,3767200,216.559998
2016-05-02,216.690002,220.350006,216.020004,218.110001,3112800,218.110001
2016-05-03,217.589996,217.710007,214.0,214.820007,3585600,214.820007
2016-05-04,214.160004,215.119995,211.350006,214.619995,3717000,214.619995
2016-05-05,214.619995,214.899994,209.770004,210.339996,3091400,210.339996
2016-05-06,208.979996,209.080002,195.5,201.649994,12802000,201.649994
2016-05-09,208.229996,217.0,206.149994,213.710007,6421900,213.710007
2016-05-10,223.5,228.720001,219.399994,225.0,10584400,225.0
2016-05-11,224.729996,231.240005,222.490005,222.710007,6673400,222.710007
2016-05-12,223.990005,226.25,214.710007,216.020004,5081900,216.020004
2016-05-13,221.039993,224.279999,220.0,223.350006,4766500,223.350006
2016-05-16,224.100006,228.529999,220.100006,225.020004,3128200,225.020004
2016-05-17,225.0,228.449997,223.449997,227.580002,2961900,227.580002
2016-05-18,227.190002,230.279999,226.699997,229.25,2787500,229.25
2016-05-19,228.5,230.130005,225.020004,226.889999,2903400,226.889999
2016-05-20,228.130005,230.360001,226.639999,229.490005,2264900,229.490005
2016-05-23,229.5,229.949997,223.220001,225.509995,3010700,225.509995
2016-05-24,227.660004,229.699997,226.899994,228.889999,2589400,228.889999
2016-05-25,230.130005,231.199997,227.0,227.850006,2533200,227.850006
2016-05-26,226.649994,233.5,226.059998,232.360001,2310500,232.360001
2016-05-27,232.990005,236.479996,232.259995,235.940002,3016600,235.940002
2016-05-31,241.990005,242.350006,234.899994,235.75,7651100,235.75
2016-06-01,235.979996,243.899994,235.25,242.399994,5348800,242.399994
2016-06-02,243.5,247.389999,241.300003,247.119995,5134200,247.119995
2016-06-03,245.919998,248.75,242.199997,246.960007,3961800,246.960007
