Date,Open_HCN,High_HCN,Low_HCN,Close_HCN,Volume_HCN,AdjClose_HCN
2015-04-02,77.150002,78.089996,76.959999,77.830002,1804000,73.16234
2015-04-06,78.120003,79.599998,78.110001,79.440002,2558400,74.675785
2015-04-07,79.199997,79.199997,78.040001,78.120003,2749900,73.434949
2015-04-08,78.349998,78.629997,77.970001,78.239998,1630300,73.547748
2015-04-09,78.190002,78.339996,76.529999,76.690002,1697300,72.090709
2015-04-10,76.900002,77.349998,75.860001,76.190002,1454400,71.620696
2015-04-13,76.059998,76.32,75.489998,75.489998,1816500,70.962672
2015-04-14,75.839996,76.639999,75.839996,76.18,1191400,71.611293
2015-04-15,76.129997,76.580002,75.379997,75.43,1633900,70.906273
2015-04-16,75.199997,76.040001,74.919998,75.629997,1213700,71.094275
2015-04-17,75.559998,76.07,75.019997,75.260002,1413700,70.74647
2015-04-20,75.339996,75.68,75.0,75.25,1105400,70.737068
2015-04-21,75.629997,76.040001,75.190002,75.230003,1226200,70.71827
2015-04-22,75.110001,75.790001,75.07,75.440002,1245100,70.915675
2015-04-23,75.389999,76.010002,75.239998,75.82,1289200,71.272883
2015-04-24,75.790001,76.339996,75.559998,75.860001,1055300,71.310485
2015-04-27,76.019997,76.580002,75.449997,75.720001,1513600,71.178882
2015-04-28,75.459999,75.970001,75.010002,75.620003,1181800,71.08488
2015-04-29,74.889999,75.610001,73.629997,73.959999,2017300,69.524431
2015-04-30,73.68,73.940002,71.529999,72.019997,3481400,67.700776
2015-05-01,72.25,73.0,72.089996,72.260002,1969400,67.926387
2015-05-04,72.589996,73.0,72.0,72.129997,1503000,67.804179
2015-05-05,72.019997,72.25,70.989998,71.230003,1895100,66.95816
2015-05-06,71.150002,71.379997,70.489998,70.790001,2268700,66.544546
2015-05-07,70.949997,71.970001,70.809998,71.470001,2692500,67.183765
2015-05-08,71.470001,73.160004,71.459999,72.160004,1923600,68.62454
2015-05-11,71.949997,72.239998,70.589996,70.739998,2053800,67.274107
2015-05-12,70.209999,71.330002,69.769997,70.93,1854600,67.454801
2015-05-13,71.099998,71.650002,69.900002,70.089996,2686700,66.655952
2015-05-14,70.349998,71.18,70.190002,71.150002,1825300,67.664023
2015-05-15,71.400002,72.650002,71.32,72.410004,2785500,68.862291
2015-05-18,72.0,72.230003,71.389999,71.830002,1935500,68.310707
2015-05-19,71.540001,72.239998,71.349998,71.57,1646400,68.063443
2015-05-20,71.910004,72.080002,71.370003,71.57,1659200,68.063443
2015-05-21,71.660004,71.669998,70.910004,71.239998,2095700,67.74961
2015-05-22,70.989998,71.470001,70.25,70.860001,1438500,67.38823
2015-05-26,71.0,71.040001,70.199997,70.580002,2205900,67.12195
2015-05-27,70.839996,71.330002,70.440002,71.120003,1348600,67.635494
2015-05-28,71.190002,71.190002,70.330002,70.830002,1566800,67.359702
2015-05-29,70.900002,71.029999,70.0,70.260002,3784800,66.817629
2015-06-01,70.419998,71.470001,70.260002,71.139999,1932600,67.654511
2015-06-02,70.889999,70.919998,70.209999,70.529999,2206700,67.074397
2015-06-03,70.309998,70.449997,69.220001,69.290001,2643800,65.895153
2015-06-04,69.089996,70.190002,68.650002,69.620003,4032100,66.208986
2015-06-05,68.629997,68.889999,67.769997,67.809998,2935500,64.487662
2015-06-08,67.870003,68.889999,67.610001,68.379997,2087500,65.029734
2015-06-09,68.309998,68.540001,67.690002,67.809998,1444200,64.487662
2015-06-10,67.769997,68.870003,67.620003,68.309998,1566000,64.963164
2015-06-11,68.720001,68.870003,68.300003,68.43,2004100,65.077288
2015-06-12,68.339996,68.730003,67.900002,67.959999,1563300,64.630314
2015-06-15,67.830002,67.949997,67.370003,67.519997,1932500,64.211869
2015-06-16,67.610001,68.389999,67.480003,68.0,2024300,64.668355
2015-06-17,68.040001,68.349998,67.32,68.230003,3059900,64.887089
2015-06-18,68.510002,69.529999,68.230003,68.879997,2374300,65.505237
2015-06-19,68.889999,69.260002,68.230003,68.739998,3196900,65.372097
2015-06-22,69.040001,69.040001,67.480003,67.550003,1944100,64.240406
2015-06-23,67.410004,67.879997,66.650002,67.029999,1661500,63.745879
2015-06-24,67.129997,67.410004,66.410004,66.519997,3234900,63.260864
2015-06-25,66.510002,66.739998,65.919998,65.980003,2636800,62.747328
2015-06-26,66.040001,66.629997,65.699997,66.379997,2027400,63.127724
2015-06-29,66.379997,67.220001,65.720001,65.760002,2430600,62.538105
2015-06-30,66.349998,66.419998,65.480003,65.629997,2496500,62.41447
2015-07-01,66.0,66.370003,65.370003,66.349998,3443600,63.099195
