Date,Open_VNO,High_VNO,Low_VNO,Close_VNO,Volume_VNO,AdjClose_VNO
2014-02-06,91.219994,92.989997,91.039998,92.899999,1191200,79.337985
2014-02-07,93.210002,93.79,91.609997,92.379989,1065000,78.893889
2014-02-10,92.430004,94.250005,92.12999,93.99,862200,80.268862
2014-02-11,93.79,95.37,93.519988,94.889999,773200,81.037475
2014-02-12,94.989986,95.489992,94.419995,95.239993,720000,81.336375
2014-02-13,94.709994,96.190007,94.529998,95.430005,924200,81.498648
2014-02-14,95.33,96.279988,95.219998,95.699991,654700,81.72922
2014-02-18,95.879987,96.06,95.009991,96.049994,681800,82.028128
2014-02-19,95.570001,96.679989,95.459998,95.659999,679800,81.695066
2014-02-20,95.730001,95.98,94.64,95.030003,736900,81.157041
2014-02-21,94.740005,95.399994,94.079998,94.779996,1395800,80.943531
2014-02-24,94.969999,95.839995,94.599992,94.64,1350900,80.823972
2014-02-25,96.900003,96.980003,93.679997,94.669994,1567200,80.849587
2014-02-26,94.050005,95.019997,93.79,94.630002,1159300,80.815434
2014-02-27,94.740005,95.409992,94.169997,94.790003,984800,80.952076
2014-02-28,94.819996,96.439997,94.619996,96.289995,1669200,82.233092
2014-03-03,95.730001,97.819997,95.520003,96.480006,945400,82.395364
2014-03-04,97.390002,98.330001,97.120008,98.229996,1227000,83.889882
2014-03-05,98.739991,99.349991,98.260007,99.199997,1660500,84.718277
2014-03-06,99.549992,99.769988,98.730002,99.229999,1245100,84.7439
2014-03-07,99.129986,99.359998,98.489993,99.149991,1518400,84.675571
2014-03-10,99.209995,99.370004,98.440003,98.94,1037000,84.496236
2014-03-11,99.050003,100.019987,98.849994,99.290004,1517200,84.795144
2014-03-12,98.970003,99.280006,98.000002,98.379999,1461000,84.017987
2014-03-13,98.869998,98.869998,97.739997,97.769991,950300,83.497031
2014-03-14,97.760001,98.579999,97.500005,97.550003,713300,83.309157
2014-03-17,97.869995,98.379999,97.300004,97.550003,979200,83.309157
2014-03-18,97.600001,98.680004,97.36,98.669998,1223100,84.26565
2014-03-19,98.739991,99.389991,96.190007,96.599998,1517900,82.497839
