Date,Open_OKE,High_OKE,Low_OKE,Close_OKE,Volume_OKE,AdjClose_OKE
2016-03-28,28.4,28.790001,28.059999,28.33,1986200,27.859998
2016-03-29,27.76,28.639999,27.35,28.459999,2624700,27.987841
2016-03-30,28.85,29.48,28.52,29.040001,2323600,28.55822
2016-03-31,29.01,29.93,28.85,29.860001,2565700,29.364616
2016-04-01,29.08,29.459999,28.5,28.73,2655300,28.253362
2016-04-04,28.6,29.41,28.299999,28.370001,2119200,27.899336
2016-04-05,28.1,29.07,27.91,28.43,2425500,27.95834
2016-04-06,28.76,29.57,28.620001,29.219999,1724000,28.735233
2016-04-07,28.889999,29.639999,28.559999,28.950001,1889100,28.469713
2016-04-08,29.68,30.540001,29.629999,29.99,1855700,29.492459
2016-04-11,30.35,30.799999,29.82,30.049999,2338900,29.551463
2016-04-12,30.41,32.66,30.200001,32.349998,3074300,31.813304
2016-04-13,32.490002,32.580002,31.74,31.860001,2295400,31.331436
2016-04-14,31.860001,32.09,31.379999,31.73,1534700,31.203591
2016-04-15,31.51,32.02,31.040001,31.67,1751600,31.144587
2016-04-18,30.57,32.810001,30.440001,32.16,3280100,31.626458
2016-04-19,32.560001,34.41,32.560001,34.389999,3192500,33.819461
2016-04-20,34.02,35.209999,33.869999,34.799999,3386700,34.222659
2016-04-21,34.849998,35.599998,34.369999,34.810001,2505300,34.232495
2016-04-22,34.759998,36.029999,34.759998,35.810001,2738900,35.215905
2016-04-25,35.799999,36.060001,34.93,35.380001,2783500,34.793038
2016-04-26,35.779999,36.419998,35.509998,36.240002,2555300,35.638771
2016-04-27,36.529999,38.439999,36.52,37.07,4204200,36.455
2016-04-28,36.330002,36.509998,35.330002,35.560001,3780700,35.560001
2016-04-29,35.779999,36.720001,35.580002,36.150002,3742600,36.150002
2016-05-02,35.959999,36.099998,34.889999,35.98,2413600,35.98
2016-05-03,35.029999,35.900002,34.560001,35.790001,3632900,35.790001
2016-05-04,36.459999,38.799999,36.23,38.169998,6067900,38.169998
2016-05-05,38.740002,39.75,38.5,38.959999,3587900,38.959999
