Date,Open_MKC,High_MKC,Low_MKC,Close_MKC,Volume_MKC,AdjClose_MKC
2015-12-16,85.120003,86.580002,84.940002,86.419998,701200,85.622577
2015-12-17,86.330002,86.330002,84.790001,84.790001,1228000,84.00762
2015-12-18,84.419998,84.639999,83.68,83.68,945800,82.907862
2015-12-21,84.080002,84.709999,83.940002,84.629997,344500,83.849093
2015-12-22,85.089996,85.709999,84.059998,85.529999,473400,84.74079
2015-12-23,85.919998,87.0,85.790001,86.860001,419800,86.058519
2015-12-24,86.709999,87.010002,86.269997,86.699997,229300,85.899992
2015-12-28,86.32,87.209999,86.220001,87.190002,514000,86.385476
2015-12-29,87.07,87.459999,86.650002,87.260002,357700,86.883318
2015-12-30,87.260002,87.279999,86.43,86.599998,346900,86.226163
2015-12-31,86.169998,86.279999,85.449997,85.559998,352300,85.190652
2016-01-04,84.449997,84.919998,83.550003,84.279999,693200,83.916178
2016-01-05,84.400002,85.260002,84.0,84.419998,744200,84.055573
2016-01-06,83.93,84.699997,83.629997,84.269997,1280600,83.906219
2016-01-07,83.800003,84.309998,83.110001,83.690002,791300,83.328729
2016-01-08,83.970001,84.379997,83.459999,83.629997,1014700,83.268983
2016-01-11,83.849998,84.440002,82.959999,84.099998,837900,83.736955
2016-01-12,84.610001,85.699997,84.389999,85.510002,635200,85.140872
2016-01-13,85.739998,86.199997,84.730003,84.879997,811100,84.513587
2016-01-14,84.949997,85.629997,84.279999,85.029999,819200,84.662941
2016-01-15,83.989998,84.139999,82.639999,83.709999,724100,83.348639
2016-01-19,82.5,82.800003,80.800003,81.279999,1666100,80.929129
2016-01-20,80.330002,80.860001,78.449997,80.300003,1353300,79.953363
2016-01-21,80.300003,80.690002,78.550003,79.779999,1251700,79.435604
2016-01-22,80.449997,81.790001,80.160004,81.690002,1130800,81.337362
2016-01-25,81.660004,81.860001,80.559998,80.940002,862700,80.5906
2016-01-26,81.050003,82.910004,81.050003,82.769997,780300,82.412695
2016-01-27,82.779999,83.0,81.879997,82.190002,1079100,81.835204
2016-01-28,82.75,86.400002,82.449997,85.410004,1726100,85.041305
2016-01-29,86.18,88.809998,86.110001,87.970001,2167500,87.590252
2016-02-01,87.839996,88.739998,87.290001,88.169998,1041500,87.789385
2016-02-02,88.110001,88.68,87.32,87.690002,989300,87.311462
2016-02-03,87.620003,88.389999,85.949997,86.980003,831000,86.604527
2016-02-04,86.900002,87.400002,85.279999,85.830002,835900,85.45949
2016-02-05,85.919998,86.669998,85.199997,85.889999,787900,85.519229
2016-02-08,85.540001,87.989998,85.099998,87.870003,977700,87.490685
2016-02-09,87.169998,88.839996,86.769997,88.239998,1277200,87.859083
2016-02-10,88.790001,91.25,88.529999,90.5,1069800,90.109329
2016-02-11,89.470001,90.839996,88.769997,90.339996,1059300,89.950016
2016-02-12,91.139999,91.309998,89.110001,89.669998,1194200,89.28291
2016-02-16,90.25,90.419998,89.330002,90.379997,771200,89.989844
2016-02-17,90.849998,91.529999,89.769997,91.260002,1180900,90.86605
2016-02-18,90.650002,91.040001,89.360001,90.93,737400,90.537473
2016-02-19,90.82,92.099998,90.139999,92.019997,927000,91.622764
2016-02-22,92.239998,92.489998,91.339996,91.529999,840400,91.134881
2016-02-23,91.459999,93.029999,91.459999,92.870003,1282100,92.469101
2016-02-24,92.470001,93.010002,91.0,92.900002,798200,92.49897
2016-02-25,92.940002,94.169998,92.879997,94.099998,521500,93.693787
2016-02-26,94.089996,94.43,92.959999,93.529999,574800,93.126248
2016-02-29,93.379997,94.349998,93.010002,93.260002,723100,92.857417
2016-03-01,93.989998,94.129997,93.129997,93.379997,841600,92.976894
2016-03-02,93.220001,93.599998,92.129997,93.519997,612500,93.116289
2016-03-03,93.199997,93.769997,92.550003,93.75,516600,93.345299
2016-03-04,93.800003,93.980003,93.169998,93.93,692500,93.524523
2016-03-07,93.470001,93.879997,92.879997,93.279999,621000,92.877327
2016-03-08,92.910004,93.839996,92.43,93.599998,586700,93.195945
2016-03-09,93.940002,94.449997,93.459999,93.870003,462700,93.464784
2016-03-10,94.360001,94.410004,92.360001,93.650002,484400,93.245733
2016-03-11,94.370003,94.839996,93.470001,94.230003,599600,93.823231
2016-03-14,93.989998,94.559998,93.160004,94.309998,418900,93.90288
2016-03-15,93.809998,94.089996,93.18,93.769997,772100,93.36521
2016-03-16,93.599998,94.919998,93.129997,94.75,449700,94.340983
2016-03-17,94.839996,96.190002,94.550003,95.739998,829000,95.326707
2016-03-18,95.739998,96.199997,94.400002,94.43,1530800,94.022364
2016-03-21,94.169998,94.540001,93.75,94.139999,732200,93.733615
2016-03-22,94.050003,94.559998,93.089996,94.019997,728800,93.61413
2016-03-23,94.309998,96.099998,94.010002,95.839996,975500,95.426274
2016-03-24,95.519997,96.459999,95.139999,96.330002,1030100,95.914164
2016-03-28,96.470001,97.809998,96.050003,97.360001,1190600,96.939716
2016-03-29,98.900002,100.529999,97.760002,99.589996,2246600,99.160086
2016-03-30,99.529999,100.220001,98.860001,99.75,1119600,99.319399
2016-03-31,99.699997,99.940002,99.120003,99.480003,1291100,99.050567
2016-04-01,99.260002,100.800003,99.019997,100.529999,1189000,100.09603
2016-04-04,100.5,100.910004,99.529999,100.709999,774800,100.275253
2016-04-05,100.260002,100.660004,98.800003,99.089996,1417600,98.662244
2016-04-06,98.830002,99.610001,97.949997,99.610001,899100,99.180003
2016-04-07,99.07,99.910004,98.620003,99.419998,893100,99.419998
2016-04-08,99.709999,100.050003,99.150002,100.029999,630400,100.029999
2016-04-11,100.410004,100.660004,98.459999,98.529999,765700,98.529999
2016-04-12,98.529999,98.959999,97.779999,98.900002,649900,98.900002
2016-04-13,98.599998,98.769997,96.599998,96.720001,1292100,96.720001
2016-04-14,96.75,96.970001,94.809998,94.830002,1629300,94.830002
2016-04-15,94.910004,95.419998,94.470001,95.059998,1110900,95.059998
2016-04-18,95.050003,95.220001,94.330002,95.080002,1230100,95.080002
2016-04-19,95.370003,95.839996,94.779999,94.989998,670500,94.989998
2016-04-20,95.129997,95.989998,93.110001,93.730003,804900,93.730003
2016-04-21,93.480003,93.5,91.199997,91.389999,1413800,91.389999
2016-04-22,91.449997,92.160004,90.839996,91.760002,1012700,91.760002
2016-04-25,91.669998,93.599998,91.650002,93.290001,889300,93.290001
2016-04-26,93.639999,94.080002,92.830002,93.059998,587900,93.059998
2016-04-27,93.25,93.709999,92.029999,93.0,713000,93.0
2016-04-28,92.589996,93.68,92.389999,93.370003,636900,93.370003
2016-04-29,93.089996,93.870003,92.82,93.779999,793400,93.779999
2016-05-02,94.0,94.790001,93.790001,94.32,437100,94.32
2016-05-03,94.050003,94.650002,93.279999,93.599998,451300,93.599998
2016-05-04,93.5,94.980003,93.309998,94.720001,671700,94.720001
2016-05-05,94.660004,95.720001,94.639999,94.800003,459200,94.800003
2016-05-06,94.82,95.650002,94.25,95.5,402300,95.5
2016-05-09,95.629997,97.089996,95.610001,96.989998,751300,96.989998
2016-05-10,97.339996,97.980003,96.519997,97.980003,590000,97.980003
2016-05-11,97.940002,98.349998,97.120003,97.510002,459300,97.510002
2016-05-12,97.519997,98.889999,97.519997,98.849998,521100,98.849998
2016-05-13,98.769997,99.489998,97.849998,98.339996,651200,98.339996
2016-05-16,98.370003,98.879997,97.599998,98.790001,427300,98.790001
2016-05-17,98.290001,98.620003,95.790001,96.370003,806300,96.370003
2016-05-18,95.970001,96.290001,94.239998,95.260002,841100,95.260002
2016-05-19,95.0,96.150002,94.669998,96.07,527500,96.07
2016-05-20,96.209999,96.769997,94.889999,95.559998,754600,95.559998
2016-05-23,95.620003,96.379997,95.519997,95.720001,516300,95.720001
2016-05-24,95.940002,96.720001,95.580002,96.709999,627600,96.709999
2016-05-25,96.629997,96.949997,95.919998,96.720001,672100,96.720001
2016-05-26,96.82,97.849998,96.489998,97.519997,471800,97.519997
2016-05-27,97.519997,97.970001,97.349998,97.779999,350900,97.779999
2016-05-31,97.989998,98.0,96.589996,97.07,623200,97.07
2016-06-01,97.110001,97.790001,96.669998,97.260002,571600,97.260002
2016-06-02,97.089996,97.489998,96.650002,97.18,528300,97.18
2016-06-03,97.080002,98.57,97.019997,98.480003,682300,98.480003
