Date,Open_SBUX,High_SBUX,Low_SBUX,Close_SBUX,Volume_SBUX,AdjClose_SBUX
2015-02-03,87.980003,88.489998,86.93,88.489998,9252400,43.546284
2015-02-04,88.0,89.43,87.989998,88.699997,11496600,43.649625
2015-02-05,88.709999,89.769997,88.709999,89.639999,7598600,44.112204
2015-02-06,89.5,89.68,88.68,89.0,7835400,43.797258
2015-02-09,88.510002,89.209999,88.139999,88.82,6911600,43.708679
2015-02-10,89.370003,91.379997,89.330002,91.18,12469600,44.870045
2015-02-11,91.160004,91.790001,90.709999,90.790001,6467000,44.678125
2015-02-12,91.089996,91.940002,90.089996,91.830002,7197600,45.189913
2015-02-13,91.989998,91.989998,90.910004,91.580002,6109600,45.066887
2015-02-17,91.769997,92.239998,91.260002,92.029999,6387000,45.288333
2015-02-18,92.389999,93.330002,92.0,93.0,6542000,45.765674
2015-02-19,93.150002,93.779999,93.010002,93.169998,6109200,45.849331
2015-02-20,93.459999,93.669998,92.970001,93.510002,6461400,46.016648
2015-02-23,93.849998,93.93,93.080002,93.580002,5854600,46.051095
2015-02-24,93.260002,93.989998,93.160004,93.449997,6337800,45.98712
2015-02-25,93.300003,94.830002,93.25,94.260002,8119600,46.385726
2015-02-26,94.300003,94.82,94.080002,94.550003,6816400,46.528437
2015-02-27,94.790001,94.800003,93.269997,93.489998,8658400,46.006804
2015-03-02,93.330002,94.550003,93.330002,94.230003,7947000,46.370964
2015-03-03,94.099998,94.209999,93.199997,94.0,7578400,46.257778
2015-03-04,93.809998,94.190002,92.010002,93.059998,7774600,45.795199
2015-03-05,93.279999,93.959999,93.059998,93.629997,5848400,46.075698
2015-03-06,93.300003,93.699997,91.879997,92.220001,6814400,45.381834
2015-03-09,92.389999,93.129997,92.089996,93.040001,5984800,45.785359
2015-03-10,92.160004,92.910004,91.769997,92.18,6077000,45.362149
2015-03-11,92.120003,92.980003,91.220001,91.419998,8185800,44.988149
2015-03-12,91.970001,93.529999,91.839996,93.379997,7295400,45.952672
2015-03-13,92.68,94.370003,92.68,93.290001,5835200,45.908385
2015-03-16,94.0,94.620003,93.739998,94.050003,6772600,46.282385
2015-03-17,93.760002,94.480003,93.599998,94.389999,5508800,46.449698
2015-03-18,94.0,96.57,93.349998,95.839996,15430000,47.163248
2015-03-19,96.760002,99.199997,96.379997,97.760002,22020600,48.10809
2015-03-20,98.489998,98.900002,97.010002,97.459999,17360600,47.960458
2015-03-23,97.879997,97.900002,96.709999,97.370003,7986000,47.91617
2015-03-24,97.110001,98.330002,96.760002,97.919998,7718400,48.186825
2015-03-25,98.139999,98.480003,95.769997,95.769997,9907200,47.128801
2015-03-26,95.349998,95.75,93.660004,95.080002,10344400,46.789251
2015-03-27,95.0,95.949997,94.75,95.07,7993400,46.784329
2015-03-30,96.040001,96.5,95.5,95.980003,6830200,47.232146
2015-03-31,95.669998,96.199997,94.690002,94.699997,8717800,46.60225
2015-04-01,94.279999,94.5,92.559998,93.019997,14125400,45.775515
2015-04-02,93.419998,94.639999,93.220001,94.389999,8863000,46.449698
2015-04-06,93.849998,94.800003,93.449997,94.519997,6058800,46.513671
2015-04-07,94.410004,94.959999,93.959999,94.07,5354600,46.292225
2015-04-08,93.839996,95.279999,93.839996,95.230003,3413900,46.863068
2015-04-09,47.650002,47.990002,47.25,47.959999,7109600,47.202617
2015-04-10,48.599998,48.599998,47.880001,48.169998,6643100,47.4093
2015-04-13,48.560001,48.889999,48.380001,48.5,8171000,47.73409
2015-04-14,48.52,48.709999,47.970001,48.299999,5952400,47.537248
2015-04-15,48.810001,48.810001,48.130001,48.139999,5162200,47.379775
2015-04-16,48.23,48.48,48.16,48.25,5312500,47.488038
2015-04-17,47.900002,48.0,47.389999,47.619999,7539900,46.867986
2015-04-20,47.900002,48.119999,47.700001,47.970001,4868400,47.212461
2015-04-21,48.349998,48.48,48.02,48.369999,6213400,47.606142
2015-04-22,48.5,48.599998,47.98,48.34,7248100,47.576617
2015-04-23,48.549999,49.700001,48.279999,49.43,15866100,48.649404
2015-04-24,51.32,52.09,50.619999,51.84,22284900,51.021345
2015-04-27,51.810001,51.939999,50.759998,50.869999,11222600,50.066662
2015-04-28,50.599998,50.799999,49.98,50.610001,8882900,49.81077
2015-04-29,50.419998,50.950001,50.200001,50.650002,7162000,49.850139
2015-04-30,50.630001,50.68,49.43,49.580002,8492000,48.797037
2015-05-01,49.950001,50.419998,49.68,50.290001,5916500,49.495824
2015-05-04,50.299999,50.93,50.27,50.450001,7493400,49.653297
2015-05-05,49.939999,50.049999,49.360001,49.41,10691200,48.784438
2015-05-06,49.68,49.700001,48.57,48.93,8033500,48.310516
2015-05-07,48.740002,49.549999,48.720001,49.349998,5681400,48.725197
2015-05-08,49.990002,50.43,49.459999,49.779999,6039800,49.149753
2015-05-11,49.709999,50.220001,49.380001,49.5,5047200,48.873299
2015-05-12,49.150002,49.990002,49.0,49.709999,5868600,49.08064
2015-05-13,49.849998,50.150002,49.43,49.59,4927100,48.96216
2015-05-14,49.98,50.59,49.669998,50.560001,7339700,49.91988
2015-05-15,50.790001,50.849998,50.389999,50.799999,6016700,50.15684
2015-05-18,50.650002,51.290001,50.560001,51.18,8999800,50.53203
2015-05-19,51.48,51.720001,50.959999,51.419998,6976100,50.768989
2015-05-20,51.310001,51.439999,50.43,51.029999,5644700,50.383927
2015-05-21,50.939999,51.450001,50.779999,51.330002,5084000,50.680132
2015-05-22,51.330002,51.650002,51.209999,51.48,5857700,50.828231
