Date,Open_RHI,High_RHI,Low_RHI,Close_RHI,Volume_RHI,AdjClose_RHI
2016-03-28,44.290001,44.689999,43.779999,44.389999,1014500,44.143949
2016-03-29,44.27,45.439999,44.110001,45.41,1174600,45.158295
2016-03-30,45.57,46.189999,45.509998,45.849998,1047100,45.595855
2016-03-31,45.799999,46.75,45.799999,46.580002,1108400,46.321812
2016-04-01,46.290001,47.23,46.150002,47.200001,1635800,46.938374
2016-04-04,47.200001,47.259998,45.970001,46.0,1215300,45.745025
2016-04-05,45.700001,45.779999,45.009998,45.119999,1938700,44.869902
2016-04-06,45.029999,45.5,44.639999,45.41,763100,45.158295
2016-04-07,45.150002,45.27,44.009998,44.130001,2069600,43.885391
2016-04-08,44.459999,44.869999,44.130001,44.48,898500,44.23345
2016-04-11,44.599998,44.98,44.18,44.189999,938300,43.945056
2016-04-12,44.299999,44.400002,43.880001,44.27,1228200,44.024615
2016-04-13,44.639999,45.23,44.470001,45.23,1021300,44.979293
2016-04-14,45.5,45.82,45.200001,45.740002,649500,45.486468
2016-04-15,45.830002,45.830002,45.07,45.34,1503600,45.088684
2016-04-18,45.290001,45.619999,45.040001,45.529999,1631000,45.277629
2016-04-19,45.639999,45.709999,44.950001,45.119999,1811900,44.869902
2016-04-20,45.52,46.09,45.150002,45.869999,2124500,45.615745
2016-04-21,45.080002,45.259998,43.119999,43.290001,2074500,43.050047
2016-04-22,43.400002,44.169998,43.330002,43.98,2292500,43.736221
2016-04-25,43.869999,44.150002,43.48,43.709999,948500,43.467717
2016-04-26,43.799999,44.630001,43.650002,44.599998,1242200,44.352784
2016-04-27,40.209999,40.5,38.330002,39.130001,5418000,38.913106
2016-04-28,39.029999,39.709999,38.709999,38.84,2604200,38.624713
2016-04-29,38.779999,38.779999,37.959999,38.310001,2086100,38.097652
2016-05-02,38.549999,38.720001,38.099998,38.34,2025500,38.127484
2016-05-03,38.099998,39.41,38.0,39.0,2587900,38.783826
2016-05-04,38.799999,39.279999,38.59,38.709999,3214500,38.495432
