Date,Open_VIAB,High_VIAB,Low_VIAB,Close_VIAB,Volume_VIAB,AdjClose_VIAB
2014-04-29,84.75,84.75,83.209999,83.709999,1842900,78.745656
2014-04-30,83.25,85.870003,82.980003,84.980003,3743600,79.940344
2014-05-01,83.260002,84.629997,82.510002,83.5,3736300,78.548111
2014-05-02,83.830002,84.639999,83.199997,84.150002,1846600,79.159565
2014-05-05,83.330002,84.599998,83.019997,84.239998,1623200,79.244224
2014-05-06,84.099998,84.410004,83.07,83.150002,1571300,78.218869
2014-05-07,83.300003,83.730003,82.699997,83.239998,1973800,78.303528
2014-05-08,83.230003,84.849998,83.220001,83.860001,1740200,78.886762
2014-05-09,83.639999,83.970001,82.709999,83.379997,1876200,78.435225
2014-05-12,83.949997,84.949997,83.940002,84.559998,2344500,79.545247
2014-05-13,84.389999,84.989998,83.279999,83.690002,1876200,78.726846
2014-05-14,83.489998,83.940002,82.870003,83.129997,2239800,78.200051
2014-05-15,82.860001,83.339996,81.75,83.059998,2166200,78.134203
2014-05-16,83.400002,83.870003,82.339996,83.830002,2821900,78.858542
2014-05-19,83.610001,84.519997,83.050003,84.25,1843900,79.253633
2014-05-20,83.839996,84.290001,82.790001,83.290001,2133600,78.350566
2014-05-21,83.589996,84.709999,83.290001,84.459999,1867300,79.451178
2014-05-22,84.470001,85.25,84.269997,84.669998,1614600,79.648724
2014-05-23,84.07,85.639999,84.07,84.989998,2412600,79.949746
2014-05-27,85.099998,85.900002,85.099998,85.349998,1591900,80.288397
2014-05-28,85.089996,86.010002,84.75,85.610001,2074400,80.53298
2014-05-29,85.910004,86.120003,85.370003,85.620003,1803000,80.542389
2014-05-30,85.809998,85.940002,85.010002,85.330002,2135400,80.269586
2014-06-02,85.419998,86.720001,85.360001,86.699997,1730700,81.558335
2014-06-03,86.660004,87.209999,86.190002,87.099998,1887500,81.934615
2014-06-04,86.550003,87.25,86.550003,87.0,1042500,81.840547
2014-06-05,86.889999,87.760002,86.43,87.480003,1626600,82.292084
2014-06-06,87.919998,87.940002,87.279999,87.660004,1443900,82.46141
2014-06-09,87.629997,88.5,87.540001,87.849998,1344800,82.640137
2014-06-10,87.580002,87.949997,86.830002,87.370003,1769100,82.188607
2014-06-11,86.379997,87.209999,86.379997,86.599998,1696500,81.773126
2014-06-12,86.470001,86.589996,85.519997,85.949997,1932100,81.159354
2014-06-13,86.089996,86.279999,85.339996,85.910004,1263500,81.12159
2014-06-16,85.660004,86.75,85.599998,86.470001,1767600,81.650375
2014-06-17,86.220001,86.730003,85.900002,86.349998,1416800,81.537061
2014-06-18,86.5,87.089996,85.910004,87.0,1859700,82.150833
2014-06-19,87.550003,87.620003,86.830002,87.0,1834000,82.150833
2014-06-20,87.370003,87.370003,85.580002,85.760002,4262100,80.979949
2014-06-23,85.949997,86.0,85.309998,85.419998,1325800,80.658896
2014-06-24,85.25,86.0,85.050003,85.120003,1482400,80.375622
2014-06-25,84.400002,85.949997,84.389999,85.059998,3042300,80.318961
2014-06-26,85.0,85.489998,84.300003,85.43,1501000,80.668341
2014-06-27,85.18,86.519997,84.970001,86.370003,2728800,81.55595
2014-06-30,86.410004,87.029999,86.190002,86.730003,2181700,81.895885
2014-07-01,86.879997,87.160004,86.449997,86.849998,1860900,82.009192
2014-07-02,86.25,87.639999,86.110001,87.32,1356700,82.452996
2014-07-03,87.370003,87.980003,87.029999,87.480003,1030200,82.604082
2014-07-07,87.470001,87.589996,87.040001,87.269997,1013700,82.40578
2014-07-08,87.089996,87.360001,86.519997,86.650002,1679800,81.820342
2014-07-09,86.349998,86.68,85.57,86.510002,3231000,81.688146
2014-07-10,86.0,86.940002,85.620003,86.300003,2229800,81.489852
2014-07-11,86.32,86.480003,85.010002,85.370003,2722100,80.611688
2014-07-14,85.809998,85.959999,84.980003,85.029999,2393600,80.290635
2014-07-15,85.029999,85.379997,84.480003,84.599998,2502500,79.884601
2014-07-16,87.0,89.760002,86.980003,87.370003,6800600,82.500212
2014-07-17,87.010002,88.919998,87.010002,87.639999,3613900,82.75516
2014-07-18,88.0,88.419998,87.510002,88.360001,2938000,83.43503
2014-07-21,87.839996,88.0,87.080002,87.300003,1659700,82.434114
2014-07-22,87.660004,87.870003,87.040001,87.099998,1661400,82.245258
2014-07-23,87.120003,87.120003,85.120003,85.760002,2828000,80.979949
2014-07-24,85.959999,86.059998,85.489998,85.620003,3414000,80.847753
2014-07-25,85.68,86.190002,85.370003,86.139999,1846400,81.338766
2014-07-28,85.879997,86.199997,85.330002,85.980003,1774300,81.187688
2014-07-29,86.0,86.5,85.5,85.510002,1560700,80.743884
2014-07-30,85.860001,86.349998,84.730003,84.889999,2849500,80.158438
2014-07-31,84.25,84.870003,82.639999,82.669998,2816500,78.062175
2014-08-01,82.809998,83.059998,82.07,82.25,2651200,77.665586
2014-08-04,82.25,82.730003,81.919998,82.389999,3406100,77.797782
2014-08-05,81.650002,82.470001,81.400002,81.769997,2699600,77.212337
2014-08-06,81.230003,81.309998,79.720001,80.309998,4975700,75.833715
2014-08-07,80.059998,81.089996,79.269997,79.730003,3671900,75.286048
2014-08-08,80.07,80.639999,79.779999,80.440002,2783300,75.956473
2014-08-11,80.57,81.25,80.470001,81.080002,2784900,76.560801
2014-08-12,81.18,81.18,80.029999,80.379997,1996300,75.899813
2014-08-13,80.410004,81.120003,80.040001,80.239998,2131400,75.767617
2014-08-14,80.220001,80.919998,80.220001,80.82,1678200,76.315291
2014-08-15,80.970001,81.550003,80.769997,81.480003,3453100,76.938507
2014-08-18,81.82,82.25,81.739998,82.160004,1570400,77.580606
2014-08-19,82.199997,82.230003,81.190002,81.220001,3041900,76.692997
2014-08-20,81.230003,81.620003,81.059998,81.230003,2003700,76.702442
2014-08-21,81.07,81.32,80.639999,80.75,2221400,76.249192
2014-08-22,81.050003,81.050003,80.5,80.699997,1841000,76.201976
2014-08-25,81.0,81.120003,80.389999,80.510002,1869000,76.022571
2014-08-26,80.540001,80.82,80.25,80.440002,1291600,75.956473
2014-08-27,80.32,80.830002,80.32,80.809998,1420000,76.305846
2014-08-28,80.480003,81.209999,80.459999,80.769997,1621300,76.268075
2014-08-29,81.190002,81.190002,80.330002,81.150002,1936200,76.626899
2014-09-02,81.150002,81.790001,81.150002,81.459999,3292600,76.919618
2014-09-03,81.480003,81.989998,80.849998,80.860001,2240900,76.353062
2014-09-04,80.919998,81.540001,80.889999,81.089996,1841800,76.570238
2014-09-05,80.889999,81.389999,80.760002,81.360001,2472600,76.825193
2014-09-08,81.290001,81.309998,80.519997,80.870003,1782300,76.362507
2014-09-09,80.669998,80.910004,79.059998,79.199997,3075000,74.785583
2014-09-10,79.120003,80.550003,78.830002,80.239998,3052400,75.767617
2014-09-11,79.82,80.169998,79.459999,79.919998,2169200,75.777097
2014-09-12,79.779999,79.93,79.110001,79.519997,2592800,75.397831
2014-09-15,79.260002,79.589996,79.099998,79.279999,2224800,75.170274
2014-09-16,79.389999,80.440002,79.18,80.010002,2222900,75.862436
2014-09-17,80.139999,80.169998,79.269997,79.480003,2211900,75.359911
2014-09-18,79.889999,80.529999,79.379997,80.459999,2273600,76.289106
2014-09-19,80.989998,81.230003,80.57,80.870003,6025300,76.677855
2014-09-22,80.529999,80.849998,79.339996,79.419998,2683200,75.303016
2014-09-23,79.269997,79.410004,77.440002,77.510002,4452000,73.492031
2014-09-24,78.0,78.309998,76.860001,78.129997,3656600,74.079887
2014-09-25,78.099998,78.400002,76.919998,76.970001,1974200,72.980023
2014-09-26,76.860001,77.480003,76.650002,77.169998,1997100,73.169652
2014-09-29,76.629997,77.199997,76.519997,76.82,1642400,72.837797
2014-09-30,76.860001,77.580002,76.639999,76.940002,2236400,72.951579
2014-10-01,76.669998,76.790001,75.019997,75.220001,2907200,71.320739
2014-10-02,74.910004,75.300003,73.230003,74.599998,3345400,70.732876
2014-10-03,74.75,75.900002,74.620003,75.089996,2833000,71.197474
2014-10-06,75.410004,75.529999,74.510002,74.550003,2018900,70.685473
2014-10-07,74.239998,74.610001,73.779999,73.779999,2123300,69.955384
2014-10-08,73.669998,74.769997,73.099998,74.610001,2617800,70.74236
2014-10-09,74.339996,74.489998,71.790001,72.059998,3072800,68.324544
2014-10-10,71.900002,72.779999,70.400002,70.440002,3492500,66.788527
2014-10-13,70.139999,70.5,68.18,68.220001,3937100,64.683606
2014-10-14,68.879997,69.760002,68.449997,68.980003,3367900,65.404211
2014-10-15,68.0,69.160004,66.769997,68.199997,5115200,64.664639
2014-10-16,65.93,68.580002,65.860001,68.230003,4682600,64.69309
2014-10-17,69.910004,70.080002,68.620003,69.309998,2530800,65.717099
2014-10-20,69.150002,69.809998,68.559998,69.0,3456000,65.423171
2014-10-21,69.419998,72.209999,69.220001,71.839996,3781800,68.115947
2014-10-22,71.970001,72.260002,70.389999,70.43,3230800,66.779043
2014-10-23,70.919998,71.870003,70.580002,71.470001,2587300,67.765132
2014-10-24,71.620003,71.839996,71.059998,71.610001,1841900,67.897874
2014-10-27,71.519997,72.440002,71.0,71.889999,3112000,68.163358
2014-10-28,72.239998,73.0,71.959999,72.93,2507000,69.149448
2014-10-29,72.870003,73.550003,72.489998,73.0,2795100,69.215819
2014-10-30,72.690002,72.889999,71.970001,72.720001,3203100,68.950335
2014-10-31,73.529999,74.080002,72.68,72.68,2698900,68.912407
2014-11-03,72.669998,72.889999,72.419998,72.830002,2960300,69.054633
2014-11-04,72.459999,72.480003,69.580002,69.629997,4583400,66.02051
2014-11-05,70.129997,70.519997,68.75,70.480003,4022100,66.826454
2014-11-06,70.639999,71.139999,70.360001,70.790001,3139100,67.120382
2014-11-07,70.959999,71.139999,69.919998,70.629997,3054400,66.968672
