Date,Open_BWA,High_BWA,Low_BWA,Close_BWA,Volume_BWA,AdjClose_BWA
2016-04-13,35.330002,36.98,35.299999,36.75,2186100,36.606748
2016-04-14,36.98,37.470001,36.240002,37.049999,1631000,36.905577
2016-04-15,37.09,37.549999,36.91,37.32,1848000,37.174525
2016-04-18,37.25,37.779999,37.0,37.400002,1318700,37.254215
2016-04-19,37.75,38.73,37.740002,38.509998,1577900,38.359885
2016-04-20,38.490002,39.0,38.34,38.59,1324400,38.439575
2016-04-21,38.700001,39.110001,38.369999,38.560001,1322100,38.409694
2016-04-22,38.310001,38.98,37.959999,38.48,1316700,38.330004
2016-04-25,38.299999,38.66,37.970001,38.439999,2091600,38.290159
2016-04-26,38.610001,39.959999,38.41,39.93,2813500,39.774352
2016-04-27,39.650002,40.200001,38.369999,38.619999,4393600,38.469457
2016-04-28,37.57,37.77,36.259998,36.450001,4077200,36.307918
2016-04-29,36.5,36.669998,35.740002,35.919998,3113300,35.779981
2016-05-02,36.16,36.360001,35.349998,35.689999,2587500,35.550878
2016-05-03,35.349998,36.419998,34.48,35.790001,2957900,35.650491
2016-05-04,35.439999,35.52,34.349998,34.380001,2321800,34.245987
2016-05-05,34.66,35.040001,33.82,33.849998,1766300,33.71805
2016-05-06,33.779999,34.299999,33.580002,33.93,2715700,33.79774
2016-05-09,33.849998,34.18,33.669998,33.84,1533600,33.708091
2016-05-10,34.07,34.41,33.720001,34.240002,1347500,34.106533
2016-05-11,34.029999,34.689999,33.91,34.0,2218200,33.867467
2016-05-12,34.259998,34.57,33.52,33.75,1147600,33.618442
2016-05-13,33.599998,34.080002,32.950001,32.970001,1786200,32.841483
2016-05-16,33.130001,33.639999,33.0,33.419998,1140600,33.289726
2016-05-17,33.200001,33.830002,32.959999,33.459999,2179800,33.329571
2016-05-18,33.220001,33.84,32.880001,33.43,1802100,33.299689
2016-05-19,33.110001,33.419998,32.209999,32.32,1995400,32.194016
2016-05-20,32.5,32.959999,32.25,32.84,1044600,32.711989
2016-05-23,32.709999,32.880001,32.209999,32.459999,1122000,32.333469
2016-05-24,32.720001,33.380001,32.330002,33.130001,1589400,33.00086
2016-05-25,33.209999,33.790001,33.209999,33.68,1547900,33.548715
2016-05-26,33.73,33.790001,33.200001,33.349998,1235300,33.219999
2016-05-27,33.220001,33.68,33.07,33.599998,1696300,33.599998
2016-05-31,33.540001,34.209999,33.540001,34.029999,1916200,34.029999
2016-06-01,33.610001,33.849998,32.709999,33.540001,2712000,33.540001
2016-06-02,33.419998,34.490002,33.290001,34.400002,1463400,34.400002
2016-06-03,34.310001,34.310001,33.290001,33.68,1778100,33.68
