Date,Open_COST,High_COST,Low_COST,Close_COST,Volume_COST,AdjClose_COST
2015-11-24,162.259995,163.919998,161.0,162.190002,2799500,161.274482
2015-11-25,162.039993,163.0,161.139999,162.389999,1828000,161.47335
2015-11-27,163.110001,164.410004,162.490005,163.580002,866300,162.656635
2015-11-30,164.169998,164.440002,160.789993,161.419998,3063800,160.508824
2015-12-01,162.020004,163.039993,160.740005,161.289993,1939700,160.379553
2015-12-02,161.710007,162.440002,160.630005,161.089996,1585700,160.180685
2015-12-03,164.509995,166.100006,163.309998,163.669998,3440000,162.746124
2015-12-04,164.119995,167.240005,164.009995,166.800003,2578600,165.858461
2015-12-07,167.330002,167.5,165.550003,167.119995,2791900,166.176646
2015-12-08,166.740005,169.729996,165.869995,168.869995,3158500,167.916768
2015-12-09,162.720001,163.889999,158.220001,159.720001,9527000,158.818424
2015-12-10,160.929993,163.410004,160.610001,161.860001,3653300,160.946343
2015-12-11,159.729996,161.199997,159.360001,160.020004,2511200,159.116733
2015-12-14,160.089996,161.880005,159.410004,161.839996,2427300,160.926452
2015-12-15,163.320007,163.740005,160.720001,161.289993,2356100,160.379553
2015-12-16,161.949997,163.25,160.0,162.759995,2196300,161.841257
2015-12-17,162.440002,163.580002,160.600006,160.679993,1703900,159.772996
2015-12-18,159.789993,160.679993,157.600006,157.699997,4295800,156.809822
2015-12-21,158.809998,159.429993,157.330002,159.389999,1453500,158.490284
2015-12-22,159.899994,161.389999,159.029999,161.229996,1742100,160.319895
2015-12-23,162.429993,162.429993,160.779999,161.710007,1581000,160.797196
2015-12-24,161.850006,162.330002,161.440002,161.75,491000,160.836964
2015-12-28,161.050003,162.259995,160.399994,161.160004,1124700,160.250298
2015-12-29,161.899994,163.229996,161.520004,162.660004,1169600,161.74183
2015-12-30,162.960007,163.449997,162.509995,162.710007,889900,161.791551
2015-12-31,162.080002,164.0,161.5,161.5,1873400,160.588375
2016-01-04,159.809998,160.100006,157.869995,159.539993,2640800,158.639432
2016-01-05,160.169998,161.229996,159.449997,159.929993,2127700,159.02723
2016-01-06,158.360001,159.800003,157.630005,158.449997,2033400,157.555588
2016-01-07,154.850006,157.059998,153.550003,154.820007,3826000,153.946089
2016-01-08,155.279999,155.300003,151.809998,152.110001,3156200,151.251379
2016-01-11,152.300003,155.960007,152.119995,154.720001,2164500,153.846647
2016-01-12,155.710007,156.429993,154.940002,156.059998,2215600,155.17908
2016-01-13,155.970001,156.020004,151.880005,152.119995,2157500,151.261317
2016-01-14,151.960007,154.160004,151.330002,153.179993,2281500,152.315332
2016-01-15,149.289993,151.520004,148.25,150.389999,2975400,149.541087
2016-01-19,151.789993,152.0,149.580002,150.470001,2242600,149.620637
2016-01-20,148.460007,150.0,144.910004,148.820007,3796800,147.979957
2016-01-21,148.970001,151.240005,148.110001,150.380005,2211800,149.531149
2016-01-22,152.179993,153.710007,151.649994,153.690002,2544100,152.822463
2016-01-25,154.070007,154.479996,150.550003,150.779999,1820600,149.928885
2016-01-26,150.779999,151.720001,148.300003,148.5,2828600,147.661756
2016-01-27,149.289993,149.589996,146.720001,147.729996,2189500,146.896099
2016-01-28,148.550003,149.970001,147.809998,149.589996,2076100,148.7456
2016-01-29,149.5,151.619995,146.910004,151.119995,3221300,150.266962
2016-02-01,150.839996,152.190002,150.190002,151.25,2142000,150.396233
2016-02-02,149.990005,150.789993,148.110001,148.5,1931400,147.661756
2016-02-03,149.279999,149.979996,145.449997,146.699997,2546900,145.871914
2016-02-04,145.0,145.139999,141.789993,143.279999,5340500,142.471221
2016-02-05,143.270004,145.199997,142.399994,143.990005,4079300,143.17722
2016-02-08,142.740005,147.550003,141.619995,147.020004,3782000,146.190115
2016-02-09,146.240005,149.720001,146.229996,147.940002,3228300,147.10492
2016-02-10,149.369995,150.169998,147.580002,148.050003,2189600,147.613421
2016-02-11,147.130005,148.389999,144.759995,146.649994,2198100,146.217541
2016-02-12,147.979996,149.270004,147.0,148.649994,1951800,148.211643
2016-02-16,149.350006,150.639999,147.699997,149.110001,2186400,148.670293
2016-02-17,149.75,151.979996,148.910004,150.910004,2174600,150.464988
2016-02-18,149.130005,149.839996,146.820007,148.649994,2894300,148.211643
2016-02-19,149.0,149.139999,146.850006,148.699997,2471700,148.261498
2016-02-22,149.630005,150.179993,148.490005,150.059998,2161300,149.617489
2016-02-23,149.889999,151.759995,149.119995,150.360001,1850600,149.916607
2016-02-24,150.029999,154.410004,149.660004,153.869995,2590100,153.416251
2016-02-25,154.690002,154.880005,152.860001,154.720001,1746900,154.26375
2016-02-26,153.089996,153.410004,148.759995,149.679993,3800800,149.238604
2016-02-29,149.990005,152.300003,149.690002,150.029999,3115800,149.587578
2016-03-01,150.399994,151.199997,149.380005,150.520004,2681400,150.076139
2016-03-02,151.130005,152.949997,150.389999,152.789993,2947600,152.339434
2016-03-03,148.559998,151.960007,147.380005,151.600006,5552600,151.152956
2016-03-04,151.740005,151.770004,150.029999,150.899994,2155600,150.455008
2016-03-07,149.960007,150.889999,147.600006,148.169998,3159600,147.733063
2016-03-08,147.660004,151.919998,147.100006,150.949997,3156300,150.504863
2016-03-09,151.350006,153.5,151.309998,153.050003,2395300,152.598677
2016-03-10,153.210007,154.690002,151.050003,152.869995,1413000,152.4192
2016-03-11,153.850006,154.0,151.399994,152.710007,1829900,152.259683
2016-03-14,152.259995,153.300003,151.649994,152.669998,1218400,152.219793
2016-03-15,151.800003,154.419998,151.800003,154.179993,1398500,153.725334
2016-03-16,153.699997,155.0,152.630005,154.059998,1485500,153.605693
2016-03-17,153.820007,154.740005,153.589996,153.839996,1583200,153.386341
2016-03-18,154.580002,154.699997,152.770004,153.149994,3611700,152.698373
2016-03-21,152.820007,154.350006,152.470001,153.940002,1367400,153.486052
2016-03-22,153.210007,153.809998,152.0,152.229996,1943100,151.781088
2016-03-23,152.179993,153.929993,151.639999,153.509995,2127300,153.057312
2016-03-24,153.240005,154.080002,150.850006,151.429993,2506500,150.983444
2016-03-28,151.800003,153.940002,151.779999,152.669998,1767400,152.219793
