Date,Open_ADP,High_ADP,Low_ADP,Close_ADP,Volume_ADP,AdjClose_ADP
2015-03-13,86.089996,86.470001,85.32,85.879997,1650600,83.284133
2015-03-16,86.519997,87.529999,86.199997,87.349998,1663800,84.709701
2015-03-17,86.910004,87.32,86.559998,86.639999,1985500,84.021163
2015-03-18,86.629997,87.760002,85.559998,87.349998,1927000,84.709701
2015-03-19,87.379997,87.790001,87.269997,87.370003,2143900,84.7291
2015-03-20,87.800003,88.010002,87.480003,87.769997,4119100,85.117004
2015-03-23,88.019997,88.019997,87.290001,87.309998,1592900,84.670909
2015-03-24,87.150002,87.599998,86.959999,86.970001,1167800,84.34119
2015-03-25,87.129997,87.160004,84.739998,84.739998,1707100,82.178592
2015-03-26,84.260002,84.769997,83.910004,84.410004,1598900,81.858572
2015-03-27,84.339996,84.910004,84.199997,84.629997,1425000,82.071916
2015-03-30,84.959999,86.169998,84.919998,85.889999,1139800,83.293833
2015-03-31,85.349998,86.339996,85.18,85.639999,1682200,83.051389
2015-04-01,85.730003,85.730003,84.330002,85.260002,1502900,82.682878
2015-04-02,85.849998,86.580002,85.470001,85.919998,1699900,83.322925
2015-04-06,85.660004,86.660004,85.419998,86.25,1449700,83.642952
2015-04-07,86.230003,86.629997,85.82,85.860001,1039600,83.264741
2015-04-08,85.690002,86.699997,85.529999,86.57,1328500,83.953279
2015-04-09,86.449997,86.739998,85.669998,86.599998,1155400,83.982371
2015-04-10,86.760002,86.790001,86.160004,86.339996,1857500,83.730228
2015-04-13,86.120003,86.699997,85.760002,85.919998,1331700,83.322925
2015-04-14,85.739998,86.139999,85.199997,85.620003,1366700,83.031997
2015-04-15,85.900002,86.080002,85.610001,85.760002,1481200,83.167765
2015-04-16,85.559998,85.75,85.25,85.379997,1463400,82.799246
2015-04-17,84.639999,85.010002,83.300003,83.529999,1965600,81.005167
2015-04-20,83.839996,84.910004,83.599998,84.800003,1412600,82.236783
2015-04-21,85.160004,86.120003,84.800003,85.099998,1552500,82.527711
2015-04-22,85.139999,85.489998,84.610001,85.309998,993600,82.731362
2015-04-23,85.120003,86.099998,85.019997,85.769997,1000100,83.177457
2015-04-24,85.650002,85.650002,84.32,85.0,1187100,82.430735
2015-04-27,85.419998,85.459999,84.519997,84.699997,1467000,82.1398
2015-04-28,84.800003,85.650002,84.370003,85.610001,1639400,83.022297
2015-04-29,85.080002,85.940002,84.760002,85.389999,1914600,82.808946
2015-04-30,85.220001,86.0,84.32,84.540001,2194400,81.98464
2015-05-01,84.529999,86.279999,84.519997,86.029999,2086000,83.4296
2015-05-04,86.459999,86.989998,86.120003,86.5,1992500,83.885395
2015-05-05,86.559998,86.559998,85.150002,85.610001,1534400,83.022297
2015-05-06,85.720001,86.169998,84.790001,85.410004,1610400,82.828346
2015-05-07,85.620003,86.589996,84.980003,86.300003,1656300,83.691443
2015-05-08,86.82,87.809998,86.769997,87.349998,1465100,84.709701
2015-05-11,87.279999,87.720001,87.059998,87.209999,1701300,84.573933
2015-05-12,86.839996,87.199997,85.849998,86.760002,1549800,84.137538
2015-05-13,86.650002,87.260002,86.199997,86.309998,1950000,83.701136
2015-05-14,86.970001,88.029999,86.519997,87.989998,1892400,85.330355
2015-05-15,88.25,88.400002,87.510002,87.769997,1606300,85.117004
2015-05-18,87.370003,87.809998,87.010002,87.480003,1593300,84.835776
2015-05-19,87.800003,88.120003,87.419998,87.900002,1875700,85.243079
2015-05-20,88.059998,88.059998,87.419998,87.43,1767700,84.787284
2015-05-21,87.360001,87.620003,87.080002,87.269997,1517400,84.632117
2015-05-22,87.190002,87.440002,86.809998,86.82,1498400,84.195722
2015-05-26,86.550003,86.82,85.220001,85.419998,1867600,82.838038
2015-05-27,85.459999,86.029999,85.279999,85.910004,2017400,83.313232
