Date,Open_CL,High_CL,Low_CL,Close_CL,Volume_CL,AdjClose_CL
2014-09-16,64.379997,65.400002,64.25,65.139999,4466400,62.631592
2014-09-17,65.410004,65.419998,64.839996,65.239998,3709500,62.72774
2014-09-18,65.279999,65.449997,65.040001,65.309998,3443400,62.795044
2014-09-19,65.599998,65.669998,65.230003,65.279999,5260800,62.766201
2014-09-22,65.449997,65.889999,65.309998,65.690002,2871100,63.160416
2014-09-23,65.459999,65.839996,65.349998,65.400002,3138500,62.881582
2014-09-24,65.459999,66.360001,65.459999,66.230003,4024400,63.679622
2014-09-25,66.019997,66.059998,65.459999,65.480003,2553000,62.958503
2014-09-26,65.43,65.849998,65.059998,65.699997,1988000,63.170026
2014-09-29,65.410004,65.690002,65.190002,65.629997,3073900,63.102721
2014-09-30,65.760002,65.830002,65.160004,65.220001,5033900,62.708513
2014-10-01,65.220001,65.290001,64.800003,64.889999,3385200,62.391219
2014-10-02,64.75,64.980003,64.510002,64.779999,3230500,62.285455
2014-10-03,65.209999,65.610001,64.860001,65.459999,3793100,62.939269
2014-10-06,65.160004,65.489998,64.940002,65.269997,3154700,62.756584
2014-10-07,64.760002,65.279999,64.639999,64.900002,4280100,62.400836
2014-10-08,64.900002,65.860001,64.849998,65.82,3696600,63.285407
2014-10-09,65.519997,65.919998,65.150002,65.199997,4065400,62.689279
2014-10-10,65.389999,65.760002,65.239998,65.290001,3860900,62.775818
2014-10-13,65.349998,65.349998,64.160004,64.190002,3706800,61.718178
2014-10-14,64.360001,66.120003,64.0,64.410004,4631700,61.929707
2014-10-15,63.669998,64.040001,62.68,63.529999,5418100,61.426917
2014-10-16,62.810001,63.400002,62.529999,63.110001,4995000,61.020822
2014-10-17,63.5,63.880001,63.02,63.73,3832000,61.620297
2014-10-20,63.580002,64.599998,63.580002,64.540001,3018100,62.403484
2014-10-21,64.849998,65.57,64.309998,65.419998,3013100,63.25435
2014-10-22,65.410004,65.699997,65.260002,65.32,4656000,63.157662
2014-10-23,65.739998,65.769997,64.839996,65.050003,4083000,62.896603
2014-10-24,64.169998,65.800003,64.0,65.349998,4384400,63.186668
2014-10-27,65.330002,66.32,65.260002,66.110001,3265300,63.921511
2014-10-28,66.370003,66.43,65.580002,65.790001,2840000,63.612104
2014-10-29,65.790001,66.110001,65.32,65.849998,2384200,63.670116
2014-10-30,65.760002,66.660004,65.519997,66.410004,2161800,64.211583
2014-10-31,67.019997,67.120003,66.459999,66.879997,4362600,64.666018
2014-11-03,66.800003,67.459999,66.709999,67.410004,2817400,65.178479
2014-11-04,67.169998,68.150002,67.139999,68.050003,3836300,65.797292
2014-11-05,68.809998,68.809998,67.879997,68.150002,2529900,65.89398
2014-11-06,68.18,68.199997,67.739998,68.110001,2507300,65.855303
2014-11-07,68.080002,68.199997,67.550003,68.050003,1892500,65.797292
2014-11-10,67.919998,68.559998,67.82,68.550003,2475000,66.28074
2014-11-11,68.510002,68.699997,68.300003,68.470001,1510000,66.203386
2014-11-12,68.239998,68.870003,68.129997,68.699997,2156300,66.425768
2014-11-13,68.940002,68.989998,68.260002,68.290001,2316700,66.029345
2014-11-14,68.199997,68.339996,67.510002,67.559998,3054800,65.323507
2014-11-17,67.480003,67.970001,67.339996,67.919998,1950200,65.671591
2014-11-18,68.0,68.110001,67.629997,67.970001,1880800,65.719938
2014-11-19,67.919998,68.32,67.639999,68.290001,2136600,66.029345
2014-11-20,68.110001,68.400002,67.910004,68.059998,1654400,65.806955
2014-11-21,68.629997,68.860001,68.330002,68.339996,3142700,66.077685
2014-11-24,68.5,68.540001,67.910004,67.949997,2521200,65.700596
2014-11-25,67.970001,68.449997,67.82,68.330002,2570600,66.068022
2014-11-26,68.470001,68.739998,68.330002,68.690002,1895200,66.416105
2014-11-28,68.879997,69.900002,68.830002,69.589996,1876700,67.286306
2014-12-01,68.669998,69.800003,68.629997,69.400002,2507600,67.1026
2014-12-02,69.510002,69.900002,69.150002,69.860001,2365400,67.547372
2014-12-03,69.699997,69.699997,68.779999,69.059998,2408700,66.773852
2014-12-04,69.059998,69.57,68.830002,69.449997,3071000,67.150941
2014-12-05,69.25,69.379997,68.559998,69.370003,2521900,67.073595
2014-12-08,69.5,69.809998,69.220001,69.440002,2613700,67.141277
2014-12-09,68.93,69.370003,68.769997,69.330002,2781900,67.034918
2014-12-10,69.419998,69.690002,68.82,68.870003,2323100,66.590146
2014-12-11,68.959999,69.980003,68.959999,69.279999,2607000,66.98657
2014-12-12,68.769997,69.599998,68.559998,68.57,3369900,66.300075
2014-12-15,68.650002,69.160004,67.779999,67.949997,4459400,65.700596
2014-12-16,67.760002,68.510002,67.25,67.510002,4427400,65.275167
2014-12-17,67.589996,69.019997,67.529999,68.660004,3811700,66.387099
2014-12-18,69.400002,69.480003,68.610001,69.480003,4104900,67.179954
2014-12-19,69.660004,70.309998,69.580002,69.980003,5595600,67.663402
2014-12-22,69.959999,70.489998,69.800003,70.260002,2562700,67.934132
2014-12-23,70.379997,71.209999,70.300003,71.0,2251200,68.649633
2014-12-24,71.0,71.309998,70.43,70.470001,1126900,68.137179
2014-12-26,70.57,71.019997,70.57,70.879997,1297900,68.533603
2014-12-29,70.650002,70.860001,70.330002,70.480003,1715200,68.14685
2014-12-30,70.339996,70.690002,69.849998,70.040001,2085900,67.721413
2014-12-31,70.089996,70.410004,69.120003,69.190002,2202300,66.899553
2015-01-02,69.169998,69.260002,68.699997,69.040001,2522800,66.754517
2015-01-05,68.940002,69.43,68.449997,68.529999,2950700,66.261398
2015-01-06,68.730003,68.870003,67.629997,67.809998,3437400,65.565231
2015-01-07,68.129997,68.440002,67.739998,68.349998,2908000,66.087356
2015-01-08,68.949997,69.309998,68.68,69.279999,2745200,66.98657
2015-01-09,69.349998,69.440002,68.550003,68.599998,2284300,66.32908
2015-01-12,68.599998,68.959999,67.769997,68.260002,2352000,66.000339
2015-01-13,68.660004,69.330002,68.330002,68.730003,4434200,66.454782
2015-01-14,67.889999,68.629997,67.839996,68.449997,2579200,66.184044
2015-01-15,68.449997,68.940002,68.209999,68.32,2376200,66.058351
2015-01-16,68.260002,69.260002,68.019997,69.169998,3787800,66.880211
2015-01-20,69.040001,69.190002,68.379997,68.959999,3275000,66.677164
2015-01-21,68.139999,68.959999,67.760002,68.349998,3373100,66.43417
2015-01-22,68.480003,69.440002,68.099998,69.32,3084400,67.376982
2015-01-23,68.849998,69.0,67.099998,67.139999,4587800,65.258087
2015-01-26,66.959999,67.089996,66.230003,66.290001,5433500,64.431913
2015-01-27,65.690002,65.93,64.870003,65.660004,5951000,63.819575
2015-01-28,66.050003,66.209999,64.949997,65.120003,6750300,63.29471
2015-01-29,68.599998,69.459999,68.220001,69.029999,6902200,67.09511
2015-01-30,68.349998,68.589996,67.459999,67.519997,5926600,65.627433
2015-02-02,67.360001,69.089996,66.980003,68.989998,4609000,67.05623
2015-02-03,69.190002,69.220001,68.5,69.190002,3345500,67.250629
2015-02-04,69.25,69.790001,69.040001,69.199997,3075300,67.260343
2015-02-05,69.489998,70.18,69.300003,69.790001,3408400,67.83381
2015-02-06,69.709999,69.739998,68.959999,69.300003,2637400,67.357546
2015-02-09,69.129997,69.410004,68.900002,69.07,2113000,67.13399
2015-02-10,69.370003,69.620003,68.910004,69.440002,1962700,67.493621
2015-02-11,69.550003,69.870003,69.059998,69.470001,2232000,67.522779
2015-02-12,69.32,69.860001,69.32,69.849998,2829900,67.892125
2015-02-13,69.529999,70.150002,69.5,70.080002,2554900,68.115682
2015-02-17,70.0,70.459999,69.629997,70.190002,3342300,68.222599
2015-02-18,69.760002,70.610001,69.760002,70.540001,2771400,68.562787
2015-02-19,70.360001,70.790001,69.919998,70.209999,3245500,68.242035
2015-02-20,70.129997,70.349998,69.57,70.239998,2358900,68.271193
2015-02-23,71.010002,71.010002,70.459999,70.68,2389100,68.698862
2015-02-24,70.860001,71.220001,70.470001,71.010002,2497100,69.019614
2015-02-25,71.050003,71.190002,70.75,71.010002,2498500,69.019614
2015-02-26,70.940002,71.290001,70.660004,71.110001,1855900,69.11681
2015-02-27,71.040001,71.129997,70.730003,70.82,1997300,68.834938
2015-03-02,70.82,71.080002,70.389999,71.010002,1787700,69.019614
2015-03-03,71.0,71.0,70.290001,70.68,2010300,68.698862
2015-03-04,70.480003,70.760002,70.230003,70.68,2715900,68.698862
2015-03-05,70.970001,71.559998,70.790001,71.459999,3713300,69.456998
2015-03-06,70.830002,70.980003,69.139999,69.25,3555200,67.308945
2015-03-09,69.120003,69.800003,69.059998,69.589996,2564500,67.639411
2015-03-10,69.279999,69.300003,68.400002,68.400002,2492600,66.482771
2015-03-11,68.269997,68.419998,67.690002,67.889999,2643200,65.987064
2015-03-12,68.32,68.580002,68.150002,68.529999,2456700,66.609125
2015-03-13,68.290001,68.519997,67.919998,68.459999,3451400,66.541087
2015-03-16,68.699997,69.150002,68.580002,69.019997,2969300,67.085388
2015-03-17,68.550003,68.809998,68.330002,68.410004,2843100,66.492493
2015-03-18,68.25,68.739998,66.879997,68.330002,5386900,66.414734
2015-03-19,68.18,68.529999,67.809998,68.290001,2881200,66.375854
2015-03-20,68.650002,69.610001,68.519997,69.559998,4508200,67.610253
2015-03-23,69.650002,70.389999,69.300003,70.169998,3123400,68.203156
2015-03-24,69.980003,70.650002,69.309998,69.309998,2849300,67.36726
2015-03-25,69.709999,69.910004,68.82,68.889999,3458500,66.959035
2015-03-26,68.720001,69.209999,68.480003,68.739998,2890600,66.813238
2015-03-27,68.910004,69.089996,68.419998,68.75,2004200,66.822959
2015-03-30,68.75,69.5,68.540001,69.290001,1967200,67.347824
2015-03-31,68.860001,69.739998,68.839996,69.339996,4180400,67.396418
2015-04-01,69.339996,69.339996,68.610001,69.089996,3075100,67.153426
2015-04-02,69.050003,69.449997,68.809998,69.330002,1914000,67.386704
2015-04-06,69.019997,70.300003,68.879997,69.949997,2021700,67.989321
2015-04-07,69.93,70.440002,69.690002,69.709999,1777400,67.75605
2015-04-08,69.739998,70.25,69.419998,69.900002,1498700,67.940727
2015-04-09,69.800003,70.059998,69.279999,69.959999,1853100,67.999043
2015-04-10,69.889999,70.040001,69.580002,69.610001,1708400,67.658855
2015-04-13,69.349998,69.769997,69.129997,69.309998,1553600,67.36726
2015-04-14,69.040001,70.019997,69.0,69.629997,2468600,67.678291
2015-04-15,69.720001,70.360001,69.620003,69.879997,2370700,67.921283
2015-04-16,69.959999,70.300003,69.660004,70.080002,2166500,68.115682
2015-04-17,69.690002,69.839996,68.980003,69.279999,2238000,67.338103
2015-04-20,68.699997,69.199997,68.309998,68.459999,4681500,66.541087
2015-04-21,68.639999,69.330002,68.639999,69.010002,2934100,67.450068
2015-04-22,69.0,69.309998,68.690002,69.279999,2350100,67.713961
2015-04-23,68.93,69.5,68.790001,69.220001,2378200,67.65532
2015-04-24,69.25,69.459999,69.010002,69.169998,2282600,67.606447
2015-04-27,69.300003,69.43,68.82,68.980003,2265400,67.420747
2015-04-28,68.790001,69.18,68.43,68.769997,2420700,67.215488
2015-04-29,68.489998,68.980003,68.300003,68.510002,4647300,66.96137
2015-04-30,67.489998,67.669998,66.779999,67.279999,5582300,65.75917
2015-05-01,67.279999,67.699997,66.900002,67.68,3135600,66.15013
2015-05-04,67.830002,68.25,67.709999,67.860001,2377400,66.326062
2015-05-05,68.139999,68.239998,67.32,67.379997,3182200,65.856908
2015-05-06,67.75,67.870003,67.139999,67.790001,2248800,66.257644
2015-05-07,67.970001,68.25,67.5,67.879997,2338200,66.345606
2015-05-08,68.5,68.639999,67.980003,68.199997,3029900,66.658372
2015-05-11,67.910004,68.459999,67.82,67.830002,2187500,66.296741
2015-05-12,67.519997,68.110001,67.330002,67.879997,3209000,66.345606
2015-05-13,68.019997,68.480003,67.489998,67.599998,2315500,66.071937
2015-05-14,68.019997,68.720001,68.010002,68.629997,2269900,67.078653
2015-05-15,68.559998,68.900002,68.43,68.629997,1946000,67.078653
2015-05-18,68.489998,68.82,68.400002,68.610001,3359800,67.059108
2015-05-19,68.669998,69.190002,68.489998,69.139999,2505800,67.577127
2015-05-20,69.18,69.279999,68.889999,68.889999,2020700,67.332778
2015-05-21,68.809998,68.860001,68.470001,68.82,1808800,67.26436
