Date,Open_NLSN,High_NLSN,Low_NLSN,Close_NLSN,Volume_NLSN,AdjClose_NLSN
2015-12-11,45.540001,46.779999,45.189999,45.459999,4850100,44.946267
2015-12-14,45.439999,45.48,44.240002,44.779999,3164100,44.273952
2015-12-15,45.169998,46.200001,45.049999,46.080002,2206700,45.559264
2015-12-16,46.290001,47.009998,46.119999,46.98,1901000,46.449091
2015-12-17,47.009998,47.16,46.220001,46.25,3510900,45.727341
2015-12-18,46.16,46.16,45.639999,45.639999,2982900,45.124234
2015-12-21,46.099998,46.279999,45.630001,46.18,1580500,45.658132
2015-12-22,46.560001,46.650002,45.939999,46.259998,1577900,45.737226
2015-12-23,46.619999,46.880001,46.34,46.59,1830300,46.063499
2015-12-24,46.419998,46.700001,46.259998,46.470001,543500,45.944856
2015-12-28,46.279999,47.029999,46.279999,46.959999,1400800,46.429316
2015-12-29,47.25,47.450001,47.060001,47.34,1355700,46.805023
2015-12-30,47.299999,47.450001,47.009998,47.040001,1038800,46.508414
2015-12-31,46.84,47.0,46.490002,46.599998,1245000,46.073384
2016-01-04,45.77,45.93,45.169998,45.669998,2854500,45.153893
2016-01-05,45.68,46.57,45.57,46.400002,2402300,45.875647
2016-01-06,46.0,46.389999,45.82,46.130001,1936700,45.608698
2016-01-07,45.279999,45.880001,45.029999,45.139999,6471700,44.629884
2016-01-08,45.490002,45.630001,44.279999,44.330002,6200400,43.82904
2016-01-11,44.509998,45.27,44.450001,44.990002,3385500,44.481581
2016-01-12,45.27,45.619999,44.740002,45.290001,1956000,44.77819
2016-01-13,45.43,45.68,44.580002,44.619999,2417800,44.11576
2016-01-14,44.75,45.990002,44.310001,45.700001,3528600,45.183557
2016-01-15,44.27,45.389999,44.16,44.689999,3204200,44.184968
2016-01-19,45.139999,45.5,44.610001,45.02,2436000,44.511241
2016-01-20,44.41,44.779999,42.900002,43.939999,3789000,43.443444
2016-01-21,43.970001,44.400002,43.419998,43.889999,3562800,43.39401
2016-01-22,44.650002,45.34,44.310001,45.310001,3454800,44.797965
2016-01-25,45.360001,46.57,44.639999,44.73,1712800,44.224517
2016-01-26,44.799999,45.700001,44.73,45.57,2514500,45.055025
2016-01-27,45.650002,46.650002,45.470001,45.91,3198700,45.391183
2016-01-28,46.41,47.259998,46.169998,46.860001,3259500,46.330448
2016-01-29,47.279999,48.200001,47.02,48.16,3554900,47.615756
2016-02-01,47.77,48.299999,47.18,48.029999,3909800,47.487224
2016-02-02,47.560001,47.970001,46.990002,47.209999,3895300,46.676491
2016-02-03,47.360001,47.5,46.060001,46.700001,2595800,46.172256
2016-02-04,46.68,47.07,46.450001,46.700001,2581600,46.172256
2016-02-05,46.490002,46.66,45.400002,45.630001,2410300,45.114348
2016-02-08,45.139999,45.279999,43.91,44.720001,3373800,44.214632
2016-02-09,44.169998,45.43,44.150002,45.130001,3893200,44.619999
2016-02-10,45.400002,46.470001,45.279999,45.419998,4534400,44.906718
