Date,Open_PX,High_PX,Low_PX,Close_PX,Volume_PX,AdjClose_PX
2015-09-16,105.139999,107.5,105.139999,107.449997,1922100,105.266062
2015-09-17,107.279999,108.220001,106.620003,107.050003,2397300,104.874198
2015-09-18,105.360001,106.160004,104.540001,105.129997,3108300,102.993217
2015-09-21,105.190002,106.129997,104.739998,105.25,1655300,103.110781
2015-09-22,103.93,104.440002,102.730003,103.43,1725600,101.327773
2015-09-23,103.230003,103.610001,100.419998,100.639999,2877200,98.594479
2015-09-24,100.0,101.43,98.550003,101.0,2723900,98.947162
2015-09-25,101.720001,102.099998,100.599998,100.919998,2011400,98.868787
2015-09-28,99.989998,100.82,99.080002,99.169998,2025900,97.154356
2015-09-29,99.269997,100.730003,99.120003,100.550003,1497700,98.506312
2015-09-30,101.290001,102.110001,101.029999,101.860001,2388000,99.789683
2015-10-01,102.099998,102.550003,100.550003,101.410004,2627200,99.348833
2015-10-02,100.389999,103.150002,99.589996,103.150002,1874300,101.053465
2015-10-05,104.019997,106.510002,103.639999,106.339996,1940900,104.178623
2015-10-06,105.889999,106.610001,105.470001,105.970001,1739300,103.816148
2015-10-07,106.239998,107.239998,105.260002,107.239998,1224600,105.060332
2015-10-08,107.300003,108.720001,106.970001,108.589996,1339700,106.382891
2015-10-09,109.099998,109.519997,108.290001,108.650002,1368100,106.441677
2015-10-12,108.599998,109.099998,108.040001,108.529999,674200,106.324113
2015-10-13,107.480003,108.43,107.379997,108.370003,1461400,106.167369
2015-10-14,108.309998,109.300003,107.940002,108.970001,1693800,106.755172
2015-10-15,109.5,109.949997,108.620003,109.489998,1588900,107.2646
2015-10-16,110.230003,110.239998,108.730003,109.43,1354800,107.205822
2015-10-19,108.540001,109.410004,108.449997,109.129997,1424500,106.911916
2015-10-20,109.150002,109.93,108.470001,109.360001,1101000,107.137245
2015-10-21,109.510002,109.519997,107.720001,107.879997,964400,105.687323
2015-10-22,108.82,110.589996,108.309998,110.260002,1164100,108.018954
2015-10-23,111.0,112.080002,110.379997,111.75,1442600,109.478667
2015-10-26,111.529999,111.949997,109.93,110.139999,1481900,107.90139
2015-10-27,109.5,110.440002,108.699997,109.269997,1236900,107.04907
2015-10-28,109.389999,110.709999,108.660004,109.910004,1950900,107.676069
2015-10-29,110.459999,114.720001,110.300003,112.75,2939900,110.458342
2015-10-30,113.660004,114.489998,111.07,111.089996,2628300,108.832078
2015-11-02,111.349998,112.870003,111.18,112.379997,1663300,110.09586
2015-11-03,112.089996,113.940002,111.800003,113.559998,1502600,111.251876
2015-11-04,113.879997,114.129997,112.839996,113.019997,1696100,110.722851
2015-11-05,112.699997,113.839996,112.410004,113.379997,1704200,111.075535
2015-11-06,112.690002,114.0,112.5,113.580002,936600,111.271474
2015-11-09,113.239998,113.550003,111.709999,112.5,984000,110.213424
2015-11-10,112.260002,112.489998,110.660004,111.599998,1324600,109.331715
2015-11-11,111.779999,111.989998,110.290001,111.040001,917700,108.783099
2015-11-12,109.949997,111.010002,109.849998,110.160004,1096900,107.920988
2015-11-13,110.160004,116.07,109.949997,113.510002,3184700,111.202897
2015-11-16,113.489998,116.290001,113.400002,115.980003,2451700,113.622695
2015-11-17,116.019997,118.580002,112.32,113.410004,5891100,111.104931
2015-11-18,113.510002,115.709999,112.879997,115.580002,1758700,113.230824
2015-11-19,115.449997,116.099998,114.879997,115.559998,1408900,113.211226
