Date,Open_PFG,High_PFG,Low_PFG,Close_PFG,Volume_PFG,AdjClose_PFG
2016-04-12,39.84,40.439999,39.470001,40.32,1690700,39.964315
2016-04-13,40.869999,41.66,40.830002,41.619999,1325800,41.252846
2016-04-14,41.59,41.849998,41.27,41.459999,1678200,41.094258
2016-04-15,41.549999,41.57,41.009998,41.34,1386800,40.975317
2016-04-18,41.139999,41.740002,41.049999,41.740002,1167600,41.37179
2016-04-19,41.91,42.450001,41.720001,42.220001,1414200,41.847555
2016-04-20,42.450001,43.41,42.189999,43.32,1920600,42.93785
2016-04-21,43.310001,43.75,43.150002,43.299999,1652100,42.918026
2016-04-22,43.509998,44.34,43.509998,44.099998,1788300,43.710968
2016-04-25,43.75,43.939999,43.040001,43.43,1637900,43.046881
2016-04-26,43.720001,43.91,43.41,43.91,1229300,43.522646
2016-04-27,43.849998,44.18,43.610001,44.029999,1552400,43.641586
2016-04-28,43.41,43.619999,42.790001,42.869999,2285300,42.491819
2016-04-29,42.5,42.970001,42.18,42.68,2912800,42.303497
2016-05-02,43.0,43.330002,42.48,43.310001,1408300,42.92794
2016-05-03,42.619999,42.619999,41.34,41.77,2478500,41.401524
2016-05-04,41.07,42.0,41.049999,41.98,2084300,41.609671
2016-05-05,42.169998,42.57,41.759998,42.25,2148000,41.87729
2016-05-06,41.939999,42.490002,41.689999,42.200001,1530000,41.827731
2016-05-09,42.200001,42.349998,41.759998,41.91,1283800,41.540289
2016-05-10,42.130001,42.970001,42.130001,42.950001,1447500,42.571115
2016-05-11,42.709999,43.18,42.5,42.52,979500,42.144908
2016-05-12,42.82,43.07,42.150002,42.450001,1231200,42.075526
2016-05-13,42.380001,42.970001,41.75,41.869999,958900,41.500641
2016-05-16,41.869999,42.369999,41.869999,42.16,1271900,41.788083
2016-05-17,42.139999,42.66,41.91,42.080002,1255800,41.708791
2016-05-18,42.080002,43.580002,42.0,43.470001,1879900,43.086529
2016-05-19,43.099998,43.400002,42.009998,42.360001,1998700,41.98632
2016-05-20,42.650002,43.380001,42.41,43.189999,1707800,42.808996
2016-05-23,43.009998,43.360001,42.830002,43.130001,1509100,42.749528
2016-05-24,43.549999,44.34,43.490002,44.130001,1549600,43.740706
2016-05-25,44.220001,44.900002,43.669998,44.41,1207800,44.018235
2016-05-26,44.43,44.470001,43.950001,44.040001,1061000,43.6515
2016-05-27,44.18,44.419998,44.0,44.41,1078600,44.018235
2016-05-31,44.540001,44.740002,44.189999,44.560001,2521500,44.166913
2016-06-01,43.970001,44.369999,43.5,44.209999,1378700,43.819998
2016-06-02,43.709999,43.93,43.5,43.93,1041500,43.93
2016-06-03,43.27,43.27,42.540001,42.82,1400700,42.82
