Date,Open_WYN,High_WYN,Low_WYN,Close_WYN,Volume_WYN,AdjClose_WYN
2015-10-14,78.620003,78.839996,77.050003,77.190002,905000,75.678014
2015-10-15,76.419998,76.93,72.629997,74.139999,4756700,72.687754
2015-10-16,74.160004,74.559998,73.480003,73.970001,1385800,72.521086
2015-10-19,73.559998,74.470001,73.559998,74.0,1130900,72.550497
2015-10-20,74.040001,75.970001,73.75,75.620003,1302000,74.138768
2015-10-21,75.970001,76.029999,74.650002,75.019997,1615000,73.550514
2015-10-22,75.669998,77.470001,75.099998,77.419998,1281600,75.903505
2015-10-23,77.910004,77.980003,75.639999,76.07,1611700,74.57995
2015-10-26,75.889999,76.839996,75.410004,76.5,2056100,75.001528
2015-10-27,79.5,81.150002,77.75,80.639999,3179600,79.060433
2015-10-28,81.260002,82.699997,80.099998,81.110001,1877700,79.521228
2015-10-29,80.540001,82.209999,79.339996,81.900002,1539700,80.295755
2015-10-30,82.059998,82.160004,81.25,81.349998,760500,79.756525
2015-11-02,81.360001,82.129997,80.160004,81.800003,637800,80.197715
2015-11-03,81.510002,82.769997,80.57,82.68,1115100,81.060475
2015-11-04,82.620003,82.989998,81.209999,81.379997,1001400,79.785936
2015-11-05,81.510002,82.150002,81.269997,81.550003,645300,79.952612
2015-11-06,81.610001,82.300003,81.150002,81.589996,847600,79.991822
2015-11-09,81.330002,81.589996,79.43,80.559998,844600,78.981998
2015-11-10,80.360001,81.169998,79.540001,81.089996,683900,79.501616
2015-11-11,81.25,82.0,80.75,80.760002,511300,79.178085
2015-11-12,79.93,80.660004,79.5,79.5,672600,77.942764
2015-11-13,79.25,80.120003,77.57,77.650002,753300,76.129003
2015-11-16,77.209999,77.610001,73.720001,77.5,1675900,75.98194
2015-11-17,78.050003,78.800003,76.489998,77.0,1143000,75.491734
2015-11-18,77.139999,77.830002,76.449997,77.379997,1083200,75.864288
2015-11-19,77.580002,77.580002,76.730003,76.800003,1058400,75.295654
2015-11-20,77.18,77.540001,76.519997,76.75,649600,75.246631
2015-11-23,76.610001,77.830002,76.57,77.209999,882100,75.697619
2015-11-24,76.419998,77.5,75.260002,76.389999,866600,74.893682
2015-11-25,76.199997,76.43,75.660004,75.980003,886800,74.903544
2015-11-27,76.029999,76.410004,75.720001,76.239998,371200,75.159855
2015-11-30,76.5,76.519997,75.349998,75.919998,1114200,74.844389
2015-12-01,76.470001,77.550003,75.449997,76.629997,1082700,75.544329
2015-12-02,76.419998,77.360001,76.099998,76.209999,1247600,75.130281
2015-12-03,76.580002,76.769997,74.07,74.690002,1064600,73.631819
2015-12-04,74.959999,76.150002,74.589996,76.129997,1183200,75.051413
2015-12-07,75.68,76.150002,74.68,74.910004,934300,73.848704
2015-12-08,74.389999,75.449997,73.589996,75.220001,1073700,74.154309
2015-12-09,74.739998,76.209999,74.559998,75.199997,1180800,74.134588
2015-12-10,75.419998,75.889999,75.089996,75.230003,617300,74.16417
2015-12-11,74.07,74.720001,72.93,73.099998,959600,72.064342
2015-12-14,73.129997,73.989998,71.849998,73.040001,1314600,72.005195
2015-12-15,73.580002,73.599998,72.489998,72.779999,1404600,71.748876
2015-12-16,73.040001,74.830002,72.489998,74.199997,1498700,73.148756
2015-12-17,74.150002,74.410004,72.260002,72.269997,1026600,71.246099
2015-12-18,71.860001,72.720001,70.849998,70.860001,1892000,69.85608
2015-12-21,71.529999,71.529999,70.120003,71.129997,1050300,70.122251
2015-12-22,71.239998,72.610001,70.82,72.040001,1274700,71.019362
2015-12-23,72.5,73.639999,71.970001,73.589996,570100,72.547398
2015-12-24,73.160004,73.709999,72.910004,73.290001,503500,72.251653
2015-12-28,72.800003,73.510002,72.510002,73.410004,594600,72.369955
2015-12-29,73.849998,73.910004,72.93,73.529999,520900,72.48825
2015-12-30,73.370003,73.400002,72.800003,72.879997,433800,71.847458
2015-12-31,72.690002,73.230003,72.029999,72.650002,1364500,71.620721
2016-01-04,71.389999,71.459999,70.089996,70.879997,1626800,69.875793
2016-01-05,71.25,71.760002,70.650002,71.440002,1692400,70.427864
2016-01-06,70.629997,71.330002,68.910004,69.620003,1944800,68.63365
2016-01-07,68.639999,69.510002,68.389999,68.870003,1715500,67.894276
2016-01-08,69.25,70.260002,68.5,68.660004,1398900,67.687252
2016-01-11,69.339996,70.260002,68.410004,69.160004,1304400,68.180168
2016-01-12,69.82,70.470001,68.589996,69.580002,834600,68.594216
2016-01-13,69.769997,69.910004,66.779999,67.400002,1943800,66.445101
2016-01-14,67.330002,67.57,65.620003,66.739998,1836300,65.794448
2016-01-15,64.860001,66.150002,63.990002,65.410004,1787400,64.483297
2016-01-19,66.349998,66.68,63.889999,64.739998,1423900,63.822783
2016-01-20,63.700001,65.839996,61.720001,64.989998,2407300,64.069241
2016-01-21,64.940002,67.269997,64.400002,65.949997,1808200,65.015639
2016-01-22,66.989998,67.690002,66.290001,67.059998,1148900,66.109914
2016-01-25,67.040001,67.620003,63.540001,63.779999,2123200,62.876385
2016-01-26,63.939999,65.82,63.419998,65.370003,1617800,64.443862
2016-01-27,65.139999,66.0,64.330002,64.610001,1850400,63.694628
2016-01-28,65.349998,65.690002,63.02,63.41,1478100,62.511628
2016-01-29,63.41,65.019997,63.41,64.900002,2219200,63.98052
