Date,Open_WMB,High_WMB,Low_WMB,Close_WMB,Volume_WMB,AdjClose_WMB
2014-11-07,54.740002,55.5,54.700001,55.380001,4675200,49.578515
2014-11-10,55.799999,56.099998,54.639999,54.709999,3818500,48.978701
2014-11-11,54.709999,55.439999,54.189999,55.119999,3106000,49.34575
2014-11-12,54.580002,55.209999,54.380001,54.700001,3938500,48.96975
2014-11-13,54.59,54.599998,53.299999,53.880001,7030900,48.235651
2014-11-14,54.139999,54.349998,53.419998,54.049999,3365100,48.387841
2014-11-17,53.639999,54.77,53.380001,54.310001,4835700,48.620606
2014-11-18,54.439999,55.080002,54.23,54.540001,5106600,48.826511
2014-11-19,54.799999,55.630001,54.25,55.220001,4270400,49.435276
2014-11-20,55.169998,55.799999,55.139999,55.459999,3705800,49.650132
2014-11-21,56.23,56.5,55.119999,55.48,4193500,49.668038
2014-11-24,55.5,55.799999,54.540001,54.77,6532300,49.032416
2014-11-25,55.130001,55.630001,54.549999,54.91,5340300,49.15775
2014-11-26,54.77,55.23,54.400002,54.849998,3683100,49.104034
2014-11-28,53.009998,53.169998,51.52,51.75,7422200,46.328785
2014-12-01,51.349998,51.720001,49.27,50.139999,15046200,44.887444
2014-12-02,50.290001,51.650002,49.77,50.700001,8895700,45.388781
2014-12-03,50.419998,51.470001,50.130001,51.119999,5935200,45.764781
2014-12-04,50.779999,51.650002,50.77,51.130001,5453700,45.773735
2014-12-05,50.919998,51.259998,49.959999,50.040001,6028100,44.797921
2014-12-08,49.349998,49.77,46.369999,46.669998,20347600,41.780952
2014-12-09,46.549999,47.389999,45.619999,47.23,11331600,42.282289
2014-12-10,46.080002,46.189999,44.34,44.73,16585400,40.533365
2014-12-11,44.830002,45.84,43.93,44.130001,13387700,39.98966
2014-12-12,43.470001,44.18,42.73,42.759998,25538000,38.748193
2014-12-15,43.32,43.450001,41.689999,42.139999,12630700,38.186363
2014-12-16,41.360001,43.200001,41.209999,41.84,11683400,37.91451
2014-12-17,42.009998,43.98,41.91,43.630001,20588400,39.53657
2014-12-18,45.18,45.48,43.720001,44.799999,14451300,40.596798
2014-12-19,45.119999,46.07,44.849998,46.0,12110400,41.684213
2014-12-22,45.84,45.84,44.759998,45.639999,7062800,41.357988
2014-12-23,45.98,46.060001,45.34,45.73,8440000,41.439544
2014-12-24,45.369999,45.779999,45.110001,45.349998,4328300,41.095195
2014-12-26,45.5,46.0,45.189999,45.630001,4283400,41.348927
2014-12-29,45.77,46.139999,45.279999,45.639999,6846700,41.357988
2014-12-30,45.66,45.880001,45.209999,45.389999,4966700,41.131443
2014-12-31,44.98,45.419998,44.810001,44.939999,6528200,40.723662
2015-01-02,44.830002,45.57,44.830002,45.220001,7433500,40.977394
2015-01-05,44.540001,44.84,43.25,43.43,8826800,39.355334
2015-01-06,43.279999,43.610001,42.209999,42.84,8068100,38.820689
2015-01-07,43.32,43.759998,42.369999,42.610001,8252000,38.612268
2015-01-08,43.139999,43.889999,42.860001,43.02,7745700,38.983801
2015-01-09,42.959999,43.369999,41.950001,42.48,6264400,38.494464
2015-01-12,42.049999,42.049999,40.790001,41.279999,6567400,37.407049
2015-01-13,41.330002,41.720001,40.400002,40.939999,7258000,37.098948
2015-01-14,40.529999,41.68,40.07,41.529999,9703200,37.633593
2015-01-15,41.529999,42.310001,41.380001,41.630001,7674800,37.724213
2015-01-16,41.900002,42.439999,41.490002,42.0,9881600,38.059498
2015-01-20,41.900002,42.150002,41.139999,42.09,8936200,38.141055
2015-01-21,42.189999,43.130001,42.080002,42.77,7294200,38.757256
2015-01-22,43.259998,43.560001,42.290001,43.32,7013100,39.255654
2015-01-23,43.25,43.98,42.720001,43.349998,6276300,39.282838
2015-01-26,43.5,43.93,43.220001,43.75,7027200,39.645311
2015-01-27,43.540001,44.439999,43.52,43.959999,7887000,39.835608
2015-01-28,43.950001,44.02,42.419998,42.509998,9390100,38.521648
2015-01-29,42.93,43.779999,42.02,43.59,9570500,39.500322
2015-01-30,43.169998,44.52,42.669998,43.860001,15053500,39.744991
2015-02-02,44.669998,44.950001,43.610001,44.830002,11948500,40.623985
2015-02-03,45.290001,46.200001,44.849998,46.080002,11402800,41.756709
2015-02-04,45.369999,46.009998,45.029999,45.360001,6519400,41.104259
2015-02-05,46.130001,46.73,45.709999,46.400002,7437000,42.046685
2015-02-06,46.889999,47.009998,46.200001,46.380001,6832400,42.028561
2015-02-09,46.490002,46.900002,45.869999,46.049999,3895200,41.729521
2015-02-10,46.209999,47.599998,45.790001,47.349998,10771500,42.907552
2015-02-11,46.900002,47.610001,46.459999,47.139999,10203300,42.717256
2015-02-12,47.880001,48.209999,47.48,47.970001,5187100,43.469385
2015-02-13,48.369999,49.59,48.16,49.41,13487400,44.774281
2015-02-17,49.360001,49.759998,48.650002,49.650002,7170700,44.991766
2015-02-18,49.209999,49.349998,48.41,48.68,11322300,44.112771
2015-02-19,49.209999,50.689999,48.43,49.41,13620600,44.774281
2015-02-20,49.220001,49.5,48.66,48.970001,8858500,44.375564
2015-02-23,48.310001,49.48,48.310001,49.150002,5623800,44.538676
2015-02-24,48.900002,49.299999,48.540001,49.299999,7144100,44.674601
2015-02-25,49.189999,49.549999,48.799999,49.380001,5146000,44.747097
2015-02-26,49.040001,49.369999,48.459999,48.810001,6584300,44.230575
2015-02-27,49.099998,49.169998,48.599998,49.040001,6442300,44.438996
2015-03-02,49.040001,49.25,48.419998,49.029999,6012200,44.429932
2015-03-03,49.23,49.599998,48.73,49.150002,6631400,44.538676
2015-03-04,49.150002,49.189999,48.0,48.900002,6131800,44.312132
2015-03-05,48.880001,49.139999,47.970001,47.98,6173000,43.478446
2015-03-06,47.689999,48.349998,47.540001,47.790001,6994300,43.306273
2015-03-09,47.98,48.91,47.889999,48.310001,6374600,43.777486
2015-03-10,47.740002,48.310001,47.610001,47.689999,5246700,43.215653
2015-03-11,47.0,47.150002,46.16,46.240002,6729700,42.417573
2015-03-12,46.41,46.599998,46.240002,46.369999,7687300,42.536825
2015-03-13,45.939999,46.209999,45.700001,46.139999,5697300,42.325838
2015-03-16,45.810001,46.790001,45.810001,46.740002,4483700,42.876241
2015-03-17,46.330002,46.93,46.25,46.790001,5191100,42.922107
2015-03-18,46.580002,48.720001,46.360001,48.459999,6451500,44.454055
2015-03-19,48.009998,48.419998,47.610001,47.93,3758800,43.967868
2015-03-20,48.23,48.720001,47.959999,48.279999,6107700,44.288934
2015-03-23,48.419998,49.279999,48.279999,49.07,5269900,45.01363
2015-03-24,49.220001,49.439999,48.610001,48.669998,5215200,44.646694
2015-03-25,49.049999,51.150002,48.900002,49.060001,6325700,45.004458
2015-03-26,49.669998,49.75,48.970001,49.259998,5134400,45.187922
2015-03-27,48.970001,49.709999,48.790001,49.279999,4975500,45.206269
2015-03-30,49.759998,50.810001,49.709999,50.639999,5089600,46.453846
2015-03-31,50.189999,50.889999,50.029999,50.59,5412300,46.407979
2015-04-01,50.880001,51.0,49.98,50.049999,5393800,45.912618
2015-04-02,49.75,50.57,49.639999,50.299999,3200800,46.141951
2015-04-06,50.779999,50.779999,50.25,50.299999,4670600,46.141951
2015-04-07,50.18,50.799999,50.110001,50.529999,3912400,46.352938
2015-04-08,50.549999,50.75,50.07,50.290001,2504700,46.13278
2015-04-09,50.509998,50.950001,50.310001,50.720001,3584300,46.527234
2015-04-10,50.799999,50.919998,50.599998,50.880001,3075800,46.674007
2015-04-13,51.110001,51.25,50.290001,50.32,3379400,46.160299
2015-04-14,50.549999,50.93,50.400002,50.790001,5046000,46.591447
2015-04-15,51.23,52.02,51.049999,51.82,5410300,47.536301
