Date,Open_HON,High_HON,Low_HON,Close_HON,Volume_HON,AdjClose_HON
2014-05-07,91.93,92.970001,91.529999,92.919998,2523700,88.705853
2014-05-08,92.68,93.639999,92.57,92.959999,2219300,88.74404
2014-05-09,92.760002,92.989998,92.300003,92.800003,1832000,88.5913
2014-05-12,93.199997,94.43,93.199997,94.389999,2383100,90.109186
2014-05-13,94.5,94.769997,94.050003,94.220001,2517000,89.946898
2014-05-14,94.260002,94.550003,92.620003,92.739998,2636900,88.534016
2014-05-15,92.449997,92.620003,91.0,91.160004,4982900,87.025679
2014-05-16,91.050003,91.32,90.690002,91.199997,3543400,87.063858
2014-05-19,91.010002,91.940002,90.940002,91.889999,2846300,87.722567
2014-05-20,91.239998,91.470001,90.07,90.360001,2762500,86.686478
2014-05-21,90.800003,91.410004,90.709999,91.260002,2710200,87.54989
2014-05-22,91.360001,91.730003,91.0,91.449997,2380000,87.732161
2014-05-23,91.260002,92.089996,91.260002,91.970001,1863700,88.231025
2014-05-27,92.449997,92.5,92.129997,92.360001,1800500,88.605169
2014-05-28,92.279999,92.889999,92.269997,92.510002,2048100,88.749073
2014-05-29,92.559998,92.860001,92.389999,92.830002,1576400,89.056063
2014-05-30,92.589996,93.209999,92.5,93.150002,2412300,89.363053
2014-06-02,93.300003,93.57,92.720001,93.410004,1656700,89.612485
2014-06-03,93.199997,93.410004,92.629997,93.260002,2777700,89.468582
2014-06-04,93.209999,93.989998,92.900002,93.849998,2294700,90.034592
2014-06-05,94.0,95.330002,93.800003,94.949997,3344200,91.089871
2014-06-06,95.169998,95.559998,95.010002,95.199997,2775700,91.329708
2014-06-09,95.419998,96.489998,95.080002,95.809998,2676700,91.914909
2014-06-10,95.550003,95.660004,94.959999,95.339996,2635500,91.464015
2014-06-11,94.910004,95.099998,94.5,94.910004,2061200,91.051504
2014-06-12,94.849998,94.889999,93.449997,93.660004,2476100,89.852322
2014-06-13,93.699997,94.230003,93.43,93.769997,1875100,89.957843
2014-06-16,93.599998,94.080002,93.400002,93.800003,1884000,89.986629
2014-06-17,93.599998,94.480003,93.489998,94.300003,1855000,90.466302
2014-06-18,94.209999,94.32,93.339996,94.190002,2974600,90.360774
2014-06-19,94.43,94.489998,93.910004,94.440002,2350600,90.60061
2014-06-20,94.739998,94.93,94.419998,94.82,3101600,90.965159
2014-06-23,94.599998,94.839996,93.949997,94.269997,2237400,90.437516
2014-06-24,94.150002,94.190002,92.93,93.019997,2854000,89.238334
2014-06-25,92.690002,93.489998,92.589996,93.209999,2260900,89.420612
2014-06-26,93.410004,93.489998,92.599998,93.059998,1713600,89.276708
2014-06-27,92.580002,93.339996,92.510002,93.260002,2021100,89.468582
2014-06-30,93.18,93.220001,92.599998,92.949997,2354200,89.17118
2014-07-01,93.290001,94.82,93.080002,94.589996,4379500,90.744506
2014-07-02,94.239998,94.599998,93.970001,94.279999,2260800,90.447111
2014-07-03,94.779999,95.190002,94.68,94.879997,1521400,91.022717
2014-07-07,94.720001,94.760002,94.07,94.379997,2914100,90.543044
2014-07-08,94.309998,94.519997,93.860001,94.209999,2418900,90.379957
