Date,Open_ABC,High_ABC,Low_ABC,Close_ABC,Volume_ABC,AdjClose_ABC
2014-09-11,77.519997,77.720001,76.730003,77.349998,1787000,75.558486
2014-09-12,77.349998,77.599998,76.610001,77.099998,1330000,75.314277
2014-09-15,76.989998,77.099998,76.550003,76.839996,994400,75.060296
2014-09-16,76.470001,77.440002,75.709999,77.110001,1988500,75.324047
2014-09-17,77.25,77.290001,76.190002,76.529999,1691100,74.757479
2014-09-18,76.809998,77.230003,76.699997,77.129997,1121100,75.343581
2014-09-19,77.470001,78.120003,77.32,77.330002,3064600,75.538953
2014-09-22,77.349998,77.559998,76.75,77.18,1283500,75.392426
2014-09-23,76.720001,77.150002,76.43,76.790001,1196200,75.011459
2014-09-24,76.919998,78.120003,76.68,78.040001,1749800,76.232508
2014-09-25,77.709999,78.019997,77.089996,77.489998,1738200,75.695243
2014-09-26,77.410004,77.669998,76.860001,77.419998,910100,75.626865
2014-09-29,77.050003,77.839996,76.949997,77.629997,973100,75.832
2014-09-30,77.650002,78.019997,77.190002,77.300003,1373500,75.509649
2014-10-01,78.209999,78.209999,76.440002,76.690002,1491700,74.913777
2014-10-02,76.610001,77.25,76.360001,76.870003,1470500,75.089608
2014-10-03,77.110001,78.209999,77.110001,77.889999,1578700,76.08598
2014-10-06,78.07,78.580002,77.019997,77.519997,1328900,75.724547
2014-10-07,77.199997,77.239998,76.480003,76.5,1070400,74.728175
2014-10-08,76.370003,77.980003,76.330002,77.889999,1419600,76.08598
2014-10-09,77.889999,78.459999,77.139999,77.199997,1499000,75.411959
2014-10-10,77.349998,78.110001,76.860001,76.900002,1407500,75.118912
2014-10-13,76.940002,77.190002,75.75,75.839996,1534800,74.083458
2014-10-14,76.25,77.339996,75.660004,76.629997,1645400,74.855161
2014-10-15,75.790001,76.410004,74.510002,76.019997,2385600,74.259289
2014-10-16,75.379997,75.870003,74.32,75.019997,2415300,73.28245
2014-10-17,75.470001,76.18,75.32,75.839996,1590300,74.083458
2014-10-20,75.870003,76.019997,75.110001,75.489998,2599200,73.741565
2014-10-21,76.199997,76.860001,76.019997,76.620003,3045500,74.845398
2014-10-22,76.900002,77.199997,76.589996,76.629997,1946400,74.855161
2014-10-23,77.32,77.900002,77.18,77.440002,1979100,75.646406
2014-10-24,77.709999,78.330002,77.43,78.279999,1425500,76.466947
2014-10-27,78.339996,79.989998,78.290001,79.449997,3260900,77.609847
