Date,Open_AKAM,High_AKAM,Low_AKAM,Close_AKAM,Volume_AKAM,AdjClose_AKAM
2016-03-01,54.369999,55.57,54.0,55.529999,3930000,55.529999
2016-03-02,55.400002,56.310001,55.040001,56.209999,2425700,56.209999
2016-03-03,55.830002,55.889999,55.200001,55.639999,2524400,55.639999
2016-03-04,55.650002,55.98,55.029999,55.57,2828300,55.57
2016-03-07,55.0,55.98,54.919998,55.330002,2950200,55.330002
2016-03-08,54.939999,55.150002,54.150002,54.580002,2910500,54.580002
2016-03-09,54.990002,55.490002,54.290001,55.189999,1595400,55.189999
2016-03-10,55.240002,55.43,53.900002,54.639999,3072700,54.639999
2016-03-11,55.259998,56.290001,55.18,56.07,1264400,56.07
2016-03-14,55.75,55.830002,55.080002,55.279999,1896600,55.279999
2016-03-15,54.889999,55.09,54.34,54.669998,1842700,54.669998
2016-03-16,54.290001,56.09,54.189999,55.810001,1604700,55.810001
2016-03-17,55.48,56.080002,55.279999,56.060001,1687400,56.060001
2016-03-18,56.5,57.049999,55.689999,55.950001,2417400,55.950001
2016-03-21,55.849998,56.360001,55.689999,56.290001,1057300,56.290001
2016-03-22,55.98,57.0,55.810001,56.740002,1182400,56.740002
2016-03-23,56.669998,56.669998,54.950001,55.119999,1693300,55.119999
2016-03-24,54.650002,55.130001,54.389999,54.84,1363300,54.84
2016-03-28,55.099998,55.310001,54.57,54.93,1289200,54.93
2016-03-29,54.650002,55.540001,54.02,55.259998,1159500,55.259998
2016-03-30,55.740002,55.799999,54.790001,55.099998,1538600,55.099998
2016-03-31,55.060001,55.73,54.700001,55.57,1641300,55.57
2016-04-01,55.139999,55.310001,54.240002,55.220001,1671600,55.220001
2016-04-04,55.169998,55.84,54.759998,55.330002,1034100,55.330002
2016-04-05,54.189999,54.32,52.759998,53.139999,2116800,53.139999
2016-04-06,53.080002,54.799999,53.080002,54.779999,1663000,54.779999
2016-04-07,54.5,55.0,53.0,53.279999,1738300,53.279999
2016-04-08,53.59,53.950001,52.200001,52.380001,1863500,52.380001
2016-04-11,52.689999,52.990002,51.009998,51.060001,2407000,51.060001
2016-04-12,51.18,51.610001,49.799999,50.540001,3062500,50.540001
2016-04-13,50.759998,51.970001,50.610001,51.790001,1599900,51.790001
2016-04-14,51.529999,52.34,51.130001,51.669998,1274000,51.669998
2016-04-15,51.580002,51.91,50.77,50.93,1984600,50.93
2016-04-18,50.540001,51.98,49.869999,51.75,2295200,51.75
2016-04-19,51.93,52.25,50.759998,51.349998,1844400,51.349998
2016-04-20,51.349998,51.66,50.0,51.27,2125200,51.27
2016-04-21,51.360001,51.709999,51.029999,51.360001,1318800,51.360001
2016-04-22,51.259998,51.810001,50.639999,51.130001,2922400,51.130001
2016-04-25,51.0,51.110001,50.560001,51.09,1617700,51.09
2016-04-26,50.93,52.84,50.830002,52.66,3690300,52.66
2016-04-27,52.099998,57.5,52.029999,54.849998,6934500,54.849998
2016-04-28,54.48,54.810001,52.290001,52.41,2520400,52.41
2016-04-29,52.209999,52.380001,50.380001,50.990002,2740400,50.990002
2016-05-02,50.75,51.18,50.029999,50.939999,1982500,50.939999
2016-05-03,50.82,50.939999,49.639999,49.91,1973600,49.91
2016-05-04,49.619999,49.970001,49.09,49.540001,1833500,49.540001
2016-05-05,49.77,50.040001,49.09,49.509998,2053300,49.509998
2016-05-06,49.349998,49.970001,48.880001,49.939999,1443800,49.939999
2016-05-09,49.650002,50.439999,49.560001,50.150002,1242600,50.150002
2016-05-10,50.349998,52.029999,50.27,51.970001,1904300,51.970001
