Date,Open_SNA,High_SNA,Low_SNA,Close_SNA,Volume_SNA,AdjClose_SNA
2014-10-13,116.0,116.519997,113.190002,113.279999,515600,110.415315
2014-10-14,113.730003,116.239998,113.730003,114.699997,350000,111.799404
2014-10-15,112.870003,115.050003,111.279999,114.540001,679400,111.643454
2014-10-16,115.360001,122.660004,113.82,121.849998,1089900,118.768592
2014-10-17,121.739998,123.080002,120.790001,122.349998,819000,119.255948
2014-10-20,122.43,124.489998,121.980003,124.360001,551100,121.21512
2014-10-21,125.0,127.809998,124.919998,127.790001,539500,124.558381
2014-10-22,128.009995,128.649994,125.599998,125.650002,524100,122.472499
2014-10-23,127.370003,128.789993,127.150002,127.629997,479300,124.402423
2014-10-24,127.769997,128.649994,126.910004,128.240005,292300,124.997005
2014-10-27,127.470001,128.009995,126.720001,127.949997,220800,124.714331
2014-10-28,128.649994,130.279999,128.649994,130.179993,360800,126.887933
2014-10-29,130.169998,130.759995,128.160004,129.419998,309900,126.147158
2014-10-30,128.929993,135.699997,125.0,130.5,304500,127.199848
2014-10-31,132.410004,132.410004,130.869995,132.139999,332500,128.798374
2014-11-03,131.770004,133.259995,131.369995,132.619995,255100,129.266231
2014-11-04,132.130005,133.119995,131.800003,132.809998,331800,129.451429
2014-11-05,133.869995,134.369995,133.0,134.350006,279500,130.952493
2014-11-06,134.449997,135.720001,133.960007,135.600006,367800,132.170882
2014-11-07,136.539993,137.429993,134.139999,135.119995,898400,131.70301
2014-11-10,135.119995,136.059998,134.509995,135.759995,442700,132.326825
2014-11-11,135.949997,136.419998,134.919998,135.710007,325800,132.278101
2014-11-12,135.929993,136.410004,134.970001,136.039993,326000,132.599743
2014-11-13,135.740005,136.220001,134.770004,135.580002,318300,132.151384
2014-11-14,134.990005,135.809998,134.389999,135.339996,436600,131.917448
2014-11-17,134.690002,135.289993,134.190002,134.889999,372800,131.478831
2014-11-18,135.0,136.490005,134.75,136.020004,272100,132.580259
2014-11-19,135.729996,136.300003,134.5,135.779999,402200,132.346323
2014-11-20,134.759995,136.460007,134.559998,136.289993,296600,133.363992
2014-11-21,137.539993,137.830002,135.039993,135.720001,483300,132.806237
2014-11-24,136.0,137.0,135.820007,136.5,327500,133.56949
2014-11-25,136.029999,137.059998,134.339996,135.729996,2065500,132.816017
2014-11-26,135.839996,136.169998,134.839996,136.080002,264400,133.158509
2014-11-28,136.320007,136.75,134.639999,135.330002,181000,132.42461
2014-12-01,135.0,135.330002,133.380005,133.470001,368400,130.604542
2014-12-02,134.089996,135.5,133.649994,135.330002,274300,132.42461
2014-12-03,135.899994,137.770004,135.539993,137.509995,290400,134.557801
2014-12-04,137.25,137.580002,136.029999,136.550003,198700,133.61842
2014-12-05,136.559998,137.449997,136.339996,136.770004,281100,133.833698
2014-12-08,136.830002,137.559998,135.389999,135.919998,252800,133.00194
2014-12-09,134.0,136.389999,133.990005,136.270004,230200,133.344432
2014-12-10,135.570007,136.449997,134.169998,134.660004,275800,131.768996
2014-12-11,135.029999,136.75,134.419998,134.699997,258400,131.808131
2014-12-12,133.949997,134.460007,132.539993,132.649994,491500,129.802139
2014-12-15,133.529999,134.429993,131.929993,132.570007,283000,129.72387
2014-12-16,132.289993,135.080002,132.289993,132.529999,300800,129.684721
2014-12-17,132.860001,134.419998,131.380005,134.229996,304900,131.34822
2014-12-18,136.369995,136.960007,135.309998,136.949997,396100,134.009826
2014-12-19,137.770004,137.830002,136.669998,136.960007,488100,134.019621
2014-12-22,137.440002,138.0,136.979996,137.949997,201500,134.988357
2014-12-23,138.330002,139.490005,137.949997,139.089996,166700,136.103882
2014-12-24,139.350006,139.589996,138.820007,139.089996,63700,136.103882
2014-12-26,139.419998,140.220001,139.289993,139.350006,96800,136.35831
2014-12-29,139.320007,139.979996,138.729996,138.970001,210700,135.986463
2014-12-30,138.649994,138.979996,137.919998,138.199997,155400,135.23299
2014-12-31,138.740005,139.169998,136.559998,136.740005,212000,133.804343
2015-01-02,136.850006,137.690002,134.820007,136.289993,219300,133.363992
2015-01-05,135.240005,136.039993,133.710007,133.839996,437300,130.966594
2015-01-06,133.839996,134.570007,131.770004,133.429993,441500,130.565393
2015-01-07,134.149994,135.070007,133.5,134.270004,327100,131.38737
2015-01-08,135.149994,137.5,135.149994,137.330002,273800,134.381673
2015-01-09,137.580002,138.029999,135.630005,135.729996,227200,132.816017
2015-01-12,135.619995,136.270004,133.559998,134.0,281700,131.123162
2015-01-13,135.130005,136.529999,132.649994,133.869995,285500,130.995949
2015-01-14,132.770004,134.899994,132.639999,134.789993,390600,131.896195
2015-01-15,134.789993,135.759995,133.0,133.220001,270300,130.359909
2015-01-16,133.039993,133.389999,131.100006,132.559998,458600,129.714075
2015-01-20,132.800003,133.389999,131.229996,132.75,240500,129.899999
2015-01-21,132.220001,134.139999,131.649994,133.800003,298200,130.927459
2015-01-22,134.039993,135.289993,133.380005,134.880005,349100,131.984275
2015-01-23,134.929993,135.369995,134.190002,134.339996,219900,131.455859
2015-01-26,133.960007,135.220001,133.559998,134.899994,258400,132.003834
2015-01-27,133.520004,134.179993,132.25,133.149994,262900,130.291405
2015-01-28,133.470001,134.289993,131.809998,132.020004,283900,129.185675
2015-01-29,131.690002,135.419998,131.669998,135.240005,231100,132.336546
2015-01-30,134.539993,134.990005,132.470001,132.710007,348500,129.860864
2015-02-02,131.199997,131.619995,129.139999,131.5,870300,128.676835
2015-02-03,131.949997,133.360001,131.720001,133.190002,431100,130.330555
2015-02-04,132.929993,132.940002,130.770004,131.449997,591800,128.627905
2015-02-05,135.839996,141.199997,135.839996,139.669998,1141300,136.671432
2015-02-06,141.0,141.660004,139.919998,140.990005,610700,137.9631
2015-02-09,141.0,142.5,140.589996,140.899994,512000,137.875021
2015-02-10,141.899994,142.339996,140.690002,142.199997,344400,139.147114
2015-02-11,142.210007,143.169998,141.309998,142.770004,437400,139.704884
2015-02-12,143.490005,144.789993,143.380005,144.690002,260500,141.583662
2015-02-13,144.410004,145.970001,144.100006,145.399994,385200,142.278411
2015-02-17,145.460007,145.910004,144.259995,145.429993,271500,142.307765
2015-02-18,145.0,145.929993,144.399994,145.389999,333800,142.268631
2015-02-19,144.970001,145.75,144.479996,145.539993,209600,142.415404
2015-02-20,144.729996,146.179993,143.100006,146.059998,247800,143.446622
2015-02-23,146.020004,146.160004,145.070007,145.809998,179700,143.201095
2015-02-24,145.5,147.229996,145.210007,146.789993,305500,144.163556
2015-02-25,146.610001,148.410004,146.610001,148.080002,452400,145.430483
2015-02-26,148.130005,148.210007,146.759995,147.210007,294900,144.576055
2015-02-27,147.449997,147.710007,146.479996,147.229996,362700,144.595686
2015-03-02,147.850006,148.320007,146.770004,148.289993,252400,145.636718
2015-03-03,148.0,148.009995,147.199997,147.919998,323100,145.273343
2015-03-04,147.0,147.529999,145.979996,147.449997,357200,144.811751
2015-03-05,147.509995,148.110001,146.800003,147.339996,329900,144.703718
2015-03-06,146.350006,147.009995,145.029999,145.339996,255100,142.739503
2015-03-09,145.589996,146.789993,145.559998,146.330002,288600,143.711795
2015-03-10,144.720001,145.070007,143.449997,143.449997,371800,140.883321
2015-03-11,143.380005,143.539993,141.970001,142.199997,475200,139.655686
2015-03-12,142.990005,144.520004,142.720001,144.350006,387600,141.767227
2015-03-13,144.339996,144.339996,141.630005,142.5,460900,139.950322
2015-03-16,143.440002,144.380005,142.940002,144.229996,387200,141.649363
2015-03-17,144.289993,144.919998,143.139999,144.020004,280600,141.443129
2015-03-18,144.039993,146.479996,142.759995,145.970001,333900,143.358236
2015-03-19,145.399994,146.320007,144.169998,144.380005,292800,141.796689
2015-03-20,144.619995,145.679993,143.589996,143.690002,696100,141.119032
2015-03-23,143.990005,144.889999,143.169998,143.210007,363000,140.647625
2015-03-24,142.919998,143.720001,142.089996,142.770004,364300,140.215495
2015-03-25,143.039993,144.429993,141.550003,141.570007,300000,139.036969
2015-03-26,141.179993,142.5,140.839996,142.199997,261500,139.655686
2015-03-27,142.259995,144.259995,142.119995,144.059998,371700,141.482407
2015-03-30,145.059998,146.740005,145.059998,146.369995,273000,143.751073
2015-03-31,145.759995,147.369995,145.0,147.059998,436300,144.42873
2015-04-01,146.880005,149.179993,146.399994,147.229996,546800,144.595686
2015-04-02,147.220001,148.850006,147.220001,147.800003,300800,145.155494
2015-04-06,146.509995,150.830002,146.440002,149.869995,379100,147.188449
2015-04-07,150.369995,150.369995,148.320007,148.350006,233500,145.695657
2015-04-08,148.309998,149.139999,147.009995,148.470001,277600,145.813505
2015-04-09,148.429993,149.100006,147.470001,147.630005,388200,144.988538
2015-04-10,148.020004,148.369995,147.199997,148.360001,209600,145.705472
2015-04-13,148.5,148.929993,147.050003,147.259995,248000,144.625148
2015-04-14,147.179993,147.759995,146.020004,146.990005,186800,144.35999
2015-04-15,147.5,148.490005,147.279999,148.089996,250500,145.440299
2015-04-16,147.5,148.570007,146.990005,148.130005,234000,145.479592
2015-04-17,146.880005,147.270004,145.279999,146.160004,338300,143.544839
2015-04-20,147.089996,148.699997,146.919998,148.610001,297900,145.950999
2015-04-21,148.940002,148.940002,147.429993,148.449997,287300,145.793858
2015-04-22,148.449997,149.360001,147.029999,149.210007,379000,146.54027
2015-04-23,151.029999,153.25,148.600006,152.720001,605600,149.987462
2015-04-24,153.0,154.320007,152.979996,153.929993,492300,151.175803
2015-04-27,154.839996,154.979996,152.910004,153.059998,428200,150.321375
2015-04-28,152.770004,153.190002,151.490005,151.580002,542400,148.86786
2015-04-29,150.669998,151.130005,149.350006,150.429993,468600,147.738427
2015-04-30,149.759995,150.729996,148.979996,149.550003,357900,146.874183
2015-05-01,149.860001,152.110001,149.580002,151.740005,254100,149.025
