Date,Open_PG,High_PG,Low_PG,Close_PG,Volume_PG,AdjClose_PG
2014-09-10,83.199997,83.959999,83.150002,83.639999,6715300,79.031259
2014-09-11,83.610001,83.75,83.370003,83.489998,6341600,78.889523
2014-09-12,83.209999,83.379997,82.860001,83.260002,6358500,78.6722
2014-09-15,83.18,84.25,83.139999,83.870003,7004700,79.248589
2014-09-16,83.580002,84.449997,83.559998,84.080002,7143800,79.447016
2014-09-17,84.019997,84.5,83.93,84.160004,8273800,79.52261
2014-09-18,84.18,84.440002,84.07,84.190002,5309200,79.550956
2014-09-19,84.519997,84.769997,84.18,84.470001,11377700,79.815526
2014-09-22,84.639999,84.949997,84.489998,84.809998,8397100,80.136788
2014-09-23,84.650002,84.919998,84.440002,84.440002,7723500,79.78718
2014-09-24,84.330002,85.400002,84.330002,85.239998,11694700,80.543094
2014-09-25,85.019997,85.129997,84.330002,84.330002,8212300,79.683241
2014-09-26,84.540001,84.739998,83.860001,84.580002,5478000,79.919465
2014-09-29,84.110001,84.470001,83.660004,84.440002,6360000,79.78718
2014-09-30,84.339996,84.360001,83.68,83.739998,8074700,79.125747
2014-10-01,84.019997,84.040001,83.029999,83.139999,9024700,78.55881
2014-10-02,83.099998,83.970001,82.949997,83.050003,8858400,78.473773
2014-10-03,83.440002,83.949997,82.879997,83.790001,6701500,79.172995
2014-10-06,83.57,83.940002,83.190002,83.57,5656500,78.965116
2014-10-07,83.379997,83.919998,83.120003,83.160004,7378200,78.577712
2014-10-08,83.339996,84.279999,83.209999,84.18,8107100,79.541505
2014-10-09,84.209999,84.879997,83.529999,83.660004,7765700,79.050161
2014-10-10,83.949997,85.279999,83.910004,84.690002,13732400,80.023405
2014-10-13,84.309998,84.470001,83.309998,83.370003,10066100,78.77614
2014-10-14,83.910004,83.910004,83.029999,83.550003,8210300,78.946222
2014-10-15,82.589996,83.580002,81.760002,82.949997,13283200,78.379277
2014-10-16,81.650002,82.800003,81.57,82.239998,11310200,77.7084
2014-10-17,82.949997,83.480003,82.029999,83.269997,11786600,78.681644
2014-10-20,83.25,84.330002,82.830002,84.18,8558100,79.541505
2014-10-21,84.470001,84.639999,83.660004,84.610001,12389600,79.947811
2014-10-22,84.059998,84.589996,83.919998,84.230003,9747600,80.19918
2014-10-23,84.260002,84.330002,82.300003,83.230003,14292100,79.247035
2014-10-24,85.099998,85.970001,84.910004,85.160004,13465600,81.084675
2014-10-27,84.959999,86.480003,84.830002,85.949997,10316600,81.836863
2014-10-28,86.199997,86.650002,86.169998,86.470001,9437700,82.331983
2014-10-29,86.669998,86.669998,85.910004,86.540001,6880600,82.398633
2014-10-30,86.160004,87.0,85.669998,86.940002,5559700,82.779492
2014-10-31,87.080002,87.360001,86.709999,87.269997,9359800,83.093694
2014-11-03,86.660004,87.389999,86.199997,87.379997,7789500,83.198431
2014-11-04,87.489998,88.870003,87.440002,88.639999,10594800,84.398136
2014-11-05,88.739998,89.489998,88.360001,89.0,8462000,84.740909
2014-11-06,89.080002,89.199997,88.57,88.900002,6628900,84.645696
2014-11-07,88.739998,89.199997,88.25,89.129997,5975700,84.864685
2014-11-10,88.919998,89.5,88.260002,89.449997,5927100,85.169371
2014-11-11,89.379997,89.790001,89.169998,89.669998,6343900,85.378844
2014-11-12,89.599998,89.879997,89.419998,89.480003,6298600,85.197941
2014-11-13,88.940002,89.839996,88.459999,88.599998,10191500,84.360049
2014-11-14,88.699997,88.889999,87.93,88.110001,7559400,83.8935
2014-11-17,88.0,88.18,87.370003,87.839996,9475700,83.636417
2014-11-18,88.019997,88.18,87.489998,87.949997,6419400,83.741153
2014-11-19,88.239998,88.870003,87.93,88.730003,6570400,84.483833
2014-11-20,88.330002,88.800003,88.330002,88.470001,5527600,84.236273
2014-11-21,89.260002,89.43,88.459999,88.599998,8984100,84.360049
2014-11-24,88.879997,88.889999,87.860001,88.110001,5569200,83.8935
2014-11-25,88.360001,88.82,88.080002,88.800003,6439600,84.550482
2014-11-26,88.830002,88.879997,88.449997,88.879997,4420000,84.626649
2014-11-28,89.089996,90.559998,88.970001,90.43,7661800,86.102476
2014-12-01,90.169998,90.669998,89.519997,90.080002,6745100,85.769227
2014-12-02,90.440002,91.169998,90.120003,91.07,7327500,86.711849
2014-12-03,90.839996,90.970001,89.639999,90.0,6465600,85.693054
2014-12-04,90.5,90.940002,90.099998,90.580002,6406700,86.245299
2014-12-05,90.32,90.419998,89.209999,90.379997,6383400,86.054866
2014-12-08,90.339996,91.0,90.32,90.760002,4721900,86.416686
2014-12-09,90.470001,90.779999,89.870003,90.709999,5704000,86.369076
2014-12-10,90.949997,91.099998,89.959999,90.0,6293300,85.693054
2014-12-11,90.0,91.279999,89.980003,90.410004,6468700,86.083437
2014-12-12,90.010002,90.970001,89.529999,89.550003,6574600,85.264591
2014-12-15,89.699997,90.599998,89.029999,89.199997,6511900,84.931335
2014-12-16,89.139999,90.959999,88.379997,89.360001,8773800,85.083681
2014-12-17,89.559998,91.160004,89.400002,90.699997,7412700,86.359552
2014-12-18,91.010002,92.0,90.550003,92.0,8724500,87.597344
2014-12-19,92.150002,92.730003,91.760002,92.050003,14037800,87.644954
2014-12-22,92.099998,92.730003,92.0,92.599998,7157100,88.168629
2014-12-23,92.739998,93.480003,92.699997,93.290001,5610600,88.825612
2014-12-24,93.5,93.889999,93.139999,93.139999,2403000,88.682788
2014-12-26,93.150002,93.809998,93.059998,93.459999,3148700,88.987475
2014-12-29,93.120003,93.43,92.5,92.639999,4657700,88.206716
2014-12-30,92.25,92.82,92.099998,92.400002,4730000,87.978203
2014-12-31,92.040001,92.550003,91.029999,91.089996,5712100,86.730888
2015-01-02,90.839996,91.0,89.919998,90.440002,7251400,86.112
2015-01-05,90.230003,91.0,89.849998,90.010002,8626100,85.702577
2015-01-06,90.309998,90.559998,89.260002,89.599998,7791200,85.312194
2015-01-07,89.940002,90.370003,89.559998,90.07,5986600,85.759703
2015-01-08,90.480003,91.230003,90.129997,91.099998,6823300,86.740412
2015-01-09,91.18,91.18,90.120003,90.25,4872800,85.93109
2015-01-12,90.480003,90.620003,89.510002,89.919998,5247600,85.61688
2015-01-13,90.779999,91.5,89.769997,90.300003,6727100,85.9787
2015-01-14,89.730003,90.160004,89.43,89.989998,6418200,85.68353
2015-01-15,89.989998,90.5,89.339996,89.860001,6768200,85.559754
2015-01-16,89.949997,91.339996,89.870003,91.25,8815700,86.883235
2015-01-20,91.25,91.790001,90.5,91.190002,9869900,86.826109
2015-01-21,90.400002,91.190002,89.629997,90.730003,6974500,87.00255
2015-01-22,91.040001,91.690002,89.870003,91.620003,7211200,87.855986
2015-01-23,91.169998,91.190002,89.949997,90.080002,6745700,86.379252
2015-01-26,89.949997,89.949997,88.739998,89.580002,9371700,85.899794
2015-01-27,87.099998,87.209999,86.019997,86.489998,14417400,82.936736
2015-01-28,86.629997,86.910004,85.010002,85.150002,14033400,81.651791
2015-01-29,85.779999,86.110001,85.150002,85.669998,12054500,82.150425
2015-01-30,85.089996,85.220001,84.25,84.290001,14685300,80.827122
2015-02-02,84.580002,85.139999,83.68,85.120003,10278700,81.623025
2015-02-03,85.949997,86.0,85.120003,85.949997,10747900,82.41892
2015-02-04,85.889999,86.480003,85.550003,85.790001,9212800,82.265497
2015-02-05,86.239998,86.779999,86.099998,86.699997,6531300,83.138108
2015-02-06,86.559998,86.610001,85.150002,85.610001,8330800,82.092892
2015-02-09,85.309998,85.43,84.589996,85.050003,8811500,81.555901
2015-02-10,85.330002,85.57,84.82,85.389999,7059300,81.881929
2015-02-11,85.949997,86.199997,85.150002,85.639999,7184600,82.121658
2015-02-12,86.059998,86.150002,85.410004,86.029999,6074600,82.495635
2015-02-13,86.029999,86.150002,85.5,85.900002,6272000,82.370979
2015-02-17,86.059998,86.059998,85.0,85.489998,10310400,81.977819
2015-02-18,85.760002,86.389999,85.519997,86.260002,8132300,82.716189
2015-02-19,86.110001,86.300003,85.050003,85.209999,7271600,81.709324
2015-02-20,84.949997,85.050003,84.190002,84.870003,9581300,81.383295
2015-02-23,84.959999,85.5,84.650002,85.389999,7919200,81.881929
2015-02-24,85.510002,85.739998,85.010002,85.5,6502200,81.98741
2015-02-25,85.699997,85.800003,85.239998,85.459999,5975800,81.949053
2015-02-26,85.419998,85.760002,84.889999,85.169998,7964500,81.670966
2015-02-27,85.019997,85.379997,84.57,85.129997,7685000,81.632609
2015-03-02,85.129997,85.410004,84.839996,85.410004,7235200,81.901111
2015-03-03,85.349998,85.440002,84.540001,85.160004,6095600,81.661382
2015-03-04,85.040001,85.239998,84.209999,84.349998,7370000,80.884654
2015-03-05,84.620003,84.760002,84.089996,84.629997,5914200,81.15315
2015-03-06,84.339996,84.370003,82.370003,82.660004,11338700,79.264089
2015-03-09,82.790001,83.209999,82.68,83.089996,7326700,79.676417
2015-03-10,82.470001,82.879997,81.540001,81.540001,9681400,78.1901
2015-03-11,81.529999,81.779999,80.809998,81.389999,10066600,78.046261
2015-03-12,81.589996,82.120003,81.510002,82.089996,6951100,78.7175
2015-03-13,81.980003,82.279999,81.150002,81.830002,7492500,78.468187
2015-03-16,82.080002,83.949997,81.989998,83.559998,15618300,80.127109
2015-03-17,83.360001,83.370003,82.43,82.849998,7509300,79.446279
2015-03-18,82.860001,84.050003,82.019997,83.75,12607900,80.309306
2015-03-19,83.459999,83.75,83.120003,83.379997,9257500,79.954504
2015-03-20,83.989998,84.790001,83.769997,84.739998,22580300,81.258631
2015-03-23,84.370003,85.050003,84.360001,84.860001,9891100,81.373704
2015-03-24,84.889999,85.110001,83.870003,83.919998,7478800,80.47232
2015-03-25,84.370003,84.370003,82.860001,83.010002,8482200,79.599709
2015-03-26,82.580002,82.610001,81.949997,82.150002,7311600,78.77504
2015-03-27,82.080002,82.540001,81.989998,82.309998,6440600,78.928463
2015-03-30,82.629997,82.949997,82.150002,82.720001,6416800,79.321622
2015-03-31,82.760002,82.93,81.940002,81.940002,8649700,78.573668
2015-04-01,82.440002,82.449997,81.449997,82.32,7395300,78.938054
2015-04-02,82.169998,82.589996,81.919998,82.43,6169800,79.043535
2015-04-06,81.919998,83.230003,81.510002,83.040001,6856300,79.628475
2015-04-07,82.93,83.290001,82.330002,82.389999,6329900,79.005178
2015-04-08,82.300003,83.18,82.269997,82.769997,6523400,79.369564
2015-04-09,82.629997,82.949997,82.010002,82.889999,6185000,79.484636
