Date,Open_AVY,High_AVY,Low_AVY,Close_AVY,Volume_AVY,AdjClose_AVY
2016-04-11,71.830002,72.279999,71.260002,71.360001,756600,70.966596
2016-04-12,71.360001,71.809998,71.25,71.610001,773300,71.215218
2016-04-13,71.949997,72.389999,71.459999,72.309998,585700,71.911356
2016-04-14,72.220001,72.589996,71.910004,72.010002,459100,71.613014
2016-04-15,72.010002,72.650002,72.010002,72.589996,548700,72.189811
2016-04-18,72.279999,73.389999,72.029999,73.389999,547400,72.985404
2016-04-19,73.68,74.330002,73.339996,73.389999,583800,72.985404
2016-04-20,73.410004,73.709999,72.959999,73.019997,538000,72.617441
2016-04-21,73.160004,73.739998,72.660004,72.809998,525700,72.408599
2016-04-22,73.010002,73.57,72.5,73.519997,670000,73.114684
2016-04-25,73.260002,73.260002,72.580002,72.790001,387000,72.388713
2016-04-26,72.830002,72.989998,72.449997,72.739998,1044900,72.338986
2016-04-27,73.580002,75.139999,73.57,74.470001,1219500,74.059452
2016-04-28,73.800003,73.989998,73.029999,73.440002,1350900,73.035131
2016-04-29,73.370003,73.370003,72.279999,72.610001,1116100,72.209705
2016-05-02,72.650002,74.480003,72.260002,74.349998,898900,73.94011
2016-05-03,74.010002,75.190002,73.220001,75.169998,1768600,74.75559
2016-05-04,74.589996,75.099998,73.389999,73.980003,839600,73.572155
2016-05-05,74.0,74.459999,73.809998,74.059998,646700,73.651708
2016-05-06,74.0,74.879997,73.529999,74.870003,592700,74.457248
2016-05-09,74.830002,75.400002,74.720001,75.190002,598300,74.775484
2016-05-10,75.300003,76.449997,75.129997,76.449997,570700,76.028532
2016-05-11,76.459999,76.459999,75.269997,75.800003,596100,75.382121
2016-05-12,76.279999,76.739998,75.75,76.370003,735300,75.948979
2016-05-13,76.220001,76.809998,75.220001,75.580002,796400,75.163333
2016-05-16,75.739998,76.959999,75.639999,76.739998,493200,76.316934
2016-05-17,76.360001,76.489998,74.82,75.32,696300,74.904764
2016-05-18,75.169998,75.330002,74.129997,74.440002,729900,74.029618
2016-05-19,74.330002,74.730003,73.699997,74.620003,601000,74.208626
2016-05-20,73.970001,74.279999,73.279999,73.309998,1744600,72.905843
2016-05-23,73.339996,74.169998,73.330002,73.449997,773000,73.045071
2016-05-24,73.879997,74.629997,73.730003,74.5,459700,74.089285
2016-05-25,74.989998,75.440002,74.739998,74.910004,494600,74.497028
2016-05-26,74.949997,75.389999,74.330002,74.370003,366000,73.960004
2016-05-27,74.0,74.669998,73.330002,74.669998,469600,74.669998
2016-05-31,74.75,74.779999,73.860001,74.379997,788500,74.379997
2016-06-01,73.82,74.32,73.589996,74.160004,539600,74.160004
2016-06-02,74.150002,75.279999,73.790001,75.279999,711400,75.279999
2016-06-03,75.370003,75.839996,74.870003,75.75,827300,75.75
