Date,Open_PNC,High_PNC,Low_PNC,Close_PNC,Volume_PNC,AdjClose_PNC
2016-05-10,85.790001,87.019997,85.519997,86.589996,1787100,86.589996
2016-05-11,86.290001,87.279999,86.230003,86.339996,1370500,86.339996
2016-05-12,86.650002,87.339996,85.620003,86.18,1998400,86.18
2016-05-13,85.940002,86.760002,84.389999,84.739998,1954800,84.739998
2016-05-16,84.459999,85.800003,84.459999,85.449997,1961800,85.449997
2016-05-17,85.120003,86.139999,84.400002,85.230003,1809600,85.230003
2016-05-18,85.300003,88.379997,85.269997,88.379997,2674700,88.379997
2016-05-19,87.860001,88.860001,87.019997,87.879997,2319100,87.879997
2016-05-20,88.330002,88.919998,87.889999,88.190002,1610600,88.190002
2016-05-23,88.190002,88.480003,87.309998,87.82,1610700,87.82
2016-05-24,88.400002,89.459999,88.120003,89.029999,2133200,89.029999
2016-05-25,89.480003,90.849998,89.370003,90.230003,2322800,90.230003
2016-05-26,90.339996,90.349998,89.410004,89.489998,2089000,89.489998
2016-05-27,89.839996,90.260002,89.440002,90.239998,1923000,90.239998
2016-05-31,90.779999,90.800003,89.330002,89.739998,2447700,89.739998
2016-06-01,88.910004,89.959999,88.410004,89.739998,1750400,89.739998
2016-06-02,89.589996,90.099998,89.199997,90.010002,1553100,90.010002
2016-06-03,88.610001,88.82,87.110001,88.57,2469600,88.57
