Date,Open_MSI,High_MSI,Low_MSI,Close_MSI,Volume_MSI,AdjClose_MSI
2013-10-07,60.66,61.57,60.529999,60.889999,1531300,57.415238
2013-10-08,60.869999,60.91,59.57,59.619999,1569900,56.217712
2013-10-09,59.82,59.889999,58.93,59.389999,1362400,56.000838
2013-10-10,59.950001,60.610001,59.849998,60.610001,1133300,57.151218
2013-10-11,60.380001,60.84,60.310001,60.52,1046200,57.066354
2013-10-14,60.259998,61.130001,59.950001,61.029999,1405400,57.547249
2013-10-15,60.709999,61.0,60.459999,60.490002,1677900,57.038067
2013-10-16,60.73,61.0,60.43,60.709999,2014900,57.24551
2013-10-17,60.400002,60.970001,60.25,60.919998,1988900,57.443525
2013-10-18,60.990002,61.09,60.650002,60.810001,2562300,57.339806
2013-10-21,60.880001,61.200001,60.82,61.18,1885700,57.68869
2013-10-22,61.0,61.189999,60.209999,60.43,3228100,56.98149
2013-10-23,61.68,66.389999,60.68,62.400002,8847300,58.83907
2013-10-24,62.299999,62.799999,62.080002,62.509998,1802000,58.94279
2013-10-25,62.650002,63.060001,62.419998,62.990002,1523800,59.395402
2013-10-28,63.0,63.110001,62.330002,62.439999,1261600,58.876785
2013-10-29,62.790001,63.060001,62.52,62.73,930000,59.150237
2013-10-30,62.689999,62.790001,61.950001,62.25,1121200,58.697629
2013-10-31,62.310001,62.98,62.080002,62.52,1167700,58.952221
2013-11-01,62.68,62.849998,61.990002,62.389999,1199100,58.829639
2013-11-04,62.400002,62.880001,62.400002,62.709999,1125300,59.131378
2013-11-05,62.580002,63.0,62.52,62.68,807400,59.103091
2013-11-06,62.889999,63.200001,62.610001,62.650002,1144500,59.074804
2013-11-07,62.849998,63.419998,62.439999,62.490002,1602100,58.923935
2013-11-08,62.599998,63.169998,62.599998,63.119999,1172000,59.51798
2013-11-11,63.0,63.689999,62.939999,63.509998,1031900,59.885724
2013-11-12,63.509998,64.25,63.419998,64.239998,1192000,60.574065
2013-11-13,64.0,64.480003,63.799999,64.449997,1213200,60.77208
2013-11-14,64.410004,64.970001,64.269997,64.580002,1086500,60.894666
2013-11-15,64.809998,65.790001,64.730003,65.57,1500800,61.828169
2013-11-18,65.489998,65.790001,65.190002,65.419998,1208600,61.686727
2013-11-19,65.300003,65.5,64.550003,64.610001,1120000,60.922953
2013-11-20,64.790001,65.07,64.510002,64.580002,1300300,60.894666
2013-11-21,64.849998,65.459999,64.690002,65.410004,1468500,61.677303
2013-11-22,65.389999,65.949997,65.160004,65.879997,743900,62.120476
2013-11-25,65.830002,66.139999,65.599998,65.790001,721200,62.035615
2013-11-26,65.849998,65.989998,65.220001,65.57,1914700,61.828169
2013-11-27,65.650002,65.959999,65.339996,65.5,1204600,61.762164
2013-11-29,65.589996,66.290001,65.330002,65.879997,764600,62.120476
2013-12-02,65.75,66.129997,65.43,65.660004,928600,61.913037
2013-12-03,65.379997,65.839996,65.0,65.790001,927600,62.035615
2013-12-04,65.370003,65.699997,64.629997,64.93,1357400,61.224692
2013-12-05,64.75,65.57,64.699997,65.230003,1084800,61.507575
2013-12-06,65.589996,66.330002,65.410004,66.18,1131900,62.403359
2013-12-09,66.019997,66.260002,65.650002,65.790001,923100,62.035615
2013-12-10,65.510002,66.089996,65.129997,65.410004,1431100,61.677303
2013-12-11,64.830002,65.419998,64.550003,64.599998,1150900,61.203589
2013-12-12,64.400002,65.099998,64.209999,64.860001,1334700,61.449921
2013-12-13,64.849998,65.230003,64.610001,65.050003,1233600,61.629934
2013-12-16,65.050003,65.5,64.839996,65.360001,1154900,61.923633
2013-12-17,65.089996,65.790001,64.839996,65.519997,1175100,62.075217
2013-12-18,65.440002,66.169998,64.989998,66.160004,1015300,62.681575
2013-12-19,66.059998,66.349998,65.82,65.849998,2152300,62.387869
2013-12-20,65.650002,66.080002,65.589996,65.610001,3196500,62.160489
2013-12-23,66.0,66.879997,65.660004,66.779999,1744500,63.268973
2013-12-24,66.529999,67.279999,66.5,67.099998,538500,63.572149
2013-12-26,67.089996,67.489998,66.940002,67.18,861100,63.647944
2013-12-27,67.120003,67.610001,67.029999,67.330002,599800,63.790059
2013-12-30,67.110001,67.669998,67.110001,67.25,590900,63.714264
2013-12-31,67.18,67.639999,67.150002,67.5,647800,63.95112
2014-01-02,67.370003,67.489998,65.839996,66.330002,1101600,62.842635
2014-01-03,66.489998,66.639999,66.160004,66.199997,801600,62.719466
2014-01-06,66.470001,66.669998,65.910004,65.919998,1033000,62.454188
