Date,Open_UNP,High_UNP,Low_UNP,Close_UNP,Volume_UNP,AdjClose_UNP
2016-01-08,73.559998,74.379997,73.199997,73.860001,7567700,72.866185
2016-01-11,74.360001,75.050003,73.629997,74.809998,7763500,73.8034
2016-01-12,75.510002,76.459999,74.379997,76.269997,6985600,75.243754
2016-01-13,76.199997,76.839996,73.209999,73.849998,8618400,72.856318
2016-01-14,73.860001,76.599998,73.699997,75.419998,7457600,74.405193
2016-01-15,72.839996,74.269997,72.629997,74.110001,7460000,73.112822
2016-01-19,74.989998,75.160004,73.269997,74.099998,7470100,73.102954
2016-01-20,72.68,74.150002,71.57,73.610001,10549900,72.619549
2016-01-21,69.5,71.730003,67.059998,71.0,19539900,70.044667
2016-01-22,71.339996,72.349998,68.43,69.989998,15358600,69.048255
2016-01-25,69.660004,69.769997,68.660004,68.790001,7171400,67.864405
2016-01-26,69.339996,70.470001,69.110001,70.040001,6741200,69.097585
2016-01-27,70.0,70.970001,68.720001,69.059998,6202400,68.130768
2016-01-28,69.849998,70.309998,68.720001,70.160004,6741300,69.215973
2016-01-29,70.5,72.029999,70.169998,72.0,6920500,71.031212
2016-02-01,70.900002,73.559998,70.349998,73.089996,8402900,72.106542
2016-02-02,73.260002,73.360001,71.169998,71.709999,8607400,70.745113
2016-02-03,71.989998,72.389999,70.540001,72.260002,6501200,71.287716
2016-02-04,72.019997,76.419998,72.019997,75.519997,7297000,74.503846
2016-02-05,75.209999,76.010002,74.199997,75.029999,5768200,74.020441
2016-02-08,74.480003,76.559998,73.459999,76.029999,7602400,75.006985
2016-02-09,75.099998,77.849998,75.0,77.120003,7406300,76.082323
2016-02-10,78.019997,78.620003,76.339996,76.940002,6259900,75.904745
2016-02-11,75.730003,76.309998,73.589996,75.540001,6715200,74.523581
2016-02-12,77.330002,78.339996,76.25,77.199997,5716400,76.161241
2016-02-16,78.0,80.269997,76.900002,79.370003,6640000,78.302048
2016-02-17,78.720001,80.5,78.470001,79.959999,6308000,78.884106
2016-02-18,79.760002,80.129997,78.18,78.660004,5578000,77.601603
2016-02-19,78.519997,80.0,78.0,79.900002,4793200,78.824916
2016-02-22,79.900002,82.260002,79.900002,81.610001,5448300,80.511906
2016-02-23,80.5,81.050003,78.790001,78.949997,4966300,77.887694
2016-02-24,78.019997,80.290001,77.07,80.089996,4800500,79.012354
2016-02-25,79.5,80.349998,78.529999,79.32,3243000,78.793815
2016-02-26,80.089996,81.260002,79.790001,80.0,3836900,79.469304
2016-02-29,79.809998,79.980003,78.75,78.860001,5358600,78.336867
2016-03-01,79.699997,80.919998,79.139999,80.120003,5909800,79.588511
2016-03-02,80.239998,80.830002,79.25,79.5,5610200,78.972621
2016-03-03,79.860001,80.550003,79.080002,80.010002,5167400,79.47924
2016-03-04,80.220001,81.449997,79.989998,80.5,6414000,79.965987
2016-03-07,80.029999,81.57,79.75,81.449997,6547800,80.909682
2016-03-08,80.639999,81.059998,78.150002,78.25,5925100,77.730913
2016-03-09,78.900002,80.199997,78.669998,80.139999,6028500,79.608375
2016-03-10,80.589996,80.68,78.559998,79.379997,3956200,78.853414
2016-03-11,80.18,81.379997,79.910004,81.260002,3735000,80.720948
2016-03-14,80.699997,81.470001,80.150002,80.349998,4365100,79.816981
2016-03-15,79.620003,80.150002,78.629997,80.150002,4676600,79.618311
2016-03-16,80.139999,80.790001,79.370003,80.309998,3225700,79.777245
2016-03-17,80.709999,83.269997,79.610001,83.080002,4969800,82.528874
2016-03-18,83.449997,85.300003,83.269997,84.419998,8389400,83.859981
2016-03-21,84.389999,84.980003,83.470001,83.980003,3872600,83.422905
2016-03-22,83.050003,83.269997,81.709999,82.059998,5142000,81.515636
2016-03-23,82.129997,82.349998,81.389999,81.519997,4268400,80.979218
2016-03-24,80.779999,81.269997,80.040001,80.919998,4212500,80.383199
2016-03-28,80.75,80.919998,78.470001,78.809998,6327000,78.287196
2016-03-29,78.410004,79.989998,77.800003,79.800003,4381200,79.270634
2016-03-30,80.400002,81.449997,80.169998,80.559998,3145900,80.025587
2016-03-31,80.290001,80.709999,78.540001,79.550003,5116800,79.022292
2016-04-01,78.82,79.419998,78.029999,78.919998,4232900,78.396467
2016-04-04,78.720001,80.019997,78.169998,78.339996,3464800,77.820312
2016-04-05,77.550003,78.980003,77.290001,78.620003,3614300,78.098461
2016-04-06,78.349998,78.529999,77.370003,78.349998,4374000,77.830248
2016-04-07,77.959999,78.669998,77.419998,78.0,4246100,77.482571
2016-04-08,78.660004,80.580002,78.32,79.169998,4211200,78.644808
2016-04-11,79.139999,80.510002,78.580002,78.690002,4109600,78.167997
2016-04-12,78.330002,80.260002,78.190002,79.639999,4628400,79.111692
2016-04-13,80.669998,82.150002,80.169998,81.720001,4502000,81.177895
2016-04-14,82.18,83.029999,81.290001,82.32,5102400,81.773914
2016-04-15,82.190002,82.419998,81.019997,81.209999,3804000,80.671276
2016-04-18,79.980003,82.040001,78.620003,80.879997,7348100,80.343464
2016-04-19,81.980003,83.019997,81.339996,82.239998,6959400,81.694442
2016-04-20,82.730003,84.610001,82.199997,83.849998,6302600,83.293763
2016-04-21,86.599998,88.650002,85.199997,87.32,9851900,86.740745
2016-04-22,88.0,89.910004,87.809998,89.629997,7055800,89.035419
2016-04-25,89.089996,89.300003,86.889999,87.610001,4631700,87.028822
2016-04-26,87.260002,88.839996,87.110001,88.760002,4831700,88.171195
2016-04-27,88.790001,89.800003,88.669998,89.169998,3851800,88.578471
2016-04-28,88.559998,89.760002,88.269997,88.510002,3863100,87.922853
2016-04-29,87.860001,89.230003,86.730003,87.230003,5221100,86.651346
2016-05-02,87.989998,88.5,86.650002,88.120003,3492700,87.535441
