Date,Open_CCE,High_CCE,Low_CCE,Close_CCE,Volume_CCE,AdjClose_CCE
2015-12-16,50.330002,51.299999,50.080002,51.240002,2870000,36.394009
2015-12-17,50.810001,50.810001,48.52,49.009998,5653800,34.810115
2015-12-18,48.77,48.91,48.099998,48.669998,3736500,34.568624
2015-12-21,49.060001,49.09,48.470001,48.849998,3035400,34.696472
2015-12-22,48.93,49.900002,48.799999,49.779999,2878300,35.35702
2015-12-23,49.98,50.119999,49.549999,50.080002,2517400,35.570101
2015-12-24,50.029999,50.290001,49.919998,50.02,692600,35.527484
2015-12-28,49.970001,50.150002,49.41,49.700001,1815000,35.3002
2015-12-29,49.970001,50.240002,49.799999,49.93,1174400,35.46356
2015-12-30,50.029999,50.060001,49.5,49.619999,1774100,35.243377
2015-12-31,49.439999,49.580002,48.919998,49.240002,1704000,34.973478
2016-01-04,48.279999,48.669998,47.790001,48.650002,3344200,34.554421
2016-01-05,48.709999,48.880001,47.299999,47.950001,3823700,34.057235
2016-01-06,47.459999,47.91,47.09,47.889999,3944900,34.014618
2016-01-07,47.41,47.669998,46.639999,46.970001,3253400,33.361175
2016-01-08,47.119999,47.400002,46.369999,46.48,2989000,33.013144
2016-01-11,46.549999,46.900002,46.080002,46.450001,1291900,32.991837
2016-01-12,46.599998,47.049999,46.330002,46.880001,1278100,33.297251
2016-01-13,46.849998,47.099998,46.16,46.25,2806400,32.849783
2016-01-14,46.209999,46.490002,45.970001,46.18,2185300,32.800065
2016-01-15,45.290001,46.18,45.259998,45.900002,3426300,32.601191
2016-01-19,46.299999,46.52,46.049999,46.290001,2298800,32.878194
2016-01-20,45.720001,46.169998,44.5,45.82,3127900,32.544369
2016-01-21,45.75,45.93,44.959999,45.16,2862100,32.075593
2016-01-22,45.66,45.720001,45.16,45.34,2321800,32.203441
2016-01-25,45.419998,45.919998,45.18,45.619999,2054800,32.402315
2016-01-26,45.650002,46.220001,45.639999,45.889999,1690300,32.594087
2016-01-27,45.91,46.080002,45.16,45.470001,1397900,32.295777
2016-01-28,45.68,46.220001,45.439999,46.040001,1401800,32.700628
2016-01-29,46.27,46.610001,46.02,46.419998,2167200,32.970527
2016-02-01,46.540001,47.5,46.419998,47.169998,2789600,33.503226
2016-02-02,46.720001,46.880001,46.259998,46.34,1289300,32.913707
2016-02-03,46.419998,46.580002,45.610001,46.34,1323900,32.913707
2016-02-04,46.119999,46.759998,46.02,46.720001,2342800,33.183609
2016-02-05,47.419998,47.419998,46.52,46.720001,2470700,33.183609
2016-02-08,46.330002,46.900002,46.110001,46.66,2872400,33.140992
2016-02-09,46.139999,47.900002,46.119999,47.619999,2292200,33.822846
2016-02-10,47.73,47.98,47.52,47.57,1623600,33.787333
2016-02-11,46.790001,47.959999,46.41,47.209999,2171200,33.531637
2016-02-12,47.490002,48.240002,46.919998,48.189999,1346000,34.227697
2016-02-16,48.599998,49.07,48.220001,48.77,1485600,34.639653
2016-02-17,49.029999,49.5,48.75,49.060001,1937700,34.84563
2016-02-18,48.990002,48.990002,48.490002,48.599998,1453200,34.518906
2016-02-19,48.66,49.209999,48.490002,48.93,1437700,34.753295
2016-02-22,49.209999,49.580002,49.169998,49.380001,1511600,35.072915
2016-02-23,49.169998,49.529999,48.860001,49.029999,1117300,34.82432
2016-02-24,48.869999,49.5,48.540001,49.470001,883300,35.136839
2016-02-25,49.34,50.130001,49.049999,50.099998,1293200,35.584304
2016-02-26,50.029999,50.18,48.68,49.09,1595600,34.866937
2016-02-29,49.029999,49.099998,48.509998,48.509998,1867800,34.454982
2016-03-01,48.77,49.25,48.57,49.02,1567100,34.817219
2016-03-02,48.599998,48.75,48.360001,48.459999,1390400,34.631411
2016-03-03,48.389999,49.330002,48.009998,49.23,1238100,35.181684
2016-03-04,49.130001,49.490002,48.91,49.43,801400,35.324612
2016-03-07,49.279999,49.490002,48.98,49.09,1971100,35.081635
2016-03-08,49.029999,49.209999,48.650002,48.959999,1237100,34.988731
2016-03-09,49.119999,49.709999,48.959999,49.639999,884700,35.474686
2016-03-10,49.77,50.490002,49.580002,50.060001,888000,35.774836
2016-03-11,50.349998,50.599998,50.150002,50.349998,1204300,35.982079
2016-03-14,50.150002,50.75,50.080002,50.68,1634800,36.217911
2016-03-15,50.279999,50.889999,50.080002,50.240002,1465400,35.903471
2016-03-16,49.869999,50.040001,48.799999,49.689999,2155100,35.510417
2016-03-17,49.830002,50.41,49.57,50.209999,2285000,35.88203
2016-03-18,50.23,50.23,49.02,49.549999,2956300,35.410368
2016-03-21,49.419998,50.060001,49.259998,49.68,1938900,35.503272
2016-03-22,49.639999,49.82,49.41,49.52,838200,35.38893
2016-03-23,49.380001,50.060001,49.139999,49.799999,2286600,35.589028
2016-03-24,49.639999,49.939999,49.419998,49.59,3504000,35.438954
2016-03-28,49.779999,50.540001,49.68,50.049999,3116300,35.767688
2016-03-29,50.049999,50.41,49.970001,50.330002,1228100,35.967789
2016-03-30,50.57,51.130001,50.41,51.09,1071100,36.510913
2016-03-31,51.209999,51.82,50.689999,50.740002,2792600,36.260791
2016-04-01,50.419998,51.580002,50.380001,51.48,2404500,36.789622
2016-04-04,51.59,52.16,51.509998,52.150002,3175200,37.268432
2016-04-05,52.02,52.490002,51.91,52.02,3508700,37.175528
2016-04-06,51.84,52.779999,51.84,52.68,2312600,37.647189
2016-04-07,52.52,52.619999,52.150002,52.400002,2371700,37.447091
2016-04-08,52.630001,52.860001,52.41,52.540001,1392800,37.54714
2016-04-11,52.790001,53.200001,52.549999,52.630001,2298600,37.611458
2016-04-12,52.799999,53.049999,52.580002,52.82,2817400,37.747238
2016-04-13,53.09,53.09,52.639999,52.970001,2267500,37.854435
2016-04-14,53.939999,54.540001,53.360001,53.470001,4124600,38.211755
2016-04-15,53.529999,53.779999,53.310001,53.669998,1519900,38.354681
2016-04-18,53.580002,53.799999,53.360001,53.59,1143200,38.297511
2016-04-19,53.82,53.849998,53.560001,53.779999,1267800,38.433291
2016-04-20,53.290001,53.290001,52.360001,52.830002,3087400,37.754386
2016-04-21,53.0,53.0,51.68,51.740002,3051500,36.97543
2016-04-22,51.77,52.029999,51.540001,51.830002,1888300,37.039747
2016-04-25,51.720001,52.310001,51.700001,51.939999,1910500,37.118355
2016-04-26,51.939999,52.299999,51.580002,51.66,2601300,36.918257
2016-04-27,51.869999,52.279999,51.669998,51.959999,2620500,37.132648
2016-04-28,53.34,54.220001,53.119999,53.900002,3116800,38.51905
2016-04-29,53.650002,53.93,52.369999,52.48,3311100,37.504261
2016-05-02,52.470001,52.810001,52.0,52.310001,2629300,37.382774
2016-05-03,52.099998,52.32,51.77,52.169998,1658000,37.282722
2016-05-04,52.0,52.93,51.799999,52.82,2758000,37.747238
2016-05-05,52.610001,53.549999,52.52,53.380001,3428000,38.147437
2016-05-06,53.330002,54.060001,53.09,54.049999,2035200,38.626244
2016-05-09,53.75,53.98,53.290001,53.599998,2343800,38.304656
2016-05-10,53.799999,54.169998,53.529999,54.119999,2241200,38.676269
2016-05-11,54.200001,54.369999,53.98,54.0,1548600,38.590513
2016-05-12,54.200001,54.200001,53.540001,53.799999,3767400,38.447585
2016-05-13,53.650002,53.700001,52.82,52.84,1768800,37.761532
2016-05-16,52.540001,53.099998,52.540001,52.740002,1551400,37.905276
2016-05-17,52.790001,52.98,51.830002,51.939999,3195000,37.330298
2016-05-18,51.709999,51.75,50.709999,51.02,1968800,36.669077
2016-05-19,50.77,50.849998,50.080002,50.689999,2749900,36.431899
2016-05-20,51.130001,51.189999,50.450001,50.700001,2263600,36.439087
2016-05-23,50.580002,51.110001,49.759998,50.099998,5293600,36.007854
2016-05-24,50.200001,51.200001,50.16,50.990002,8751600,36.647517
2016-05-25,50.799999,51.740002,50.66,51.290001,11915200,36.863132
2016-05-26,51.330002,51.400002,50.549999,50.860001,11770400,36.554082
2016-05-27,50.830002,52.279999,50.810001,51.549999,62250400,37.049998
2016-05-31,37.790001,39.5,37.73,38.810001,24077700,38.810001
2016-06-01,39.400002,39.77,38.830002,39.259998,20296900,39.259998
2016-06-02,39.73,40.099998,39.259998,39.5,11670100,39.5
2016-06-03,39.709999,40.349998,39.509998,40.130001,6974200,40.130001
