Date,Open_CME,High_CME,Low_CME,Close_CME,Volume_CME,AdjClose_CME
2015-02-19,93.650002,94.230003,93.400002,94.18,1167500,88.28245
2015-02-20,94.110001,94.389999,92.480003,94.25,1911500,88.348066
2015-02-23,93.980003,95.010002,93.510002,94.989998,916600,89.041726
2015-02-24,95.239998,97.120003,94.970001,96.169998,1341600,90.147834
2015-02-25,96.029999,96.790001,95.839996,96.529999,752900,90.485292
2015-02-26,96.25,96.690002,95.559998,96.019997,865800,90.007226
2015-02-27,95.790001,96.43,95.25,95.93,941100,89.922865
2015-03-02,95.730003,97.18,95.489998,97.120003,1015800,91.03835
2015-03-03,96.699997,97.18,95.989998,97.099998,1664500,91.019598
2015-03-04,96.870003,96.959999,96.230003,96.489998,1444800,90.447796
2015-03-05,96.419998,97.080002,96.25,96.82,886600,90.757133
2015-03-06,96.209999,97.800003,95.059998,95.419998,1553400,89.909108
2015-03-09,95.57,96.739998,95.120003,96.57,1012200,90.992692
2015-03-10,95.480003,96.269997,95.07,95.300003,1518200,89.796043
2015-03-11,95.760002,96.559998,95.110001,96.290001,951800,90.728864
2015-03-12,97.019997,97.629997,95.940002,97.330002,1278900,91.708801
2015-03-13,97.199997,97.529999,96.300003,96.830002,1391700,91.237678
2015-03-16,97.709999,100.489998,97.699997,100.059998,2797600,94.281128
2015-03-17,99.290001,99.980003,98.790001,99.75,1794400,93.989035
2015-03-18,99.440002,99.949997,98.330002,98.989998,1808900,93.272926
2015-03-19,99.0,99.919998,98.629997,99.669998,1752500,93.913653
2015-03-20,100.099998,100.610001,98.790001,99.75,7031000,93.989035
2015-03-23,99.519997,99.599998,98.610001,98.75,1902300,93.046789
2015-03-24,98.459999,98.970001,97.300003,97.339996,2153300,91.718218
2015-03-25,97.260002,97.260002,94.190002,94.269997,2593200,88.825524
2015-03-26,94.900002,95.400002,94.459999,94.790001,2719700,89.315495
2015-03-27,94.389999,94.830002,93.68,94.660004,1228600,89.193006
2015-03-30,95.449997,96.040001,94.959999,95.290001,1305500,89.786618
2015-03-31,94.650002,95.239998,94.480003,94.709999,1353900,89.240114
2015-04-01,94.480003,94.980003,94.0,94.5,1093700,89.042243
2015-04-02,94.68,94.860001,92.879997,92.910004,2052300,87.544076
2015-04-06,92.5,93.160004,91.400002,92.099998,3734100,86.780851
2015-04-07,92.370003,92.800003,90.559998,90.580002,3289800,85.348641
2015-04-08,90.93,91.540001,90.25,90.360001,1862300,85.141346
2015-04-09,90.25,90.980003,89.940002,90.849998,1790600,85.603044
2015-04-10,90.68,92.43,90.57,92.269997,1710300,86.941032
2015-04-13,92.339996,92.690002,91.970001,92.029999,957700,86.714895
2015-04-14,91.82,92.5,90.980003,91.199997,1079600,85.932829
2015-04-15,91.339996,91.610001,90.800003,91.150002,1262000,85.885721
2015-04-16,90.989998,91.830002,90.709999,91.519997,965500,86.234347
2015-04-17,90.860001,91.18,89.610001,89.910004,2308200,84.717338
2015-04-20,90.540001,91.190002,90.209999,90.790001,1084200,85.546512
2015-04-21,90.940002,91.419998,90.169998,90.239998,981500,85.028273
2015-04-22,90.309998,91.169998,89.5,90.669998,1137200,85.433439
2015-04-23,90.529999,90.879997,89.709999,90.309998,903400,85.09423
2015-04-24,90.260002,90.559998,89.269997,89.889999,998100,84.698489
2015-04-27,89.879997,90.379997,88.720001,88.860001,1300100,83.727977
2015-04-28,88.489998,89.540001,88.220001,89.510002,1552600,84.340438
2015-04-29,88.860001,90.059998,88.779999,89.199997,1457800,84.048337
2015-04-30,89.489998,91.860001,88.75,90.910004,3311700,85.659584
2015-05-01,91.639999,91.82,90.669998,90.779999,1437300,85.537087
2015-05-04,90.779999,90.959999,89.940002,90.82,921400,85.574778
2015-05-05,90.410004,91.089996,90.050003,90.910004,1762600,85.659584
2015-05-06,90.910004,91.370003,89.760002,90.300003,1486300,85.084813
2015-05-07,90.370003,92.800003,90.349998,92.400002,2353600,87.063528
2015-05-08,93.720001,94.709999,92.870003,94.370003,1775800,88.919754
2015-05-11,94.5,95.900002,94.389999,95.400002,1629700,89.890266
2015-05-12,94.620003,95.529999,94.419998,95.050003,1278500,89.560481
2015-05-13,95.129997,95.239998,94.349998,95.139999,1023400,89.64528
2015-05-14,95.75,96.230003,94.970001,96.089996,1026300,90.540411
2015-05-15,96.019997,96.489998,94.419998,94.989998,1133500,89.503942
2015-05-18,95.089996,95.940002,94.870003,94.919998,1196400,89.437985
2015-05-19,95.110001,95.419998,94.709999,95.010002,974300,89.522791
2015-05-20,95.190002,95.239998,93.93,93.940002,898600,88.514588
2015-05-21,93.82,93.900002,92.870003,93.400002,1454000,88.005774
2015-05-22,93.400002,94.459999,93.099998,93.980003,1050500,88.552279
2015-05-26,94.050003,94.300003,93.43,93.459999,1175100,88.062307
2015-05-27,93.550003,94.139999,92.769997,93.879997,762900,88.458048
2015-05-28,93.699997,94.059998,93.32,94.029999,739300,88.599386
2015-05-29,94.029999,94.290001,93.07,94.199997,1583900,88.759567
2015-06-01,94.480003,94.709999,93.690002,94.129997,1327600,88.69361
2015-06-02,93.589996,94.440002,93.5,94.300003,1558200,88.853797
2015-06-03,94.25,95.230003,94.010002,94.519997,1621900,89.061085
2015-06-04,94.169998,94.949997,93.879997,94.239998,1420100,88.797257
2015-06-05,95.0,96.470001,94.75,95.949997,2380600,90.408497
2015-06-08,95.639999,96.160004,95.120003,95.169998,1250100,90.143286
2015-06-09,95.199997,96.43,94.610001,96.300003,2050300,91.213607
2015-06-10,96.629997,98.660004,96.099998,98.589996,2588100,93.382646
2015-06-11,98.699997,99.220001,98.279999,98.870003,1560100,93.647863
2015-06-12,98.870003,99.110001,96.629997,96.93,1392900,91.810328
2015-06-15,96.059998,96.68,95.370003,96.239998,1102800,91.156771
2015-06-16,95.949997,96.849998,95.949997,96.529999,1320500,91.431454
2015-06-17,96.82,97.410004,96.300003,96.449997,1415900,91.355678
2015-06-18,96.900002,97.050003,95.809998,96.010002,1535300,90.938923
2015-06-19,95.730003,96.260002,93.900002,93.989998,2845500,89.025612
2015-06-22,94.809998,95.199997,94.480003,94.669998,904700,89.669696
2015-06-23,94.660004,95.330002,94.550003,94.790001,837700,89.78336
