Date,Open_AON,High_AON,Low_AON,Close_AON,Volume_AON,AdjClose_AON
2014-02-07,78.190002,81.199997,77.900002,81.019997,2565700,78.822435
2014-02-10,80.910004,81.720001,80.540001,81.650002,1596500,79.435352
2014-02-11,81.25,83.629997,80.93,83.18,2672800,80.923852
2014-02-12,83.07,84.120003,82.989998,83.43,1436800,81.167071
2014-02-13,82.68,84.410004,82.650002,84.32,1622100,82.03293
2014-02-14,84.019997,85.419998,83.949997,85.230003,1584000,82.918251
2014-02-18,84.239998,85.839996,83.25,85.160004,1836700,82.85015
2014-02-19,85.029999,85.690002,84.410004,84.779999,1666500,82.480452
2014-02-20,84.510002,85.800003,84.25,85.410004,1624500,83.093369
2014-02-21,85.559998,86.449997,85.43,86.220001,2023600,83.881397
2014-02-24,85.860001,87.269997,85.860001,86.68,1800200,84.328919
2014-02-25,86.410004,86.779999,85.949997,86.160004,1548100,83.823026
2014-02-26,86.209999,86.330002,85.220001,85.330002,1788200,83.015537
2014-02-27,85.599998,86.540001,85.360001,85.760002,2369100,83.433874
2014-02-28,85.75,85.949997,84.870003,85.599998,3064700,83.278211
2014-03-03,84.860001,85.07,84.080002,84.629997,1082800,82.334519
2014-03-04,85.589996,86.110001,85.339996,85.699997,1439200,83.375497
2014-03-05,86.120003,86.169998,85.43,85.879997,1406900,83.550615
2014-03-06,86.129997,86.739998,85.769997,86.559998,1473300,84.212171
2014-03-07,86.989998,87.449997,86.529999,86.949997,967000,84.591592
2014-03-10,86.720001,87.190002,86.150002,86.669998,1030500,84.319188
2014-03-11,86.980003,87.389999,86.059998,86.290001,1603400,83.949498
2014-03-12,85.690002,86.330002,85.309998,85.519997,1587400,83.200379
2014-03-13,85.519997,85.779999,83.18,83.199997,3130000,80.943306
2014-03-14,83.099998,84.169998,83.080002,83.419998,1531300,81.15734
2014-03-17,83.269997,84.650002,83.07,84.57,1191400,82.276149
2014-03-18,84.709999,85.57,84.32,85.540001,989800,83.21984
2014-03-19,85.5,85.519997,84.160004,84.230003,1282100,81.945375
2014-03-20,84.029999,85.440002,83.489998,85.419998,1007600,83.103093
2014-03-21,86.239998,86.25,85.25,85.860001,1973700,83.531161
2014-03-24,86.029999,86.339996,84.239998,84.239998,1313400,81.955098
2014-03-25,84.739998,84.970001,83.510002,83.900002,1112700,81.624324
2014-03-26,84.18,84.400002,82.989998,83.0,943500,80.748734
2014-03-27,82.669998,83.059998,82.120003,82.449997,988200,80.213649
2014-03-28,82.610001,83.639999,82.279999,82.620003,939600,80.379043
2014-03-31,83.25,84.339996,83.25,84.279999,1494700,81.994014
2014-04-01,84.580002,84.949997,84.18,84.800003,898200,82.499914
2014-04-02,84.769997,85.050003,84.349998,84.489998,756300,82.198317
2014-04-03,84.779999,84.900002,83.93,84.220001,748700,81.935644
2014-04-04,84.769997,84.919998,82.550003,82.620003,1085300,80.379043
2014-04-07,82.470001,82.599998,80.980003,81.120003,1365800,78.919729
2014-04-08,81.07,81.839996,80.760002,81.199997,1201700,78.997553
2014-04-09,81.57,82.699997,80.970001,82.599998,1207700,80.359582
2014-04-10,82.580002,82.769997,79.629997,79.879997,1865200,77.713357
2014-04-11,78.779999,80.120003,78.599998,79.43,2114600,77.275566
2014-04-14,79.970001,81.230003,79.699997,80.440002,1042900,78.258173
2014-04-15,80.470001,81.279999,79.720001,81.25,1160000,79.0462
2014-04-16,81.970001,82.480003,81.580002,82.360001,1078300,80.126094
2014-04-17,82.480003,82.480003,81.790001,82.139999,1046400,79.91206
2014-04-21,82.190002,82.470001,81.720001,82.029999,699300,79.805043
2014-04-22,82.0,82.540001,81.599998,82.239998,684000,80.009346
2014-04-23,82.080002,82.489998,81.919998,82.059998,939400,79.834228
2014-04-24,82.480003,82.550003,81.459999,82.190002,1466800,79.960706
2014-04-25,82.139999,86.290001,81.68,84.949997,2809000,82.64584
2014-04-28,85.529999,85.940002,83.550003,84.25,1913500,81.964829
2014-04-29,84.43,85.360001,84.419998,84.660004,1546900,82.608838
2014-04-30,84.650002,85.190002,84.230003,84.879997,1987200,82.823501
2014-05-01,84.660004,85.949997,84.510002,85.389999,1388600,83.321147
2014-05-02,85.440002,85.860001,84.830002,85.040001,1419100,82.979628
2014-05-05,84.370003,85.419998,84.150002,85.150002,1279900,83.086964
2014-05-06,85.040001,85.489998,84.57,84.760002,1336200,82.706414
2014-05-07,84.940002,86.82,84.940002,86.360001,2021700,84.267647
